Date,Returns,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Source: Bloomberg
03/31/2019,,,-70.304423,-116.542217,,-141.700172,-120.39058,-130.901781,-141.183228,,
03/31/2020,,,31.874526,-2.099671,87.974684,-0.252972,18.694662,10.498356,2.403238,,
06/30/2020,,,31.193533,-0.332858,,-48.002853,-41.321921,-41.607228,-49.239182,,
