Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,7.436,7.277,12.205,11.808,0.397,-4.928,0.159,0.0,,,,,0.159,-0.325,7.111,-3.216,0.0,3.216,3.895,0.0,0.0,3.895,-1.597,,2.298,0.0,,,2.298,0.0,2.298,0.0,,2.298,2.298,,25.339859,0.090703,0.090703,,25.339859,0.090703,0.090703,0.090703,
06/30/1990,8.639,8.394,14.089,13.623,0.466,-5.695,0.245,0.0,,,,,0.245,-0.715,7.924,-3.89,0.0,3.89,4.034,0.0,0.0,4.034,-1.559,,2.475,0.0,,,2.475,0.0,2.475,0.0,,2.475,2.475,,25.683839,0.097506,0.097506,,25.683839,0.097506,0.097506,0.097506,
09/30/1990,9.635,9.443,16.393,15.911,0.482,-6.95,0.192,0.0,,,,,0.192,-0.835,8.8,-4.249,0.0,4.249,4.551,0.0,0.0,4.551,-1.961,,2.59,0.0,,,2.59,0.0,2.59,0.0,,2.59,2.59,,25.666201,0.102041,0.102041,,25.666201,0.102041,0.102041,0.102041,
12/31/1990,10.675001,10.451001,18.019,17.513,0.506,-7.568,0.224,0.0,,,,,0.224,-1.34,9.335001,-4.662,0.0,4.662,4.673,0.0,0.0,4.673,-1.913,,2.76,0.0,,,2.76,0.0,2.759999,0.0,,2.759999,2.759999,,25.895521,0.106576,0.106576,,25.895521,0.106576,0.106576,0.106576,
03/31/1991,10.47,10.296,17.837,17.302,0.535,-7.541,0.174,0.0,,,,,0.174,-0.632,9.838,-4.998,0.0,4.998,4.84,0.0,0.0,4.84,-1.99,,2.85,0.0,,,2.85,0.0,2.85,0.0,,2.85,2.85,,25.886699,0.111111,0.111111,,25.886699,0.111111,0.111111,0.111111,
06/30/1991,11.146,10.935,18.374001,17.419001,0.955,-7.439,0.211,0.0,,,,,0.211,-0.757,10.389,-5.359,0.0,5.359,5.03,0.0,0.0,5.03,-2.155,,2.875,0.0,,,2.875,0.0,2.875,0.0,,2.875,2.875,,26.3592,0.109524,0.109524,,26.3592,0.109524,0.109524,0.109524,
09/30/1991,12.834,11.991,19.677999,17.809999,1.868,-7.687,0.843,0.0,,,,,0.843,-1.285,11.549,-5.858,0.0,5.858,5.691,0.0,0.0,5.691,-2.475,,3.216,0.0,,,3.216,0.0,3.216,0.0,,3.216,3.216,,31.046401,0.104762,0.104762,,31.046401,0.104762,0.104762,0.104762,
12/31/1991,13.292,12.9,19.983,17.559,2.424,-7.083,0.392,0.0,,,,0.606,-0.214,-1.409,11.883,-6.215,0.0,6.215,5.668,0.0,0.0,5.668,-2.355,,3.313,0.0,,,3.313,0.0,3.312999,0.0,,3.312999,3.312999,,32.390398,0.102381,0.102381,,32.390398,0.102381,0.102381,0.102381,
03/31/1992,14.252999,13.604999,19.325999,16.809999,2.516,-5.721,0.648,0.0,,,,0.0,0.648,-1.545,12.707999,-7.026,0.0,7.026,5.682,0.0,0.0,5.682,-2.272,,3.41,0.0,,,3.41,0.0,3.41,0.0,,3.41,3.41,,32.441088,0.104762,0.104762,,32.441088,0.104762,0.104762,0.104762,
06/30/1992,14.439,13.645,18.494999,16.000999,2.494,-4.85,0.794,0.0,,,,0.0,0.794,-2.252,12.186999,-6.386,0.0,6.386,5.801,0.0,0.0,5.801,-2.348,,3.453,0.0,,,3.453,0.0,3.453,0.0,,3.453,3.453,,32.499996,0.1075,0.1075,,32.499996,0.1075,0.1075,0.1075,
09/30/1992,13.957,13.51,17.981,15.717,2.264,-4.471,0.447,0.0,,,,0.0,0.447,-23.66,-9.703,-6.071,0.0,6.071,-15.774,0.0,0.0,-15.774,6.335,,-9.439,0.0,,,-9.439,0.0,-9.438999,0.0,,-9.438999,-9.438999,,31.408001,-0.3,-0.3,,31.408001,-0.3,-0.3,-0.3,
12/31/1992,15.46,14.124,18.330999,14.216,4.115,-4.207,1.336,0.0,,,,1.199,0.137,-7.925,7.534999,-6.935,0.0,6.935,0.6,0.0,0.0,0.6,-0.236,,0.364,0.0,,,0.364,0.0,0.364,0.0,,0.364,0.364,,29.120001,0.0125,0.0125,,29.120001,0.0125,0.0125,0.0125,
03/31/1993,17.111,12.805,16.496,14.498,1.998,-3.691,4.306,0.0,,,,0.569,3.737,-3.385,13.726,-12.054,0.0,12.054,1.672,0.0,0.0,1.672,-0.67,,1.002,0.0,,,1.002,0.0,1.002,0.0,,1.002,1.002,,32.831108,0.03,0.03,,32.831108,0.03,0.03,0.03,
06/30/1993,14.144,13.272,16.561,14.707,1.854,-3.289,0.872,0.031,,,,0.649,0.192,-2.997,11.147,-10.978,0.0,10.978,0.169,0.0,0.0,0.169,-0.045,,0.124,0.0,,,0.124,0.0,0.124,0.0,,0.124,0.124,,32.623894,0.005,0.005,,32.623894,0.005,0.005,0.005,
09/30/1993,14.883001,12.083001,15.328,13.468,1.86,-3.245,2.8,0.04,,,,0.939,1.821,-3.263,11.620001,-11.085,0.0,11.085,0.535,0.0,0.0,0.535,-0.233,,0.302,0.0,,,0.302,0.0,0.302,0.0,,0.302,0.302,,32.956001,0.01,0.01,,32.956001,0.01,0.01,0.01,
12/31/1993,13.595,12.296,15.736001,13.704,2.032,-3.44,1.299,-0.071,,,,0.675,0.695,-0.057,13.538,-13.247,0.0,13.247,0.291,0.0,0.0,0.291,-0.118,,0.173,0.0,,,0.173,0.0,0.173,0.0,,0.173,0.173,,33.119999,0.005,0.005,,33.119999,0.005,0.005,0.005,
03/31/1994,15.729,13.733,16.955,13.901,3.054,-3.222,1.996,0.0,,,,0.595,1.401,-0.637,15.092,-12.045,0.0,12.045,3.047,0.0,0.0,3.047,-1.313,,1.734,0.0,,,1.734,0.0,1.734,0.0,,1.734,1.734,,33.776001,0.0525,0.0525,,33.776001,0.0525,0.0525,0.0525,
06/30/1994,15.386,14.304,17.513,14.257,3.256,-3.209,1.082,-0.897,,,,0.815,1.164,-1.055,14.331,-10.386,0.0,10.386,3.945,0.0,0.0,3.945,-1.704,,2.241,0.0,,,2.241,0.0,2.241,0.0,,2.241,2.241,,34.091999,0.065,0.065,,34.091999,0.065,0.065,0.065,
09/30/1994,15.983999,15.173999,19.056999,16.466999,2.59,-3.883,0.81,-0.396,,,,1.063,0.143,-0.49,15.493999,-11.789,0.0,11.789,3.705,0.0,0.0,3.705,-1.598,,2.107,0.0,,,2.107,0.0,2.107,0.0,,2.107,2.107,,34.700001,0.06,0.06,,34.700001,0.06,0.06,0.06,
12/31/1994,18.083,17.049,21.527,19.084,2.443,-4.478,1.034,-1.128,,,,1.463,0.699,-0.905,17.178,-11.379,0.0,11.379,5.799,0.0,0.0,5.799,-2.815,,2.984,0.0,,,2.984,0.0,2.984,0.0,,2.984,2.984,,34.664001,0.085,0.085,,34.664001,0.085,0.085,0.085,
03/31/1995,19.141999,18.164999,24.007999,21.653999,2.354,-5.843,0.977,-0.422,,,,1.056,0.343,-1.355,17.786999,-12.068,0.0,12.068,5.719,0.0,0.0,5.719,-2.439,,3.28,0.0,,,3.28,0.0,3.28,0.0,,3.28,3.28,,35.348,0.0925,0.0925,,35.348,0.0925,0.0925,0.0925,
06/30/1995,20.848001,18.367001,24.303001,21.936001,2.367,-5.936,2.481,-0.348,,,,1.089,1.74,-1.406,19.442001,-12.416,0.0,12.416,7.026,0.0,0.0,7.026,-3.046,,3.98,0.0,,,3.98,0.0,3.98,0.0,,3.98,3.98,,36.132,0.11,0.11,,36.132,0.11,0.11,0.11,
