Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/20/1999,63,-3,108,13,,-1.0,14,-55,-17,-15,-23,,-183,-82,0,,,-82,,,0.0,0.0,0.0,,,,,-101,98,0,-45,,,,0,0,0,143,,-22,0.0,2.0,
06/12/1999,86,20,115,49,,-1.0,50,-98,-165,-29,96,,-171,-141,9,,,-150,,,0.0,0.0,0.0,,,,,-30,128,0,-102,,,,2208,2208,0,-1978,,43,0.0,0.0,
09/04/1999,266,92,119,36,,-1.0,37,19,-76,33,62,,-135,-127,12,,,-139,,,0.0,0.0,0.0,,,,,-8,-24,-3,-20,,,,0,0,0,-1,,107,29.0,100.0,
12/25/1999,303,9,163,-16,,-24.0,8,147,228,14,-95,,-244,-188,1,,,-189,,,0.0,0.0,0.0,,,,,-56,-33,-3,-21,,,,-90,0,-90,81,,26,82.0,6.0,
03/18/2000,2,17,106,22,,-11.0,33,-143,-8,-7,-128,,-89,-85,0,,,-85,,,0.0,0.0,0.0,,,,,-4,-22,-3,11,,,,-29,0,-29,-1,,-109,,,
06/10/2000,246,85,108,42,,-3.0,45,11,-169,-42,222,,-141,-139,0,,,-139,,,0.0,0.0,0.0,,,,,-2,-46,-3,-12,,,,-29,0,-29,-2,,59,,,
09/02/2000,300,123,109,51,,4.0,47,17,-31,26,22,,-116,-114,4,,,-118,,,0.0,0.0,0.0,,,,,-2,-39,-3,4,,,,-37,0,-37,-3,,145,,,
12/30/2000,283,4,148,61,,,61,70,221,34,-185,,-238,-168,5,,,-173,,,0.0,0.0,0.0,,,,,-70,-12,-3,0,,,,-8,0,-8,-1,,33,,,
03/24/2001,29,26,111,41,,1.0,40,-149,2,-33,-118,,-121,-114,0,,,-114,,,0.0,0.0,0.0,,,,,-7,-53,-3,9,,,,-54,0,-54,-5,,-145,,,
06/16/2001,150,116,118,38,,-8.0,46,-122,-224,-54,156,,-214,-141,0,,,-141,,,0.0,0.0,0.0,,,,,-73,82,-3,140,,,,-56,7,-63,1,,18,,,
09/08/2001,358,150,120,71,,24.0,47,17,-52,29,40,,-193,-138,4,,,-142,,,0.0,0.0,0.0,,,,,-55,-133,-3,-82,,,,-48,4,-52,0,,32,,,
12/29/2001,468,13,165,55,,6.0,49,235,246,8,-19,,-302,-194,2,,,-196,,,0.0,0.0,0.0,,,,,-108,-112,-3,-17,,,,-73,7,-80,-19,,54,,,
03/23/2002,94,54,93,67,,11.0,56,-120,-21,-9,-90,,-139,-109,1,,,-110,,,0.0,0.0,0.0,,,,,-30,-19,-3,15,,,,-31,3,-34,0,,-64,,,
06/15/2002,202,139,99,82,,25.0,57,-118,-214,-49,145,,-201,-183,6,,,-189,,,0.0,0.0,0.0,,,,,-18,-12,-3,-59,,,,48,67,-19,2,,-11,,,
09/07/2002,355,178,104,101,,46.0,55,-28,-46,23,-5,,-171,-141,0,,,-141,,,0.0,0.0,0.0,,,,,-30,-99,-2,2,,,,-98,14,-112,-1,,85,,,
12/28/2002,363,57,155,-92,,49.0,-141,243,262,48,-67,,-1223,-184,0,,,-184,,,0.0,0.0,0.0,,,,,-1039,795,-3,875,,,,-57,9,-66,-20,,-65,,,
03/22/2003,67,33,119,71,,4.0,67,-156,51,-24,-183,,-193,-111,1,,,-112,,,0.0,0.0,0.0,,,,,-82,18,-3,120,,,,-98,7,-105,-1,,-108,-19.0,76.0,
06/14/2003,148,131,129,95,,30.0,65,-207,-307,-44,144,,-170,-169,1,,,-170,,,0.0,0.0,0.0,,,,,-1,101,-3,209,,,,-109,14,-123,4,,79,58.0,44.0,
09/06/2003,417,183,138,79,,22.0,57,17,-68,16,69,,-157,-143,3,,,-146,,,0.0,0.0,0.0,,,,,-14,-197,-2,-65,,,,-128,7,-135,-2,,63,26.0,66.0,
12/27/2003,452,69,182,-18,,69.0,-87,219,304,56,-141,,-214,-211,5,,,-216,,,0.0,0.0,0.0,,,,,-3,741,-3,855,,,,-113,7,-120,2,,979,50.0,57.0,
03/20/2004,111,50,127,43,,11.0,32,-109,-3,-67,-39,,-101,-101,1,,,-102,,,0.0,0.0,0.0,,,,,0,-976,-3,-898,,,,-73,13,-86,-2,,-966,16.0,72.0,
06/12/2004,202,142,137,39,,20.0,19,-116,-239,-59,182,,-171,-164,4,,,-168,,,0.0,0.0,0.0,,,,,-7,-55,-2,107,,,,-160,52,-212,0,,-24,23.0,58.0,
09/04/2004,397,191,139,-190,,7.0,-197,257,-90,35,312,,-153,-152,3,,,-155,,,0.0,0.0,0.0,,,,,-1,-232,-13,-57,,,,-161,33,-194,-1,,12,36.0,54.0,
12/25/2004,541,74,190,312,,-7.0,319,-35,291,53,-379,,-366,-278,14,,,-292,,,0.0,0.0,0.0,,,,,-88,-127,-13,-39,,,,-70,20,-90,-5,,48,97.0,52.0,
03/19/2005,-10,39,133,33,,4.0,29,-215,-3,-48,-164,,-93,-92,1,,,-93,,,0.0,0.0,0.0,,,,,-1,48,-13,166,,,,-105,13,-118,0,,-55,14.0,66.0,
06/11/2005,196,148,148,57,,1.0,56,-157,-285,-44,172,,-161,-167,11,,,-178,,,0.0,0.0,0.0,,,,,6,-77,-12,43,,,,-109,17,-126,1,,-42,58.0,56.0,
09/03/2005,539,205,149,50,,-10.0,60,135,-93,8,220,,-170,-165,8,,,-173,,,0.0,0.0,0.0,,,,,-5,-310,-19,-244,,,,-45,51,-96,-2,,59,33.0,65.0,
12/31/2005,494,74,200,-77,,-60.0,-17,297,388,55,-146,,-418,-262,9,,,-271,,,0.0,0.0,0.0,,,,,-156,159,-20,309,,,,-122,28,-150,-8,,235,130.0,59.0,
03/25/2006,81,34,139,41,,-17.0,58,-133,-5,-95,-33,,-168,-172,3,,,-175,,,0.0,0.0,0.0,,,,,4,-79,-19,45,,,,-107,18,-125,2,,-166,17.0,76.0,
06/17/2006,269,182,291,103,,-28.0,131,-307,-350,-190,233,,-351,-355,4,,,-359,,,,,,,,,,4,305,-38,510,,,,-162,76,-238,-5,,223,78.0,132.0,
09/09/2006,705,389,443,129,,-68.0,197,-256,-532,-162,438,,-544,-519,6,,,-525,,,,,,,,,,-25,199,-64,415,,,,-150,159,-309,-2,,360,80.0,208.0,
12/30/2006,523,133,206,18,,7.0,11,166,412,105,-351,,-187,-188,12,,,-200,,,0.0,0.0,0.0,,,,,1,-569,-26,-311,,,,-216,28,-244,-16,,-233,123.0,81.0,
