Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Market Cap (Listed Shares),Listed Shares Outstanding,Source: Bloomberg
12/31/1982,2.041667,75.0,1.166667,2.270833,1.15625,,,,,,
03/31/1983,1.989583,-2.55102,2.041667,2.239583,1.645833,,,,,,
06/30/1983,2.083333,4.712042,1.958333,2.510417,1.927083,,,,,,
09/30/1983,2.291667,10.0,2.104167,2.322917,1.645833,,,,,,
12/31/1983,1.916667,-16.363636,2.239583,2.333333,1.802083,,,,,,
03/31/1984,1.333333,-30.434783,1.895833,2.104167,1.260417,,,,,,
06/30/1984,1.052083,-21.09375,1.34375,1.354167,0.947917,,,,,,
09/30/1984,1.21875,15.841584,1.052083,1.34375,0.90625,,,,,,
12/31/1984,1.28125,5.128205,1.208333,1.46875,1.166667,,,,,,
03/31/1985,1.364583,6.504065,1.28125,1.614583,1.166667,,,,,,
06/30/1985,1.729167,26.717557,1.364583,1.78125,1.229167,,,,,,
09/30/1985,1.5,-13.253012,1.729167,1.84375,1.489583,,,,,,
12/31/1985,2.15625,43.75,1.520833,2.46875,1.479167,,,,,,
03/31/1986,2.885417,33.816425,2.125,2.885417,1.895833,,,,,,
06/30/1986,3.28125,13.718412,2.895833,3.291667,2.458333,,,,,,
09/30/1986,2.635417,-19.68254,3.260417,3.260417,2.4375,,,,,,
12/31/1986,3.395833,28.853755,2.666667,3.5,2.583333,,,,,,
03/31/1987,3.822917,12.576687,3.395833,4.03125,3.3125,,,,,,
06/30/1987,3.239583,-15.258856,3.6875,3.71875,2.895833,,,,,,
09/30/1987,3.479167,7.395498,3.166667,4.0,3.0,,,,,,
12/31/1987,2.541667,-26.946108,3.479167,3.708333,2.083333,,,,,,
03/31/1988,2.677083,5.327869,2.645833,3.072917,2.416667,,,,,,
06/30/1988,3.625,35.40856,2.666667,3.645833,2.65625,,,,,,
09/30/1988,4.020833,10.91954,3.666667,4.177083,3.583333,,,,,,
12/31/1988,4.229167,5.181347,4.010417,4.385417,3.760417,,,,,,
03/31/1989,5.3125,25.615764,4.21875,5.75,4.177083,,,,,,
06/30/1989,7.4375,40.0,5.322917,7.84375,5.3125,,,,,,
09/30/1989,10.5,41.176471,7.458333,10.666667,7.447917,,,,,,
12/31/1989,8.46875,-19.345238,10.520833,11.520833,7.625,,,,,,
03/31/1990,8.59375,1.476015,8.46875,9.46875,7.125,8268.218708,,,,,
06/30/1990,10.15625,18.181818,8.5,11.15625,8.0,9781.037807,962.119995,,,,
09/30/1990,7.09375,-30.153846,10.15625,11.125,6.21875,6799.671545,963.05603,,,,
