Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1992,268.605011,117.834,117.834,0.0,45.282001,,,39.448002,,,,,4.823,,,,,,207.386993,49.220001,62.957001,-13.737,0.0,11.998,,,,11.998,61.218001,,6.22,6.22,,,,4.23,,,,,,16.276999,,,16.276999,26.726999,23.416,,,,,0.0,,,,0.0,23.416,50.143,0.0,143.164001,,,0.0,,75.297997,218.461998,0.0,218.461998,268.604998,
09/30/1992,287.06601,129.828995,129.828995,0.0,47.341999,,,39.667999,,,,,6.347,,,,,,223.186005,51.467999,66.333,-14.865,0.0,12.412,,,,12.412,63.879998,,4.212,4.212,,,,21.315001,,,,,,21.014,,,21.014,46.541,6.356,,,,,0.0,,,,0.0,6.356,52.897,0.0,143.059006,,,0.0,,91.110001,234.169006,0.0,234.169006,287.066007,
12/31/1992,299.126007,137.167995,95.367996,41.799999,48.577999,,,40.509998,,,,,10.209,,,,,,236.464996,51.856998,67.695,-15.838,0.0,10.804,,,,10.804,62.660998,,6.463,6.463,,,,20.007999,,,,,,16.110002,,,16.110002,42.581001,6.101,,,,,1.378,,,,1.378,7.479,50.060001,0.0,144.139999,,,0.0,,104.926003,249.066002,0.0,249.066002,299.126003,
03/31/1993,320.178986,152.055,103.555,48.5,52.001999,,,41.832001,,,,,10.56,,,,,,256.449005,48.138,64.342003,-16.204,0.0,15.592,,,,15.592,63.73,,19.629,19.629,,,,20.290001,,,,,,8.529001,,,8.529001,48.448002,6.132,,,,,1.378,,,,1.378,7.51,55.958002,0.0,144.535004,,,-0.727,,120.412997,264.221001,0.0,264.221001,320.179003,
06/30/1993,306.588989,106.917999,51.618,55.299999,53.467999,,,42.402,,,,,11.741,,,,,,214.529007,72.192001,89.584999,-17.393,0.0,19.868,,,,19.868,92.060001,,21.750999,21.750999,,,,24.822001,,,,,,3.827002,,,3.827002,50.400002,6.062,,,,,15.9,,,,15.9,21.961999,72.362001,0.0,130.712997,,,-33.119999,,136.633999,234.226997,0.0,234.226997,306.588998,
09/30/1993,309.589996,104.007999,48.708,55.299999,54.311001,,,43.992001,,,,,11.944,,,,,,214.255005,74.127998,92.836998,-18.709,0.0,21.207001,,,,21.207001,95.334999,,26.047001,26.047001,,,,29.476999,,,,,,4.370001,,,4.370001,59.894001,6.041,,,,,18.725,,,,18.725,24.766,84.660001,0.0,128.337997,,,0.0,,96.592003,224.93,0.0,224.93,309.590002,
12/31/1993,323.178009,103.025997,60.800999,42.224998,58.834999,,,41.783001,,,,,12.501,,,,,,216.145004,76.968002,97.153,-20.184999,0.0,30.065001,,,,30.065001,107.033003,,10.689,10.689,,,,29.490999,,,,,,16.894002,,,16.894002,57.074001,5.978,,,,,13.382,,,,13.382,19.36,76.434001,0.0,134.272995,,,-60.854,,173.325001,246.743996,0.0,246.743996,323.177997,
03/31/1994,351.145996,112.134998,70.625999,41.508999,63.793999,,,43.691002,,,,,9.015,,,,,,228.634995,79.470001,,,0.0,43.041,,,,43.041,122.511002,,22.132,22.132,,,,26.004,,,,,,13.768999,,,13.768999,61.904999,6.022,,,,,9.437,,,,9.437,15.459,77.363999,0.0,141.542999,,,-59.811001,,192.049999,273.781998,0.0,273.781998,351.145997,
06/30/1994,369.677002,115.105,68.943001,46.161999,65.456001,,,46.443001,,,,,11.52,,,,,,238.524002,84.871002,,,0.0,46.282001,,,,46.282001,131.153004,,24.684,24.684,,,,26.082001,,,,,,3.020998,,,3.020998,53.786999,8.92,,,,,13.512,,,,13.512,22.432,76.218999,0.0,141.542999,,,-58.970001,,210.884995,293.457993,0.0,293.457993,369.676991,
09/30/1994,396.17099,123.671003,95.341003,28.33,66.222,,,50.664001,,,,,14.177,,,,,,254.733994,95.196999,,,0.0,46.240002,,,,46.240002,141.437,,28.848,28.848,,,,30.761,,,,,,2.906,,,2.906,62.514999,3.053,,,,,14.7,,,,14.7,17.753,80.267999,0.0,144.167999,,,-58.970001,,230.705002,315.903,0.0,315.903,396.170999,
