Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,27.563,55.306999,17.539,87.254997,187.664001,,,,,
06/30/1990,,19.058001,50.339001,3.758,-138.104996,-64.949997,,,,,
09/30/1990,,-0.288,49.868999,29.908001,-122.653999,-43.165001,,,,,
12/31/1990,,-5.165,52.932999,-8.824,105.521004,144.464996,,,144.464996,,
03/31/1991,,25.823999,55.214001,-18.971001,10.924,72.990997,,,,,
06/30/1991,,-6.682,55.457001,-26.304001,-39.731998,-17.261,,,,,
09/30/1991,,-47.081001,56.812,27.922001,31.181,68.834,,,,,
12/31/1991,,-139.473999,59.583,163.945999,46.32,130.375,,,130.375,,
03/31/1992,,-38.841999,56.981998,-17.743,-27.83,-27.433001,,,,,
06/30/1992,,-39.370998,51.174999,136.548996,-156.367004,-8.014,,,,,
09/30/1992,,6.751,51.610001,-121.574997,17.93,-45.284,,,,,
12/31/1992,,22.118,50.943001,8.497,28.417,109.974998,,,109.974998,,
03/31/1993,,23.120001,51.272999,-41.026001,-14.919,18.448,,,,,
06/30/1993,,7.878,51.421001,14.714,20.128,94.140999,,,,,
09/30/1993,,-11.593,51.424,-48.691002,89.500999,80.640999,,,,,
12/31/1993,,-23.341,51.379002,105.496002,-50.521999,83.012001,,,83.012001,,
03/31/1994,,29.509001,53.078999,-13.358,-15.637,53.592999,,,,,
06/30/1994,,8.177,53.414001,3.012,-57.744999,6.858,,,,,
09/30/1994,,1.141,52.068001,0.791,-58.647999,-4.648,,,,,
12/31/1994,,-32.944,52.570999,76.758003,-25.664,70.721001,,,,,
03/31/1995,,4.6,54.314999,48.634998,-165.300995,-57.750999,,,,,
