Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,453.622009,215.552994,,,,238.069,,,,0.0,0.0,-213.406006,63.834999,62.042999,1.792,149.570999,,,240.216003,-142.621994,23.153,41.984001,18.646,58.839001,97.594002,-27.359001,,,0.257,,28.888,28.724001,-0.381,0.545,-1.272,70.235001,-24.546,45.688999,0.0,,,45.689002,0.0,45.688999,-3.189,,42.499999,42.499999,,138.343994,0.305,0.305,0.305,138.343994,0.305,0.305,0.305,
06/30/1990,325.93399,216.792999,,,,109.140999,,,,0.0,0.0,-120.071999,61.366999,60.612999,0.754,58.705002,,,205.861992,-145.171005,23.042999,42.518002,16.711,62.898998,60.691002,-27.17,,,0.173,,28.802,28.552999,-0.26,0.509,-1.459,33.521002,-12.406,21.115,0.0,,,21.115002,0.0,21.115,-3.204,,17.911,17.911,,138.110001,0.13,0.13,0.13,138.110001,0.13,0.13,0.13,
09/30/1990,317.817993,241.016006,,,,76.802002,,,,0.0,0.0,-102.691002,65.218003,65.091003,0.127,37.473,,,215.126991,-141.798004,19.417,43.07,14.303,65.008003,73.329002,-28.153,,,0.042,,28.98,27.785999,-0.061,1.255,-0.785,45.176003,-17.233999,27.941999,0.0,,,27.942004,0.0,27.941999,-3.183,,24.758999,24.758999,,138.018005,0.18,0.18,0.18,138.018005,0.18,0.18,0.18,
12/31/1990,423.621002,222.473999,,,,201.147003,,,,0.0,0.0,-182.641006,63.848999,63.146999,0.702,118.792,,,240.979996,-146.259995,24.885,43.123001,12.354,65.898003,94.720001,-27.126999,,,-0.235,,28.820999,27.346001,-0.059,1.534,-1.929,67.593002,-24.371,43.222,0.0,,,43.222002,0.0,43.222,-3.304,,39.918,39.918,,138.087997,0.285,0.285,0.285,138.087997,0.285,0.285,0.285,
03/31/1991,462.299988,217.397003,,,,244.903,,,,0.0,0.0,-205.841995,60.737,61.527,-0.79,145.104996,,,256.457993,-153.348999,27.195999,43.428001,18.301001,64.424004,103.109001,-27.184999,,,0.108,,28.327999,26.948999,-0.14,1.519,-1.035,75.924002,-26.844999,49.078999,0.0,,,49.079003,0.0,49.078999,-3.734,,45.344999,45.344999,,135.684006,0.33,0.33,0.33,135.684006,0.33,0.33,0.33,
06/30/1991,320.410004,234.376007,,,,86.033997,,,,0.0,0.0,-108.705002,63.953,59.18,4.773,44.751999,,,211.705002,-149.410995,21.895,43.834,16.047001,67.635002,62.293999,-26.305999,,,0.176,,26.830999,26.672001,-0.226,0.385,-0.349,35.987999,-12.749,23.239,0.0,,,23.239,0.0,23.239,-3.715,,19.524,19.524,,133.384003,0.145,0.145,0.145,133.384003,0.145,0.145,0.145,
09/30/1991,323.44101,252.983002,,,,70.458,,,,0.0,0.0,-101.241997,66.827998,65.850998,0.977,34.414001,,,222.199013,-148.253006,19.962999,44.243,15.707,68.339996,73.945999,-28.993,,,0.195,,28.444,26.086,-0.254,2.612,0.744,44.952999,-16.655001,28.298,0.0,,,28.297998,0.0,28.298,-3.745,,24.553,24.553,,133.802002,0.185,0.185,0.185,133.802002,0.185,0.185,0.185,
12/31/1991,429.01001,228.485001,,,,200.524994,,,,0.0,0.0,-179.996002,65.060999,61.869999,3.191,114.934998,,,249.014008,-155.244995,24.454,44.216,15.676,70.899002,93.768997,-26.796,,,-0.484,,25.93,24.077999,-0.726,2.578,0.382,66.972997,-22.514999,44.458,0.0,,,44.457998,0.0,44.458,-3.555,,40.903,40.903,,133.410004,0.31,0.31,0.31,133.410004,0.31,0.31,0.31,
03/31/1992,474.016998,224.686996,,,,249.330002,,,,0.0,0.0,-208.710999,62.567999,59.049999,3.518,146.143005,,,265.306,-161.563995,26.968,44.860001,19.18,70.556,103.741997,-25.006001,,,0.002,,25.367001,23.780001,-0.33,1.917,-0.359,78.735996,-27.650999,51.084999,0.0,,,51.084997,0.0,51.084999,-3.604,,47.480999,47.480999,,133.761993,0.35,0.35,0.35,133.761993,0.35,0.35,0.35,
06/30/1992,329.26001,225.251007,,,,104.009003,,,,0.0,0.0,-117.650002,63.781999,60.279999,3.502,53.868,,,211.610008,-154.699005,21.511,45.245998,16.504999,71.436996,56.910999,-24.069999,,,0.01,,25.004999,23.389999,-0.368,1.983,-0.925,32.841,-11.478,21.363001,0.0,,,21.363,0.0,21.363001,-3.559,,17.804001,17.804001,,133.759995,0.13,0.13,0.13,133.759995,0.13,0.13,0.13,
