Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1.122703,,,-0.839794,,,0.282909,,-0.327994,,,,,-0.045085,0.091112,,0.093503,,0.0,,-0.184615,0.046027,0.0,,,0.046027,0.0,,,0.046027,0.0,0.046027,-0.028372,,0.017655,0.017655,,4.90153,0.0036,,,4.90153,0.0036,,,
06/30/1990,1.502397,,,-1.07186,,,0.430537,,-0.40176,,,,,0.028777,0.022841,,0.091187,,0.0,,-0.114028,0.051618,0.0,,,0.051618,0.0,,,0.051618,-0.009065,0.042553,-0.027878,,0.014675,0.014675,,5.047669,0.00291,,,5.047669,0.00291,,,
09/30/1990,1.775329,,,-1.256261,,,0.519068,,-0.479514,,,,,0.039554,0.029827,,0.111144,,0.0,,-0.140971,0.069381,0.0,,,0.069381,0.0,,,0.069381,-0.018658,0.050723,-0.028126,,0.022597,0.022597,,5.523998,0.00409,,,5.523998,0.00409,,,
12/31/1990,2.14841,,,-1.417516,,,0.730894,,-0.456824,,,,,0.27407,-0.052986,,0.122008,,0.0,,-0.069022,0.221084,-0.035,,,0.186084,0.0,,,0.186084,-0.039922,0.146162,-0.185813,,-0.039651,-0.039651,,5.402287,-0.00766,,,5.402287,-0.00766,,,
03/31/1991,2.217181,,,-1.60754,,,0.609641,,-0.515745,,,,,0.093896,0.009569,,0.104005,,0.0,,-0.113574,0.103465,-0.0242,,,0.079265,0.0,,,0.079265,0.02385,0.103115,-0.095325,,0.00779,0.00779,,5.961451,0.00131,,,5.961451,0.00131,,,
06/30/1991,2.150372,,,-1.584327,,,0.566045,,-0.609067,,,,,-0.043022,0.101492,,0.123777,,0.0,,-0.225269,0.05847,-0.028,,,0.03047,0.0,,,0.03047,0.051236,0.081706,-0.100167,,-0.018461,-0.018461,,6.143364,0.0,,,6.143364,0.0,,,
09/30/1991,2.515454,,,-1.813741,,,0.701713,,-0.597905,,,,,0.103808,0.047944,,0.182192,,0.0,,-0.230136,0.151752,-0.033825,,,0.117927,0.0,,,0.117927,0.0,0.117927,-0.08595,,0.031977,0.031977,,6.326171,0.0,,,6.326171,0.0,,,
12/31/1991,2.745617,,,-2.130766,,,0.614851,,-0.485253,,,,,0.129598,0.033543,,0.26165,,0.0,,-0.295193,0.163141,-0.038975,,,0.124166,0.0,,,0.124166,1e-06,0.124167,-0.088314,,0.035853,0.035853,,6.376734,0.0077,,,6.376734,0.0077,,,
03/31/1992,2.855595,,,-2.143544,,,0.712051,,-0.459287,,,,,0.252764,-0.121542,,0.240938,,0.0,,-0.119396,0.131222,-0.0361,,,0.095122,0.0,,,0.095122,0.011793,0.106915,-0.085146,,0.021769,0.021769,,6.887689,0.0,0.0,,6.887689,0.0,0.0,0.0,
06/30/1992,3.049893,,,-2.282454,,,0.767439,,-0.456185,,,,,0.311254,-0.078946,,0.257793,,0.0,,-0.178847,0.232308,-0.0505,,,0.181808,0.0,,,0.181808,0.003142,0.18495,-0.075106,,0.109844,0.109844,,7.154792,0.0,0.0,,7.154792,0.0,0.0,0.0,
