Date,P/Book,Average,High,Low,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/31/2003,1.726582,2307.583333,2462.0,792.0,,,,,0.27367,,,31.0,792.0,
03/31/2004,1.501706,697.958677,883.3,414.92,2.135922,,,,0.214513,,,20.0,606.0,
06/30/2004,1.825532,493.541,617.2,323.3,2.933333,,,,0.227833,,,15.6,617.2,
09/30/2004,3.950435,611.220281,687.6,534.26,12.532414,,,,0.246654,,,16.52,649.44,
12/31/2004,8.164816,624.333781,790.102,567.38,11.430743,0.160475,,,0.318084,,,18.141,791.07599,
03/31/2005,,782.294016,932.42,709.82196,,0.145989,,,0.341521,,,15.54,801.550439,
06/30/2005,,764.219676,835.691011,704.891017,,0.170603,,,0.35477,,,17.07,786.879617,
09/30/2005,,788.51734,856.210851,519.781108,,0.157832,,,0.247924,,,14.71,515.433381,
12/31/2005,,528.893724,845.814962,475.5737,,0.182921,,,0.432452,,,16.03,851.064849,
03/31/2006,,897.531643,1180.328354,838.024243,,0.316109,,,0.64581,,,26.5,1225.747502,
06/30/2006,,1189.801686,1337.541309,1047.426623,,0.228259,,,0.58285,,,17.77,1084.101884,
09/30/2006,,1033.957402,1230.718316,966.606226,,0.295784,,,0.52432,,,20.5,967.369844,
12/31/2006,,1124.042565,1492.561887,949.433975,,0.395184,,,0.799442,,,24.55,1495.756744,
03/31/2007,,1581.72335,1947.051962,1436.384074,,0.491204,,,1.017691,,,27.5,1952.949402,
06/30/2007,,1835.182099,2044.654806,1624.691531,,0.345646,,,0.947135,,,18.88,1899.005872,
09/30/2007,,1921.70063,2176.78464,1832.895528,,0.375438,,,1.023008,121.226464,,21.08,2182.076344,
12/31/2007,,2057.524888,2314.553647,1860.203951,,0.377005,,,0.975618,19.872726,,22.05,2205.872568,
03/31/2008,,2080.985868,2286.188977,1831.720212,,0.269256,12.64708,,0.788499,10.642515,,15.16,1883.725209,
06/30/2008,,2026.795769,2159.702292,1876.087644,,0.336973,5.511113,,0.833942,8.53082,,17.94,2081.520172,
09/30/2008,,2026.647553,2146.860636,1849.960589,,0.298192,3.308655,31.2568,0.72099,7.414662,,15.16,1853.665512,
12/31/2008,,1456.817177,1821.366928,1306.939092,,0.169638,2.178584,42.267972,0.514878,5.1867,,7.94,1338.168717,
03/31/2009,,1266.57355,1354.885334,1175.582571,,0.152326,2.125663,,0.517511,4.644975,,7.0,1333.107842,
06/30/2009,,1413.033224,1549.529794,1312.80241,,0.205028,2.442677,23.023986,0.606667,4.828763,119.23331,9.18,1550.03303,
09/30/2009,,1682.271815,1924.068224,1478.635986,,0.328299,3.889714,21.153927,0.736311,5.460793,64.211395,14.3,1862.130457,
12/31/2009,,1791.995737,1929.27091,1681.739072,,0.33314,3.342028,10.698588,0.711803,5.641039,902.566196,14.25,1805.132392,
03/31/2010,,1819.413634,2008.590543,1714.563766,,0.353739,4.157405,21.660299,0.781056,6.265479,,15.15,2011.218863,
06/30/2010,,1937.899825,2144.123792,1728.719916,,0.247622,3.015445,16.230107,0.685499,5.492535,,10.57,1763.103687,
09/30/2010,,1842.922215,1948.311041,1742.216308,,0.30088,4.997433,,0.754419,5.734922,97.206928,12.85,1944.138561,
12/31/2010,,1981.813007,2067.512942,1872.630281,,0.2992,4.272623,53.108545,0.717758,4.993681,29.724292,12.92,1872.6304,
03/31/2011,,1951.508584,2076.775576,1874.445212,,0.321408,5.353665,,0.794059,5.464628,26.692607,13.92,2082.023352,
06/30/2011,,2980.416839,3617.962127,2105.298889,,0.868297,13.142964,134.259392,1.348878,9.452709,44.696143,38.38,3620.38761,
