Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2013,35082.904,552.837,0.1,0.1,4006.258,1382.138,2624.12,0.0,9087.33,6506.713,2580.617,18319.057,1787.705,16531.352,0.0,981.643,28388.03,-136.1,28251.93,153.365,153.365,258.585,106.549,152.036,478.616,0,1381.213,,7344.677,19508.437,16684.687,2823.75,0,26853.114,810.0,,,,,810.0,3503.143,,,,3503.143,,,,,398.741,31564.998,499.525,2036.873,1.315,2035.558,0,953.284,28.224,3517.906,0.0,3517.906,35082.904,
06/30/2013,37312.741,591.738,0.163,0.163,4027.535,1233.83,2793.705,0.0,10116.837,7097.341,3019.496,19506.695,1885.392,17621.303,0.0,872.377,30495.909,-148.307,30347.602,156.446,156.446,251.942,106.549,145.393,534.554,0,1402.761,,7950.212,20278.429,16819.961,3458.468,0,28228.641,370.0,,,,,370.0,4399.126,,,,4399.126,,,,,527.851,33525.618,689.525,2037.925,1.318,2036.607,0,1041.417,18.256,3787.123,0.0,3787.123,37312.741,
09/30/2013,40950.82,1934.727,19.373,19.373,4187.922,1221.802,2966.12,0.0,10985.972,7783.874,3202.098,21036.699,1959.032,18880.349,197.318,451.642,32474.313,-145.912,32328.401,162.839,162.839,245.512,106.549,138.963,626.582,0,1445.464,,8554.095,22736.274,18703.549,4032.725,0,31290.369,,,,,,,5196.999,,,,5196.999,,,,,584.655,37072.023,689.525,2044.82,1.322,2043.498,0,1127.077,17.375,3878.797,0.0,3878.797,40950.82,
12/31/2013,42112.763,807.885,0.1,0.1,4823.74,1571.206,3252.534,0.0,11604.162,8022.108,3582.054,21632.661,1961.476,19869.491,-198.306,822.484,34059.307,-153.005,33906.302,166.544,166.544,239.294,106.549,132.745,688.87,0,1480.028,,8859.276,23223.44,19317.547,3905.893,0,32082.716,,,0.0,0.0,,0.0,5193.132,0.0,0.0,,5193.132,0.0,0.0,0.0,70.813,606.055,37952.716,889.525,2043.355,1.328,2042.027,0,1213.896,13.271,4160.047,0.0,4160.047,42112.763,
03/31/2014,44345.897,1762.222,28.889,28.889,4977.278,1639.76,3337.518,0.0,11993.278,8400.136,3593.142,21768.36,1979.494,19967.016,-178.15,1339.886,35101.524,-159.641,34941.883,164.507,164.507,233.29,106.549,126.741,742.682,0,1495.146,,9367.439,24200.499,20586.144,3614.355,0,33567.938,,,,,,,5691.743,,,,5691.743,,,,,592.181,39851.862,889.525,2291.174,1.375,2289.799,0,1298.667,14.669,4494.035,0.0,4494.035,44345.897,
06/30/2014,46229.343,1751.017,0.1,0.1,5372.305,1991.826,3380.479,0.0,12810.055,8659.98,4150.075,22448.026,2055.352,20545.9,-153.226,1254.148,36512.229,-181.311,36330.918,162.742,162.742,227.498,106.549,120.949,756.655,0,1628.108,,11285.2,23749.279,20159.435,3589.844,0,35034.479,,,,,,,5986.586,,,,5986.586,,,,,618.219,41639.284,889.525,2298.027,1.38,2296.647,0,1386.235,16.272,4590.059,0.0,4590.059,46229.343,
09/30/2014,46680.92,1372.728,0.1,0.1,5643.02,1648.013,3995.007,,13423.856,9118.056,4305.8,22166.277,2133.518,20170.945,-138.186,1274.705,36864.838,-195.049,36669.789,162.991,162.991,221.918,106.549,115.369,809.288,0,1801.086,,11949.0,23658.407,19941.1,3717.307,0,35607.407,,,,,,,5712.685,,,,5712.685,,,,,675.153,41995.245,889.525,2307.541,1.382,2306.159,0,1488.846,-0.237,4685.675,0.0,4685.675,46680.92,
12/31/2014,48350.202,817.15,0.1,0.1,6638.064,1393.357,5244.707,,14270.197,9396.617,4873.58,22584.462,2211.621,20494.402,-121.561,1225.158,38079.817,-207.342,37872.475,165.703,165.703,216.55,106.549,110.001,828.64,0,1811.52,,12542.881,24588.048,20821.032,3767.016,0,37130.929,0.0,,0.0,0.0,,0.0,5707.423,0.0,0.0,,5707.423,,,,86.355,647.028,43571.735,889.525,2314.975,1.383,2313.592,0,1570.871,3.096,4778.467,0.0,4778.467,48350.202,
03/31/2015,51066.46,1644.534,0.1,0.1,7493.598,1428.898,6064.7,0.0,14827.139,9767.802,5059.337,23182.194,2121.713,21167.697,-107.216,1061.249,39070.582,-219.216,38851.366,162.051,162.051,211.395,106.549,104.846,844.213,0,1859.203,,14523.454,25415.736,21584.913,3830.823,0,39939.19,,,,,,,5354.376,,,,5354.376,,,,,697.897,45991.463,889.525,2523.58,1.421,2522.159,0,1653.338,8.554,5074.997,0.0,5074.997,51066.46,
06/30/2015,53118.575,1367.879,3.25,3.25,7766.379,1250.005,6516.374,0.0,15819.881,10313.635,5506.246,24480.618,2256.022,21777.063,447.533,828.195,41128.694,-235.868,40892.826,163.758,163.758,206.454,106.549,99.905,880.321,0,1837.708,,16306.078,25581.488,21548.629,4032.859,0,41887.566,100.0,100.0,,,,,5152.877,,,,5152.877,,,,,713.066,47853.509,989.525,2524.663,1.424,2523.239,0,1748.75,2.128,5265.066,0.0,5265.066,53118.575,
09/30/2015,55375.22,1795.78,0.1,0.1,8156.431,1584.142,6572.289,0.0,16440.372,10618.674,5821.698,24881.331,2322.462,22258.869,300.0,1280.336,42602.039,-250.408,42351.631,161.634,161.634,201.723,106.549,95.174,890.43,0,1817.491,,17546.255,26796.689,22532.928,4263.761,0,44342.944,100.0,100.0,,,,,4777.68,,,,4777.68,,,,,770.422,49991.046,989.525,2535.138,1.425,2533.713,0,1846.604,12.907,5384.174,0.0,5384.174,55375.22,
12/31/2015,58981.285,1131.11,0.1,0.1,10451.479,2910.801,7540.678,0.0,17196.834,10964.456,6232.378,25400.298,2370.188,23092.346,-62.236,1535.118,44132.25,-261.058,43871.192,172.008,172.008,309.016,171.616,137.4,1006.836,0,2039.544,,18252.007,29641.458,25054.58,4586.878,0,47893.465,100.0,100.0,0.0,0.0,,0.0,4426.802,0.0,0.0,,4426.802,0.0,0.0,0.0,98.861,756.474,53275.602,989.525,2771.726,1.461,2770.265,0,1949.652,-5.22,5705.683,0.0,5705.683,58981.285,
03/31/2016,62102.51,1946.147,0.1,0.1,11390.67,1809.82,9580.85,0.0,17482.774,11594.924,5887.85,26056.888,2431.527,23674.216,-48.855,1898.837,45438.499,-265.579,45172.92,174.857,174.857,302.356,171.616,130.74,1085.034,0,2030.426,,19693.998,31241.257,26778.997,4462.26,0,50935.255,100.0,100.0,,,,,4226.107,,,,4226.107,,,,,856.423,56117.785,1139.525,2774.718,1.463,2773.255,0,2059.871,10.611,5984.725,0.0,5984.725,62102.51,
06/30/2016,64729.863,1564.057,0.1,0.1,11593.361,1482.765,10110.596,0.0,18708.737,12311.249,6397.488,27285.13,2588.603,24115.915,580.612,2052.65,48046.517,-278.731,47767.786,181.647,181.647,295.97,171.616,124.354,1058.761,0,2268.181,,19586.815,31574.428,27079.427,4495.001,0,51161.243,950.0,100.0,,,,850.0,5474.754,,,,5474.754,,,,,837.653,58423.65,1139.525,2960.665,1.497,2959.168,0,2192.313,13.71,6306.213,0.0,6306.213,64729.863,
09/30/2016,67993.547,1386.967,0.1,0.1,12805.106,1710.571,11094.535,0.0,19905.61,12776.852,7128.758,27472.616,2575.253,24923.746,-26.383,2994.88,50373.106,-296.105,50077.001,190.213,190.213,289.854,171.616,118.238,1071.255,0,2173.051,,20965.249,34096.448,29256.074,4840.374,0,55061.697,200.0,,,,,200.0,5412.065,,,,5412.065,,,,,875.287,61549.049,1139.525,2963.856,1.501,2962.355,0,2322.296,18.821,6444.498,0.0,6444.498,67993.547,
12/31/2016,73277.772,2107.722,0.1,0.1,15157.415,2007.258,13150.157,0.0,20485.346,13598.53,6886.816,28847.399,2622.231,26234.768,-9.6,3082.798,52415.543,-306.398,52109.145,207.592,207.592,315.576,203.177,112.399,234.055,0,3146.167,,22740.303,35862.078,30749.017,5113.061,0,58602.381,100.0,,0.0,0.0,,100.0,6711.308,0.0,0.0,,6711.308,0.0,0.0,0.0,,955.431,66369.12,1139.525,3303.248,1.543,3301.705,0,2459.54,6.339,6908.652,0.0,6908.652,73277.772,
03/31/2017,76504.351,2756.385,0.1,0.1,15971.861,2037.657,13934.204,0.0,20949.282,14052.0,6897.282,30817.9,2641.384,27418.458,758.058,2343.244,54110.426,-314.978,53795.448,236.774,236.774,310.009,203.177,106.832,,0,3433.774,,23622.962,37584.286,32028.133,5556.153,0,61207.248,100.0,,,,,100.0,7100.286,,,,7100.286,,,,,1008.072,69415.606,940.0,3549.018,1.571,3547.447,0,2595.978,3.749,7088.745,0.0,7088.745,76504.351,
06/30/2017,80978.231,2295.125,,,16878.325,2235.923,14642.402,0.0,22755.885,14774.276,7981.609,32597.66,2681.502,29078.735,837.423,2608.878,57962.423,-338.307,57624.116,260.308,260.308,304.716,203.177,101.539,,0,3615.641,,25769.912,37523.794,31493.779,6030.015,0,63293.706,150.0,,,,,150.0,9243.279,,,,9243.279,,,,,1031.163,73718.148,990.0,3526.86,1.577,3525.283,0,2741.041,2.182,7260.083,0.0,7260.083,80978.231,
09/30/2017,84320.096,2681.599,,,17530.833,2312.218,15218.615,0.0,23495.925,15543.59,7952.335,33443.299,2668.604,29799.762,974.933,3249.772,60188.996,-347.765,59841.231,277.809,277.809,294.967,198.447,96.52,,0,3693.657,,25122.856,40313.467,33197.169,7116.298,0,65436.323,450.0,,,,,450.0,9971.293,,,,9971.293,,,,,1034.534,76892.15,990.0,3537.979,1.579,3536.4,0,2899.417,0.55,7427.946,0.0,7427.946,84320.096,
12/31/2017,87780.507,2297.021,,,18576.033,2418.088,16157.945,0.0,24726.53,16431.306,8295.224,35259.119,2735.612,31508.468,1015.039,2942.261,62927.91,-365.932,62561.978,296.197,296.197,290.221,198.447,91.774,237.7,0,3521.357,,26355.331,42563.377,35328.583,7234.794,0,68918.708,100.0,,0.0,0.0,,100.0,9971.807,0.0,0.0,,9971.807,0.0,0.0,0.0,,971.691,79962.206,990.0,3780.53,1.617,3778.913,0,3051.611,-3.84,7818.301,0.0,7818.301,87780.507,
03/31/2018,90223.508,3839.931,,,16541.021,2256.295,14264.992,19.734,26196.53,17204.778,8991.752,35740.651,2575.234,32211.1,954.317,3941.146,65878.327,-378.778,65499.549,299.587,299.587,285.749,198.447,87.302,,0,3757.671,,27496.642,43758.43,34763.108,8995.322,0,71255.072,0.0,,,,,0.0,10172.327,,,,10172.327,,,,,959.571,82386.97,840.0,3799.038,1.619,3797.419,0,3211.804,-14.304,7836.538,0.0,7836.538,90223.508,
06/30/2018,93851.46,3993.226,,,16467.841,2163.773,14284.071,19.997,27567.158,17963.532,9603.626,37929.627,2613.639,34276.54,1039.448,3696.862,69193.647,-397.377,68796.27,312.278,312.278,281.55,198.447,83.103,,0,4000.295,,28428.832,44343.118,34144.562,10198.556,0,72771.95,600.0,,,,,600.0,11322.85,,,,11322.85,,,,,880.687,85575.487,1140.0,3773.949,1.626,3772.323,0,3379.725,-17.701,8275.973,0.0,8275.973,93851.46,
09/30/2018,96094.222,3013.645,,,16314.161,2000.271,14294.769,19.121,28698.786,18316.736,10382.05,39859.087,2543.652,36213.714,1101.721,4044.805,72602.678,-415.825,72186.853,324.052,324.052,277.625,198.447,79.178,,0,3977.886,,29317.754,45441.498,34187.23,11254.268,0,74759.252,100.0,,,,,100.0,11273.377,,,,11273.377,,,,,1294.906,87427.535,1140.0,4001.794,1.648,4000.146,0,3546.298,-21.405,8666.687,0.0,8666.687,96094.222,
12/31/2018,99205.204,2811.159,,,16234.808,1779.116,14436.973,18.719,30256.288,19257.785,10998.503,41603.716,2542.713,37955.252,1105.751,4104.263,75964.267,-439.048,75525.219,332.483,332.483,273.974,198.447,75.527,336.548,0,3691.013,,30033.658,49029.578,37652.063,11377.515,0,79063.236,100.0,,0.0,0.0,,100.0,10373.907,0.0,0.0,,10373.907,0.0,0.0,0.0,,990.284,90527.427,940.0,4025.955,1.649,4024.306,0,3731.205,-19.383,8677.777,0.0,8677.777,99205.204,
03/31/2019,101847.228,3693.396,,,16087.232,1624.97,14442.876,19.386,30430.284,19814.24,10616.044,42772.541,2502.837,39134.534,1135.17,4072.15,77274.975,-453.121,76821.854,983.139,983.139,270.594,198.447,72.147,,0,3991.013,,31362.112,50250.005,37330.786,12919.219,0,81612.117,74.911,,74.911,,74.911,0.0,10287.083,612.641,,612.641,9674.442,,,,,827.133,92801.244,940.0,4205.147,1.674,4203.473,0,3914.294,-13.457,9045.984,0.0,9045.984,101847.228,
06/30/2019,105699.636,2220.073,,,16179.158,1438.061,14721.568,19.529,32328.286,20641.776,11686.51,45582.123,2587.554,41758.981,1235.588,4339.714,82250.123,-473.095,81777.028,1093.471,1093.471,267.49,198.447,69.043,,0,4162.416,,32023.125,51407.958,37445.61,13962.348,0,83431.083,54.631,,54.631,,54.631,0.0,11812.647,737.7,,737.7,11074.947,,,,,1181.632,96479.993,940.0,4187.986,1.682,4186.304,0,4091.636,0.021,9219.643,0.0,9219.643,105699.636,
09/30/2019,111028.735,2181.6,,,17423.563,1401.105,16002.722,19.736,32981.123,21416.26,11564.863,48706.187,2530.74,44882.363,1293.084,4649.193,86336.503,-485.465,85851.038,1134.033,1134.033,264.658,198.447,66.211,,0,4173.843,,32720.317,53000.202,38957.856,14042.346,0,85720.519,802.911,,27.911,,27.911,775.0,12925.621,750.346,,750.346,12175.275,,,,,2148.478,101597.529,940.0,4200.127,1.685,4198.442,0,4281.249,9.83,9431.206,0.0,9431.206,111028.735,
12/31/2019,116263.634,1699.557,,,18449.388,1282.169,17147.633,19.586,33906.776,22259.96,11646.816,51920.482,2501.432,47985.651,1433.399,4992.877,90820.135,-496.104,90324.031,1174.305,1174.305,235.269,171.616,63.653,391.781,0,3989.303,,33124.265,57008.981,43073.921,13935.06,0,90133.246,917.851,,117.851,0.0,117.851,800.0,14169.294,693.69,0.0,693.69,13475.604,0.0,0.0,0.0,,1192.136,106412.527,1145.0,4216.601,1.686,4214.915,0,4484.375,5.131,9851.107,0.0,9851.107,116263.634,
03/31/2020,123914.929,3949.378,,,18793.206,1243.798,17529.833,19.575,36852.246,23157.342,13694.904,55218.788,2703.919,49063.193,3451.676,3568.901,95639.935,-541.906,95098.029,392.953,392.953,232.985,171.616,61.369,,0,5448.378,,36920.635,56771.704,42631.154,14140.55,0,93692.339,0.0,,,,,0.0,18918.503,895.771,,895.771,18022.732,,,,,944.322,113555.164,1145.0,4545.364,1.714,4543.65,0,4652.089,17.312,10359.765,0.0,10359.765,123914.929,
06/30/2020,128303.887,3099.17,,,19105.888,1576.956,17507.828,21.104,26860.218,23681.195,3179.023,56557.14,2419.359,52435.246,1702.535,16911.532,100328.89,-583.997,99744.893,1295.756,1295.756,230.975,171.616,59.359,,0,4827.205,,37586.94,60947.021,48708.542,12238.479,0,98533.961,5.0,,,,,5.0,18116.446,938.241,,938.241,17178.205,,,,,1072.552,117727.959,1145.0,4544.772,1.721,4543.051,0,4858.965,27.191,10575.928,0.0,10575.928,128303.887,
