Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2010,21954.068,2461.276,,,523.868,89.028,434.84,0.0,4838.12,4013.397,824.723,12577.886,1713.864,10864.022,0.0,443.33,17859.336,-4.5,17854.836,98.315,98.315,187.974,24.604,163.37,72.764,0,755.035,,2707.234,16257.529,10113.254,6144.275,0,18964.763,,,,,,,694.554,,,,694.554,,,,,274.012,19933.329,0.0,1869.262,1.241,1868.021,0,66.395,-1.488,1934.169,86.57,2020.739,21954.068,
12/31/2010,22377.633,1528.075,,,1093.004,75.602,953.473,63.929,5346.825,4182.653,1164.172,12915.051,1728.903,11186.148,0.0,339.75,18601.626,-18.809,18582.817,97.051,97.051,181.901,24.604,157.297,79.771,0,815.014,,3056.515,16179.234,10346.407,5832.827,0,19235.749,,,0.0,0.0,,0.0,693.845,0.0,0.0,,693.845,0.0,0.0,0.0,-21.123,244.406,20152.877,0.0,1995.746,1.289,1994.457,0,142.362,0.078,2138.186,86.57,2224.756,22377.633,
03/31/2011,23575.923,2269.977,,,1239.16,107.903,1131.257,0.0,5454.547,4301.03,1153.517,12957.04,1690.998,11266.042,0.0,465.322,18876.909,-25.908,18851.001,101.932,101.932,175.984,24.604,151.38,71.081,0,866.788,,3481.238,16547.288,11003.816,5543.472,0,20028.526,,,,,,,990.767,,,,990.767,,,,,237.742,21257.035,0.0,2000.858,1.289,1999.569,0,231.134,0.326,2232.318,86.57,2318.888,23575.923,
06/30/2011,23797.773,790.767,8.267,8.267,1993.663,563.008,1430.655,0.0,5703.929,4464.658,1239.271,13618.189,1758.732,11859.457,0.0,425.509,19747.627,-38.2,19709.427,106.478,106.478,170.224,24.604,145.62,73.264,0,945.683,,3936.714,16003.134,10977.558,5025.576,0,19939.848,,,,,,,1189.817,,,,1189.817,,,,,267.992,21397.657,0.0,2009.569,1.289,2008.28,0,315.966,-2.679,2322.856,77.26,2400.116,23797.773,
09/30/2011,26778.367,2064.245,4.89,4.89,2268.614,558.832,1709.782,0.0,6165.153,4769.407,1395.746,14326.545,1809.521,12517.024,0.0,451.622,20943.32,-53.304,20890.016,112.562,112.562,164.622,24.604,140.018,,0,1273.418,,5242.61,16527.43,11672.566,4854.864,0,21770.04,,,,,,,2188.277,,,,2188.277,,,,,330.931,24289.248,0.0,2015.313,1.293,2014.02,0,403.759,-7.213,2411.859,77.26,2489.119,26778.367,
12/31/2011,27791.801,630.78,4.89,4.89,2819.478,722.28,2097.198,0.0,6670.341,5053.066,1617.275,15177.538,1860.935,13316.603,0.0,793.596,22641.475,-68.113,22573.362,118.365,118.365,159.178,24.604,134.574,174.374,0,1311.374,,6115.571,16343.688,12335.819,4007.869,0,22459.259,,,0.0,0.0,,0.0,2328.97,0.0,0.0,,2328.97,0.0,0.0,0.0,38.002,370.548,25196.779,0.0,2022.126,1.294,2020.832,0,494.45,1.186,2517.762,77.26,2595.022,27791.801,
03/31/2012,29718.987,1429.286,12.973,12.973,2892.298,682.835,2209.463,0.0,7089.911,5326.394,1763.517,15784.759,1809.929,13974.83,0.0,617.063,23491.733,-82.418,23409.315,123.439,123.439,153.89,24.604,129.286,389.0,0,1308.786,,6275.752,16979.209,13406.648,3572.561,0,23254.961,,,,,,,3175.062,,,,3175.062,,,,,425.491,26855.514,199.525,2020.496,1.302,2019.194,0,583.757,12.895,2816.673,46.8,2863.473,29718.987,
06/30/2012,30987.001,800.818,19.33,19.33,3105.339,782.098,2323.241,0.0,7528.088,5525.97,2002.118,16936.918,1920.06,15016.858,0.0,666.962,25131.968,-97.049,25034.919,128.481,128.481,151.06,24.604,126.456,419.968,0,1327.086,,7546.456,16668.847,13288.494,3380.353,0,24215.303,,,,,,,3267.927,,,,3267.927,,,,,447.158,27930.388,349.525,2014.162,1.305,2012.857,0,677.573,15.353,3056.613,,3056.613,30987.001,
09/30/2012,32576.17,877.758,23.348,23.348,3247.762,798.874,2448.888,0.0,8203.28,5967.241,2236.039,17556.409,1887.444,16018.135,-349.17,777.212,26536.901,-113.0,26423.901,133.344,133.344,145.973,24.604,121.369,475.352,0,1248.732,,8371.083,17332.995,14131.232,3201.763,0,25704.078,,,,,,,3211.221,,,,3211.221,,,,,498.469,29413.768,349.525,2024.647,1.309,2023.338,0,761.498,26.732,3162.402,0.0,3162.402,32576.17,
12/31/2012,34389.236,602.264,30.901,30.901,3505.622,960.433,2545.189,0.0,8921.779,6321.628,2600.151,18248.172,1887.604,16672.924,-312.356,1021.439,28191.39,-129.889,28061.501,142.201,142.201,265.441,106.549,158.892,480.686,0,1300.62,,8544.472,18543.775,15577.745,2966.03,0,27088.247,75.0,,0.0,0.0,,75.0,3206.45,0.0,0.0,,3206.45,0.0,0.0,0.0,72.726,546.71,30989.133,499.525,2028.891,1.313,2027.578,0,840.311,31.376,3400.103,0.0,3400.103,34389.236,
