Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2000,6598.4,,,-5216.8,,1381.6,,-1360.5,,,,,,21.1,-509.7,,57.0,,0.0,,452.7,-488.6,116.6,,,,-372.0,34.3,,,-406.3,0.0,-406.3,,,-406.3,-406.3,,566.351988,-0.7175,-0.6575,0.05,577.504028,-0.7175,-0.6575,0.05,
03/31/2001,6428.7,,,-5225.5,,1203.2,,-1221.4,,,,,,-18.2,-30.3,,30.3,,,,,-48.5,-0.2,,,,-48.7,0.5,,,-49.2,,-48.2,,,-48.2,-48.2,,573.599976,-0.085,-0.085,-0.065,573.599976,-0.085,-0.085,-0.065,
06/30/2001,6536.4,,,-5311.2,,1225.2,,-1242.5,,,,,,-17.3,60.9,,33.6,,,,-94.5,43.6,-33.0,,,,10.6,,,,10.6,,10.6,,,10.6,10.6,,570.671996,0.0175,0.0175,-0.1675,576.812012,0.0175,0.0175,-0.1675,
09/30/2001,6185.9,,,-4990.3,,1195.6,,-1219.6,,,,,,77.6,-139.6,,38.0,,,,101.6,-62.0,7.6,,,,-54.4,,,,-54.4,,-54.4,,,-54.4,-54.4,,572.031984,-0.095,-0.095,-0.1075,578.731996,-0.095,-0.095,-0.1075,
12/31/2001,6042.5,,,-4870.1,,1172.4,,-1250.8,,,,,,-78.4,-233.4,,40.9,,,,192.5,-311.8,112.8,,,,-199.0,-11.4,,,-187.6,,-187.6,,,-187.6,-187.6,,575.224,-0.325,-0.345,-0.1475,585.992004,-0.325,-0.345,-0.1475,
03/31/2002,5264.7,,,-4015.8,,1248.9,,-1121.9,,,,,,127.0,-29.299999,,29.299999,,,,,97.700001,-9.7,,,,87.999001,2915.698975,,,-2827.698974,,-2827.699951,,,-2827.699951,-2827.699951,,580.0,-4.875,0.1525,0.11,595.200012,-4.75,0.1475,0.11,
06/30/2002,5064.2,,,-3744.7,,1319.5,,-1110.0,,,,,,209.5,-49.9,,31.2,,,,18.7,159.6,-51.400002,,,,108.205002,,,,108.199998,,108.205002,,,108.205002,108.205002,,595.635988,0.1825,0.1825,0.0825,619.328004,0.175,0.175,0.08,
09/30/2002,4832.1,,,-3497.4,,1334.7,,-1073.7,,,,,,261.0,-117.5,,28.5,,,,89.0,143.5,-44.700001,,,,98.800003,,,,98.799999,,98.800003,,,98.800003,98.800003,,602.119996,0.165,0.165,0.19,620.304016,0.16,0.16,0.1825,
12/31/2002,4717.7,,,-3440.4,,1277.3,,-1057.8,,,,,,219.5,-75.5,,30.5,,,,45.0,144.0,-45.8,,,,98.2,,,,98.2,,98.2,,,98.2,98.2,,604.716004,0.1625,0.1625,0.1975,619.544008,0.1575,0.1575,0.1925,
03/31/2003,4466.5,,,-2895.5,,1571.0,,-1033.1,,,,,,537.9,-25.9,,25.9,,,,,512.0,-182.0,,,,330.0,,,,330.0,,330.0,,,330.0,330.0,,604.0,0.5475,0.5475,0.3475,621.599976,0.53,0.53,0.335,
06/30/2003,4466.0,,,-3079.3,,1386.7,,-1137.8,,,,,,261.6,-38.2,,25.5,,,,12.7,223.4,-85.0,,,,138.4,,,,138.4,,138.4,,,138.4,138.4,,612.799988,0.225,0.225,0.3275,638.400024,0.2175,0.2175,0.3175,
09/30/2003,4469.1,,,-3110.3,,1358.8,,-998.4,,,,,,360.4,-25.6,,25.6,,,,,334.8,-118.9,,,,215.9,,,,215.9,,215.9,,,215.9,215.9,,613.831972,0.3525,0.3525,0.3325,641.36798,0.3375,0.3375,0.3175,
12/31/2003,4574.8,,,-3141.5,,1433.3,,-1036.0,,,,,,397.3,-25.9,,25.9,,,,,371.4,-121.9,,,,249.5,,,,249.5,,249.5,,,249.5,249.5,,612.343996,0.4075,0.4075,0.345,638.820008,0.39,0.39,0.33,
