Date,P/E,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,Average,High,Low,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
08/05/1988,,,,,,,,,,,,,86.666667,,
11/05/1988,,,,,,,,,,,,,70.0,,
02/05/1989,,,,,,,,,,,,,74.166667,,
05/05/1989,,,,,,,,,,,,,73.333333,,
08/05/1989,,,,,,,,,,,,,87.5,,
11/05/1989,,,,,,,,,,,,,81.666667,,
02/05/1990,,,,,,,,,,,,,85.0,,
05/05/1990,,,,,,,,,,,,,73.333333,,
08/05/1990,,,,,,,,,,,,,88.333333,,
11/05/1990,,,,,,,,,,,,,75.0,,
02/05/1991,,,,,,,,,,,,,50.833333,,
05/05/1991,,,,,,,,,,,,,58.333333,,
08/05/1991,,,,,,,,,,,,,45.833333,,
11/05/1991,,,,,,,,,,,,,29.166667,,
02/05/1992,,,,,,,,,,,,,7.916667,,
05/05/1992,,,,,,,,,,,,,7.5,,
08/05/1992,,,,,,,,,,,,,3.333333,,
11/05/1992,,,,,,,,,,,,,5.0,,
02/05/1993,,,,,,,,,,,,,5.0,,
05/05/1993,,,,,,,,,,,,,7.5,,
08/05/1993,,,,,,,,,,,,,10.0,,
11/05/1993,,,,,,,,,,,,,8.333333,,
02/05/1994,,,,,,,,,,,,,10.0,,
05/05/1994,,,,,,,,,,,,,11.666667,,
08/05/1994,,,,,,,,,,,,,9.166667,,
11/05/1994,,,,,,,,,,,,,7.083333,,
02/05/1995,,,,,,,,,,,,,5.833333,,
05/05/1995,,,,,,,,,,,,,5.208333,,
08/05/1995,,,,,,,,,,,,,3.333333,,
11/05/1995,,,,,,,,,,,,,4.166667,,
02/05/1996,,,,,,,,,,,,,4.166667,,
05/05/1996,,,,,,,,,,,,,7.916667,,
08/05/1996,,,,,,,,,,,,,7.916667,,
11/05/1996,,,,,,,,,,,,,7.5,,
02/05/1997,,,,,,,,,,,,,8.75,,
05/05/1997,,,,,,,,,,,,,10.833333,,
08/05/1997,,,,,,,,,,,,,9.583333,,
11/05/1997,,,,,,,,,,,,,10.104167,,
02/05/1998,,,,,,,,,,,,,11.333333,,
05/05/1998,,,,,,,,,,,,,14.333333,,
08/05/1998,,,,,,,,,,,,,11.833333,,
11/05/1998,,,,,,,,,,,,,10.604167,,
02/05/1999,,,,,,,,,,,,,13.333333,,
05/05/1999,,,,,,,,,,,,,19.5,,
08/05/1999,,,,,,,,,,,,,16.666667,,
11/05/1999,,,,,,,,,,,,,17.083333,,
02/05/2000,,,,,,,,,,,,,16.916667,,
05/05/2000,,,,,,,,,,,,,17.333333,,
08/05/2000,,,,,,,,,,,,,16.333333,,
11/05/2000,,,,,,,,,,,,,16.166667,,
02/05/2001,,,,,,,,,,,,,20.0,,
05/05/2001,,,,,,,,,,,,,20.866667,,
08/05/2001,,,,,,,,,,,,,23.533333,,
11/05/2001,,,,,,,,,,,,,17.167333,,
02/05/2002,,,,,,,,,,,,,28.5,,
05/05/2002,,,,,,,,,,,,,35.0,,
08/05/2002,,,,,,,,,,,,,24.167333,,
11/05/2002,,,,,,,,,,,,,26.593333,,
02/05/2003,,,,,,,,,,,,,24.0,,
05/05/2003,,,,,,,,,,,,,28.266667,,
08/05/2003,,,,,,,,,,,,,33.166667,,
11/05/2003,,,,,,,,,,,,,35.666667,,
02/05/2004,,,,,,,,,,,,,36.366,,
05/05/2004,,,,,,,,,,,,,42.646667,,
08/05/2004,,,,,,,,,,,,,40.266667,,
11/05/2004,,,,,,,,,,,,,41.54,,
02/05/2005,,,,,,,,,,,,,42.9,,
05/05/2005,,,,,,,,,,,,,38.02,,
08/05/2005,,,,,,,,,,,,,40.7,,
11/05/2005,,,,,,,,,,,,,34.48,,
02/05/2006,,,,,,,,,,,,,36.38,,
05/05/2006,,,,,,,,,,,,,39.72,,
08/05/2006,,,,,,,,,,,,,44.04,,
11/05/2006,,,,,,,,,,,,,45.14,,
02/05/2007,,,,,,,,,,,,,48.86,,
05/05/2007,,,,,,,,,,,,,51.2,,
07/30/2007,,,,,,,,,,,,,40.5,,
11/03/2007,,,,,,,,,,,,,37.88,,
05/03/2008,,,,,,,2778.403125,2778.403125,2778.403125,,,,28.16,2776.0912,
08/02/2008,,,,,,,2304.506372,2969.423828,1886.404663,,,,19.56,2101.279,
11/01/2008,,,,,,,2121.779212,2612.129895,1308.243042,,,,10.18,1446.154,
01/31/2009,,,,,,6.016145,1335.360522,1659.966394,1071.052178,0.32031,,,7.04,1071.212,
05/02/2009,,,,,,4.620772,1377.43236,1877.775417,987.480426,0.504157,,,16.01,1655.853,
08/01/2009,,,,,,5.705842,1951.954223,2186.767107,1618.820302,0.647286,,,22.08,2088.34,
10/31/2009,,,,,,4.513366,2334.648709,2637.725176,1935.040241,0.721903,,,25.21,2316.155,
01/30/2010,,,,,,4.867024,2441.753363,2631.183322,2183.477508,0.715255,6.189821,8.683611,27.36,2347.18,
05/01/2010,,,,,,5.840233,2599.994835,2923.845447,2275.423353,0.772142,6.285284,8.536448,32.02,2566.91,
07/31/2010,,,,,,5.753757,2408.185627,2633.125255,2164.906961,0.695974,5.545993,7.369406,29.77,2319.889,
10/30/2010,,,,,,9.542222,2377.664095,2866.089243,2034.029437,0.852254,6.527154,8.451433,35.18,2866.726,
01/29/2011,,,,,,13.168725,3333.784936,3650.688921,2873.800614,0.963336,7.040978,8.889589,41.56,3311.372,
04/30/2011,,,,,,20.542627,3521.099541,3747.09537,3260.439079,0.975023,6.804283,8.402057,43.75,3431.4,
07/30/2011,,,,,,20.40615,3456.250181,3803.640585,3129.131876,0.916184,6.043822,7.323769,42.84,3295.696,
10/29/2011,,,,,,25.287589,2793.85646,3535.079086,2274.201686,0.965115,6.231094,7.464167,44.35,3538.015,
01/28/2012,,,,,,17.632039,3543.402664,3800.758162,3289.721636,0.947022,5.919597,6.997584,46.46,3550.574,
04/28/2012,,,,,,27.475394,3650.782059,3967.083989,3384.06484,0.980421,6.035418,7.118788,47.86,3688.244,
07/28/2012,,,,,,28.157262,3389.884776,3836.519423,3113.229647,0.889139,5.468605,6.445624,44.9,3394.91,
10/27/2012,,,,,,24.188734,3673.349549,3996.789784,3295.292337,1.046643,6.330686,7.457164,51.46,4002.26,
02/02/2013,,,,,,29.016872,4335.65001,4917.598018,3978.99317,1.220616,7.368089,8.674758,63.43,4862.202,
05/04/2013,,,,,,30.739267,4948.501916,5843.875066,4529.106512,1.325531,7.996731,9.416607,69.99,5404.191,
08/03/2013,,,,,,49.559582,5462.794016,5985.981887,5010.410207,1.407939,8.59318,10.162172,74.39,5777.195,
11/02/2013,,,,,,124.010439,5587.963754,6015.606824,5135.939233,1.442435,8.873322,10.567946,75.22,5998.366,
02/01/2014,,,,,,76.665765,6108.831436,6444.421002,5582.907107,1.461468,9.037182,10.78284,79.55,6151.61,
05/03/2014,,,,,,77.697525,7503.130225,8364.477009,5810.31881,1.890873,11.689207,13.964803,103.71,8077.242,
08/02/2014,,,,,,47.555001,8322.504895,9408.890311,7586.339203,2.037636,13.83615,16.909745,102.41,9408.582,
11/01/2014,,,,,,424.938169,10180.273729,11132.102626,9384.027378,2.21547,17.094612,21.591274,120.01,11130.302,
01/31/2015,,,,,,154.087404,11579.038613,12098.676009,10978.111342,1.916363,15.135389,19.06492,121.11,10992.833,
05/02/2015,,,,,,263.553266,11523.892861,12485.193235,10679.84753,1.970464,15.985055,20.32579,136.79,12238.158,
08/01/2015,,,,,,119.885061,11632.555846,12314.991112,10772.312575,1.707722,13.840748,17.632764,121.22,10921.734,
10/31/2015,,,,,,71.478575,12061.990084,13515.018065,10680.277527,2.098404,16.531321,21.019975,150.94,13501.13,
01/30/2016,,,,,,42.48341,11723.558795,13418.711732,10466.708191,1.595585,11.890102,14.852068,116.0,10451.4,
04/30/2016,,,,,,32.073759,10022.311289,10963.027468,8773.47261,1.488172,10.689858,13.278842,108.56,9819.704,
07/30/2016,,,,,,21.912278,8588.227753,9895.564136,7491.341995,1.233962,8.602206,10.672813,87.91,8096.396,
10/29/2016,,,,,,13.693529,7756.68619,8899.956656,6980.96043,1.187233,8.233977,10.241627,80.41,7753.936,
01/28/2017,,,,,,14.533268,8535.227018,9252.785484,7512.361102,1.156282,7.783526,9.709011,79.99,7409.917,
04/29/2017,,,,,,14.447266,6746.147962,7454.609112,6347.579994,1.039589,7.537113,9.721914,65.84,6479.656,
07/29/2017,,,,,,8.106234,6040.945626,6462.168754,5253.071883,0.937428,6.685794,8.600781,61.51,5867.453,
10/28/2017,,,,,,2.220018,6099.978044,6447.259994,5544.357734,0.889323,5.825154,8.450738,66.76,5540.304,
02/03/2018,,,,,,1.551291,5007.421765,6138.082014,4248.61031,0.67932,4.817721,7.32503,51.37,4247.785,
05/05/2018,,,,,,1.143174,3731.287408,4301.864449,3232.226236,0.548702,18.090604,,37.88,3473.396,
08/04/2018,,,,,,1.663448,4318.453677,4880.182844,3425.919331,0.683173,,,58.91,4338.629,
11/03/2018,,,,,,5.772627,4575.919387,5064.87402,3904.779716,0.705936,,,58.24,4507.756,
02/02/2019,,,,,,2.325093,3527.813277,4658.93585,2410.136848,0.385754,,,23.97,2409.843,
05/04/2019,,,,,,1.954427,2524.636735,4269.864072,2316.245307,0.69006,9.79645,,23.15,4277.13,
08/03/2019,,,,,,2.464838,4056.508643,4292.17511,3768.840591,0.613874,8.009178,,17.27,3770.721,
11/02/2019,,,,,,2.30433,3661.311369,3858.464877,3442.124198,0.628665,8.019104,,16.2,3859.06,
02/01/2020,,,,,,2.998712,4067.446364,4589.003992,3826.061653,0.638268,4.929666,15.007855,24.31,3917.113,
05/02/2020,,,,,,1.453834,3432.711014,4147.001377,2951.404325,0.562192,6.362012,,9.08,3124.384,
08/01/2020,,,,,,1.558652,3226.255144,3532.518279,2993.647302,0.589125,7.140749,,10.74,2993.402,
09/13/2020,58.7753073857403,1.03172532554262,1.92007853791361,0.181382678391985,1.98248546628888,2.58033806577583,,,,0.661738302072386,8.02089333649809,,17.78,3362.35848666,
10/31/2020,7.40833333333333,1.08679706601467,,0.173266558063765,2.74806800618238,,,,,0.625991805754713,4.87063318932945,12.8252544624609,,,
01/31/2021,7.99101123595506,1.04711425206125,,0.175786560891533,,,,,,0.635096281184304,,12.9570654591908,,,
