Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2009,2.445,,0.707,,0.139137,,0.102055,,
12/31/2010,4.904,,0.557,,0.281779,,0.216985,,
03/31/2013,,,128.05,128.05,,,,,
06/30/2013,,,176.285,176.285,,,,,
12/31/2013,6.153,6.153,5.633,5.633,0.48781,0.48781,0.247491,0.247491,
03/31/2014,1.068,1.068,123.833,123.833,0.080538,0.080538,0.042301,0.042301,
06/30/2014,,-1.95,,6.529,,-0.177399,,-0.081862,
09/30/2014,,3.2,,,,0.277924,,0.132611,
12/31/2014,4.733,4.733,0.909,0.909,0.42099,0.42099,0.20129,0.20129,
03/31/2015,5.369,5.369,1.967,1.967,0.460765,0.460765,0.225955,0.225955,
06/30/2015,6.622,6.622,1.186,1.186,0.519421,0.519421,0.255062,0.255062,
09/30/2015,,5.049,-3.815,,,0.407017,,0.196407,
12/31/2015,,6.991,-0.341,-0.341,,0.56417,,0.278335,
03/31/2016,8.66,8.66,1.984,1.984,0.689236,0.689236,0.340723,0.340723,
06/30/2016,12.368,12.368,5.103,5.103,0.911019,0.911019,0.458342,0.458342,
09/30/2016,7.637,7.637,1.13,1.13,0.587851,0.587851,0.286759,0.286759,
12/31/2016,10.14,10.14,-5.954,-5.954,0.777344,0.777344,0.383518,0.383518,
03/31/2017,5.512,5.512,3.343,3.343,0.391399,0.391399,0.200999,0.200999,
06/30/2017,2.568,2.568,2.977,2.977,0.167212,0.167212,0.088003,0.088003,
09/30/2017,6.148,6.148,0.969,0.969,0.372453,0.372453,0.201606,0.201606,
12/31/2017,,3.893,1.931,1.931,,0.24248,,0.130232,
03/31/2018,11.347,11.347,1.509,1.509,0.773585,0.773585,0.398691,0.398691,
06/30/2018,19.322,19.322,3.899,3.899,1.201938,1.201938,0.642056,0.642056,
09/30/2018,12.157,12.157,1.28,1.28,0.722635,0.722635,0.393453,0.393453,
12/31/2018,24.366,24.366,10.057,10.057,1.347258,1.347258,0.769631,0.769631,
03/31/2019,30.531,30.531,7.313,7.313,1.607931,1.607931,0.907912,0.907912,
06/30/2019,32.497,32.497,6.635,6.635,1.533283,1.533283,0.901883,0.901883,
09/30/2019,18.519,18.519,1.368,1.368,0.780912,0.780912,0.481844,0.481844,
12/31/2019,14.654,14.654,0.543,0.543,0.625907,0.625907,0.384638,0.384638,
03/31/2020,30.487,30.487,27.097,27.097,1.261399,1.261399,0.784227,0.784227,
06/30/2020,14.64,14.64,4.232,4.232,0.560402,0.560402,0.309512,0.309512,
