Date,Level 1 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
05/03/2008,,395.025,395.025,,,,,6.482695,6.482695,,3.716193,3.716193,
08/02/2008,,390.74,390.74,,,,,6.268691,6.268691,,3.592842,3.592842,
11/01/2008,,344.888,344.888,,,,,5.39347,5.39347,,2.904954,2.904954,
01/31/2009,,332.0,332.0,,,,,4.926547,4.926547,,2.929239,2.929239,
05/02/2009,,326.0,326.0,,,,,4.734931,4.734931,,2.819338,2.819338,
08/01/2009,,325.0,325.0,,,,,4.554372,4.554372,,2.689062,2.689062,
10/31/2009,,325.0,325.0,,,,,4.394861,4.394861,,2.439391,2.439391,
01/30/2010,,332.0,332.0,,,,,4.371297,4.371297,,2.295195,2.295195,
05/01/2010,,317.0,317.0,,,,,4.046464,4.046464,,2.148279,2.148279,
07/31/2010,,297.0,297.0,,,,,3.662597,3.662597,,1.978549,1.978549,
10/30/2010,,275.0,275.0,,,-6.0,,3.308072,3.308072,,1.718213,1.718213,
04/30/2011,,250.0,250.0,,,,,3.306004,3.306004,,1.729745,1.729745,
07/30/2011,,208.0,208.0,1800.0,1800.0,,,2.938683,2.938683,,1.488479,1.488479,
10/29/2011,,158.0,158.0,2500.0,2500.0,24.0,,2.441663,2.441663,,1.073442,1.073442,
01/28/2012,,,,2400.0,2400.0,,,,,,,,
04/28/2012,,156.0,156.0,,,,,2.47619,2.47619,,1.096121,1.096121,
07/28/2012,,102.0,102.0,2500.0,2500.0,,,1.648352,1.648352,,0.73758,0.73758,
10/27/2012,,90.0,90.0,2900.0,2900.0,5.0,,1.47396,1.47396,,0.594923,0.594923,
02/02/2013,,,,2700.0,2700.0,,,,,,,,
05/04/2013,518.0,58.0,576.0,2802.0,2802.0,,8.603222,0.963295,9.566517,3.686833,0.412811,4.099644,
08/03/2013,592.0,58.0,650.0,2663.0,2663.0,,9.780274,0.958203,10.738477,4.199475,0.411435,4.61091,
11/02/2013,,57.0,57.0,,,,,0.962188,0.962188,,0.373893,0.373893,
02/01/2014,971.0,64.0,1035.0,2988.0,2988.0,,16.242891,1.070592,17.313483,6.763251,0.445776,7.209027,
05/03/2014,717.0,64.0,781.0,3082.0,3082.0,,12.241762,1.09271,13.334472,5.080062,0.45345,5.533513,
08/02/2014,746.0,68.0,814.0,3102.0,3102.0,,12.842142,1.170597,14.012739,5.290405,0.482235,5.77264,
11/01/2014,631.0,23.0,654.0,3089.0,3089.0,,10.86994,0.39621,11.26615,4.202744,0.15319,4.355934,
05/02/2015,,,,3100.0,3100.0,,,,,,,,
10/31/2015,,,,2900.0,,,,,,,,,
01/30/2016,,,,2800.0,2800.0,,,,,,,,
04/30/2016,,,,2800.0,2800.0,,,,,,,,
07/30/2016,,,,3000.0,3000.0,,,,,,,,
10/29/2016,,,,3000.0,3000.0,,,,,,,,
01/28/2017,,,,2700.0,2700.0,,,,,,,,
04/29/2017,,,,2800.0,2800.0,,,,,,,,
07/29/2017,,,,2900.0,2900.0,,,,,,,,
10/28/2017,,,,2900.0,2900.0,,,,,,,,
02/03/2018,,,,2900.0,2900.0,,,,,,,,
05/05/2018,,,,2300.0,2300.0,,,,,,,,
08/04/2018,,,,2300.0,2300.0,,,,,,,,
11/03/2018,,,,2300.0,2300.0,,,,,,,,
02/02/2019,,,,1800.0,1800.0,,,,,,,,
05/04/2019,,,,1900.0,1900.0,,,,,,,,
08/03/2019,,,,1900.0,1900.0,,,,,,,,
11/02/2019,,,,2000.0,2000.0,,,,,,,,
02/01/2020,,,,2000.0,2000.0,,,,,,,,
05/02/2020,,,,2200.0,2200.0,,,,,,,,
08/01/2020,,,,2500.0,2500.0,,,,,,,,
