Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1993,660.72699,42.564999,0.0,0.0,703.291992,-198.050003,-12.814,-20.857,-231.720993,-48.752998,-71.752998,-56.709999,-122.019997,-299.235992,172.335007,2.182,11.771,-57.02,2.742,-1.984,-56.262001,130.026006,-43.787998,86.237999,0.0,0.0,86.237999,-9.832,,76.405999,,,76.406008,0.53,0.53,0.53,144.479996,0.53,0.53,0.53,144.479996,
12/31/1993,,,,,762.911987,,,,,,,,,,,,,,,,,,,,,,-152.744995,,,-152.744995,,,,-1.05,-1.05,-1.05,145.018005,-1.05,-1.05,-1.05,145.018005,
03/31/1994,634.58197,229.151001,0.0,0.0,863.732971,-189.417999,-19.791,-142.024994,-351.234009,-46.001999,-72.200996,-62.757999,-115.003998,-295.964996,216.533997,3.53,4.821,-56.146999,3.191,-3.36,-56.316002,168.568995,-59.629002,108.940002,0.0,0.0,108.940002,-9.586,,99.354002,,,99.353993,0.68,0.68,0.68,145.757996,0.68,0.68,0.68,145.757996,
06/30/1994,600.736023,61.564999,0.0,0.0,662.301025,-167.561005,-15.443,-31.021,-214.024994,-49.175999,-72.821999,-61.981998,-123.208,-307.187988,141.087997,0.801,5.493,-53.853001,2.896,-4.515,-55.472,91.909997,-34.34,57.57,0.0,0.0,57.57,-8.657,,48.913,,,48.912998,0.33,0.33,0.33,146.475998,0.33,0.33,0.33,146.475998,
09/30/1994,651.60498,40.480999,0.0,0.0,692.085999,-193.199005,-11.177,-16.013,-220.389008,-48.683998,-73.419998,-60.033001,-134.156998,-316.294006,155.403,2.444,1.353,-54.257,3.378,-6.042,-56.921001,102.278998,-36.082001,66.196999,0.0,0.0,66.196999,-8.658,,57.538999,,,57.538998,0.39,0.39,0.39,147.162003,0.39,0.39,0.39,147.162003,
12/31/1994,594.856018,111.200996,0.0,0.0,706.057007,-175.807007,-15.921,-59.234001,-250.962006,-57.097,-75.952003,-59.278,-183.121994,-375.449005,79.646004,-0.574,-14.98,-54.991001,2.867,-6.453,-58.577,5.515005,-11.521,-6.006,0.0,0.0,-6.006,-8.658,,-14.664,,,-14.663995,-0.1,-0.1,-0.098,150.307999,-0.1,-0.1,-0.098,150.307999,
03/31/1995,629.291016,175.210999,0.0,0.0,804.502014,-180.951004,-5.666,-94.492996,-281.109985,-44.321999,-73.456001,-64.046997,-117.884003,-299.709015,223.682999,0.954,5.116,-55.061001,2.311,-5.311,-58.061001,171.691998,-61.424999,110.266998,0.0,0.0,110.266998,-8.657,,101.609999,,,101.609999,0.65,0.65,0.65,155.682007,0.65,0.65,0.65,155.682007,
06/30/1995,611.393982,56.974998,0.0,0.0,668.369019,-169.194,-11.641,-22.587,-203.421997,-43.660999,-68.214996,-63.858002,-129.024002,-304.757996,160.188995,0.931,3.204,-51.438999,1.986,-5.817,-55.27,109.053995,-40.370998,68.682999,0.0,0.0,68.682999,-8.657,,60.025999,,,60.025997,0.39,0.39,0.39,156.332993,0.39,0.39,0.39,156.332993,
09/30/1995,734.041992,33.591,0.0,0.0,767.632996,-190.445007,-15.685,-13.155,-219.285004,-39.851002,-68.68,-64.448997,-137.854996,-310.834991,237.513,-1.159,4.438,-54.153999,2.027,-5.392,-57.519001,183.273,-67.585999,115.686996,0.0,0.0,115.686996,-6.77,,108.916996,,,108.917001,0.69,0.69,0.69,156.945007,0.69,0.69,0.69,156.945007,
12/31/1995,645.854004,145.074997,0.0,0.0,790.929016,-176.164001,-14.64,-76.014999,-266.819,-54.346001,-69.407997,-63.731998,-156.414993,-343.901001,180.209,1.238,2.462,-53.257,1.741,-4.306,-55.821999,128.087001,-44.688999,83.398003,0.0,0.0,83.398003,-6.769,,76.629003,,,76.629002,0.49,0.49,0.49,157.498001,0.49,0.49,0.49,157.498001,
03/31/1996,684.840027,199.154999,0.0,0.0,883.994995,-191.451996,-27.621,-93.224998,-312.298004,-43.641998,-70.195,-65.737,-148.690994,-328.265015,243.432007,0.351,-5.24,-49.134998,1.138,-2.871,-50.868,187.675007,-70.764999,116.910004,0.0,0.0,116.910004,-6.769,,110.141004,,,110.141008,0.7,0.7,0.7,157.675003,0.69,0.69,0.69,158.5,
06/30/1996,650.713989,66.120003,0.0,0.0,716.833984,-163.804993,-30.802,-39.955002,-234.561996,-48.164001,-70.597,-66.808998,-151.160995,-336.730988,145.541,0.497,-0.669,-48.021,1.642,-5.321,-51.700001,93.669,-30.952,62.716999,0.0,0.0,62.716999,-6.677,,56.039999,,,56.04,0.35,0.35,0.35,157.679001,0.35,0.35,0.35,157.679001,
