Date,Price/T12M FFO per Share,Average,High,Low,Price/T12M Sales per Share,Price/T12M EBITDA per Share,P/Sales,P/Book,Price/Cash Flow per Share,Price/Free Cash Flow per Share,Source: Bloomberg
03/31/1998,,,,,,,,2.172997,,,
06/30/1998,,,,,,,,,,,
12/31/1998,,14.10305,14.10305,14.10305,0.844305,3.443007,0.844305,,5.697554,16.10367,
03/31/1999,,10.271495,15.477193,3.206419,1.968884,2.299976,1.968884,,3.233563,3.661272,
06/30/1999,,2.593248,3.220698,1.77021,1.604388,1.826819,1.604388,62.155467,3.231181,3.677577,
09/30/1999,,2.717714,3.220698,2.246999,1.399771,1.61416,1.399771,16.883185,2.814928,3.01162,
12/31/1999,,2.51739,2.8804,2.082217,1.220994,1.576233,1.220994,34.116704,2.747676,2.755654,
03/31/2000,,2.016434,2.34127,1.620879,0.95644,1.252003,0.95644,18.872425,2.046771,2.050078,
06/30/2000,,2.035553,2.235767,1.693763,0.917536,1.292185,0.917536,11.039323,2.384649,2.384623,
09/30/2000,6.410256,3.125263,7.450743,2.322678,1.42272,2.200576,1.42272,,8.507685,8.507685,
12/31/2000,5.022321,7.40222,8.47522,6.705669,1.578276,4.936215,1.578276,,9.589941,9.589941,
03/31/2001,7.264957,11.728651,29.413942,8.771815,2.506144,8.622449,2.506144,,33.402731,33.586524,
06/30/2001,9.358974,31.59102,37.719055,9.84546,3.42935,9.525445,3.42935,,11.1977,11.24211,
09/30/2001,9.273504,10.143723,11.418935,9.180105,3.635455,8.330094,3.635455,,6.891339,,
12/31/2001,8.273381,,,,3.863466,3.982306,3.863466,,7.637688,,
03/31/2002,9.0681,,,,4.281477,4.393291,4.281477,,8.327483,,
06/30/2002,8.823529,,,,4.351176,4.604096,4.351176,,7.482573,,
09/30/2002,8.623794,,,,4.615911,4.875506,4.615911,,6.621685,,
12/31/2002,8.450184,,,,4.316158,4.526198,4.316158,,5.632,,
03/31/2003,7.030303,,,,4.508375,4.728629,4.508375,,5.431267,,
06/30/2003,8.657143,,,,6.005583,6.504387,6.005583,,8.420143,,
09/30/2003,,,,,6.858048,7.431341,6.858048,,10.418176,,
12/31/2003,,,,,8.922965,9.733331,8.922965,31.561789,12.698163,,
03/31/2004,,,,,10.84605,11.886273,10.84605,20.241212,15.582167,,
06/30/2004,,,,,8.850117,9.68147,8.850117,15.14378,14.169349,,
09/30/2004,15.157895,,,,9.486866,10.329,9.486866,16.795343,13.902415,,
12/31/2004,15.398876,,,,9.644072,10.477139,9.644072,14.472605,15.254701,,
03/31/2005,13.491892,,,,8.507543,9.22612,8.507543,12.758148,12.498836,,
06/30/2005,15.811518,,,,9.846644,10.700487,9.846644,4.59269,14.349825,,
09/30/2005,16.1,,,,9.850062,10.685986,9.850062,5.07763,14.946402,,
12/31/2005,14.488688,,,,9.195089,10.035756,9.195089,4.967349,13.579225,,
03/31/2006,14.552632,,,,9.043231,9.836207,9.043231,5.230393,14.187455,,
06/30/2006,14.79476,54.319463,54.319463,54.319463,9.024974,9.743506,9.024974,5.41953,15.330151,62.025073,
09/30/2006,16.125523,58.966043,64.211762,22.387806,10.008783,10.9052,10.008783,6.233041,17.361085,25.563679,
12/31/2006,17.781513,22.658954,24.362859,21.388661,10.607989,11.504806,10.607989,6.327468,18.462891,,
03/31/2007,16.457031,,,,10.142233,10.931986,10.142233,6.318127,17.148516,,
06/30/2007,12.457045,,,,7.463166,8.771704,7.463166,2.572777,13.078815,,
09/30/2007,13.8,,,,7.516687,9.667281,7.516687,2.996172,12.033068,,
12/31/2007,,,,,7.46213,10.519991,7.46213,3.316258,13.87416,,
03/31/2008,,,,,6.770265,10.381542,6.770265,3.14104,14.045551,,
06/30/2008,,19.126668,19.126668,19.126668,6.39477,10.031092,6.39477,2.97442,14.020664,21.839924,
09/30/2008,,20.968322,78.86224,17.931532,7.432051,16.933792,7.432051,3.237152,38.298719,90.049421,
12/31/2008,12.119134,47.812262,78.064362,13.336367,5.062503,8.022511,5.062503,2.433338,12.415705,15.228227,
03/31/2009,8.405204,10.18685,12.676898,8.072534,3.449748,5.516827,3.449748,1.496178,8.281242,10.296701,
