Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Discontinued Operations,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,4671,7,7,0.0,223,,,440,,,,,211,,,,881,1495,1998.0,-503.0,,2295,1034,,,,1261,3790,,274,274,,,,724,,,,,386,,386,1384,1337,,,,466,,,,,466,1803,3187,0.0,,,,0.0,,1470,1470,14,1484,4671,
06/30/1999,4486,18,18,0.0,320,,,447,,,,,127,,,,912,1495,2025.0,-530.0,,2079,1028,,,,1051,3574,,257,257,,,,367,,,,,436,,436,1060,1494,,,,578,,,,,578,2072,3132,0.0,,,,0.0,,1340,1340,14,1354,4486,
09/30/1999,4581,24,24,0.0,324,324.0,,453,105.0,60.0,288.0,,117,,,,918,1528,2106.0,-578.0,16.0,2119,1024,,,,1095,3663,,249,249,,,,457,,,,,427,,427,1133,1528,,,,516,,,,,516,2044,3177,0.0,,,,0.0,,1383,1383,21,1404,4581,
12/31/1999,4588,12,12,0.0,279,279.0,,429,124.0,45.0,260.0,,146,,,,866,1396,1968.0,-572.0,,2326,981,671.0,310.0,,1345,3722,,265,265,,,,325,,,,,330,,330,920,1741,,,,557,,,,,557,2298,3218,0.0,1470.0,,,0.0,-96.0,-24,1350,20,1370,4588,
03/31/2000,4425,11,11,0.0,309,309.0,,450,97.0,51.0,302.0,0.0,102,,,,872,1369,1972.0,-603.0,,2184,963,,,,1221,3553,,213,213,,,,25,,,,,360,,360,598,1655,,,,642,,,,,642,2297,2895,0.0,1475.0,,,-22.0,67.0,-11,1509,21,1530,4425,
06/30/2000,4466,10,10,0.0,345,345.0,,441,95.0,60.0,286.0,0.0,122,,,,918,1364,1971.0,-607.0,,2184,953,,,,1231,3548,,219,219,,,,20,,,,,343,,343,582,1740,,,,644,,,,,644,2384,2966,0.0,1477.0,,,-89.0,106.0,-15,1479,21,1500,4466,
09/30/2000,4437,23,23,0.0,301,301.0,,432,81.0,56.0,295.0,0.0,139,,,,895,1341,1968.0,-627.0,,2201,941,,,,1260,3542,,224,224,,,,14,,,,,359,,359,597,1657,,,,657,,,,,657,2314,2911,0.0,1385.0,,,,144.0,-24,1505,21,1526,4437,
12/31/2000,4223,26,26,0.0,275,275.0,,401,108.0,55.0,238.0,0.0,198,,,,900,1231,1870.0,-639.0,,2092,940,643.0,297.0,,1152,3323,,233,233,,,,13,,,,,266,,266,512,1560,,,,590,,,,,590,2150,2662,0.0,1385.0,,,-100.0,151.0,103,1539,22,1561,4223,
03/31/2001,4100,14,14,0.0,261,261.0,,390,99.0,48.0,243.0,0.0,115,,,,780,1256,,,,2064,932,,,,1132,3320,,218,218,,,,19,,,,,248,,248,485,1443,,,,609,,,,,609,2052,2537,0.0,1388.0,,,,184.0,-31,1541,22,1563,4100,
06/30/2001,4006,15,15,0.0,253,253.0,,379,100.0,45.0,234.0,0.0,89,,,,736,1253,,,,2017,922,,,,1095,3270,,235,235,,,,11,,,,,234,,234,480,1302,,,,612,,,,,612,1914,2394,0.0,1392.0,,,,253.0,-55,1590,22,1612,4006,
