Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/2014,13772.0,13772.0,,,-10162.0,10162.0,,3610.0,0.0,-3029.0,2142.0,512.0,375.0,581.0,-16.0,,,,,16.0,565.0,-123.0,442.0,0.0,0.0,0.0,442.0,442.0,0.0,0.0,442.0,522.6,80.6,1804.0,0.24,0.24,0.28969,1834.0,0.24,0.24,0.283948,
04/30/2014,13574.0,13574.0,,,-9758.0,9758.0,,3816.0,0.0,-3242.0,2196.0,563.0,483.0,574.0,-31.0,,,,,31.0,543.0,-119.0,424.0,0.0,0.0,0.0,424.0,424.0,0.0,0.0,424.0,580.0,156.0,1804.0,0.24,0.24,0.321508,1834.0,0.23,0.23,0.31506,
07/31/2014,13704.0,13704.0,,,-9799.0,9799.0,,3905.0,0.0,-3551.0,2203.0,574.0,774.0,354.0,-16.0,,,,,16.0,338.0,-72.0,266.0,0.0,0.0,0.0,266.0,266.0,0.0,0.0,266.0,635.2,369.2,1804.0,0.15,0.15,0.352106,1834.0,0.15,0.15,0.351309,
10/31/2014,14073.0,14073.0,,,-9767.0,9767.0,,4306.0,0.0,-3480.0,2176.0,548.0,756.0,826.0,-28.0,,,,,28.0,798.0,-282.0,516.0,0.0,0.0,0.0,516.0,516.0,0.0,0.0,516.0,873.5,357.5,1804.0,0.28,0.28,0.484202,1834.0,0.28,0.28,0.474929,
01/31/2015,13053.0,12958.0,95.0,,-9433.0,9370.0,63.0,3620.0,0.0,-2888.0,1973.0,532.0,383.0,732.0,-18.0,,10.0,,,8.0,714.0,-167.0,547.0,0.0,0.0,0.0,547.0,547.0,0.0,0.0,547.0,702.0,155.0,1804.0,0.3,0.3,0.389135,1834.0,0.3,0.3,0.384515,
04/30/2015,12549.0,12460.0,89.0,,-8965.0,8904.0,61.0,3584.0,0.0,-3156.0,1974.0,552.0,630.0,428.0,-30.0,,10.0,,,20.0,398.0,-93.0,305.0,0.0,0.0,0.0,305.0,305.0,0.0,0.0,305.0,647.0,342.0,1804.0,0.17,0.17,0.358647,1834.0,0.16,0.16,0.346478,
07/31/2015,13057.0,12968.0,89.0,,-9307.0,9249.0,58.0,3750.0,0.0,-3506.0,2040.0,602.0,864.0,244.0,4.0,,7.0,,0.0,-11.0,248.0,-24.0,224.0,0.0,0.0,0.0,224.0,224.0,0.0,0.0,224.0,715.0,491.0,1804.0,0.13,0.13,0.396341,1834.0,0.13,0.13,0.396341,
10/31/2015,13448.0,13360.0,88.0,,-9463.0,9405.0,58.0,3985.0,0.0,-3866.0,2038.0,652.0,1176.0,119.0,-9.0,,2.0,,0.0,7.0,110.0,1275.0,1385.0,0.0,0.0,0.0,1385.0,1385.0,0.0,0.0,1385.0,2123.0,738.0,1804.0,0.76,0.76,1.176829,1834.0,0.75,0.75,1.152399,
01/31/2016,12724.0,12636.0,88.0,,-9112.0,9054.0,58.0,3612.0,0.0,-3228.0,1998.0,585.0,645.0,384.0,-65.0,,80.0,,0.0,-15.0,319.0,-52.0,267.0,0.0,0.0,0.0,267.0,267.0,0.0,0.0,267.0,575.0,308.0,1761.0,0.15,0.15,0.326519,1778.0,0.15,0.15,0.323228,
04/30/2016,8509.0,8421.0,88.0,,-5467.0,5406.0,61.0,3042.0,0.0,-2591.0,1648.0,621.0,322.0,451.0,-121.0,,52.0,,0.0,69.0,330.0,-8.0,322.0,2.0,2.0,0.0,320.0,320.0,0.0,0.0,320.0,648.0,326.0,1725.0,0.19,0.19,0.375652,1751.0,0.18,0.18,0.366179,
07/31/2016,8005.0,7911.0,94.0,,-5089.0,5025.0,64.0,2916.0,0.0,-271.0,1575.0,551.0,-1855.0,2645.0,-81.0,,69.0,,72.0,-60.0,2564.0,-107.0,2457.0,185.0,185.0,0.0,2272.0,2272.0,0.0,0.0,2272.0,561.0,-1896.0,1681.0,1.35,1.46,0.33373,1715.0,1.32,1.43,0.324461,
10/31/2016,7324.0,7324.0,,,-4996.0,4996.0,,2328.0,0.0,-1752.0,1253.0,401.0,98.0,576.0,216.0,,91.0,,4.0,-311.0,792.0,-466.0,326.0,24.0,24.0,0.0,302.0,302.0,0.0,0.0,302.0,799.92,473.92,1672.0,0.18,0.19,0.478421,1709.0,0.18,0.19,0.467308,
01/31/2017,6902.0,6809.0,93.0,,-4689.0,4623.0,66.0,2213.0,0.0,-1760.0,1204.0,356.0,200.0,453.0,-118.0,,78.0,,22.0,18.0,335.0,-84.0,251.0,-16.0,-16.0,0.0,267.0,267.0,0.0,0.0,267.0,400.7,149.7,1669.0,0.16,0.15,0.240084,1700.0,0.16,0.15,0.238059,
04/30/2017,6808.0,6808.0,96.0,-96.0,-4799.0,4734.0,65.0,2009.0,0.0,-1814.0,1229.0,376.0,209.0,195.0,-82.0,,86.0,,3.0,-7.0,113.0,-591.0,-478.0,134.0,134.0,0.0,-612.0,-612.0,0.0,0.0,-612.0,-150.050926,327.949074,1658.0,-0.37,-0.29,-0.090501,1658.0,-0.37,-0.29,-0.092202,
07/31/2017,7501.0,7399.0,102.0,,-5306.0,5240.0,66.0,2195.0,0.0,-1994.0,1285.0,390.0,319.0,201.0,-76.0,,87.0,,-1.0,-10.0,125.0,160.0,285.0,120.0,120.0,0.0,165.0,165.0,0.0,0.0,165.0,339.827586,54.827586,1641.0,0.1,0.17,0.207086,1667.0,0.1,0.17,0.20289,
10/31/2017,7660.0,6647.0,1010.0,3.0,-5383.0,5383.0,,2277.0,0.0,-2501.0,1288.0,364.0,849.0,-224.0,-77.0,,76.0,,-1.0,2.0,-301.0,679.0,378.0,-146.0,-146.0,0.0,524.0,524.0,0.0,0.0,524.0,377.0,-1.0,1618.0,0.32,0.23,0.233004,1647.0,0.32,0.23,0.229393,
01/31/2018,7674.0,7563.0,111.0,,-5505.0,5437.0,68.0,2169.0,0.0,-1941.0,1218.0,389.0,334.0,228.0,-885.0,,21.0,,-22.0,886.0,-657.0,2139.0,1482.0,46.0,46.0,0.0,1436.0,1436.0,0.0,0.0,1436.0,458.0,-1024.0,1591.0,0.9,0.93,0.287869,1619.0,0.89,0.92,0.287511,
04/30/2018,7468.0,7356.0,112.0,,-5210.0,5140.0,70.0,2258.0,0.0,-1892.0,1245.0,403.0,244.0,366.0,-482.0,,78.0,,10.0,394.0,-116.0,966.0,850.0,72.0,72.0,0.0,778.0,778.0,0.0,0.0,778.0,1321.63,471.63,1552.0,0.5,0.55,0.851566,1582.0,0.49,0.54,0.838123,
07/31/2018,7764.0,7655.0,109.0,,-5399.0,5330.0,69.0,2365.0,0.0,-1875.0,1221.0,435.0,219.0,490.0,-25.0,,64.0,,-11.0,-28.0,465.0,-13.0,452.0,1.0,1.0,0.0,451.0,451.0,0.0,0.0,451.0,570.406114,118.406114,1513.0,0.3,0.3,0.377003,1531.0,0.29,0.29,0.367339,
10/31/2018,7946.0,7946.0,,,-5507.0,5507.0,,2439.0,0.0,-1786.0,1237.0,440.0,109.0,653.0,-77.0,111.0,190.0,-79.0,-15.0,-19.0,576.0,-1348.0,-772.0,-15.0,-15.0,0.0,-757.0,-757.0,0.0,0.0,-757.0,554.0,1326.0,1459.0,-0.52,-0.53,0.379712,1459.0,-0.52,-0.53,0.378842,
01/31/2019,7553.0,7441.0,112.0,,-5207.0,5134.0,73.0,2346.0,0.0,-1890.0,1211.0,466.0,213.0,456.0,199.0,,51.0,,-15.0,-235.0,655.0,-478.0,177.0,0.0,0.0,0.0,177.0,177.0,0.0,0.0,177.0,509.0,332.0,1401.0,0.13,0.13,0.363312,1412.0,0.13,0.13,0.363312,
04/30/2019,7150.0,7034.0,116.0,,-4845.0,4770.0,75.0,2305.0,0.0,-1871.0,1214.0,457.0,200.0,434.0,6.0,,18.0,,-3.0,-21.0,440.0,-21.0,419.0,0.0,0.0,0.0,419.0,419.0,0.0,0.0,419.0,518.170529,99.170529,1367.0,0.31,0.31,0.379057,1382.0,0.3,0.3,0.371759,
07/31/2019,7217.0,7103.0,114.0,,-4768.0,4694.0,74.0,2449.0,0.0,-2525.0,1253.0,481.0,791.0,-76.0,-189.0,,70.0,,-3.0,122.0,-265.0,238.0,-27.0,0.0,0.0,0.0,-27.0,-27.0,0.0,0.0,-27.0,547.353312,574.353312,1334.0,-0.02,-0.02,0.41031,1334.0,-0.02,-0.02,0.41031,
10/31/2019,7215.0,7215.0,,,-4822.0,4822.0,,2393.0,0.0,-1933.0,1229.0,438.0,266.0,460.0,263.0,38.0,172.0,-134.0,1.0,-302.0,723.0,-243.0,480.0,0.0,0.0,0.0,480.0,480.0,0.0,0.0,480.0,224.888889,-255.111111,1308.0,0.37,0.37,0.171933,1323.0,0.36,0.36,0.167172,
01/31/2020,6949.0,6836.0,113.0,,-4667.0,4594.0,73.0,2282.0,0.0,-1934.0,1218.0,485.0,231.0,348.0,30.0,,19.0,,-33.0,-16.0,378.0,-45.0,333.0,0.0,0.0,0.0,333.0,333.0,0.0,0.0,333.0,544.133337,211.133337,1300.0,0.26,0.26,0.418564,1315.0,0.25,0.25,0.410558,
04/30/2020,6009.0,5894.0,115.0,,-4095.0,4024.0,71.0,1914.0,0.0,-2748.0,1109.0,450.0,1189.0,-834.0,-77.0,,68.0,,10.0,-1.0,-911.0,90.0,-821.0,0.0,0.0,0.0,-821.0,-821.0,0.0,0.0,-821.0,207.82126,1028.82126,1291.0,-0.64,-0.64,0.160977,1291.0,-0.64,-0.64,0.156918,
07/31/2020,6816.0,6701.0,115.0,,-4749.0,4684.0,65.0,2067.0,0.0,-2055.0,1131.0,455.0,469.0,12.0,-46.0,71.0,71.0,0.0,-27.0,2.0,-34.0,43.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,332.176471,323.176471,1292.0,0.01,0.01,0.257103,1300.0,0.01,0.01,0.257103,
10/31/2020,6905.684,,,,,,,2034.48356324,,,,,,503.813,,,,,,,442.643,,179.727,,,,,179.727,,,179.727,440.889,,,0.121,0.121,0.34,,0.121,0.121,0.34,
01/31/2021,6708.882,,,,,,,1977.37588068,,,,,,509.929,,,,,,,439.0,,133.173,,,,,133.173,,,133.173,425.4,,,0.099,0.099,0.331,,0.099,0.099,0.331,
