Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/27/2002,1579.0,,-1207.0,,372.0,,-246.0,,,,,126.0,-13.0,,12.0,-4.0,0.0,5.0,113.0,-3.0,110.0,0.0,,,110.0,0.0,110.0,0.0,0.0,110.0,110.0,,402.0,0.27,0.27,0.28,456.0,0.24,0.24,0.25,
12/27/2002,1734.0,,-1241.0,,493.0,,-274.0,,,,,219.0,-17.0,,12.0,-4.0,0.0,9.0,202.0,-4.0,198.0,0.0,,,198.0,0.0,198.0,0.0,0.0,198.0,198.0,,408.0,0.49,0.49,0.49,463.0,0.43,0.43,0.43,
03/28/2003,1620.0,,-1186.0,,434.0,,-252.0,,,,,182.0,-2.0,,11.0,-4.0,0.0,-5.0,180.0,-6.0,174.0,0.0,,,174.0,0.0,174.0,0.0,0.0,174.0,174.0,,429.0,0.41,0.41,0.41,476.0,0.37,0.37,0.37,
06/27/2003,1553.0,,-1125.0,,428.0,,-255.0,,,,,173.0,-8.0,,11.0,-4.0,0.0,1.0,165.0,-5.0,160.0,0.0,,,160.0,0.0,160.0,0.0,0.0,160.0,160.0,,434.0,0.37,0.37,0.37,486.0,0.33,0.33,0.33,
10/03/2003,1740.0,,-1272.0,,468.0,,-247.0,,,,,221.0,-20.0,,12.0,-4.0,0.0,12.0,201.0,-3.0,198.0,0.0,,,198.0,0.0,198.0,0.0,0.0,198.0,198.0,,445.0,0.44,0.44,0.46,499.0,0.4,0.4,0.41,
01/02/2004,1760.0,,-1299.0,,461.0,,-239.0,,,,,222.0,-11.0,,12.0,-5.0,0.0,4.0,211.0,-6.0,205.0,0.0,,,205.0,0.0,205.0,0.0,0.0,205.0,205.0,,450.0,0.46,0.46,0.47,500.0,0.41,0.41,0.42,
04/02/2004,1388.0,,-1087.0,,301.0,,-242.0,,,,,59.0,-13.0,,11.0,-4.0,0.0,6.0,46.0,113.0,159.0,0.0,,,159.0,0.0,159.0,0.0,0.0,159.0,159.0,,455.0,0.35,0.35,0.07,498.0,0.32,0.32,0.07,
07/02/2004,1336.0,,-1107.0,,229.0,,-228.0,,,,,1.0,-31.0,,10.0,-4.0,0.0,25.0,-30.0,-3.0,-33.0,0.0,,,-33.0,0.0,-33.0,0.0,0.0,-33.0,-33.0,,459.0,-0.07,-0.07,0.01,495.0,-0.07,-0.07,0.01,
10/01/2004,1558.0,,-1283.0,,275.0,,-217.0,,,,,58.0,-2.0,,11.0,-6.0,0.0,-3.0,56.0,-2.0,54.0,0.0,,,54.0,0.0,54.0,0.0,0.0,54.0,54.0,,462.0,0.12,0.12,0.12,494.0,0.11,0.11,0.11,
12/31/2004,1847.0,,-1467.0,,380.0,,-233.0,,,,,147.0,1.0,,11.0,-7.0,0.0,-5.0,148.0,-4.0,144.0,0.0,,,144.0,0.0,144.0,0.0,0.0,144.0,144.0,,466.0,0.31,0.31,0.31,500.0,0.29,0.29,0.29,
