Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
03/31/2004,-3.816,2.916,0.759,2.323,,0.0,2.323,-9.814,-2.32,,-7.494,,-3.816,-0.455,0,,,-0.455,,,0,0.0,0.0,,,,,-3.361,0.002,0.0,0.0,,,,0.002,0.002,0.0,0.0,,-7.63,,
06/30/2004,7.245,43.052,1.081,-40.579,,-38.913,-1.666,3.691,0.062,,3.629,,-1.009,-0.202,0,,,-0.202,,,0,0.0,0.0,,,,,-0.807,0.045,0.0,0.0,,,,0.045,0.045,0.0,0.0,,6.281,,
09/30/2004,6.745,9.084,0.644,-3.544,,-4.272,0.728,0.561,-1.455,,2.016,,-7.682,-2.49,0,,,-2.49,,,0,0.0,0.0,,,,,-5.192,-0.133,0.0,0.0,,,,0.053,0.053,0.0,-0.186,,-1.07,,
12/31/2004,10.559,2.535,0.997,6.289,,2.834,3.455,0.738,-1.869,,2.607,,15.027,-0.247,0,,,-0.247,,,0,0.0,0.0,,,,,15.274,53.894,0.0,0.0,,,,0.13,0.13,0.0,53.764,,79.48,,
03/31/2005,-3.791,3.057,1.225,2.618,0.427,2.004,0.187,-10.691,-0.205,,-10.486,,-36.764,-0.142,0,,,-0.142,,,0,0.0,0.0,,,,,-36.622,-0.055,0.0,0.0,,,,0.021,0.021,0.0,-0.076,,-40.61,0.215,
06/30/2005,7.216,1.824,1.568,1.294,,1.025,0.269,2.53,-1.365,,3.895,,-28.304,-0.208,0,,,-0.208,,,0,0.0,0.0,,,,,-28.096,1.676,0.0,0.0,,,,1.638,1.638,0.0,0.038,,-19.412,0.0,
09/30/2005,5.699,1.171,1.679,1.16,,0.493,0.667,1.689,-1.359,,3.048,,10.343,-0.163,0,,,-0.163,,,0,0.0,0.0,,,,,10.506,0.821,0.0,0.0,,,,0.833,0.833,0.0,-0.012,,16.863,-0.192,
12/31/2005,7.784,2.09,1.493,0.326,,-0.546,0.872,3.875,2.143,,1.732,,-4.309,-0.873,0,,,-0.873,,,0,0.0,0.0,,,,,-3.436,0.221,0.0,0.0,,,,0.217,0.217,0.0,0.004,,3.696,,
03/31/2006,-4.819,1.086,1.685,1.555,1.122,-0.448,0.881,-9.145,-1.113,,-8.032,,-2.497,-1.089,0,,,-1.089,,,0,0.0,0.0,,,,,-1.408,1.285,0.0,0.0,,,,1.247,1.247,0.0,0.038,,-6.031,0.088,
06/30/2006,5.431,0.8,0.799,2.806,,0.656,2.15,1.026,-1.039,,2.065,,-6.483,-0.776,0,,,-0.776,,,0,0.0,0.0,,,,,-5.707,0.185,0.0,0.0,,,,0.373,0.373,0.0,-0.188,,-0.867,0.0,
09/30/2006,7.467,1.297,1.703,2.318,,0.554,1.764,2.149,-2.386,,4.535,,5.715,-0.444,0,,,-0.444,,,0,0.0,0.0,,,,,6.159,0.82,0.0,0.0,,,,0.972,0.972,0.0,-0.152,,14.002,0.115,
12/31/2006,9.022,2.238,1.703,2.155,,0.141,2.014,2.926,1.244,,1.682,,7.496,-0.352,0,,,-0.352,,,0,0.0,0.0,,,,,7.848,0.189,0.0,0.0,,,,0.226,2.879,-2.653,-0.037,,16.707,0.06,
03/31/2007,-1.76,2.45,1.911,3.274,1.596,1.599,0.079,-9.395,-2.648,,-6.747,,3.362,-0.348,0,,,-0.348,,,0,0.0,0.0,,,,,3.71,-15.311,0.0,0.0,,,,-15.268,3.271,-18.539,-0.043,,-13.709,0.04,
06/30/2007,14.059,3.552,1.879,3.963,1.235,2.655,0.073,4.665,0.918,,3.747,,-13.184,-0.309,0,,,-0.309,,,0,0.0,0.0,,,,,-12.875,-3.816,0.0,0.098,,,,-3.832,1.486,-5.318,-0.082,,-2.941,0.017,
09/30/2007,10.031,2.41,1.686,2.486,2.505,1.096,-1.115,3.449,-0.795,,4.244,,1.677,-0.48,0,,,-0.48,,,0,0.0,0.0,,,,,2.157,-2.708,0.0,0.11,,,,-2.776,0.744,-3.52,-0.042,,9.0,0.07,
12/31/2007,6.79,1.908,1.694,1.019,,-0.654,1.673,2.169,1.163,,1.006,,-3.034,-0.396,0,,,-0.396,,,0,0.0,0.0,,,,,-2.638,-5.395,0.0,0.0,,,,-5.347,1.85,-7.197,-0.048,,-1.639,0.022,
03/31/2008,-1.908,1.596,1.78,3.523,1.739,1.496,0.288,-8.807,2.832,,-11.639,,-13.029,-0.321,0,,,-0.321,,,0,0.0,0.0,,,,,-12.708,-3.475,0.0,0.0,,,,-3.229,0.0,-3.229,-0.246,,-18.412,0.016,
06/30/2008,10.829,2.848,1.816,3.941,,1.886,2.055,2.224,-1.512,,3.736,,4.817,-0.348,0,,,-0.348,,,0,0.0,0.0,,,,,5.165,26.311,0.0,0.043,,,,26.732,26.732,,-0.464,,41.957,0.019,
09/30/2008,8.928,1.519,2.494,2.613,,0.471,2.142,2.302,1.326,,0.976,,2.973,-0.646,0,,,-0.646,,,0,0.0,0.0,,,,,3.619,6.805,0.0,0.048,,,,6.94,6.94,,-0.183,,18.706,0.016,
12/31/2008,9.785,1.936,1.789,3.063,,0.966,2.097,2.997,3.139,,-0.142,,-17.26,-0.362,0,,,-0.362,,,0,0.0,0.0,,,,,-16.898,-0.164,0.0,-0.091,,,,-0.032,,-0.032,-0.041,,-7.639,0.401,
