Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2006,52.695,,-27.08,,25.615,,-16.574,,,,9.041,4.022,0.157,0.157,,-2.752,-1.427,13.063,-5.025,,8.038,0.0,,,8.038,0.0,8.038,0.0,0.0,8.038,8.038,,63.968,0.13,0.13,0.13,66.324,0.12,0.12,0.12,
03/31/2007,66.949,,-36.907,,30.042,,-25.222,13.69,,11.532,4.82,3.489,1.048,1.048,,0.27,-4.807,8.309,-3.281,,5.028,0.0,,,5.028,0.0,5.028,0.0,0.0,5.028,5.028,,72.347,0.07,0.07,0.07,75.392,0.07,0.07,0.07,
06/30/2007,77.223,,-48.852,,28.371,,-22.571,17.285,,5.286,5.8,2.064,1.474,1.474,,-0.021,-3.517,7.864,36.554,,44.418,0.0,,,44.418,0.0,44.418,0.0,0.0,44.418,44.418,,72.596,0.61,0.61,0.07,76.089,0.58,0.58,0.07,
09/29/2007,159.007,,-76.967,,82.04,0.0,-33.741,27.082,,6.659,48.299,5.35,-3.556,1.742,-5.298,-0.965,-0.829,53.649,-7.615,,46.034,,,,46.034,,46.034,0.0,0.0,46.034,46.034,,75.666,0.61,0.61,0.51,79.088,0.58,0.58,0.49,
03/29/2008,196.915,,-92.591,,104.324,0.0,-46.192,28.671,,17.521,58.132,7.077,-5.176,1.509,-6.685,-0.774,-1.127,65.209,-18.59,,46.619,0.0,,,46.619,0.0,46.619,0.0,0.0,46.619,46.619,,79.059,0.59,0.59,0.59,81.607,0.57,0.57,0.57,
06/28/2008,267.041,,-122.341,,144.7,,-55.973,,,,88.727,5.129,-3.62,1.303,-4.923,-0.647,-0.862,93.856,-24.185,,69.671,0.0,,,69.671,0.0,69.671,0.0,0.0,69.671,69.671,,79.877,0.87,0.87,0.87,82.004,0.85,0.85,0.85,
09/27/2008,348.694,,-153.251,,195.443,0.0,-65.291,48.995,,16.296,130.152,2.947,-3.056,2.267,-5.323,1.889,-1.78,133.099,-33.83,,99.269,0.0,,,99.269,0.0,99.269,0.0,0.0,99.269,99.269,,80.43,1.23,1.23,1.23,82.436,1.2,1.2,1.2,
12/27/2008,433.651,,-199.725,,233.926,,-72.598,52.747,,19.851,161.328,10.284,-1.912,2.315,-4.227,-6.19,-2.182,171.612,-38.841,,132.771,0.0,,,132.771,0.0,132.771,0.0,0.0,132.771,132.771,,81.345,1.63,1.63,1.63,82.45,1.61,1.61,1.61,
03/28/2009,418.208,418.208,-182.924,182.924,235.284,0.0,-67.228,49.315,11.704,6.209,168.056,1.676,-1.168,0.935,-2.103,-1.834,1.326,169.732,-5.137,,164.595,0.0,0.0,0.0,164.595,0.0,164.595,0.0,0.0,164.595,168.63085,4.03585,81.685,2.01,2.01,2.064404,82.612,1.99,1.99,2.038853,
06/27/2009,525.876,525.876,-227.78,227.78,298.096,0.0,-94.055,72.926,18.605,2.524,204.041,-2.743,1.879,3.827,-1.948,-0.239,1.103,201.298,-20.719,,180.579,0.0,0.0,0.0,180.579,0.0,180.579,0.0,0.0,180.579,182.6746,2.0956,83.723,2.16,2.16,2.181893,85.668,2.11,2.11,2.134462,
09/26/2009,480.851,480.851,-235.858,235.858,244.993,0.0,-82.202,53.99,24.136,4.076,162.791,2.176,-2.309,0.089,-2.398,-0.114,0.247,164.967,-11.623,,153.344,0.0,0.0,0.0,153.344,0.0,153.344,0.0,0.0,153.344,169.7384,16.3944,84.179,1.82,1.82,2.016398,85.892,1.79,1.79,1.980872,
12/26/2009,641.265,641.265,-375.056,375.056,266.209,0.0,-121.482,96.667,23.716,1.099,144.727,5.59,-2.879,0.407,-3.286,-3.02,0.309,150.317,-8.697,,141.62,0.0,0.0,0.0,141.62,,141.62,0.0,0.0,141.62,142.33435,0.71435,84.413,1.68,1.68,1.686166,86.004,1.65,1.65,1.658306,
03/27/2010,567.961,567.961,-285.925,285.925,282.036,0.0,-90.895,66.864,22.888,1.143,191.141,4.218,-5.648,0.0,-5.648,0.696,0.734,195.359,-23.014,,172.345,0.0,0.0,0.0,172.345,0.0,172.345,0.0,0.0,172.345,173.08795,0.74295,84.505,2.04,2.04,2.048257,86.092,2.0,2.0,2.00863,
06/26/2010,587.854,587.854,-303.66,303.66,284.194,0.0,-103.721,78.597,22.836,2.288,180.473,-0.035,-3.029,0.006,-3.035,2.625,0.439,180.438,-21.395,,159.043,0.0,0.0,0.0,159.043,0.0,159.043,0.0,0.0,159.043,160.5302,1.4872,84.852,1.87,1.87,1.891885,86.401,1.84,1.84,1.857213,
09/25/2010,797.899,797.899,-476.007,476.007,321.892,0.0,-110.254,84.961,21.472,3.821,211.638,1.277,-2.658,0.0,-2.658,1.001,0.38,212.915,-36.046,,176.869,0.0,0.0,0.0,176.869,0.0,176.869,0.0,0.0,176.869,195.80765,18.93865,85.072,2.08,2.08,2.30167,86.61,2.04,2.04,2.258666,
12/31/2010,609.801,609.801,-313.077,313.077,296.724,0.0,-131.073,91.282,27.601,12.19,165.651,7.714,-3.034,0.0,-3.034,-0.854,-3.826,173.365,-17.421,,155.944,0.0,0.0,0.0,155.944,0.0,155.944,0.0,0.0,155.944,209.7145,53.7705,85.134,1.831748,1.831748,2.463346,86.86,1.795349,1.795349,2.414397,
03/31/2011,567.293,567.293,-307.628,307.628,259.665,0.0,-130.282,87.0,31.351,11.931,129.383,3.624,-3.023,0.0,-3.023,-0.95,0.349,133.007,-17.039,,115.968,0.0,0.0,0.0,115.968,0.0,115.968,0.0,0.0,115.968,123.72315,7.75515,85.324,1.36,1.36,1.450039,87.053,1.33,1.33,1.419085,
06/30/2011,532.774,532.774,-337.976,337.976,194.798,0.0,-130.268,86.872,33.102,10.294,64.53,7.427,-3.417,0.0,-3.417,-1.659,-2.351,71.957,-10.819,,61.138,0.0,0.0,0.0,61.138,0.0,61.138,0.0,0.0,61.138,67.8291,6.6911,86.164,0.71,0.71,0.787209,87.126,0.7,0.7,0.776798,
09/30/2011,1005.788,1005.788,-626.624,626.624,379.164,0.0,-156.421,112.743,38.164,5.514,222.743,0.022,-3.225,0.0,-3.225,1.857,1.346,222.765,-26.251,,196.514,0.0,0.0,0.0,196.514,0.0,196.514,0.0,0.0,196.514,200.0981,3.5841,86.338,2.28,2.28,2.317613,87.151,2.25,2.25,2.291125,
