Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,172.348007,,-122.936996,,49.411011,,-41.095001,,,,8.316,2.068,,,,,-2.068,10.384,-3.489,6.895,,,,6.895,,6.895,,,6.895,6.895,,101.667999,0.07,0.07,,101.667999,0.07,0.07,0.07,
07/29/1989,201.026993,,-140.949005,,60.077988,,-44.074001,,,,16.004,1.654,,,,,-1.654,17.658,-5.905,11.753,,,,11.753,,11.753,,,11.753,11.753,,101.797997,0.115,0.115,,101.797997,0.115,0.115,0.115,
10/28/1989,192.542007,,-136.975998,,55.56601,,-46.111,,,,9.455,0.729,,0.743,,,-1.472,10.184,-3.079,7.105,,,,7.105,,7.105,,,7.105,7.105,,101.709999,0.07,0.07,,101.709999,0.07,0.07,0.07,
02/03/1990,242.720001,,-173.899002,,68.820999,,-53.751999,,,,15.069,-0.353,,2.277,,,-1.924,14.716,-4.059,10.657,,,,10.657,,10.657,,,10.657,10.657,,99.944,0.105,0.105,,99.944,0.105,0.105,0.105,
05/05/1990,191.761002,,-135.578995,,56.182007,,-46.458,,,,9.724,0.688,,0.755,,,-1.443,10.412,-3.436,6.976,,,,6.976,,6.976,,,6.976,6.976,,101.580002,0.07,0.07,,101.580002,0.07,0.07,0.07,
08/04/1990,218.970993,,-155.417999,,63.552994,,-48.998001,,,,14.555,0.747,,0.862,,,-1.609,15.302,-5.05,10.252,,,,10.252,,10.252,,,10.252,10.252,,100.526001,0.1,0.1,,100.526001,0.1,0.1,0.1,
11/03/1990,218.395996,,-154.457993,,63.938004,,-52.167999,,,,11.77,1.042,,0.651,,,-1.693,12.812,-4.228,8.584,,,,8.584,,8.584,,,8.584,8.584,,104.875999,0.08,0.08,,104.875999,0.08,0.08,0.08,
02/02/1991,257.136993,,-180.162994,,76.973999,,-56.889999,,,,20.084,0.982,,0.866,,,-1.848,21.066,-6.532,14.534,,,,14.534,,14.534,,,14.534,14.534,,100.167,0.145,0.145,0.145,100.167,0.145,0.145,0.145,
05/04/1991,222.869995,,-154.699997,,68.169998,,-53.784,,,,14.386,0.592,,0.828,,,-1.42,14.978,-4.643,10.335,,,,10.335,,10.335,,,10.335,10.335,,104.875999,0.1,0.1,,104.875999,0.1,0.1,0.1,
08/03/1991,255.171997,,-177.552002,,77.619995,,-54.686001,,,,22.934,0.876,,0.807,,,-1.683,23.81,-7.381,16.429001,,,,16.429,,16.429001,,,16.429001,16.429001,,106.414001,0.155,0.155,,106.414001,0.155,0.155,0.155,
