Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,80.143997,,-37.532001,,,42.611996,,-7.212,,,35.399994,-2.201,,2.576,,,,-0.375,33.198994,-14.787,,18.411995,0.0,,,18.411994,-2.773,15.638994,0.0,,15.638994,15.638994,,85.379997,0.18,0.18,,85.379997,0.18,0.18,0.18,
06/30/1990,107.44899,,-49.429001,,,58.019989,,-6.96,,,51.059994,-2.943,,2.963,,,,-0.02,48.116994,-21.347,,26.769993,0.0,,,26.769994,-4.005,22.764992,0.0,,22.764992,22.764992,,170.759995,0.135,0.135,,170.759995,0.135,0.135,0.135,
09/30/1990,135.910995,,-55.632999,,,80.277996,,-8.347,,,71.930992,-3.034,,3.771,,,,-0.737,68.896992,-30.556999,,38.339989,0.0,,,38.339993,-5.056,33.283989,0.0,,33.283989,33.283989,,172.759995,0.195,0.195,,172.759995,0.195,0.195,0.195,
12/31/1990,110.64402,,-52.93,,,57.71402,,-11.556,,,46.158024,-4.136,,4.207,,,,-0.071,42.022024,-21.639,,20.383022,0.0,,,20.383024,-1.892,18.491022,0.0,,18.491022,18.491022,,182.130004,0.1,0.1,0.1,182.130004,0.1,0.1,0.1,
03/31/1991,119.159988,,-60.082001,,,59.077988,,-11.333,,,47.744991,-1.405,,4.004,,,,-2.599,46.339991,-21.596001,,24.743992,0.0,,,24.74399,-2.679,22.064991,0.0,,22.064991,22.064991,,182.12999,0.09,0.09,,182.12999,0.09,0.09,0.09,
06/30/1991,73.727997,,-38.269001,,,35.458996,,-11.094,,,24.364994,-4.727,,3.851,,,,0.876,19.637994,-9.15,,10.487995,0.0,,,10.487994,-1.135,9.352995,0.0,,9.352995,9.352995,,182.12999,0.05,0.05,,182.12999,0.05,0.05,0.05,
09/30/1991,153.227997,,-84.43,,,68.797997,,-11.861,,,56.936989,-6.314,,7.406,,,,-1.092,50.622989,-22.966999,,27.655989,0.0,,,27.65599,-2.849,24.80699,0.0,,24.80699,24.80699,,182.12999,0.14,0.14,,182.12999,0.14,0.14,0.14,
12/31/1991,121.405991,,-59.969002,,,61.436989,,-12.764,,,48.672993,-5.528,,6.19,,,,-0.662,43.144993,8.128,,51.272991,5.803,,,45.469993,-5.536,39.93399,0.0,,39.93399,39.93399,,182.130004,0.22,0.25,0.25,182.130004,0.22,0.25,0.25,
03/31/1992,106.748993,,-55.903999,,,50.844994,,-15.633,,,35.211994,-3.387,,5.325,,,,-1.938,31.824994,-10.825,,20.999992,0.0,,,20.999995,-3.688,17.311993,0.0,,17.311993,17.311993,,182.12999,0.1,0.1,,182.12999,0.1,0.1,0.1,
06/30/1992,241.68399,,-112.783997,,,128.899994,,-19.639,,,109.260986,-5.4,,5.009,,,,0.391,103.860987,-41.220001,,62.640984,0.0,,,62.640985,-12.925,49.715984,0.0,,49.715984,49.715984,,364.273987,0.135,0.135,,364.273987,0.135,0.135,0.135,
09/30/1992,157.113983,,-77.886002,,,79.227982,,-20.57,,,58.65799,-1.906,,5.146,,,,-3.24,56.75199,-23.559,,33.192989,0.0,,,33.19299,-6.716,26.47699,-3.098,,23.37899,23.37899,,379.963959,0.06,0.06,,379.963959,0.06,0.06,0.06,
12/31/1992,208.76799,,-110.646004,,,98.121986,,-24.823999,,,73.297989,-1.042,,3.417,,,,-2.375,72.255989,-28.122,,44.133987,0.0,,,44.133989,-7.746,36.387985,-3.927,,32.460985,32.460985,,390.904328,0.085,0.085,0.085,390.904328,0.085,0.085,0.085,
03/31/1993,133.514999,,-81.375999,,,52.139,,-23.27,,,28.868999,-7.913,,5.629,,,,2.284,20.955999,-10.937,,10.019,9.854,,,0.164999,-1.398,-1.233,-3.927,,-5.16,-5.16,,391.334015,-0.015,0.01,,391.334015,-0.015,0.01,0.01,
06/30/1993,215.033005,,-183.160995,,,31.872009,,-32.955002,,,-1.083,-23.118,,6.308,,0.0,,16.809999,-24.200999,2.311,,-21.889999,0.0,,,-21.889999,4.293,-17.597,-3.927,,-21.524,-21.524,,395.100006,-0.055,-0.055,,395.100006,-0.055,-0.055,-0.055,
09/30/1993,261.503998,,-176.804993,,,84.699005,,-25.237,,,59.462002,-4.219,,,,,,4.219,55.243002,-21.77,,33.473,0.0,,,33.473001,-4.398,29.075001,-9.887,,19.188001,19.188001,,398.329987,0.05,0.05,,398.329987,0.05,0.05,0.05,
12/31/1993,315.880005,,-193.712006,,,122.167999,,-33.685001,,,88.483002,-3.088,,3.39,,0.0,,-0.302,85.395002,-37.193001,,48.202,0.0,,,48.202001,-7.631,40.570999,-11.213,,29.357999,29.357999,,398.665986,0.075,0.075,0.075,398.665986,0.075,0.075,0.075,
03/31/1994,266.153015,,-181.921997,,,84.231018,,-31.1,,,53.131001,-0.116,,,,,,0.116,53.015001,-23.142,,29.872999,0.0,,,29.873,-4.009,25.864,-12.305,,13.559,13.559,,410.421997,0.035,0.035,,410.421997,0.035,0.035,0.035,
06/30/1994,281.451996,,-190.987,,,90.464996,,-37.924999,,,52.540001,-0.454,,0.0,,0.0,,0.454,52.086001,-24.358999,,27.726999,0.0,,,27.727002,-5.426,22.301001,-12.583,,9.718,9.718,,411.865997,0.025,0.025,,411.865997,0.025,0.025,0.025,
09/30/1994,313.384003,,-210.679001,,,102.705002,,-39.344002,,,63.361,0.216,,0.0,,0.0,,-0.216,63.577,-30.157,,33.419998,0.0,,,33.42,-6.592,26.827999,-13.365,,13.462999,13.462999,,411.865997,0.035,0.035,,411.865997,0.035,0.035,0.035,
12/31/1994,351.295013,,-231.772995,,,119.522018,,-41.021999,,,78.5,31.914,,0.0,,0.0,,-31.914,110.414,-45.754002,,64.660004,0.0,,,64.659998,-9.412,55.248001,-13.585,,41.663001,41.663001,,411.884002,0.1,0.1,0.1,411.884002,0.1,0.1,0.1,
03/31/1995,408.806,,-246.098999,,,162.707001,,-40.806,,,121.901001,-0.718,,0.0,,0.0,,0.718,121.183001,-51.395,,69.788002,0.0,,,69.788001,-12.392,57.396,-13.403,,43.993,43.993,,411.906006,0.105,0.105,,411.906006,0.105,0.105,0.105,
06/30/1995,421.468994,,-249.744995,,,171.723999,,-41.007999,,,130.716003,-12.719,,11.799,,0.0,,0.92,117.997004,-50.528,,67.469002,0.0,,,67.469004,-13.285,54.183998,-13.559,,40.624998,40.624998,,410.313995,0.1,0.1,,410.313995,0.1,0.1,0.1,
09/30/1995,469.812012,,-250.104004,,,219.708008,,-49.212002,,,170.496002,-20.497999,,17.737,,0.0,,2.761,149.998003,-63.041,,86.957001,0.0,,,86.957002,-12.809,74.148003,-13.615,,60.533003,60.533003,,408.115997,0.15,0.15,,408.115997,0.15,0.15,0.15,
12/31/1995,534.247986,,-310.545013,,,223.702973,,-52.563999,,,171.139008,-15.555,,18.364,,0.0,,-2.809,155.584008,-69.080002,,86.503998,0.0,,,86.504006,-18.614,67.889999,-13.576,,54.313999,54.313999,,404.911988,0.135,0.135,0.135,404.911988,0.135,0.135,0.135,
03/31/1996,388.391998,,-240.003006,,,148.388992,,-42.846001,,,105.542999,-22.623001,,23.530001,,0.0,,-0.907,82.919999,-38.620998,,44.299,0.0,,,44.299,-8.163,36.136002,-13.686,,22.450002,22.450002,,397.059998,0.055,0.055,0.075,397.059998,0.055,0.055,0.075,
06/30/1996,424.347992,,-282.300995,,,142.046997,,-30.42,,,111.626999,-26.58,,29.545,,0.0,,-2.965,85.046999,-36.733002,,48.313999,0.0,,,48.313997,-5.643,42.671001,-13.626,,29.045001,29.045001,,394.338013,0.075,0.075,0.075,394.338013,0.075,0.075,0.075,
09/30/1996,474.664001,,-275.873993,,,198.790009,,-28.468,,,170.322006,-30.46,,28.566,,0.0,,1.894,139.862006,-65.296997,,74.565002,0.0,,,74.565009,-14.926,59.639,-13.513,,46.126,46.126,,391.221985,0.12,0.12,0.12,391.221985,0.12,0.12,0.12,
12/31/1996,617.632019,,-327.662994,,,289.969025,,-39.200001,,,250.768997,-36.652002,,35.650002,,-10.3,,11.302,214.116995,-106.516998,,107.599998,0.0,,,107.599997,-19.797001,87.803001,-10.744,,77.059001,77.059001,,391.584014,0.195,0.195,0.195,391.584014,0.195,0.195,0.195,
03/31/1997,523.780029,,-296.742004,,,227.038025,,-29.43,,,197.608002,-31.149999,,33.147999,,,,-1.998,166.458003,-78.605003,,87.852997,0.0,,,87.853,-16.032,71.820999,-9.37,,62.450999,62.450999,,402.667999,0.155,0.155,0.155,406.093994,0.155,0.155,0.155,
06/30/1997,566.950012,,-317.527008,,,249.423004,,-35.722,,,213.701004,-40.999002,,40.476002,,,,0.523,172.702002,-78.283997,,94.417999,0.0,,,94.418006,-15.361,79.056999,-9.205,,69.851999,69.851999,,398.578003,0.175,0.175,0.175,401.75,0.175,0.175,0.175,
09/30/1997,489.522003,,-321.071014,,,168.450989,,-32.034,,,136.417007,-37.266,,38.632,,,,-1.366,99.151008,-45.139999,,54.011002,0.0,,,54.011008,-8.394,45.617001,-9.04,,36.577001,36.577001,,390.921997,0.095,0.095,0.095,393.847992,0.095,0.095,0.095,
12/31/1997,420.652008,,-287.118988,,,133.53302,,-17.044001,,,116.488998,-38.034001,,39.464001,,,,-1.43,78.454998,-29.285999,,49.168999,0.0,,,49.168998,-0.556,48.612999,-8.952,,39.660999,39.660999,,378.971985,0.105,0.105,0.075,378.971985,0.105,0.105,0.075,
03/31/1998,396.131989,,-244.132996,,,151.998993,,-22.195,,,129.804001,-49.879002,,48.580002,,,,1.299,79.924999,-37.155998,,42.769001,0.0,,,42.769001,-7.142,35.626999,-9.035,,26.591999,26.591999,,362.502014,0.075,0.075,0.075,362.747986,0.075,0.075,0.075,
06/30/1998,433.858002,,-274.893005,,,158.964996,,-24.027,,,134.938004,-54.051001,,53.262001,,,,0.789,80.887003,-38.726002,,42.160999,0.0,,,42.161001,-7.423,34.737999,-8.936,,25.801999,25.801999,,361.122009,0.07,0.07,0.07,361.544006,0.07,0.07,0.07,
09/30/1998,442.126007,,-279.76001,,,162.365997,,-27.278,,,135.087997,-55.174,,51.271,,,,3.903,79.913997,-38.578999,,41.334999,0.0,,,41.334999,-8.702,32.632999,-8.791,,23.841999,23.841999,,349.335999,0.07,0.07,0.07,349.335999,0.07,0.07,0.07,
12/31/1998,485.015991,,-283.252014,,,201.763977,,-27.313,,,174.451004,-53.750998,,52.474998,,,,1.276,120.700006,-56.105,,64.595001,0.0,,,64.595006,-13.745,50.849998,-8.769,,42.080998,42.080998,,329.869995,0.13,0.13,0.13,329.869995,0.13,0.13,0.13,
03/31/1999,415.835999,,-260.627991,,,155.208008,,-18.605,,,136.602997,-59.983,50.319,50.319,,,,9.664,76.619997,-40.076,,36.543999,0.0,,,36.543997,-10.1,26.444,-8.734,,17.71,17.71,,328.033997,0.055,0.055,0.055,328.033997,0.055,0.055,0.055,
06/30/1999,470.334991,,-315.795013,,,154.539978,,-19.409,,,135.130997,-54.049999,,47.903999,,,,6.146,81.080997,-42.216,,38.865002,0.0,,,38.864998,-11.322,27.542999,-8.582,,18.960999,18.960999,,326.929993,0.06,0.06,0.06,328.812012,0.06,0.06,0.06,
09/30/1999,473.65799,,-299.300995,,,174.356995,,-17.635,,,156.722,-54.622999,47.903999,47.903999,,,,6.719,102.099001,-53.331001,,48.768002,0.0,,,48.768,-13.13,35.638,-8.829,,26.809,26.809,,326.962006,0.08,0.08,0.08,329.687988,0.08,0.08,0.08,
12/31/1999,527.499023,,-329.048004,,,198.451019,,-25.601,,,172.850006,-51.816001,,47.942001,,,,3.874,121.034005,-60.028999,,61.005001,0.0,,,61.005005,-14.162,46.842999,-9.535,,37.307999,37.307999,,326.980011,0.115,0.115,0.115,329.90799,0.115,0.115,0.115,
03/31/2000,467.592,,-323.431,,,144.161,,-22.717,,,121.444,-52.468,49.935,,,,,2.533,68.976,-40.473,,28.503,,,,28.503,-9.772,18.731,-9.49,,9.241,9.241,,322.646,0.03,0.03,0.03,325.088,0.03,0.03,0.03,
06/30/2000,397.348,,-305.809,,,91.539,,-18.359,,,73.18,-59.296,49.813,,,,,9.483,13.884,-18.252,,-4.368,,,,-4.368,-4.808,-9.176,-9.437,,-18.613,-18.613,,316.758,-0.06,-0.06,-0.06,316.758,-0.06,-0.06,-0.06,
09/30/2000,473.837,,-356.711,,,117.126,,-21.644,,,95.482,-53.324,53.539,,,,,-0.215,42.158,-34.752,,7.406,,,,7.406,-7.252,0.154,-9.346,,-9.192,-9.192,,300.176,-0.03,-0.03,-0.03,300.176,-0.03,-0.03,-0.03,
12/31/2000,529.833008,,-300.731995,,,229.101013,,-17.079,,,212.022003,-63.799998,,52.058998,,,,11.741,148.222005,-66.096001,,82.125999,0.0,,,82.126004,-14.848,67.278,-9.214,,58.064,58.064,,292.391998,0.2,0.2,0.2,292.761994,0.2,0.2,0.2,
03/31/2001,447.087,,-262.579,,,184.508,,-16.46,,,168.048,-47.728,48.437,48.437,,,,-0.709,120.32,-60.615,,59.705,,,,59.705,-12.601,47.104,-9.065,,38.039,38.039,,287.812,0.13,0.13,0.13,289.456,0.13,0.13,0.13,
06/30/2001,538.259,,-345.063,,,193.196,,-18.562,,,174.634,-41.802,41.393,,,,,0.409,132.832,-72.408,,60.424,,,,60.424,-15.007,45.417,-9.125,,36.292,36.292,,287.908,0.125,0.125,0.125,290.464,0.125,0.125,0.125,
09/30/2001,441.238,,-316.168,,,125.07,,-16.951,,,108.119,-46.155,40.115,,,,,6.04,61.964,-40.285,,21.679,,,,21.679,-8.247,13.432,-9.184,,4.248,4.248,,287.946,0.015,0.015,0.015,289.316,0.015,0.015,0.015,
12/31/2001,412.282013,,-309.695007,,,102.587006,,-16.639,,,85.947998,-42.288002,,43.650002,,,,-1.362,43.659996,-29.671,,13.989,0.0,,,13.988996,-6.917,7.072,-9.155,0.0,-2.083,-2.083,,287.947998,-0.005,-0.005,-0.005,287.947998,-0.005,-0.005,-0.005,
03/31/2002,392.68,,-287.971,,,104.709,,-17.166,,,87.543,-45.068,44.282,44.282,,,,0.786,42.475,-28.814,,13.661,3.049,,,10.612,-5.554,5.058,-9.212,,-4.154,-4.154,,288.216,-0.015,-0.005,-0.005,288.216,-0.015,-0.005,-0.005,
06/30/2002,407.999,,-268.429,,,139.57,,-17.16,,,122.41,-55.36,43.492,,,,,11.868,67.05,-46.04,,21.01,,,,21.01,-5.975,15.035,-9.459,,5.576,5.576,,289.396,0.02,0.02,0.02,294.74,0.02,0.02,0.02,
09/30/2002,538.739,,-315.308,,,223.431,,-17.355,,,206.076,-42.445,41.388,,,,,1.057,163.631,-81.134,,82.497,,,,82.497,-11.534,70.963,-9.426,,61.537,61.537,,289.788,0.21,0.21,0.21,377.754,0.195,0.195,0.195,
12/31/2002,571.044006,,-327.200012,,,243.843994,,-19.736,,,224.108002,-47.602001,,42.047001,,,,5.555,176.506001,-89.529999,,86.975998,0.0,,,86.976002,-13.378,73.598,-9.507,0.0,64.091,64.091,,289.794006,0.22,0.22,0.22,376.779998,0.205,0.205,0.205,
03/31/2003,524.596,,-315.258,,,209.338,,-18.012,,,191.326,-53.451,52.509,,,,,0.942,137.875,-77.214,,60.661,-9.082,,,69.743,-10.911,58.832,-9.587,,49.245,49.245,,290.48,0.17,0.14,0.14,378.968,0.165,0.14,0.14,
06/30/2003,609.455,,-345.691,,,263.764,,-22.538,,,241.226,-62.115,55.478,,,,,6.637,179.111,-97.908,,81.203,,,,81.203,-14.259,66.944,-9.572,,57.372,57.372,,291.814,0.195,0.195,0.195,381.98,0.185,0.185,0.185,
09/30/2003,631.99,,-327.606,,,304.384,,-18.106,,,286.278,-73.159,48.089,,,,,25.07,213.119,-117.683,,95.436,24.675,,,70.761,-17.271,53.49,-6.124,,47.366,47.366,,318.814,0.15,0.225,0.225,388.67,0.145,0.205,0.205,
12/31/2003,446.123993,,-324.457001,,,121.666992,,-28.072001,,,93.595001,-39.925002,,40.941002,,0.0,,-1.016,53.669999,-45.248001,,8.422,0.0,,,8.421998,-6.028,2.394,-2.158,0.0,0.236,0.236,,345.329986,0.0,0.0,0.02,355.670014,0.0,0.0,0.02,
03/31/2004,360.185,,-301.022,,,59.163,,-17.787,,,41.376,-44.849,33.39,,,,,11.459,-3.473,-18.341,,-21.814,,,,-21.814,2.431,-19.383,-0.168,,-19.551,-19.551,,395.876,-0.05,-0.05,-0.05,395.876,-0.05,-0.05,-0.05,
06/30/2004,486.334,,-414.269,,,72.065,,-25.363,,,46.702,-41.612,39.339,,,,,2.273,5.09,-38.21,,-33.12,,,,-33.12,-5.118,-38.238,-15.073,,-53.311,-53.311,,350.404,-0.15,-0.15,-0.15,350.404,-0.15,-0.15,-0.15,
09/30/2004,600.556,,-423.771,,,176.785,,-28.149,,,148.636,-34.808,37.848,37.848,,0.0,,-3.04,113.828,-71.343,,42.485,0.0,,,42.485,-10.227,32.258,-15.125,0.0,17.133,17.133,,354.274,0.05,0.05,0.05,359.61,0.05,0.05,0.05,
12/31/2004,924.791,,-517.637,,,407.154,,-27.292,,,379.862,79.077,37.526,37.526,,,,-116.603,458.939,-202.786,,256.153,0.0,,,256.153,-28.523,227.63,-15.125,0.0,212.505,212.505,-75.2414,357.624,0.595,0.595,0.385,441.162,0.54,0.54,0.37,
03/31/2005,803.065,,-421.932,,,381.133,,-23.534,,,357.599,-26.963,37.5441,37.548,-0.0039,0.0,,-10.5811,330.636,-164.028,,166.608,0.0,,,166.608,-21.088,145.52,-15.125,0.0,130.395,130.395,,358.64,0.365,0.365,0.365,400.252,0.35,0.35,0.35,
06/30/2005,902.909,,-444.745,,,458.164,,-27.721,,,430.443,-24.587,35.292,35.292,,,,-10.705,405.856,-188.684,,217.172,,,,217.172,-26.8,190.372,-15.125,,175.247,175.247,,356.648,0.49,0.49,0.49,439.98,0.455,0.455,0.455,
09/30/2005,983.27,,-496.014,,,487.256,,-27.705,,,459.551,-66.826,33.3253,33.33,-0.0047,0.0,,33.5007,392.725,-186.712,,206.013,,,,206.013,-25.083,180.93,-15.125,0.0,165.805,165.805,,355.79,0.465,0.465,0.085,439.648,0.43,0.43,0.065,
12/31/2005,1489.874,,-464.807,,,1025.067,,-35.887,,,929.693,-773.26,,,,,,773.26,156.433,375.644,,532.077,0.0,,,532.077,-53.772,478.305,-15.125,0.0,463.18,463.18,,371.084,1.25,1.25,1.265,442.05,1.095,1.095,1.105,
03/31/2006,1086.122,,-521.165,,,564.957,,-33.207,,,531.75,-16.127,22.671,22.671,,0.0,,-6.544,515.623,-221.722,,293.901,0.0,,,293.901,-27.126,266.775,-15.125,0.0,251.65,251.65,,375.832,0.67,0.67,0.77,442.954,0.615,0.615,0.7,
