Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,4291.089844,51.902,51.902,0.0,403.067993,,,417.97699,,,,,71.626999,,,,,,944.573975,3146.855957,4778.116211,-1631.26001,,,199.660004,,,,,199.660004,3346.515961,,330.190002,330.190002,,,,15.342,,,,,240.738994,,,240.738994,586.270996,1700.160034,,,,407.833008,,,,407.833008,2107.993042,2694.264038,303.453003,94.877998,,,,,1198.494995,1596.825996,,1596.825996,4291.090034,
06/30/1990,4417.187012,22.541,22.541,0.0,426.153992,,,395.227997,,,,,71.325996,,,,,,915.249023,3297.605957,4967.467773,-1669.862061,,,204.332001,,,,,204.332001,3501.937958,,303.79599,303.79599,,,,120.532997,,,,,227.317009,,,227.317009,651.645996,1728.807007,,,,437.248993,,,,437.248993,2166.056,2817.701996,303.225006,94.875,,,,,1201.38501,1599.485016,,1599.485016,4417.187012,
09/30/1990,4648.5,27.025,27.025,0.0,439.121002,,,436.914001,,,,,72.185997,,,,,,975.245972,3457.550049,5171.772949,-1714.223022,,,215.703995,,,,,215.703995,3673.254044,,358.227997,358.227997,,,,137.097,,,,,233.469986,,,233.469986,728.794983,1879.120972,,,,450.350006,,,,450.350006,2329.470978,3058.265961,302.998993,94.873001,,,,,1192.362061,1590.234055,,1590.234055,4648.500015,
12/31/1990,4784.77002,25.945999,25.945999,0.0,412.558014,,,484.971985,,,,,74.107002,,,,,,997.583008,3546.863037,5273.657227,-1726.793945,,,240.324005,,,,,240.324005,3787.187042,,344.384003,344.384003,,,,176.731003,,,,,237.257004,,,237.257004,758.372009,1934.504028,,,,516.362976,,,,516.362976,2450.867004,3209.239014,302.807007,94.871002,,,,,1177.853027,1575.531036,,1575.531036,4784.77005,
03/31/1991,4810.210938,55.285999,55.285999,0.0,402.980011,,,471.100006,,,,,76.424004,,,,,,1005.789978,3550.809082,5318.910156,-1768.100952,,,253.612,,,,,253.612,3804.421082,,294.480988,294.480988,,,,75.153,,,,,241.689011,,,241.689011,611.322998,2147.529053,,,,507.078003,,,,507.078003,2654.607056,3265.930054,302.393005,94.870003,,,,,1147.017944,1544.280952,,1544.280952,4810.211006,
09/30/1991,4738.693848,45.749001,45.749001,0.0,375.803009,,,432.17099,,,,,77.411003,,,,,,931.133972,3544.876953,5415.272949,-1870.395996,,,262.683014,,,,,262.683014,3807.559967,,343.489014,343.489014,,,,78.472,,,,,269.406967,,,269.406967,691.367981,2131.356934,,,,456.669006,,,,456.669006,2588.02594,3279.393921,300.78299,94.862999,,,,,1063.654053,1459.300041,,1459.300041,4738.693962,
12/31/1991,4729.166016,22.011,15.156,6.855,367.217987,,,479.432007,,,,,64.573997,,,,,,933.234985,3551.979004,5464.63916,-1912.660034,,,243.951996,,,,,243.951996,3795.931,,291.955994,291.955994,,,,99.443001,,,,,260.113029,,,260.113029,651.512024,2191.054932,,,,438.985992,,,,438.985992,2630.040924,3281.552948,300.261993,94.862,,,,,1052.489014,1447.613007,,1447.613007,4729.165955,
03/31/1992,4655.425781,21.073,21.073,0.0,365.338013,,,426.860992,,,,,69.103996,,,,,,882.375977,3524.042969,5474.237793,-1950.194946,,,249.007004,,,,,249.007004,3773.049973,,262.954987,262.954987,,,,199.897995,,,,,232.590988,,,232.590988,695.44397,1911.72998,,,,468.161987,,,,468.161987,2379.891968,3075.335938,488.453003,94.859001,,,,,996.778015,1580.090019,,1580.090019,4655.425957,
06/30/1992,4568.820801,46.186001,46.186001,0.0,359.303986,,,387.230011,,,,,69.489998,,,,,,862.210022,3467.706055,5413.060059,-1945.354004,,,238.904999,,,,,238.904999,3706.611053,,280.141998,280.141998,,,,140.063004,,,,,223.229019,,,223.229019,643.434021,1953.57605,,,,445.376007,,,,445.376007,2398.952057,3042.386078,487.036987,94.855003,,,,,944.54303,1526.43502,,1526.43502,4568.821098,
09/30/1992,4565.78418,39.854,39.854,0.0,361.016998,,,391.873993,,,,,69.808998,,,,,,862.554016,3462.804932,5461.271973,-1998.467041,,,240.425003,,,,,240.425003,3703.229935,,287.109985,287.109985,,,,127.351997,,,,,232.668999,,,232.668999,647.130981,2017.779053,,,,426.846008,,,,426.846008,2444.625061,3091.756042,483.915985,94.852997,,,,,895.258972,1474.027954,,1474.027954,4565.783997,
