Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,2326.3,43.2,43.2,0,371.4,371.4,,0,,,,,1199.0,,,,,1613.6,73.5,,,0.0,,,639.2,513.1,479.8,33.3,126.1,712.7,,83.1,83.1,,,,331.0,,,,,,953.5,,,953.5,1367.6,440.0,,,,,93.2,,,,,,93.2,533.2,1900.8,0,403.8,,,0.0,,21.7,425.5,0,425.5,2326.3,
06/30/2007,2678.2,88.6,88.6,0,502.7,502.7,,0,0.0,0.0,0.0,0.0,1368.7,,,,,1960.0,77.4,314.8,-237.4,0.0,,,640.8,511.6,480.2,31.4,129.2,718.2,,91.5,91.5,,,,109.2,109.2,0.0,0.0,,,1227.9,,,1227.9,1428.6,617.7,617.7,0.0,0.0,,100.8,,,,,,100.8,718.5,2147.1,0,414.3,,,-0.1,90.3,26.6,531.1,0,531.1,2678.2,
09/30/2007,2574.9,86.4,86.4,0,374.2,374.2,,0,0.0,0.0,0.0,0.0,1384.3,,,,,1844.9,74.5,,,,,,655.5,517.4,484.4,33.0,138.1,730.0,,91.3,91.3,,,,108.7,108.7,0.0,0.0,,,1175.1,,,1175.1,1375.1,532.7,532.7,0.0,0.0,,101.9,,,,,,101.9,634.6,2009.7,0,420.3,,,-0.5,117.2,28.2,565.2,0,565.2,2574.9,
12/31/2007,2911.3,104.2,104.2,0,333.0,333.0,,0,0.0,0.0,0.0,0.0,1731.6,,,,,2168.8,77.7,,,,,,664.8,519.0,487.2,31.8,145.8,742.5,,82.9,82.9,,,,426.0,426.0,0.0,0.0,,,1155.8,,,1155.8,1664.7,522.8,522.8,0.0,0.0,,114.0,,,,,,114.0,636.8,2301.5,0,438.4,,,-0.5,137.7,34.2,609.8,0,609.8,2911.3,
03/31/2008,3237.0,269.8,269.8,0,381.2,381.2,,0,0.0,0.0,0.0,0.0,1836.4,,,,,2487.4,78.3,,,,,,671.3,516.6,484.9,31.7,154.7,749.6,,111.5,111.5,,,,38.0,38.0,0.0,0.0,,,1838.4,,,1838.4,1987.9,482.8,482.8,0.0,0.0,,125.5,,,,,,125.5,608.3,2596.2,0,452.2,,,-2.0,158.8,31.8,640.8,0,640.8,3237.0,
06/30/2008,2833.6,198.3,198.3,0,415.4,415.4,,0,0.0,0.0,0.0,0.0,1465.5,,,,,2079.2,82.6,352.7,-270.1,,,,671.8,514.4,484.3,30.1,157.4,754.4,,89.9,89.9,,,,0.0,0.0,0.0,0.0,,,1435.5,,,1435.5,1525.4,447.9,447.9,0.0,0.0,,114.5,,,,,,114.5,562.4,2087.8,0,470.9,,,-2.0,248.2,28.7,745.8,0,745.8,2833.6,
09/30/2008,3690.5,68.0,68.0,0,321.5,321.5,0.0,0,0.0,0.0,0.0,0.0,2552.1,,,,2552.1,2941.6,75.9,,,0.0,,,673.0,519.9,488.2,31.7,153.1,748.9,,250.5,75.1,,,175.4,238.0,238.0,,,,,1990.3,57.5,,1974.3,2478.8,324.0,324.0,,,,118.5,,,,,,61.0,442.5,2921.3,0,479.0,1.4,477.6,-2.5,274.0,18.7,769.2,0,769.2,3690.5,
12/31/2008,2402.6,299.1,299.1,0,280.6,280.6,0.0,0,0.0,0.0,0.0,0.0,1101.8,,,,1101.8,1681.5,70.9,,,0.0,,,650.2,503.2,473.6,29.6,147.0,721.1,,239.0,81.5,,,157.5,0.0,0.0,,,,,966.6,52.6,,950.9,1205.6,324.0,324.0,,,,108.6,,,,,,56.0,432.6,1638.2,0,489.2,1.4,487.8,-13.7,294.0,-5.1,764.4,0,764.4,2402.6,
03/31/2009,2444.2,310.3,310.3,0,342.5,342.5,0.0,0,0.0,0.0,0.0,0.0,1077.3,,,,1077.3,1730.1,68.9,,,0.0,,,645.2,499.5,470.6,28.9,145.7,714.1,,251.9,73.8,,,178.1,0.8,0.8,,,,,965.1,53.6,,882.1,1217.8,324.0,324.0,,,,110.1,,,,,,56.5,434.1,1651.9,0,496.2,1.4,494.8,-19.9,325.1,-9.1,792.3,0,792.3,2444.2,
06/30/2009,2774.7,280.9,280.9,0,381.0,381.0,0.0,0,0.0,0.0,0.0,0.0,1341.7,0.0,,,1327.1,2003.6,75.4,366.1,-290.7,0.0,,,695.7,552.4,511.1,41.3,143.3,771.1,,298.0,75.3,0.0,0.0,222.7,0.0,0.0,0.0,0.0,,,1122.7,50.9,0.0,1088.1,1420.7,324.1,324.1,0.0,0.0,,120.9,0.0,0.0,0.0,0.0,32.3,37.7,445.0,1865.7,0,507.3,1.4,505.9,-37.5,432.3,6.9,909.0,0,909.0,2774.7,
09/30/2009,2886.2,231.5,231.5,0,307.9,307.9,0.0,0,0.0,0.0,0.0,0.0,1584.2,,,,1584.2,2123.6,71.3,,,0.0,,,691.3,552.4,513.3,39.1,138.9,762.6,,254.1,77.0,,,177.1,0.0,0.0,,,,,1317.9,51.1,,1271.2,1572.0,324.1,324.1,,,,122.4,,,,,,71.3,446.5,2018.5,0,526.6,1.4,525.2,-109.3,439.7,10.7,867.7,0,867.7,2886.2,
12/31/2009,2695.7,147.1,147.1,0,314.6,314.6,0.0,0,0.0,0.0,0.0,0.0,1518.3,,,1144.4,87.8,1980.0,75.6,,,0.0,,,640.1,514.1,486.4,27.7,126.0,715.7,,252.0,70.2,,,181.8,0.0,0.0,,,,,1168.4,50.5,,0.0,1420.4,324.1,324.1,,,,104.5,,,,,,54.0,428.6,1849.0,0,548.0,1.4,546.6,-169.4,454.4,13.7,846.7,0,846.7,2695.7,
03/31/2010,2863.9,177.9,177.9,0,354.5,354.5,0.0,0,0.0,0.0,0.0,0.0,1605.8,,,1185.9,145.5,2138.2,75.5,,,0.0,,,650.2,525.9,491.6,34.3,124.3,725.7,,296.8,94.4,,,202.4,0.0,0.0,,,,,1282.7,48.4,,0.0,1579.5,324.1,324.1,,,,103.3,,,,,,54.9,427.4,2006.9,0,569.6,1.4,568.2,-180.0,460.4,7.0,857.0,0,857.0,2863.9,
06/30/2010,1794.4,412.6,412.6,0,354.3,354.3,0.0,0,0.0,0.0,0.0,0.0,225.5,0.0,,99.1,69.3,992.4,87.4,383.4,-296.0,0.0,,,714.6,555.6,509.5,46.1,159.0,802.0,,352.5,91.3,24.3,0.0,236.9,0.0,0.0,0.0,0.0,,,133.9,47.8,0.0,0.0,486.4,324.1,324.1,0.0,0.0,,176.8,0.0,0.0,0.0,0.0,56.2,72.8,500.9,987.3,0,589.3,1.5,587.8,-327.7,546.9,-1.4,807.1,0,807.1,1794.4,
09/30/2010,1519.3,180.7,180.7,0,293.7,293.7,0.0,0,0.0,0.0,0.0,0.0,165.9,,,35.5,110.0,640.3,86.5,,,34.6,14.0,20.6,757.9,630.1,560.8,69.3,127.8,879.0,,230.8,70.5,52.2,,108.1,0.0,0.0,,,,,61.5,56.4,,0.0,292.3,324.2,324.2,,,,178.2,,,,,46.1,75.7,502.4,794.7,0,599.7,1.5,598.2,-421.8,541.4,5.3,724.6,0,724.6,1519.3,
12/31/2010,1515.0,187.8,187.8,0,291.3,291.3,0.0,0,0.0,0.0,0.0,0.0,128.9,,,16.3,93.4,608.0,84.6,,,34.7,14.1,20.6,787.7,652.8,578.8,74.0,134.9,907.0,,246.9,76.5,40.5,,129.9,0.0,0.0,,,,,40.7,54.6,,0.0,287.6,324.2,324.2,,,,174.5,,,,,44.6,75.3,498.7,786.3,0,612.5,1.5,611.0,-427.2,533.2,10.2,728.7,0,728.7,1515.0,
03/31/2011,1853.4,151.3,151.3,0,395.3,395.3,0.0,0,0.0,0.0,0.0,0.0,159.0,,,12.6,128.1,705.6,84.6,,,38.9,18.3,20.6,1024.3,879.4,733.4,146.0,144.9,1147.8,,303.0,109.8,63.3,,129.9,440.0,440.0,,,,,112.1,51.5,,0.0,855.1,124.2,124.2,,,,181.8,,,,,59.0,71.3,306.0,1161.1,0,639.4,1.5,637.9,-510.6,544.6,18.9,692.3,0,692.3,1853.4,
06/30/2011,1904.0,241.5,241.5,0,406.6,406.6,0.0,0,0.0,0.0,0.0,0.0,103.3,0.0,,,87.3,751.4,83.1,404.6,-321.5,38.7,18.1,20.6,1030.8,882.8,735.6,147.2,148.0,1152.6,,349.3,119.0,23.7,0.0,206.6,400.0,400.0,0.0,0.0,,,33.4,47.3,0.0,0.0,782.7,124.3,124.3,0.0,0.0,,199.7,0.0,0.0,0.0,0.0,71.3,81.1,324.0,1106.7,0,668.9,1.5,667.4,-529.9,642.2,16.1,797.3,0,797.3,1904.0,
09/30/2011,1927.2,252.8,252.8,0,328.5,328.5,0.0,0,0.0,0.0,0.0,0.0,104.0,,,,104.0,685.3,78.9,,,35.0,14.4,20.6,1128.0,958.3,793.1,165.2,169.7,1241.9,,264.5,93.5,3.9,,167.1,0.0,0.0,,,,,29.1,60.1,,0.0,293.6,614.3,614.3,,,,226.8,,,,,68.0,98.7,841.1,1134.7,0,680.0,1.5,678.5,-538.3,639.1,11.7,792.5,0,792.5,1927.2,
12/31/2011,1896.9,238.2,238.2,0,296.6,296.6,0.0,0,0.0,0.0,0.0,0.0,100.1,,,,100.1,634.9,78.5,,,33.9,13.3,20.6,1149.6,950.2,789.3,160.9,199.4,1262.0,,262.7,92.6,0.3,,169.8,0.0,0.0,,,,,38.1,52.8,,0.0,300.8,594.3,594.3,,,,218.0,,,,,63.4,101.8,812.3,1113.1,0,700.9,1.5,699.4,-549.2,625.8,6.3,783.8,0,783.8,1896.9,
03/31/2012,2014.3,218.8,218.8,0,388.5,388.5,0.0,0,0.0,0.0,0.0,0.0,142.3,,,,142.3,749.6,78.5,,,12.9,12.9,,1173.3,943.3,790.5,152.8,230.0,1264.7,,301.6,107.1,1.0,,193.5,0.0,0.0,,,,,136.7,38.2,,0.0,438.3,564.3,564.3,,,,210.9,,,,,65.2,107.5,775.2,1213.5,0,730.8,1.5,729.3,-564.3,622.7,11.6,800.8,0,800.8,2014.3,
06/30/2012,1987.6,320.5,320.5,0,370.7,370.7,0.0,0,0.0,0.0,0.0,0.0,86.2,0.0,0.3,,66.4,777.4,79.0,418.9,-339.9,12.6,12.6,,1118.6,923.3,780.0,143.3,195.0,1210.2,,362.8,102.2,42.9,0.0,217.7,0.0,0.0,0.0,0.0,,,47.5,38.3,0.0,0.0,410.3,524.4,524.4,0.0,0.0,,202.4,0.0,0.0,0.0,0.0,63.2,100.9,726.8,1137.1,0,740.9,1.5,739.4,-580.0,686.1,3.5,850.5,0,850.5,1987.6,
09/30/2012,1830.5,211.8,211.8,0,321.4,321.4,0.0,0,0.0,0.0,0.0,0.0,87.7,,,,87.7,620.9,76.3,,,17.9,17.9,,1115.4,917.0,781.8,135.2,198.4,1209.6,,263.0,88.9,18.9,,155.2,0.0,0.0,,,,,50.6,36.9,,0.0,313.6,524.4,524.4,,,,203.0,,,,,61.1,105.0,727.4,1041.0,0,754.8,1.5,753.3,-656.1,682.5,8.3,789.5,0,789.5,1830.5,
12/31/2012,1856.2,259.1,259.1,0,305.2,305.2,0.0,0,0.0,0.0,0.0,0.0,89.3,,,,89.3,653.6,76.5,,,17.7,17.7,,1108.4,909.4,782.6,126.8,199.0,1202.6,,296.0,97.7,15.4,,182.9,0.0,0.0,,,,,48.4,41.7,,0.0,344.4,524.4,524.4,,,,204.0,,,,,56.3,106.0,728.4,1072.8,0,770.6,1.5,769.1,-672.7,676.3,9.2,783.4,0,783.4,1856.2,
03/31/2013,1921.9,182.2,182.2,0,412.2,412.2,0.0,0,0.0,0.0,0.0,0.0,116.9,,,,116.9,711.3,80.9,,,18.1,18.1,,1111.6,899.7,777.8,121.9,211.9,1210.6,,321.5,130.2,12.8,,178.5,0.0,0.0,,,,,127.7,42.8,,0.0,449.2,524.5,524.5,,,,177.2,,,,,53.5,80.9,701.7,1150.9,0,788.8,1.5,787.3,-718.7,698.1,2.8,771.0,0,771.0,1921.9,
06/30/2013,2018.2,266.0,266.0,0,442.4,442.4,0.0,0,0.0,0.0,0.0,0.0,98.6,0.0,0.4,,81.7,807.0,80.9,424.5,-343.6,20.9,20.9,,1109.4,899.0,778.4,120.6,210.0,1211.2,,420.3,143.1,51.8,0.0,225.4,0.0,0.0,0.0,0.0,,,49.2,40.2,0.0,0.0,469.5,524.5,524.5,0.0,0.0,,208.2,0.0,0.0,0.0,0.0,71.2,96.8,732.7,1202.2,0,784.6,1.6,783.0,-784.1,811.3,4.2,816.0,0,816.0,2018.2,
09/30/2013,1907.2,183.1,183.1,0,372.2,372.2,0.0,0,0.0,0.0,0.0,0.0,101.3,,,,101.3,656.6,82.1,,,22.3,22.3,,1146.2,934.6,809.3,125.3,211.6,1250.6,,282.3,110.5,27.7,,144.1,0.0,0.0,,,,,55.8,43.6,,0.0,338.1,524.0,524.0,,,,207.1,,,,,69.3,94.2,731.1,1069.2,0,790.0,1.6,788.4,-785.6,831.1,2.5,838.0,0,838.0,1907.2,
12/31/2013,1939.0,240.3,240.3,0,336.0,336.0,0.0,0,0.0,0.0,0.0,0.0,110.9,,,,110.9,687.2,87.0,,,23.4,23.4,,1141.4,933.8,812.9,120.9,207.6,1251.8,,288.8,96.6,13.0,,179.2,0.0,0.0,,,,,55.1,53.0,,0.0,343.9,524.1,524.1,,,,213.5,,,,,64.4,96.1,737.6,1081.5,0,800.4,1.6,798.8,-784.2,833.2,8.1,857.5,0,857.5,1939.0,
03/31/2014,2129.9,244.4,244.4,0,426.3,426.3,0.0,0,0.0,0.0,0.0,0.0,143.5,,,,143.5,814.2,87.2,,,23.8,23.8,,1204.7,991.7,854.7,137.0,213.0,1315.7,,345.4,124.8,28.6,,192.0,0.0,0.0,,,,,148.3,57.3,,0.0,493.7,524.1,524.1,,,,213.2,,,,,58.2,97.7,737.3,1231.0,0,813.7,1.6,812.1,-781.5,858.9,7.8,898.9,0,898.9,2129.9,
06/30/2014,2192.1,347.6,347.6,0,424.8,424.8,0.0,0,0.0,0.0,0.0,0.0,108.2,0.0,0.9,,89.3,880.6,88.3,452.5,-364.2,25.3,25.3,,1197.9,986.1,856.1,130.0,210.9,1311.5,,422.9,116.3,35.0,0.0,271.6,0.0,0.0,0.0,0.0,,,61.5,59.0,0.0,0.0,484.4,524.1,524.1,0.0,0.0,,221.9,0.0,0.0,0.0,0.0,62.4,100.5,746.0,1230.4,0,812.3,1.6,810.7,-834.8,973.9,10.3,961.7,0,961.7,2192.1,
09/30/2014,2078.6,331.3,331.3,0,361.1,361.1,0.0,0,0.0,0.0,0.0,0.0,83.2,,,,83.2,775.6,84.5,,,28.5,28.5,,1190.0,976.8,854.1,122.7,213.2,1303.0,,298.9,108.9,18.3,,171.7,0.0,0.0,,,,,65.1,60.2,,0.0,364.0,524.2,524.2,,,,219.4,,,,,55.9,103.3,743.6,1107.6,0,822.7,1.6,821.1,-831.4,974.0,5.7,971.0,0,971.0,2078.6,
12/31/2014,2099.8,314.1,314.1,0,366.6,366.6,0.0,0,0.0,0.0,0.0,0.0,99.7,,,,99.7,780.4,82.2,,,28.7,28.7,,1208.5,999.0,874.0,125.0,209.5,1319.4,,300.4,93.5,13.1,,193.8,0.0,0.0,,,,,59.3,76.2,,0.0,359.7,524.3,524.3,,,,233.1,,,,,51.0,105.9,757.4,1117.1,0,837.3,1.6,835.7,-825.3,976.2,-5.5,982.7,0,982.7,2099.8,
03/31/2015,2281.2,310.1,310.1,0,486.4,486.4,0.0,0,0.0,0.0,0.0,0.0,135.5,,,,135.5,932.0,81.4,,,29.8,29.8,,1238.0,1026.1,891.1,135.0,211.9,1349.2,,368.8,117.9,24.7,,226.2,0.0,0.0,,,,,161.9,73.3,,0.0,530.7,629.3,629.3,,,,222.5,,,,,44.1,105.1,851.8,1382.5,0,853.5,1.6,851.9,-930.6,998.0,-22.2,898.7,0,898.7,2281.2,
06/30/2015,2368.1,324.1,324.1,0,444.5,444.5,0.0,0,0.0,0.0,0.0,0.0,92.8,0.0,1.3,,75.1,861.4,97.3,493.2,-395.9,33.3,33.3,,1376.1,1166.2,970.5,195.7,208.6,1506.7,,436.3,115.9,28.5,31.4,260.5,0.0,0.0,0.0,0.0,,,72.6,75.2,0.0,0.0,508.9,689.4,689.4,0.0,0.0,,242.0,0.0,0.0,0.0,0.0,61.7,105.1,931.4,1440.3,0,857.1,1.6,855.5,-1040.4,1132.0,-20.9,927.8,0,927.8,2368.1,
