Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/30/1989,996.325012,,,,,-883.913025,,,,,112.412003,-29.892001,,37.256001,,,,,-7.364,82.520002,-32.5,50.02,,,,50.020002,,50.02,,,50.02,50.02,,59.007002,0.866667,0.866667,,59.007002,0.866667,0.866667,0.866667,
11/30/1989,1037.910034,,,,,-912.609985,,,,,125.300003,-26.910001,,34.978001,,,,,-8.068,98.390002,-39.0,59.389999,2.291,,,57.099002,,57.098999,,,57.098999,57.098999,,60.038252,0.946667,0.986667,,60.038252,0.946667,0.986667,0.986667,
02/28/1990,1012.328979,,,,,-883.322021,,,,,129.007004,-24.724998,,32.155998,,,,,-7.431,104.282006,-41.5,62.782001,,,,62.782006,,62.782001,,,62.782001,62.782001,,61.529251,1.026667,1.026667,,61.529251,1.026667,1.026667,1.026667,
05/31/1990,888.435974,,,,,-742.155029,,,,,146.281006,-26.473001,,33.610001,,,,,-7.137,119.808005,-50.0,69.807999,0.709,,,69.099005,,69.098999,,,69.098999,69.098999,,59.465623,1.16,1.173333,1.173333,59.465623,1.16,1.173333,1.173333,
08/31/1990,894.763977,,,,,-769.750977,,,,,125.013,-24.862001,,32.282001,,,,,-7.42,100.150999,-40.5,59.651001,,,,59.650999,,59.651001,,,59.651001,59.651001,,59.689499,1.0,1.0,,59.689499,1.0,1.0,1.0,
11/30/1990,946.252991,,,,,-808.495972,,,,,137.757004,-23.979,,31.809,,,,,-7.83,113.778004,-46.5,67.278,1.278,,,66.000004,,66.0,,,66.0,66.0,,59.726252,1.093333,1.12,,59.726252,1.093333,1.12,1.12,
02/28/1991,955.666992,,,,,-810.497009,,,,,145.169998,-25.015,,31.437,,,,,-6.422,120.154998,-49.0,71.154999,0.281,,,70.873998,,70.874001,,,70.874001,70.874001,,59.967001,1.186667,1.186667,,59.967001,1.186667,1.186667,1.186667,
05/31/1991,1009.315979,,0.0,1009.315979,,-848.255981,,,,,161.059998,-23.144,,31.472,,,0.0,,-8.328,137.915998,-59.0,78.916,3.441,,,75.474998,0.0,75.474998,0.0,,75.474998,75.474998,,62.655562,1.2,1.253333,1.253333,62.655562,1.2,1.253333,1.253333,
08/31/1991,984.512024,,,,,-846.812012,,,,,137.699997,-17.056999,,24.438999,,,,,-7.382,120.642998,-49.0,71.642998,,,,71.642998,,71.642998,,,71.642998,71.642998,,65.930626,1.093333,1.093333,,65.930626,1.093333,1.093333,1.093333,
12/01/1991,1023.195984,,,,,-888.866028,,,,,134.330002,-14.698,,23.031,,,,,-8.333,119.632002,-49.0,70.632004,,,,70.632002,,70.632004,,,70.632004,70.632004,,65.016003,1.093333,1.093333,,65.016003,1.093333,1.093333,1.093333,
02/29/1992,971.429993,,,,,-881.065979,,,,,90.363998,-14.886001,,21.867001,,,,,-6.981,75.477998,-31.0,44.478001,4.322,,,40.155998,,40.155998,,,40.155998,40.155998,,63.640125,0.613333,0.693333,,63.640125,0.613333,0.693333,0.693333,
05/31/1992,1002.862,,0.0,1002.862,,-855.255981,,,,,147.606003,-233.358999,,22.663,,,0.0,,210.695999,-85.752996,32.0,-53.752998,24.677999,,,-78.430995,0.0,-78.431,0.0,,-78.431,-78.431,,63.066936,-1.226667,-0.8,-0.8,63.066936,-1.226667,-0.8,-0.8,
08/31/1992,941.544983,,,,,-841.255005,,,,,100.290001,-15.666,,20.6,,,0.0,,-4.934,84.624001,-34.0,50.624001,0.0,,,50.624001,0.0,50.624001,0.0,,50.624001,50.624001,,62.401125,0.8,0.8,,62.401125,0.8,0.8,0.8,
11/30/1992,785.335022,,,,,-683.051025,,,,,102.283997,25.747999,,19.523001,,,,,-45.271,128.031996,-50.0,78.031998,25.651001,,,52.380995,0.0,52.381001,0.0,,52.381001,52.381001,,62.259001,0.853333,1.253333,,62.259001,0.853333,1.253333,1.253333,
02/28/1993,794.689026,,,,,-700.528015,,,,,94.161003,12.892,,18.875,,,0.0,,-31.767,107.053003,-42.0,65.053001,10.902,,,54.151003,0.0,54.151001,0.0,,54.151001,54.151001,,62.25,0.88,1.04,,62.25,0.88,1.04,1.04,
05/31/1993,1240.43103,,0.0,1240.43103,,-1137.166016,,,,,103.264999,-163.974001,,19.002001,,,0.0,,144.972,-60.709002,27.0,-33.709,-36.553001,,,2.843999,0.0,2.844,0.0,,2.844,2.844,,62.255625,0.053333,-0.533333,-0.533333,62.255625,0.053333,-0.533333,-0.533333,
08/31/1993,771.544006,,,,,-686.854004,,,,,84.690002,8.226,,18.406,,,0.0,,-26.632,92.916002,-38.0,54.916,93.508003,,,-38.592001,-2.198,-40.790001,0.0,,-40.790001,-40.790001,,62.290501,-0.666667,0.826667,0.826667,62.290501,-0.666667,0.826667,0.826667,
11/30/1993,769.952026,,,,,-667.379028,,,,,102.572998,0.606998,,19.353001,,,,,-19.959999,103.179996,-42.0,61.18,287.370987,,,-226.19099,0.0,-226.190994,0.0,,-226.190994,-226.190994,,62.278873,-3.626667,0.986667,,62.278873,-3.626667,0.986667,0.986667,
02/28/1994,720.254028,,,,,-623.434998,,,,,96.819,50.897998,,15.536,,,0.0,,-66.433998,147.716998,-57.0,90.717003,255.0,,,-164.283002,0.0,-164.283005,0.0,,-164.283005,-164.283005,,62.201998,-2.64,1.466667,,62.201998,-2.64,1.466667,1.466667,
05/31/1994,705.25,,0.0,705.25,,-675.33197,,,,,29.917999,-13.731,,16.705,,,0.0,,-2.974,16.186999,-7.0,9.187,-288.479004,,,297.666003,2.198,6.264,0.0,,6.264,6.264,,63.092623,0.106667,0.186667,0.186667,63.092623,0.106667,0.186667,0.186667,
08/31/1994,662.835022,,,,,-577.96698,,,,,84.867996,24.147999,,17.66,,,0.0,,-41.807999,109.015995,-43.0,66.015999,0.0,,,66.015995,-1.988,64.028,0.0,,64.028,64.028,,63.172875,1.013333,1.013333,1.013333,63.172875,1.013333,1.013333,1.013333,
11/30/1994,638.799988,,,,,-554.0,,,,,84.800003,-6.799999,,17.299999,,,0.0,,-10.5,78.000004,-30.0,48.0,0.0,,,48.000004,-1.8,46.200001,0.0,,46.200001,46.200001,,63.119625,0.72,0.72,0.72,63.119625,0.72,0.72,0.72,
02/28/1995,660.5,,,,,-571.799988,,,,,88.699997,-6.6,,17.9,,,0.0,,-11.3,82.099997,-32.0,50.099998,0.0,,,50.099997,-1.2,48.900002,0.0,,48.900002,48.900002,,62.963247,0.773333,0.773333,0.773333,62.963247,0.773333,0.773333,0.773333,
05/31/1995,1355.86499,,0.0,1355.86499,,-1186.233032,,,,,169.632004,-100.747999,,85.139999,,,0.0,,15.608,68.884005,-30.0,38.883999,29.0,,,9.884005,-4.012,5.872,0.0,,5.872,5.872,,75.868126,0.08,0.453333,,75.868126,0.08,0.453333,0.453333,
08/31/1995,1216.6,,,,,-1042.7,,,,,173.899994,60.599999,,77.099998,,,0.0,,-137.699997,234.499993,-110.599998,123.900002,0.0,,,123.899995,-5.6,118.300003,0.0,,118.300003,118.300003,,75.70875,1.573333,1.573333,1.573333,75.70875,1.573333,1.573333,1.573333,
11/30/1995,1301.2,,,,,-1109.9,,,,,191.300003,119.599991,,81.300003,,,0.0,,-200.899994,310.899994,-123.099998,187.800003,0.0,,,187.799996,-5.0,182.800003,0.0,,182.800003,182.800003,,76.441875,2.4,2.4,2.4,76.441875,2.4,2.4,2.4,
02/29/1996,1972.699951,,,,,-1706.599976,,,,,266.100006,-96.299997,,107.199997,,,0.0,,-10.9,169.800009,-65.900002,103.900002,0.0,,,103.900007,-5.8,98.099998,0.0,,98.099998,98.099998,,110.336254,0.88,0.88,,110.336254,0.88,0.88,0.88,
05/31/1996,1979.9,,,,,-1680.8,,,,,299.1,-150.1,,103.0,,,0.0,,47.1,149.0,-73.8,75.2,48.0,,,27.2,-12.3,50.8,0.0,,50.8,50.8,,82.102501,0.618667,0.64,0.64,82.102501,0.618667,0.64,0.64,
08/31/1996,1991.0,,,,,-1730.0,,,,,261.0,-94.0,,100.0,,,0.0,,-6.0,167.0,-64.0,103.0,0.0,,,103.0,-7.0,96.0,0.0,,96.0,96.0,,112.880631,0.853333,0.853333,0.853333,112.880631,0.853333,0.853333,0.853333,
11/30/1996,2111.0,,,,,-1834.0,,,,,277.0,-94.0,,102.0,,,0.0,,-8.0,183.0,-71.0,112.0,0.0,,,112.0,-9.0,103.0,0.0,,103.0,103.0,,113.438255,0.906667,0.906667,0.906667,113.438255,0.906667,0.906667,0.906667,
02/28/1997,2109.0,,,,,-1806.0,,,,,303.0,-371.0,,106.0,,,0.0,,265.0,-68.0,10.0,-58.0,47.0,,,-105.0,-8.0,-113.3,0.0,,-113.3,-113.3,,114.166122,-0.986667,-0.56,1.04,114.166122,-0.986667,-0.56,1.04,
05/31/1997,2139.3,,,,,-1826.3,,,,,313.0,-589.0,,109.0,,,0.0,,480.0,-276.0,73.0,-203.0,105.0,,,-308.0,-3.0,-340.0,0.0,,-340.0,-340.0,,115.435879,-2.933333,-1.786667,1.093333,115.435879,-2.933333,-1.84,1.093333,
08/31/1997,2183.0,,,,,-1878.0,,,,,305.0,-106.0,,112.0,,,0.0,,-6.0,199.0,-77.0,122.0,0.0,,,122.0,-6.0,116.0,0.0,,116.0,116.0,,114.103123,1.013333,1.013333,1.013333,116.12812,1.013333,1.013333,1.013333,
11/30/1997,2293.0,,,,,-1963.0,,,,,330.0,-94.0,,118.0,,,0.0,,-24.0,236.0,-91.0,145.0,0.0,,,145.0,-7.0,138.0,0.0,,138.0,138.0,,116.754375,1.173333,1.173333,1.093333,116.754375,1.173333,1.173333,1.093323,
02/28/1998,2401.0,,,,,-2044.0,,,,,357.0,-109.0,,114.0,,,0.0,,-5.0,248.0,-94.0,154.0,0.0,,,154.0,-6.0,148.0,0.0,,148.0,148.0,,114.977623,1.28,1.28,1.28,117.306004,1.253333,1.253333,1.253333,
05/31/1998,2430.0,,,,,-2073.0,,,,,357.0,-371.0,,120.0,,,0.0,,251.0,-14.0,-7.0,-21.0,117.0,,,-138.0,-3.0,-141.0,0.0,,-141.0,-141.0,,115.740006,-1.226667,-0.213333,1.466667,115.983753,-1.226667,-0.213333,1.466667,
08/31/1998,2394.0,,,,,-2056.0,,,,,338.0,-112.0,,119.0,,,0.0,,-7.0,226.0,-85.0,141.0,0.0,,,141.0,-4.0,137.0,0.0,,137.0,137.0,,116.026131,1.173333,1.173333,1.173333,117.624378,1.173333,1.173333,1.173333,
11/30/1998,2379.0,,,,,-2062.0,,,,,317.0,-113.0,,119.0,,,0.0,,-6.0,204.0,-78.0,126.0,0.0,,,126.0,-1.0,125.0,0.0,,125.0,125.0,,116.176128,1.066667,1.066667,1.066667,117.725624,1.066667,1.066667,1.066667,
02/28/1999,2632.0,,,,,-2316.0,,,,,316.0,-114.0,,122.0,,,0.0,,-8.0,202.0,-78.0,124.0,0.0,,,124.0,0.0,124.0,0.0,,124.0,124.0,,116.352001,1.066667,1.066667,1.066667,117.354378,1.066667,1.066667,1.066667,
05/31/1999,2732.0,,,,,-2401.0,,,,,331.0,-482.0,125.0,125.0,,,0.0,,357.0,-151.0,16.0,-135.0,0.0,,,-135.0,-2.0,-137.0,0.0,,-137.0,-137.0,,116.5395,-1.173333,-1.173333,-1.173333,117.374625,-1.173333,-1.173333,-1.173333,
08/31/1999,2650.0,,,,,-2327.0,,,,,323.0,-109.0,,124.0,,,0.0,,-15.0,214.0,-81.0,133.0,19.0,,,114.0,-5.0,109.0,0.0,,109.0,109.0,,116.682003,0.933333,1.093333,1.04,117.459,0.933333,1.093333,1.04,
11/30/1999,2570.0,,,,,-2233.0,,,,,337.0,-56.0,,120.0,,,0.0,,-64.0,281.0,-141.0,140.0,0.0,,,140.0,-5.0,135.0,0.0,,135.0,135.0,,116.816997,1.146667,1.146667,1.146667,117.654373,1.146667,1.146667,1.146667,
02/29/2000,2636.0,,,,,-2269.0,,,,,367.0,-293.0,,117.0,,,0.0,,176.0,74.0,-30.0,44.0,0.0,,,44.0,-6.0,38.0,0.0,,38.0,38.0,,117.104622,0.32,0.32,1.466667,118.450871,0.32,0.32,1.466667,
