Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,16.471001,27.547001,-24.451,39.210999,58.778,,,,,
06/30/1990,,26.738001,27.266001,-18.361,-6.481,29.162001,,,,,
09/30/1990,,25.643999,27.431,-19.069,-13.366,20.639999,,,,,
12/31/1990,,16.719,23.037001,33.881001,71.103996,144.740997,,,144.740997,,
03/31/1991,,22.527,23.652,14.098,-161.406998,-101.129997,,,,,
06/30/1991,,29.562,24.275,-11.154,49.187,91.870003,,,,,
09/30/1991,,22.732,24.99,6.036,-31.219,22.539,,,,,
12/31/1991,,24.516001,21.357,2.32,72.071999,120.264999,,,120.264999,,
03/31/1992,,-167.518005,20.638,194.526993,43.849998,91.497002,,,,,
06/30/1992,,26.937,20.905001,12.0,89.668999,149.511002,,,,,
09/30/1992,,20.351,21.212,14.169,42.549999,98.281998,,,,,
12/31/1992,,3.34,19.372,23.472006,129.330002,175.514008,,,175.514008,,
03/31/1993,,27.52,19.298,-17.205999,9.11,38.722,,,,,
06/30/1993,,26.832001,19.400999,65.069,-132.098999,-20.797001,,,,,
09/30/1993,,29.941,16.896,52.201,27.167,126.205002,,,,,
12/31/1993,,-25.486,18.24,19.805,165.561996,178.121002,,,,,
03/31/1994,,-9.362,16.472,19.410999,-66.304001,-39.783001,,,,,
