Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2014,1874.0,1874.0,,0.0,-1556.0,330.0,215.0,115.0,198.0,130.0,898.0,318.0,-6.0,,,,,6.0,312.0,-694.0,-382.0,0.0,0.0,0.0,-382.0,0.0,-382.0,0.0,0.0,-382.0,-382.0,0.0,,,,,,,,,
06/30/2014,1983.0,1983.0,,0.0,-1653.0,375.0,253.0,122.0,221.0,125.0,932.0,330.0,-4.0,,,,,4.0,326.0,-45.0,281.0,0.0,0.0,0.0,281.0,0.0,281.0,0.0,0.0,281.0,281.0,0.0,1218.0,0.23,0.23,0.23,1224.0,0.23,0.23,0.23,
09/30/2014,1975.0,1975.0,,0.0,-1703.0,368.0,267.0,101.0,232.0,129.0,974.0,272.0,4.0,,,,,-4.0,276.0,-42.0,234.0,0.0,0.0,0.0,234.0,0.0,234.0,0.0,0.0,234.0,234.0,0.0,1218.0,0.19,0.19,0.19,1224.0,0.19,0.19,0.19,
12/31/2014,2193.0,2193.0,,0.0,-1845.0,407.0,263.0,144.0,239.0,132.0,1067.0,348.0,-1.0,,,,,1.0,347.0,-61.0,286.0,0.0,0.0,0.0,286.0,,286.0,0.0,0.0,286.0,706.55,420.55,1218.0,0.23481,0.23481,0.58009,1224.0,0.23366,0.23366,0.577247,
03/31/2015,2137.0,2137.0,,0.0,-1815.0,439.0,222.0,217.0,185.0,141.0,1050.0,322.0,-1.0,,,,,1.0,321.0,-66.0,255.0,0.0,0.0,0.0,255.0,0.0,255.0,0.0,0.0,255.0,299.927152,44.927152,1218.0,0.21,0.21,0.246246,1224.0,0.21,0.21,0.246246,
06/30/2015,2297.0,2297.0,,0.0,-1899.0,449.0,234.0,215.0,202.0,150.0,1098.0,398.0,1.0,,0.0,,,-1.0,399.0,-94.0,305.0,0.0,0.0,0.0,305.0,0.0,305.0,0.0,0.0,305.0,315.975406,10.975406,1218.0,0.25,0.25,0.259422,1224.0,0.25,0.25,0.258967,
09/30/2015,2258.0,2258.0,,0.0,-1928.0,442.0,226.0,216.0,197.0,153.0,1136.0,330.0,20.0,,,,,-20.0,350.0,-49.0,301.0,0.0,0.0,0.0,301.0,0.0,301.0,0.0,0.0,301.0,296.074072,-4.925928,1221.0,0.25,0.25,0.242485,1227.0,0.25,0.25,0.242485,
12/31/2015,2556.0,2556.0,,0.0,-2145.0,480.0,255.0,225.0,208.0,164.0,1293.0,411.0,7.0,,0.0,,,-7.0,418.0,-51.0,367.0,0.0,0.0,0.0,367.0,0.0,367.0,0.0,0.0,367.0,368.256198,1.256198,1223.0,0.3,0.3,0.301109,1230.0,0.3,0.3,0.301021,
03/31/2016,2544.0,2544.0,,0.0,-2137.0,464.0,233.0,231.0,195.0,175.0,1303.0,407.0,15.0,,,,,-15.0,422.0,-57.0,365.0,0.0,0.0,0.0,365.0,0.0,365.0,0.0,0.0,365.0,365.0,0.0,1216.0,0.3,0.3,0.3,1225.0,0.3,0.3,0.3,
06/30/2016,2650.0,2650.0,,0.0,-2279.0,511.0,250.0,261.0,209.0,176.0,1383.0,371.0,9.0,,,,,-9.0,380.0,-57.0,323.0,0.0,0.0,0.0,323.0,,323.0,0.0,0.0,323.0,323.0,0.0,1210.0,0.27,0.27,0.27,1215.0,0.27,0.27,0.27,
