Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
06/30/2006,2522.0,,-1115.0,,1407.0,0.0,-863.0,457.0,,,406.0,544.0,-113.0,113.0,127.0,-14.0,0.0,,0.0,431.0,-170.0,261.0,,,,261.0,-25.0,293.0,0.0,0.0,293.0,293.0,,333.3333,0.87,0.87,0.87,333.3333,0.87,0.87,0.87,
03/31/2007,3851.0,,-1883.0,,1968.0,,-1379.0,,,,,589.0,-88.0,227.0,229.0,-2.0,0.0,,-139.0,501.0,-187.0,314.0,0.0,,,314.0,-38.0,276.0,0.0,0.0,276.0,276.0,,325.666634,0.84,0.84,0.87,325.666634,0.84,0.84,0.87,
06/30/2007,4014.0,,-1872.0,,2142.0,0.0,-1431.0,698.0,,,733.0,711.0,-226.0,227.0,230.0,-3.0,0.0,,-1.0,485.0,-172.0,313.0,0.0,,,313.0,-41.0,272.0,0.0,0.0,272.0,272.0,,325.633301,0.84,0.84,0.84,325.733301,0.84,0.84,0.84,
09/30/2007,4001.0,,-1890.0,,2111.0,,-1426.0,,,,,685.0,-233.0,227.0,229.0,-2.0,0.0,,6.0,452.0,-166.0,286.0,0.0,,,286.0,-38.0,248.0,0.0,0.0,248.0,248.0,,325.633301,0.75,0.75,0.75,325.833301,0.75,0.75,0.75,
12/31/2007,4089.0,,-1897.0,,2192.0,,-1394.0,,,,,798.0,-208.0,213.0,219.0,-6.0,0.0,,-5.0,590.0,-215.0,375.0,0.0,,,375.0,-48.0,327.0,0.0,0.0,327.0,327.0,1.81,325.633301,0.99,0.99,0.99,325.799967,0.99,0.99,0.99,
03/31/2008,4160.0,,-2007.0,,2153.0,0.0,-1515.0,749.0,,,766.0,638.0,-190.0,199.0,202.0,-3.0,0.0,,-9.0,448.0,-182.0,266.0,0.0,,,266.0,-24.0,242.0,0.0,0.0,242.0,242.0,,108.533322,2.22,2.22,2.22,108.599989,2.22,2.22,2.22,
06/30/2008,4298.0,,-2018.0,,2280.0,0.0,-1493.0,706.0,,,787.0,787.0,-282.0,219.0,224.0,-5.0,0.0,,63.0,505.0,-200.0,305.0,0.0,,,305.0,-28.0,277.0,0.0,0.0,277.0,277.0,,108.533322,2.55,2.55,3.12,108.666656,2.55,2.55,3.12,
09/30/2008,4340.0,,-2072.0,,2268.0,0.0,-1472.0,706.0,,,766.0,796.0,-235.0,229.0,255.0,-26.0,,,6.0,561.0,-226.0,335.0,,,,335.0,-34.0,301.0,,0.0,301.0,301.0,,108.566656,2.76,2.76,2.82,108.699989,2.76,2.76,2.82,
12/31/2008,4402.0,,-2048.0,,2354.0,,-1462.0,693.0,,,769.0,892.0,-15478.0,272.0,276.0,-4.0,0.0,,15206.0,-14586.0,5256.0,-9330.0,0.0,,,-9330.0,1166.0,-8164.0,0.0,0.0,-8164.0,-8164.0,,325.666634,-25.080003,-25.080003,1.05,325.666634,-25.080003,-25.080003,1.05,
03/31/2009,4364.0,4364.0,-2132.0,2132.0,2232.0,0.0,-1516.0,725.0,,748.0,43.0,716.0,-341.0,290.0,293.0,-3.0,,,51.0,375.0,-191.0,184.0,0.0,0.0,0.0,184.0,-20.0,164.0,0.0,0.0,164.0,186.45,22.45,339.0,0.48,0.48,0.55,339.6,0.48,0.48,0.546107,
06/30/2009,4474.0,4474.0,-2128.0,2128.0,2346.0,0.0,-1464.0,696.0,,763.0,5.0,882.0,-349.0,336.0,337.0,-1.0,,,13.0,533.0,-216.0,317.0,0.0,0.0,0.0,317.0,-1.0,316.0,0.0,0.0,316.0,325.1,9.1,352.3,0.9,0.9,0.922793,353.7,0.89,0.89,0.915728,
09/30/2009,4498.0,4498.0,-2163.0,2163.0,2335.0,0.0,-1507.0,716.0,,777.0,14.0,828.0,-367.0,348.0,349.0,-1.0,,,19.0,461.0,-193.0,268.0,0.0,0.0,0.0,268.0,0.0,268.0,0.0,0.0,268.0,282.95,14.95,352.4,0.76,0.76,0.802923,354.5,0.76,0.76,0.802172,
12/31/2009,4532.0,4532.0,-2132.0,2132.0,2400.0,0.0,-1509.0,693.0,0.0,797.0,19.0,891.0,-348.0,345.0,345.0,0.0,,,3.0,543.0,-220.0,323.0,0.0,0.0,0.0,323.0,-1.0,322.0,0.0,0.0,322.0,341.5,19.5,352.5,0.91,0.91,0.968794,355.6,0.91,0.91,0.964837,
03/31/2010,4599.0,4599.0,-2179.0,2179.0,2420.0,0.0,-1570.0,751.0,,808.0,11.0,850.0,-362.0,347.0,347.0,0.0,,,15.0,488.0,-273.0,215.0,0.0,0.0,0.0,215.0,-1.0,214.0,0.0,0.0,214.0,147.85,-66.15,352.9,0.6,0.6,0.418957,357.0,0.6,0.6,0.414706,
