Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Other Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Other Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1992,115.235001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.966999,,,38.966999,38.966999,,,0.356667,0.356667,,,0.356667,0.356667,0.356667,
03/31/1993,141.623993,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,64.295998,,,64.295998,64.295998,,113.026113,0.57,0.57,,113.026113,0.57,0.57,0.57,
06/30/1993,136.130997,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,57.950001,,,57.950001,57.950001,,149.48121,0.386667,0.386667,,149.48121,0.386667,0.386667,0.386667,
09/30/1993,144.937012,,,,,,,,,,,,,,,,,,,,,,,,144.937012,,,,,,,144.937012,,,,,,62.334,0.0,,62.334,62.334,,149.6016,0.416667,0.416667,0.416667,149.6016,0.416667,0.416667,0.416667,
12/31/1993,188.410995,92.902,,,,95.509001,0.0,,,-76.146004,76.146004,0.0,0.0,,-15.152,,,,,,,,,,97.112999,,0.0,0.0,97.112999,0.0,,97.112999,0.0,,,97.112999,0.0,97.112999,0.0,,97.112999,97.112999,,149.161503,0.65,0.65,,149.161503,0.65,0.65,0.65,
03/31/1994,111.847,95.302002,,,,16.545002,0.0,,,-78.112,78.112,0.0,0.0,,-15.931,,,,,,,,,,17.804001,,0.0,0.0,17.804001,0.0,,17.804001,0.0,,,17.804001,0.0,17.804001,0.0,,17.804001,17.804001,,144.705002,0.123333,0.123333,,144.705002,0.123333,0.123333,0.123333,
06/30/1994,90.737,98.510002,,,,-7.772999,0.0,,,-280.846008,280.846008,0.0,0.0,,-15.164,,,,,,,,,,-205.272995,,0.0,0.0,-205.272995,0.0,,-205.272995,0.0,,,-205.272995,0.0,-205.272995,0.0,,-205.272995,-205.272995,,142.355999,-1.443333,-1.443333,,142.355999,-1.443333,-1.443333,-1.443333,
09/30/1994,146.516006,104.403,,,,42.112999,0.0,,,-85.452003,85.452003,0.0,0.0,,-16.386,,,,,,,,,,44.678001,,0.0,0.0,44.678001,0.0,,44.678001,0.0,,,44.678001,0.0,44.678001,0.0,,44.678001,44.678001,,142.308003,0.313333,0.313333,0.313333,142.308003,0.313333,0.313333,0.313333,
12/31/1994,102.639999,104.077003,,,,-1.437,0.0,,,-85.233002,85.233002,0.0,0.0,,-16.037001,,,,,,,,,,1.37,,0.0,0.0,1.37,0.0,,1.37,0.0,,,1.37,0.0,1.37,0.0,,1.37,1.37,,142.209,0.01,0.01,,142.209,0.01,0.01,0.01,
03/31/1995,156.589005,106.556,,,,50.032999,0.0,,,-87.139999,87.139999,0.0,0.0,,-17.523001,,,,,,,,,,51.925999,,0.0,0.0,51.925999,0.0,,51.925999,0.0,,,51.925999,0.0,51.925999,0.0,,51.925999,51.925999,,141.731998,0.366667,0.366667,,141.731998,0.366667,0.366667,0.366667,
