Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,7954.700195,576.299988,388.899994,187.399994,1294.900024,,,1125.300049,,,,,1049.599976,,,,,,4046.100098,1863.199951,3398.300049,-1535.099976,1076.199951,,969.200012,,,,,969.200012,3908.599915,,370.899994,370.899994,,,,990.200012,,,,,,990.700043,,,,990.700043,2351.800049,189.600006,,,,,647.400024,,,647.400024,837.000031,3188.800079,0.0,383.299988,,,-13.5,,4370.5,4740.299988,25.6,4765.899988,7954.700068,
07/01/1990,8100.399902,496.000008,399.100006,96.900002,1280.900024,,,1168.900024,,,,,1017.0,,,,,,3962.800049,1949.099976,3518.300049,-1569.199951,1213.599976,,974.900024,,,,,974.900024,4137.599976,,379.0,379.0,,,,1089.0,,,,,,1110.300049,,,,1110.300049,2578.300049,181.800003,,,,,633.900024,,,633.900024,815.700027,3394.000076,0.0,364.899994,,,-1.5,,4316.299805,4679.699799,26.700001,4706.399799,8100.399876,
09/30/1990,8530.200195,409.199997,307.899994,101.300003,1446.5,,,1215.300049,,,,,813.400024,,,,,,3884.399902,2115.199951,3769.600098,-1654.400024,1500.400024,,1030.199951,,,,,1030.199951,4645.799927,,418.0,418.0,,,,1258.300049,,,,,,999.0,,,,999.0,2675.300049,189.899994,,,,,621.599976,,,621.599976,811.499969,3486.800018,0.0,355.100006,,,-23.6,,4682.6,5014.100006,29.299999,5043.400005,8530.200024,
12/31/1990,9052.0,1068.199982,870.299988,197.899994,1377.199951,,,1142.599976,,,,,847.900024,,,,,,4435.899902,2109.800049,3616.300049,-1506.5,1422.699951,,1083.599976,,,,,1083.599976,4616.099976,,450.299988,450.299988,,,,1499.300049,,,,,,1167.299865,,,,1167.299865,3116.899902,193.300003,,,,,621.099976,,,621.099976,814.399979,3931.299881,0.0,351.100006,,,-24.6,,4765.499902,5091.999908,28.700001,5120.699909,9051.99979,
03/31/1991,8813.599609,740.400024,608.900024,131.5,1490.900024,,,1180.400024,,,,,844.5,,,,,,4256.200195,2168.399902,3724.600098,-1556.199951,1303.0,,1086.0,,,,,1086.0,4557.399902,,427.399994,427.399994,,,,1261.400024,,,,,,1137.699982,,,,1137.699982,2826.5,177.199997,,,,,602.200012,,,602.200012,779.400009,3605.900009,0.0,285.799988,,,-33.900002,,4926.299904,5178.19989,29.5,5207.69989,8813.599899,
06/30/1991,8825.599609,843.699982,675.799988,167.899994,1383.599976,,,1202.099976,,,,,931.799988,,,,,,4361.200195,2161.5,3702.0,-1540.5,1227.099976,,1075.800049,,,,,1075.800049,4464.400024,,411.0,411.0,,,,1558.400024,,,,,,1292.299927,,,,1292.299927,3261.699951,157.199997,,,,,547.099976,,,547.099976,704.299973,3965.999924,0.0,198.300003,,,-83.800003,,4713.400101,4827.900101,31.700001,4859.600101,8825.600025,
09/29/1991,9008.0,875.0,673.5,201.5,1494.5,,,1188.699951,,,,,804.900024,,,,,,4363.100098,2243.0,3822.0,-1579.0,1300.599976,,1101.300049,,,,,1101.300049,4644.900024,,401.299988,401.299988,,,,1668.099976,,,,,,1158.499939,,,,1158.499939,3227.899902,148.899994,,,,,529.299988,,,529.299988,678.199982,3906.099884,0.0,239.199997,,,-148.100006,,4978.700104,5069.800095,32.099998,5101.900093,9007.999977,
12/31/1991,9634.599609,1548.099976,1317.599976,230.5,1403.900024,,,1171.5,,,,,684.700012,,,,,,4808.200195,2381.0,4007.5,-1626.5,1337.800049,,1107.599976,,,,,1107.599976,4826.400025,,462.899994,462.899994,,,,1691.099976,,,,,,1266.50003,,,,1266.50003,3420.5,396.600006,,,,,756.799988,,,756.799988,1153.399994,4573.899994,0.0,245.699997,,,-172.100006,,4952.700104,5026.300095,34.400002,5060.700097,9634.600091,
03/29/1992,9467.599609,1273.799973,1065.599976,208.199997,1484.0,,,1165.400024,,,,,783.700012,,,,,,4706.899902,2391.199951,4027.0,-1635.800049,1169.900024,,1199.599976,,,,,1199.599976,4760.699951,,440.200012,440.200012,,,,1292.099976,,,,,,1313.80011,,,,1313.80011,3046.100098,579.799988,,,,,744.099976,,,744.099976,1323.899963,4370.000061,0.0,283.100006,,,-334.100006,,5114.300201,5063.300201,34.299999,5097.600201,9467.600262,
06/29/1992,9529.200195,1426.000031,941.900024,484.100006,1460.099976,,,1167.599976,,,,,923.700012,,,,,,4977.399902,2429.699951,4041.800049,-1612.099976,972.700012,,1149.400024,,,,,1149.400024,4551.799988,,446.100006,446.100006,,,,1055.599976,,,,,,1652.999969,,,,1652.999969,3154.699951,581.0,,,,,990.900024,,,990.900024,1571.900024,4726.599976,0.0,306.200012,,,-349.0,,4812.899902,4770.099915,32.5,4802.599915,9529.19989,
09/27/1992,10130.400391,1802.300049,1079.800049,722.5,1586.099976,,,1233.699951,,,,,1017.700012,,,,,,5639.799805,2624.399902,4332.799805,-1708.400024,677.700012,,1188.5,,,,,1188.5,4490.599915,,437.399994,437.399994,,,,1272.5,,,,,,1514.100006,,,,1514.100006,3224.0,591.599976,,,,,810.599976,,,810.599976,1402.199951,4626.199951,0.0,339.399994,,,-433.200012,,5564.200012,5470.399994,33.799999,5504.199993,10130.399944,
