Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/27/1990,715.536011,65.561998,17.546,48.015999,150.824997,,,188.179001,,,,,2.997,,,,,,407.562988,241.632996,514.083984,-272.450989,0.0,66.339996,,,,,,66.339996,307.972992,,71.983002,71.983002,,,,1.198,,,,,,94.443998,,,94.443998,167.625,18.919001,,,,,48.331001,,,,,,48.331001,67.250002,234.875002,0.0,12.493,,,-2.332,,470.499999,480.660999,0.0,480.660999,715.536001,
04/28/1990,717.387024,67.209002,14.983,52.226002,132.955002,,,207.373001,,,,,3.476,,,,,,411.013,239.514008,516.721985,-277.208008,0.0,66.860001,,,,,,66.860001,306.374008,,76.216003,76.216003,,,,1.219,,,,,,83.370996,,,83.370996,160.806,18.323,,,,,48.348,,,,,,48.348,66.671,227.476999,0.0,12.626,,,-1.773,,479.056997,489.909997,0.0,489.909997,717.386996,
07/28/1990,729.242004,61.289,15.114,46.174999,134.384995,,,229.714996,,,,,3.502,,,,,,428.890991,238.412003,521.466003,-283.053986,0.0,61.938999,,,,,,61.938999,300.351002,,70.209999,70.209999,,,,1.089,,,,,,91.926999,,,91.926999,163.225998,18.226999,,,,,49.640999,,,,,,49.640999,67.867998,231.093996,0.0,12.835,,,-1.018,,486.330988,498.147988,0.0,498.147988,729.241984,
10/27/1990,799.421997,102.410001,26.802999,75.607002,194.447998,,,184.347,,,,,5.69,,,,,,486.894989,235.026001,513.957001,-278.931,0.0,77.500999,,,,,,77.500999,312.527,,76.100998,76.100998,,,,1.777,,,,,,115.198998,,,115.198998,193.076996,24.535,,,,,67.977997,,,,,,67.977997,92.512997,285.589993,0.0,12.835,,,-2.855,,503.852009,513.832009,0.0,513.832009,799.422002,
01/26/1991,819.281006,139.091003,19.096001,119.995003,172.865005,,,194.5,,,,,4.081,,,,,,510.536987,231.455994,515.929993,-284.473999,0.0,77.288002,,,,,,77.288002,308.743996,,89.683998,89.683998,,,,1.698,,,,,,107.228003,,,107.228003,198.610001,25.700001,,,,,66.660004,,,,,,66.660004,92.360004,290.970005,0.0,13.685,,,-2.119,,516.744977,528.310977,0.0,528.310977,819.280982,
04/27/1991,809.343994,137.547997,11.988,125.559998,143.444,,,215.227997,,,,,3.952,,,,,,500.171997,233.085999,524.619019,-291.53299,0.0,76.085999,,,,,,76.085999,309.171997,,77.871002,77.871002,,,,1.617,,,,,,100.420994,,,100.420994,179.908997,25.087999,,,,,65.890999,,,,,,65.890999,90.978998,270.887995,0.0,14.936,,,-0.889,,524.40902,538.456019,0.0,538.456019,809.344014,
07/27/1991,815.91803,142.611004,15.52,127.091003,144.908997,,,215.026993,,,,,3.697,,,,,,506.243988,234.229996,531.133972,-296.903992,0.0,75.444,,,,,,75.444,309.673996,,74.311996,74.311996,,,,1.116,,,,,,107.598996,,,107.598996,183.026993,24.889,,,,,65.121002,,,,,,65.121002,90.010002,273.036995,0.0,15.567,,,-2.506,,529.820026,542.881026,0.0,542.881026,815.918021,
10/26/1991,856.835022,172.094999,23.802,148.292999,192.468994,,,176.425003,,,,,5.439,,,,,,546.427979,231.817001,533.794998,-301.977997,0.0,78.589996,,,,,,78.589996,310.406997,,79.771004,79.771004,,,,4.348,,,,,,116.145004,,,116.145004,200.264008,22.833,,,,,50.330002,,,,,,50.330002,73.163002,273.42701,0.0,16.975,,,-4.265,,570.697983,583.407983,0.0,583.407983,856.834993,
01/25/1992,850.208984,185.370001,18.955999,166.414001,151.347,,,199.701996,,,,,5.059,,,,,,541.478027,227.776001,537.257996,-309.481995,0.0,80.955002,,,,,,80.955002,308.731003,,75.105003,75.105003,,,,4.273,,,,,,106.054996,,,106.054996,185.432999,24.122,,,,,47.256001,,,,,,47.256001,71.378,256.810999,0.0,18.233,,,-2.691,,577.855978,593.397978,0.0,593.397978,850.208977,
04/25/1992,854.268005,195.392994,20.938999,174.453995,148.459,,,199.539993,,,,,5.696,,,,,,549.088013,223.839005,540.880005,-317.040985,0.0,81.341003,,,,,,81.341003,305.180008,,71.234001,71.234001,,,,0.979,,,,,,109.768993,,,109.768993,181.981995,24.003,,,,,46.41,,,,,,46.41,70.413,252.394995,0.0,18.378,,,-7.135,,590.629995,601.872995,0.0,601.872995,854.26799,
07/25/1992,847.429016,169.294003,16.436001,152.858002,153.528,,,220.692001,,,,,5.099,,,,,,548.612976,219.151001,541.393005,-322.242004,0.0,79.665001,,,,,,79.665001,298.816002,,73.962997,73.962997,,,,0.216,,,,,,107.623005,,,107.623005,181.802002,7.641,,,,,45.943001,,,,,,45.943001,53.584001,235.386003,0.0,19.025999,,,-5.131,,598.148029,612.043028,0.0,612.043028,847.42903,
10/31/1992,913.015015,225.539006,15.87,209.669006,189.779999,,,185.932999,,,,,7.893,,,,,,609.14502,216.389999,543.853012,-327.463013,0.0,87.480003,,,,,,87.480003,303.870002,,82.735001,82.735001,,,,0.217,,,,,,124.977,,,124.977,207.929001,7.624,,,,,53.178001,,,,,,53.178001,60.802001,268.731002,0.0,19.379,,,-4.465,,629.370029,644.284029,0.0,644.284029,913.015031,
01/30/1993,891.44397,224.952999,21.327999,203.625,154.408997,,,198.194,,,,,7.337,,,,,,584.893005,215.860001,537.742004,-321.881989,0.0,90.691002,,,,,,90.691002,306.551003,,80.019997,80.019997,,,,0.016,,,,,,105.748,,,105.748,185.783997,7.624,,,,,43.203999,,,,,,43.203999,50.827999,236.611995,0.0,22.615999,,,-0.486,,632.702003,654.832003,0.0,654.832003,891.443998,
