Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,122.873001,60.365002,,,,,,,,,,,,,,,,,,,
06/30/1990,59.039001,60.464001,,,,,,,,,,,,,,,,,,,
09/30/1990,184.828003,61.151001,,,,,,,,,,,,,,,,,,,
12/31/1990,-65.340012,47.196999,,,,,,,,,,,,,,,,,,,
03/31/1991,146.988998,58.987999,,,,,,,,,,,,,,,,,,,
06/30/1991,83.815002,61.349998,,,,,,,,,,,,,,,,,,,
09/30/1991,20.235001,62.728001,,,,,,,,,,,,,,,,,,,
12/31/1991,87.244995,63.423,,,,,,,,,,,,,,,,,,,
03/31/1992,161.505005,64.022003,,,,,,,,,,,,,,,,,,,
06/30/1992,120.737,66.448997,,,,,,,,,,,,,,,,,,,
09/30/1992,26.476,68.098,,,,,,,,,,,,,,,,,,,
12/31/1992,126.749008,66.90799,,,,,,,,,,,,,,,,,,126.749008,
03/31/1993,142.451004,73.488998,,,,,,,,,,,,,,,,,,,
06/30/1993,74.092003,78.246002,,,,,,,,,,,,,,,,,,,
09/30/1993,157.205994,64.412003,,,,,,,,,,,,,,,,,,,
12/31/1993,25.357994,81.832001,,,,,,,,,,,,,,,,,,25.357994,
03/31/1994,75.571999,75.571999,,,,,,,,,,,,,,,,,,,
06/30/1994,63.855,64.903,,,,,,,,,,,,,,,,,,,
09/30/1994,72.499001,64.697998,,,,,,,,,,,,,,,,,,,
12/31/1994,37.419994,63.773018,,,,,,,,,,,,,,,,,,37.419994,
03/31/1995,119.772003,68.621002,,,,,-1.408,,,,,,,,,,,,,,
06/30/1995,23.672001,70.023003,,,,,-1.183,,,,,,,,,,,,,,
09/30/1995,-48.925999,60.973999,,,,,-1.537,,,,,,,,,,,,,,
12/31/1995,225.054993,-56.383003,,,,,-2.382,,,,,,,,,,,,,,
03/31/1996,125.865997,76.274002,,,,,-1.25,,,,,,,,,,,,,,
06/30/1996,57.952999,79.039001,,,,,-1.306,,,,,,,,,,,,,,
09/30/1996,140.839005,73.693001,,,,,-10.533,,,,,,,,,,,,,,
12/31/1996,97.737991,82.366005,,,,,-2.323,,,,,,,,,,,,,,
