Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,686.646011,-392.164001,294.48201,0.345,90.216003,7.351,392.394013,-114.158997,278.235017,-268.30899,9.926,0.0,9.926,5.591,15.517,0.0,0.0,15.517,-0.027,15.49,,15.49,,0.125,0.125,126.057999,,,,,
06/30/1990,718.936005,-420.97699,297.959015,-0.151,94.292,9.452,401.552014,-46.606998,354.945016,-274.381989,80.563004,0.0,80.563004,-22.079,58.484001,0.0,0.0,58.484001,-0.02,58.464001,,58.464003,,0.465,0.465,125.800003,,,,,
09/30/1990,736.07399,-434.552002,301.521988,-0.25,92.402,9.904,403.577989,-100.650002,302.927987,-278.040009,24.888,0.0,24.888,-8.881,16.007,0.0,0.0,16.007,-0.019,15.988,,15.988001,,0.125,0.125,125.884003,,,,,
12/31/1990,747.174995,-439.234009,307.940986,-24.27,96.635002,11.224,391.529988,-113.596001,277.933987,-311.748993,-33.814999,0.0,-33.814999,10.855,-22.959999,0.0,0.0,-22.959999,-0.019,-22.978999,,-22.978999,-0.18,-0.18,-0.18,126.043998,-0.18,-0.18,-0.18,126.043998,
03/31/1991,720.357979,-406.645996,313.711983,10.344,100.792,12.197,437.044982,-115.945999,321.098983,-301.320007,19.778999,0.0,19.778999,-1.437,18.341999,0.0,0.0,18.341999,-0.694,17.647999,,17.647999,,0.14,0.14,127.480003,,,,,
06/30/1991,712.870972,-386.160004,326.710968,0.202,103.372002,6.563,436.84797,-85.619003,351.228967,-310.380005,40.848999,0.0,40.848999,-11.672,29.177,0.0,0.0,29.177,-2.269,26.908,,26.907999,,0.21,0.21,128.630005,,,,,
09/30/1991,698.40197,-369.934998,328.466972,4.579,108.107002,6.434,447.586975,-80.014999,367.571975,-316.300995,51.271,0.0,51.271,-14.295,36.976002,0.0,0.0,36.976002,-2.268,34.708002,,34.708,,0.255,0.255,135.425995,,,,,
12/31/1991,1126.880004,-601.682983,525.197021,3.097,180.337006,10.805,719.436027,-172.307007,547.12902,-569.140015,-22.011,0.0,-22.011,18.958,-3.053,0.0,0.0,-3.053,-5.053,-8.106,,-8.106,-0.05,-0.05,-0.05,161.285996,-0.05,-0.05,-0.05,161.285996,
03/31/1992,730.555016,-325.35199,405.203026,23.344999,133.440994,7.562,569.551019,-76.107002,493.444017,-400.248993,93.195,0.0,93.195,-25.030001,68.165001,-0.596,0.0,67.569,-4.569,63.0,,63.595999,,0.335,0.33,186.399994,,,,,
06/30/1992,730.126991,-302.015991,428.111,-0.358,138.259003,8.039,574.051002,-51.598999,522.452003,-417.976013,104.475998,0.0,104.475998,-41.875999,62.599998,0.0,0.0,62.599998,-4.561,58.038999,,58.038999,,0.3,0.3,192.897995,,,,,
09/30/1992,696.994011,-266.787994,430.206017,-0.344,135.494995,9.347,574.704012,-67.509003,507.195009,-402.457001,104.737999,0.0,104.737999,-33.415001,71.322998,0.0,0.0,71.322998,-4.561,66.761998,,66.761998,,0.345,0.345,193.503998,,,,,
12/31/1992,661.893028,-249.524002,412.369026,11.526,158.123993,12.543,594.562019,-62.062,532.500019,-438.772003,93.727997,-92.574997,1.153,5.011,6.164,0.0,0.0,6.164,-4.563,1.601,,1.601,0.01,0.01,0.01,194.601058,0.01,0.01,0.01,194.601058,
03/31/1993,656.775002,-232.604996,424.170006,-0.204,140.789001,8.171,572.926007,-43.216,529.710007,-395.365997,134.343994,0.0,134.343994,-42.042,92.302002,0.0,0.0,92.302002,-4.56,87.742002,,87.741994,,0.45,0.45,195.764008,,,,,
06/30/1993,650.857002,-222.923996,427.933006,-0.808,146.363998,6.179,579.668005,-34.494999,545.173006,-378.516998,166.656006,0.0,166.656006,-62.445999,104.209999,0.0,0.0,104.209999,-4.56,99.649999,,99.650007,,0.505,0.505,196.492004,,,,,
09/30/1993,623.473984,-215.044006,408.429977,-0.367,145.690994,6.747,560.500972,-23.844999,536.655973,-368.384003,168.272003,0.0,168.272003,-57.127998,111.143997,0.0,0.0,111.143997,-4.559,106.584997,,106.585005,,0.54,0.54,196.886002,,,,,
12/31/1993,599.832969,-209.531998,390.300971,-0.719,140.876999,6.289,536.74797,-18.854,517.89397,-358.690002,159.203995,0.0,159.203995,-45.866001,113.337997,0.0,0.0,113.337997,-4.559,108.778997,,108.778994,0.535,0.535,0.535,204.212006,0.535,0.535,0.535,204.212006,
03/31/1994,606.083008,-201.768005,404.315002,-0.433,130.962006,6.73,541.574008,-19.35,522.224008,-340.532013,181.692001,0.0,181.692001,-63.73,117.961998,0.0,0.0,117.961998,-4.559,113.402998,,113.403002,,0.575,0.575,196.544006,,,,,
06/30/1994,622.761017,-217.438995,405.322021,-0.138,130.522003,6.969,542.675025,-13.698,528.977025,-341.830994,187.145996,0.0,187.145996,-65.938004,121.208,0.0,0.0,121.208,-4.559,116.649,,116.648993,,0.595,0.595,197.395996,,,,,
09/30/1994,648.135994,-239.509003,408.626991,0.354,130.925995,6.869,546.775986,-15.443,531.332986,-340.320007,191.013,0.0,191.013,-67.569,123.444,0.0,0.0,123.444,-4.558,118.886,,118.886,,0.605,0.605,196.188004,,,,,
12/31/1994,677.912995,-262.691986,415.221009,-12.869,134.863998,7.844,545.060007,-25.558001,519.502006,-341.548004,177.953995,0.0,177.953995,-52.597,125.357002,0.0,0.0,125.357002,-4.558,120.799002,,120.798995,0.62,0.62,0.62,194.996002,0.62,0.62,0.62,194.996002,
03/31/1995,712.52301,-292.338989,420.184021,0.017,156.654999,13.027,589.88302,-24.277,565.60602,-370.407013,195.199005,0.0,195.199005,-66.5,128.699005,0.0,0.0,128.699005,-4.55,124.149005,,124.149005,,0.64,0.64,195.386002,,,,,
06/30/1995,737.817993,-310.59201,427.225983,0.009,170.134995,12.962,610.331977,-26.849001,583.482976,-381.924988,201.557999,0.0,201.557999,-69.380997,132.177002,0.0,0.0,132.177002,-4.55,127.627002,,127.627002,,0.65,0.65,196.143997,,,,,
09/30/1995,751.344994,-311.088989,440.256004,0.058,167.278,15.366,622.958004,-34.198002,588.760003,-379.251007,209.509003,0.0,209.509003,-75.420998,134.087997,0.0,0.0,134.087997,-4.525,129.562997,,129.563005,,0.67,0.67,193.503998,,,,,
12/31/1995,759.30098,-305.233002,454.067978,4.91,167.360001,11.246,637.583979,-37.207001,600.376978,-387.049011,213.328003,0.0,213.328003,-74.990997,138.337006,0.0,0.0,138.337006,-2.265,136.072006,,136.072006,0.695,0.695,0.695,195.974,0.695,0.695,0.695,195.974,
03/31/1996,756.277985,-285.854004,470.423981,18.962,184.436996,12.16,685.982977,-41.598,644.384977,-407.592987,236.792007,0.0,236.792007,-88.593002,148.199005,0.0,0.0,148.199005,-2.177,146.022005,,146.022005,0.76,0.76,0.76,191.621994,,,,,
06/30/1996,757.226997,-281.39801,475.828987,0.34,182.597,11.259,670.024987,-39.444,630.580987,-400.70401,229.876999,0.0,229.876999,-90.346001,139.531006,0.0,0.0,139.531006,-0.003,139.528006,,139.527998,0.71,0.71,0.71,196.188004,,,,,
09/30/1996,752.335999,-287.57901,464.756989,0.035,182.382996,12.454,659.628985,-44.912998,614.715986,-384.446014,230.270004,-24.524,205.746004,-78.795998,126.949997,0.0,0.0,126.949997,-0.007,126.942997,,126.943006,0.73,0.65,0.65,194.509003,,,,,
12/31/1996,739.949005,-281.938995,458.01001,-0.14,192.069,13.938,663.87701,-28.617001,635.260009,-399.721008,235.539001,0.0,235.539001,-83.347,152.192001,0.0,-2.381,149.811005,-0.005,149.806005,,149.806001,0.77,0.77,0.77,194.552994,,,,,
03/31/1997,746.020973,-275.518005,470.502968,0.0,199.164001,16.514,686.180969,-31.775,654.40597,-415.852997,238.552994,0.0,238.552994,-84.592003,153.960999,0.0,-8.311,145.649994,-0.005,145.644994,,145.644991,0.79,0.79,0.79,185.496994,,,,,
06/30/1997,768.124008,-312.362,455.762009,0.056,255.261002,15.303,726.382011,-36.169998,690.212013,-432.95401,257.257996,0.0,257.257996,-91.921997,165.335999,0.0,-8.308,157.028,-0.006,157.022,,157.021999,0.8,0.8,0.8,196.063004,,,,,
09/30/1997,775.999001,-318.492004,457.506996,1.855,270.20401,15.397,744.963006,-38.382,706.581007,-436.843994,269.737,-72.199997,197.537003,-66.208,131.328995,0.0,-8.717,122.612,-0.005,122.607,72.199997,194.806999,0.87,0.64,0.64,195.274994,,,,,
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,0.88,,,,
