Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,2634.0,19.4,19.4,0,736.900024,,,291.899994,,,,,141.399994,,,,1189.599976,927.5,,,107.599998,409.299988,,,,,409.299988,1444.399986,,338.399994,338.399994,,,,283.600006,,,354.400024,,,354.400024,976.400024,489.100006,,,,169.300003,,,169.300003,658.400009,1634.800034,,,,,,,999.200012,999.200012,0.0,999.200012,2634.000046,
03/31/1990,2679.600098,64.0,64.0,0,697.0,,,303.399994,,,,,136.100006,,,,1200.5,954.299988,,,111.199997,413.600006,,,,,413.600006,1479.099991,,363.899994,363.899994,,,,309.899994,,,336.299988,,,336.299988,1010.099976,506.5,,,,168.300003,,,168.300003,674.800003,1684.899979,,,,,,,994.700012,994.700012,0.0,994.700012,2679.599991,
06/30/1990,2694.899902,33.700001,33.700001,0,741.0,,,309.100006,,,,,125.199997,,,,1209.0,971.799988,,,108.300003,405.799988,,,,,405.799988,1485.899979,,401.899994,401.899994,,,,265.700012,,,354.999969,,,354.999969,1022.599976,488.299988,,,,173.699997,,,173.699997,661.999985,1684.59996,,,,,,,1010.299988,1010.299988,0.0,1010.299988,2694.899948,
09/30/1990,2798.800049,54.299999,54.299999,0,765.599976,,,319.0,,,,,151.699997,,,,1290.599976,978.799988,1654.099976,-675.299988,113.900002,415.5,,,,,415.5,1508.19999,,444.399994,444.399994,,,,297.200012,,,357.800018,,,357.800018,1099.400024,483.0,,,,180.899994,,,180.899994,663.899994,1763.300018,174.399994,485.399994,,,-59.5,,435.200012,1035.5,0.0,1035.5,2798.800018,
12/31/1990,2794.899902,74.800003,74.800003,0,749.5,,,324.100006,,,,,142.699997,,,,1291.099976,996.0,,,123.0,384.799988,,,,,384.799988,1503.799988,,401.899994,401.899994,,,,304.399994,,,375.799988,,,375.799988,1082.099976,474.200012,,,,186.100006,,,186.100006,660.300018,1742.399994,,,,,,,1052.5,1052.5,0.0,1052.5,2794.899994,
03/31/1991,2702.100098,48.799999,48.799999,0,712.400024,,,308.200012,,,,,154.800003,,,,1224.199951,978.900024,,,124.0,375.0,,,,,375.0,1477.900024,,379.600006,379.600006,,,,256.5,,,344.600006,,,344.600006,980.700012,490.200012,,,,184.899994,,,184.899994,675.100006,1655.800018,,,,,,,1046.300049,1046.300049,0.0,1046.300049,2702.100067,
06/30/1991,2703.399902,44.599998,44.599998,0,766.900024,,,280.700012,,,,,164.899994,,,,1257.099976,956.5,,,126.5,363.299988,,,,,363.299988,1446.299988,,412.799988,412.799988,,,,220.0,,,348.5,,,348.5,981.299988,489.600006,,,,182.699997,,,182.699997,672.300003,1653.599991,,,,,,,1049.800049,1049.800049,0.0,1049.800049,2703.40004,
09/30/1991,2841.0,91.699997,91.699997,0,780.900024,,,287.399994,,,,,216.100006,,,,1376.099976,985.799988,1791.699951,-805.900024,126.599998,352.5,,,,,352.5,1464.899986,,466.299988,466.299988,,,,242.0,,,397.000061,,,397.000061,1105.300049,490.600006,,,,181.100006,,,181.100006,671.700012,1777.000061,174.0,488.799988,,,-59.400002,,460.600014,1064.0,0.0,1064.0,2841.000061,
12/31/1991,2832.0,32.099998,32.099998,0,802.099976,,,279.200012,,,,,231.699997,,,,1345.099976,1001.099976,,,136.800003,349.0,,,,,349.0,1486.899979,,449.600006,449.600006,,,,145.800003,,,455.299942,,,455.299942,1050.699951,467.5,,,,223.199997,,,223.199997,690.699997,1741.399948,,,,,,,1090.599976,1090.599976,0.0,1090.599976,2831.999924,
03/31/1992,2800.699951,6.7,6.7,0,781.200012,,,285.600006,,,,,223.5,,,,1297.0,1019.299988,,,139.399994,345.0,,,,,345.0,1503.699982,,458.100006,458.100006,,,,156.899994,,,397.299988,,,397.299988,1012.299988,461.899994,,,,225.899994,,,225.899994,687.799988,1700.099976,,,,,,,1100.599976,1100.599976,0.0,1100.599976,2800.699951,
