Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,1662.0,1626.0,36.0,-713.0,713.0,949.0,0.0,-615.0,,344.0,,321.0,-50.0,334.0,-607.0,463.0,463.0,0.0,,144.0,-273.0,-61.0,-334.0,0.0,0.0,0.0,-334.0,129.0,-205.0,0.0,0.0,-205.0,-145.85,59.15,341.873994,-0.597213,-0.597213,-0.426619,341.873994,-0.597213,-0.597213,-0.426619,
06/30/2009,1690.0,1690.0,147.0,-715.0,715.0,975.0,0.0,-674.0,,343.0,,329.0,2.0,301.0,-400.0,216.0,216.0,0.0,,184.0,-99.0,-60.0,-159.0,0.0,0.0,0.0,-159.0,47.0,-112.0,0.0,0.0,-112.0,8.9,120.9,342.675558,-0.331785,-0.331785,0.025972,342.675558,-0.331785,-0.331785,0.021026,
09/30/2009,1693.0,1693.0,150.0,-739.0,739.0,954.0,0.0,-3545.0,354.0,,,327.0,2864.0,-2591.0,-404.0,206.0,,,,198.0,-2995.0,565.0,-2430.0,0.0,0.0,0.0,-2430.0,1395.0,-1035.0,0.0,0.0,-1035.0,955.3,1990.3,342.751767,-3.019244,-3.019244,2.787148,342.751767,-3.019244,-3.019244,2.787148,
12/31/2009,1710.0,1556.0,154.0,-735.0,735.0,975.0,0.0,2.0,342.0,,,339.0,-683.0,977.0,12148.0,203.0,203.0,0.0,,-12351.0,13125.0,-101.0,13024.0,0.0,0.0,0.0,13024.0,-306.0,12718.0,0.0,0.0,12718.0,4243.3,-8474.7,101.341008,125.497074,125.497074,41.8715,101.341008,125.497074,125.497074,41.8715,
03/31/2010,1735.0,1696.0,39.0,-756.0,756.0,979.0,0.0,-728.0,347.0,,,369.0,12.0,251.0,-208.0,204.0,,,,4.0,43.0,-19.0,24.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,24.0,34.4,10.4,102.193558,0.23225,0.23225,0.336616,103.87733,0.23225,0.23225,0.332368,
06/30/2010,1771.0,1771.0,,-773.0,773.0,998.0,0.0,-744.0,357.0,,,380.0,7.0,254.0,-252.0,219.0,,,,33.0,2.0,-83.0,-81.0,0.0,0.0,0.0,-81.0,,-81.0,0.0,0.0,-81.0,-54.35,26.65,102.27486,-0.796284,-0.796284,-0.531411,102.27486,-0.796284,-0.796284,-0.535711,
09/30/2010,1769.0,1769.0,,-788.0,788.0,981.0,0.0,-741.0,356.0,,,385.0,0.0,240.0,-226.0,222.0,,,,4.0,14.0,-109.0,-95.0,0.0,0.0,0.0,-95.0,0.0,-95.0,0.0,0.0,-95.0,-92.4,2.6,102.274866,-0.928998,-0.928998,-0.903447,102.274866,-0.928998,-0.928998,-0.903577,
12/31/2010,1784.0,1614.0,170.0,-747.0,747.0,1037.0,0.0,-758.0,353.0,,,390.0,15.0,279.0,-280.0,232.0,232.0,0.0,,48.0,-1.0,-84.0,-85.0,0.0,0.0,0.0,-85.0,0.0,-85.0,0.0,0.0,-85.0,-49.9,35.1,102.453322,-0.829463,-0.829463,-0.487052,102.453322,-0.829463,-0.829463,-0.487052,
03/31/2011,1770.0,1770.0,,-768.0,768.0,1002.0,0.0,-733.0,345.0,,,383.0,5.0,269.0,-300.0,233.0,,,,67.0,-31.0,-79.0,-110.0,0.0,0.0,0.0,-110.0,0.0,-110.0,0.0,0.0,-110.0,-63.2,46.8,102.377415,-1.072772,-1.072772,-0.617324,102.377415,-1.072772,-1.072772,-0.617324,
06/30/2011,1791.0,1791.0,,-784.0,784.0,1007.0,0.0,-737.0,343.0,,,393.0,1.0,270.0,-296.0,241.0,,,,55.0,-26.0,-81.0,-107.0,0.0,0.0,0.0,-107.0,,-107.0,0.0,0.0,-107.0,-71.9,35.1,98.798205,-1.083831,-1.083831,-0.727746,98.798205,-1.083831,-1.083831,-0.728561,
