Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,114.742996,-72.702003,42.040993,-30.797001,11.244,-3.903,0,1.938,9.279,-2.413,6.866,0.0,0,6.866,0,6.866,,,6.866,,0.08,0.08,86.344002,0.08,0.08,0.08,86.344002,
06/30/1990,122.572998,-75.530998,47.042,-31.888,15.154,-4.116,0,0.969,12.007,-3.122,8.885,-7.715,0,1.17,0,1.17,,,8.885,,0.105,0.015,85.921997,0.105,0.105,0.015,85.921997,
09/30/1990,127.357002,-79.372002,47.985001,-35.681,12.304,-5.72,0,0.388,6.972,-1.813,5.159,0.0,0,5.159,0,5.159,,,5.159,,0.06,0.06,86.603996,0.06,0.06,0.06,86.603996,
12/31/1990,154.625,-100.026001,54.598999,-40.208,14.391,-6.927,0,-8.491,-1.027,0.448,-0.579,7.506,0,6.927,0,6.927,,,-0.579,-0.01,-0.01,0.08,81.29,-0.01,-0.01,0.08,81.29,
03/31/1991,133.796005,-84.492996,49.303009,-38.688,10.615,-6.582,0,1.557,5.59,-1.509,4.081,0.0,0,4.081,0,4.081,,,4.081,,0.05,0.05,84.697998,0.05,0.05,0.05,84.697998,
06/30/1991,116.918999,-93.376999,23.542,-42.569,-19.027,-6.703,0,0.067,-25.663,0.0,-25.663,0.0,0,-25.663,0,-25.663,,,-25.663,,-0.31,-0.31,82.519997,-0.31,-0.31,-0.31,82.519997,
09/30/1991,97.578003,-84.115997,13.462006,-85.914001,-72.452003,-5.95,0,-0.351,-78.753003,0.0,-78.752998,0.0,0,-78.752998,0,-78.752998,,,-78.753003,,-0.95,-0.95,82.963997,-0.95,-0.95,-0.95,82.963997,
12/31/1991,113.162003,-76.387001,36.775002,-33.632,3.143,-6.222,0,-4.914,-7.993,0.0,-7.993,0.0,0,-7.993,0,-7.993,,,-7.993,-0.1,-0.1,-0.1,83.324996,-0.1,-0.1,-0.1,83.324996,
03/31/1992,102.716003,-72.267998,30.448006,-33.125,-2.677,-5.904,0,-1.898,-10.479,0.0,-10.479,0.0,0,-10.479,0,-10.479,,,-10.479,,-0.125,-0.125,83.470001,-0.125,-0.125,-0.125,83.470001,
06/30/1992,128.531998,-82.761002,45.770996,-38.324001,7.447,-5.871,0,0.655,2.231,-0.2,2.031,0.0,0,2.031,0,2.031,,,2.031,,0.025,0.025,84.938004,0.025,0.025,0.025,84.938004,
09/30/1992,142.358002,-85.677002,56.681,-41.264999,15.416,-5.569,0,-2.11,7.737001,-0.8,6.937,0.0,0,6.937,0,6.937,,,6.937001,,0.08,0.08,87.113998,0.08,0.08,0.08,87.113998,
12/31/1992,162.712997,-92.836998,69.875999,-42.540001,27.336,-4.003,0,-5.928,17.405,-4.3,13.105,0.0,0,13.105,0,13.105,,,13.105,0.15,0.15,0.15,86.445,0.15,0.15,0.15,86.445,
03/31/1993,156.192993,-88.952003,67.24099,-48.979,18.261999,-1.811,0,0.522,16.972999,-5.601,11.372,0.0,0,11.372,0,11.372,,,11.371999,,0.12,0.12,95.652,0.12,0.12,0.12,95.652,
06/30/1993,168.675995,-95.556999,73.118996,-48.499001,24.620001,-1.449,0,0.823,23.994001,-5.758,18.236,0.0,0,18.236,0,18.236,,,18.236001,,0.17,0.17,106.426003,0.17,0.17,0.17,106.426003,
09/30/1993,187.970993,-106.412003,81.55899,-52.485001,29.073999,-1.53,0,3.098,30.641999,-7.354,23.288,0.0,0,23.288,0,23.288,,,23.287999,,0.215,0.215,107.959999,0.215,0.215,0.215,107.959999,
12/31/1993,217.934006,-121.884003,96.050003,-57.830002,38.220001,-1.466,0,1.093,37.847001,-9.083,28.764,0.0,0,28.764,0,28.764,,,28.764001,0.255,0.255,0.255,113.468002,0.255,0.255,0.255,113.468002,
03/31/1994,200.873993,-103.859001,97.014992,-57.778999,39.236,-0.23,0,2.107,41.113,-11.512,29.601,0.0,0,29.601,0,29.601,,,29.601,,0.255,0.255,116.155998,0.255,0.255,0.255,116.155998,
06/30/1994,229.574005,-116.707001,112.867004,-65.223,47.644001,-0.454,0,3.16,50.350001,-14.066,36.284,0.0,0,36.284,0,36.284,,,36.284001,,0.31,0.31,116.603996,0.31,0.31,0.31,116.603996,
09/30/1994,260.601013,-134.139999,126.461014,-70.086998,56.374001,-0.629,0,2.848,58.593001,-15.397,43.195999,0.0,0,43.195999,0,43.195999,,,43.196,,0.37,0.37,116.82,0.37,0.37,0.37,116.82,
