Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Underwriting & Acq Cost (L),Other Operating Expense,Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,136.604996,105.038002,,,19.860001,11.707,,,-72.788002,72.788002,0.0,0.0,-43.341999,,,,,20.475,,-2.739,0.0,17.736,-3.546,14.19,0.0,,,14.19,0.0,14.19,0.0,,14.19,14.19,,202.126639,0.070233,0.070233,,202.126639,0.070233,0.070233,0.070233,
06/30/1990,136.949005,105.295998,,,19.741,11.912,,,-76.845001,76.845001,0.0,0.0,-42.311001,,,,,17.792999,,-2.586,0.0,15.206999,-2.5,12.707,0.0,,,12.706999,0.0,12.707,0.0,,12.707,12.707,,202.519612,0.062625,0.062625,,202.519612,0.062625,0.062625,0.062625,
09/30/1990,139.436005,106.458,,,20.049,12.929,,,-79.708,79.708,0.0,0.0,-58.584,,,,,1.144,,-2.502,0.0,-1.358,2.805,1.447,0.0,,,1.447,0.0,1.447,0.0,,1.447,1.447,,203.049278,0.007023,0.007023,,203.049278,0.007023,0.007023,0.007023,
12/31/1990,125.066002,107.417999,,,5.042001,12.606,,,-75.372002,75.372002,0.0,0.0,-37.780998,,,,,11.913,,-2.488,0.0,9.425,-1.652,7.773,0.0,,,7.773,0.0,7.773,0.0,,7.773,7.773,,202.451273,0.038628,0.038628,,202.451273,0.038628,0.038628,0.038628,
03/31/1991,132.860001,101.783997,,,17.688999,13.387,,,-71.323997,71.323997,0.0,0.0,-44.271,,,,,17.264999,,-2.553,0.0,14.711999,-4.15,10.562,0.0,,,10.561999,0.0,10.562,0.0,,10.562,10.562,,202.639213,0.05209,0.05209,,202.639213,0.05209,0.05209,0.05209,
06/30/1991,137.554001,103.009003,,,21.238999,13.306,,,-76.318001,76.318001,0.0,0.0,-43.519001,,,,,17.716999,,-2.633,0.0,15.083999,-3.25,11.834,0.0,,,11.833999,0.0,11.834,0.0,,11.834,11.834,,203.527688,0.057942,0.057942,,203.527688,0.057942,0.057942,0.057942,
09/30/1991,139.653,104.266998,,,21.797,13.589,,,-75.420998,75.420998,0.0,0.0,-45.077,,,,,19.155001,,-2.716,0.0,16.439001,-3.35,13.089,0.0,,,13.089001,0.0,13.089,0.0,,13.089,13.089,,203.812449,0.064088,0.064088,,203.812449,0.064088,0.064088,0.064088,
12/31/1991,131.184006,99.072998,,,19.555,12.556,,,-70.642998,70.642998,0.0,0.0,-43.976002,,,,,16.565001,,-2.716,0.0,13.849,-2.75,11.099,0.0,,,11.099,0.0,11.099,0.0,,11.099,11.099,,203.914974,0.054431,0.054431,,203.914974,0.054431,0.054431,0.054431,
03/31/1992,142.167007,103.637001,,,24.691999,13.838,,,-73.233002,73.233002,0.0,0.0,-46.435001,,,,,22.499001,,-4.579,0.0,17.920001,-3.724,14.196,-5.902,,,20.098001,0.0,20.098,0.0,,20.098,20.098,,204.006092,0.098326,0.069355,,204.006092,0.098326,0.069355,0.069355,
06/30/1992,141.813004,104.337997,,,24.196999,13.278,,,-76.357002,76.357002,0.0,0.0,-45.264999,,,,,20.191,,-4.895,0.0,15.296,-2.904,12.392,0.0,,,12.392,0.0,12.392,0.0,,12.392,12.392,,204.199735,0.060576,0.060576,,204.199735,0.060576,0.060576,0.060576,
09/30/1992,141.692993,104.186996,,,22.914,14.592,,,-79.498001,79.498001,0.0,0.0,-46.422001,,,,,15.773,,-4.896,0.0,10.877,-1.187,9.69,0.0,,,9.69,0.0,9.69,0.0,,9.69,9.69,,204.347819,0.047407,0.047407,,204.347819,0.047407,0.047407,0.047407,
12/31/1992,141.526993,103.841003,,,23.182,14.504,,,-79.635002,79.635002,0.0,0.0,-46.568001,,,,,15.324,,-4.896,0.0,10.428,-0.226,10.202,0.0,,,10.202,0.0,10.202,0.0,,10.202,10.202,,203.869414,0.050041,0.050041,,203.869414,0.050041,0.050041,0.050041,
