Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2012,4112,410,410,0,5,5,0,70,0.0,0.0,0.0,70.0,257,,,257,742,3314,4763.0,-1449.0,0,,56,,,,,,56,3370,,83,11,,32.0,40,4,0,,,4.0,113,,93.0,0.0,113,200,582,582,,,2271,,,2178,2853,3053,0.0,6080,1.0,6079.0,-70.0,-4899,-52,1059,0.0,1059,4112,
06/30/2012,119,51,51,0,0,0,0,0,0.0,0.0,0.0,0.0,2,,,2,53,0,,,63,63.0,3,0.0,,,,,3,66,,24,0,,,24,0,0,,,,0,,68.0,,0,24,0,0,,,97,,,29,97,121,0.0,6081,1.0,6080.0,-70.0,-5963,-50,-2,0.0,-2,119,
09/30/2012,5971,677,677,0,131,131,0,125,0.0,0.0,0.0,125.0,1298,,,1298,2231,3270,4436.0,-1166.0,0,,470,96.0,,,,,374,3740,,226,92,,,134,16,0,,,16.0,625,,673.0,,625,867,1661,1661,,,4593,,,3920,6254,7121,0.0,1,1.236301,-0.236301,0.0,-6286,5135,-1150,0.0,-1150,5971,
12/31/2012,4535,348,348,0,108,108,0,101,,,,,486,0.0,95.0,468,1043,3022,3064.0,-42.0,0,,470,71.0,0.0,0.0,,,304,3492,,197,112,0.0,0.0,85,29,0,0.0,0.0,29.0,121,0.0,0.0,,26,347,1386,1386,0.0,0.0,299,0.0,113.0,186,1685,2032,,2599,1.0,2598.0,0.0,-107,11,2503,,2503,4535,
03/31/2013,4382,304,304,0,87,87,0,93,0.0,0.0,0.0,93.0,472,40.0,95.0,472,956,2988,3062.0,-74.0,0,,438,51.0,,,,,252,3426,,171,95,,,76,29,0,,,29.0,169,,136.0,0.0,74,369,1353,1353,,,297,,,161,1650,2019,0.0,2601,1.0,2600.0,0.0,-249,11,2363,0.0,2363,4382,
06/30/2013,4153,461,461,0,106,106,0,76,,0.0,0.0,,270,,,270,913,3006,3122.0,-116.0,0,,234,31.0,,,,,203,3240,,172,87,,,85,7,0,,,7.0,138,,,,43,317,1289,1289,,,331,,,331,1620,1937,0.0,2606,1.0,2605.0,0.0,-394,4,2216,0.0,2216,4153,
09/30/2013,4150,589,589,0,94,94,0,75,0.0,0.0,0.0,75.0,220,,95.0,220,978,2969,3133.0,-164.0,0,,203,11.0,,,,,97,3172,,174,81,,,93,7,0,,,7.0,140,,,,45,321,1287,1287,,,254,,,254,1541,1862,0.0,2610,1.0,2609.0,0.0,-372,50,2288,0.0,2288,4150,
12/31/2013,5291,843,843,0,420,420,0,181,,,,,241,0.0,100.0,226,1685,3315,3527.0,-212.0,0,,291,68.0,0.0,0.0,,,123,3606,,481,329,0.0,0.0,152,13,0,0.0,0.0,13.0,227,0.0,0.0,307.0,127,721,1979,1979,0.0,0.0,384,0.0,51.0,26,2363,3084,0.0,2615,1.0,2614.0,0.0,-463,58,2210,-3.0,2207,5291,
03/31/2014,5352,996,996,0,409,409,0,181,,0.0,0.0,181.0,251,22.0,79.0,251,1837,3262,3532.0,-270.0,0,,253,61.0,,,,,91,3515,,543,370,,,173,36,0,,,36.0,248,,164.0,,169,827,1970,1970,,,385,,,221,2355,3182,0.0,2619,1.0,2618.0,0.0,-504,55,2170,0.0,2170,5352,
06/30/2014,5188,948,948,0,367,367,0,206,0.0,0.0,0.0,206.0,178,,65.0,157,1699,3260,3586.0,-326.0,0,,229,50.0,,,,,114,3489,,484,305,,,179,37,0,,,37.0,232,,70.0,,17,753,1971,1971,,,412,,,342,2383,3136,0.0,2624,1.0,2623.0,0.0,-627,54,2051,1.0,2052,5188,
