Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1997,18.4,71.099998,26.0,33.200001,12.5,20.700001,-111.900002,-56.5,38.2,-51.3,-42.300002,,20.299999,-19.8,2.3,,,-22.1,,,0.0,0.0,0.0,,,,,40.099999,-17.3,-28.0,-2.7,,,,14.2,15.1,-0.9,-0.8,,21.4,,,
06/30/1997,72.300003,94.599998,26.0,-66.599998,,-66.599998,18.299999,,,,18.299999,,-2.6,-15.2,5.9,,,-21.1,,,0.0,0.0,0.0,,,,,12.6,-108.500002,-28.200001,-47.4,,,,-33.700001,11.5,-45.200001,0.8,,-38.799999,,,
09/30/1997,59.200001,73.599998,28.5,-20.299999,,-20.299999,-22.6,-29.9,-30.5,-33.0,70.8,,-35.5,-28.099999,5.2,,,-33.299999,,,0.0,0.0,0.0,,,,,-7.400001,-34.999998,-28.1,0.7,,,,-32.599998,8.0,-40.599998,25.0,,-11.3,,,
12/31/1997,134.699996,89.500006,23.9,21.199996,-16.8,37.999996,0.100003,60.9,-72.5,95.4,-83.699997,,20.600001,-29.000001,17.3,,,-46.300001,,,0.0,0.0,0.0,,,,,49.600002,-136.909999,-27.899999,-63.8,,,,-20.21,86.69,-106.9,-25.0,,18.399999,,,
03/31/1998,22.9,26.9,28.0,34.5,-1.6,36.1,-66.5,-24.4,22.9,,-65.0,,-104.9,-31.1,1.6,,,-32.7,,,0.0,,0.0,,,,,-73.8,79.7,-27.9,103.7,,,,3.9,3.9,0.0,0.0,,-2.3,,,
06/30/1998,94.199997,75.5,27.200001,32.799999,,32.799999,-41.299999,,,,-41.299999,,-37.400002,-42.700001,1.5,,,-44.200001,,,0.0,0.0,0.0,,,,,5.299999,-18.4,-31.5,11.5,,,,1.6,1.6,0.0,0.0,,38.400002,,,
09/30/1998,121.000003,65.5,25.999999,-30.099999,3.3,-33.399999,59.599999,79.4,16.8,,-36.600001,,-38.099998,-31.999999,9.4,,,-41.399999,,,0.0,0.0,0.0,,,,,-6.099999,-104.3,-31.6,-76.3,,,,3.6,3.6,0.0,0.0,,-21.400002,,,
12/31/1998,161.3,73.3,27.8,-9.1,-9.0,-0.1,69.3,2.0,9.8,-30.7,88.2,,-148.1,-47.5,6.8,,,-54.3,,,0.0,0.0,0.0,,,,,-100.6,-6.8,-31.3,74.7,,,,-50.2,0.0,-50.2,0.0,,6.4,,,
03/31/1999,54.9,60.6,24.0,-9.4,,-9.4,-20.3,,,,-20.3,,-15.9,-19.1,0.5,,,-19.6,,,0.0,0.0,0.0,,,,,3.2,-57.0,-31.1,14.1,,,,-49.3,2.9,-52.2,9.3,,-18.0,,,
06/30/1999,23.8,57.3,23.2,-82.9,,-82.9,26.2,,,,26.2,,-13.3,-16.4,6.8,,,-23.2,,,0.0,0.0,0.0,,,,,3.1,-7.5,-30.7,32.9,,,,-55.8,0.6,-56.4,46.1,,3.0,,,
09/30/1999,381.9,167.6,24.3,239.9,,239.9,-49.9,,,,-49.9,,-24.4,-13.4,1.4,,,-14.8,,,0.0,0.0,0.0,,,,,-11.0,-367.7,-30.4,-245.1,,,,-36.8,2.9,-39.7,-55.4,,-10.2,,,
12/31/1999,-357.7,14.7,23.8,-336.8,-22.1,-314.7,-59.4,1.0,-20.6,31.9,-71.7,,483.3,3.3,19.8,,,-16.5,,,0.0,0.0,0.0,,,,,480.0,-123.9,-29.9,44.2,,,,-107.5,1.8,-109.3,-30.7,,1.7,,,
03/31/2000,29.8,41.3,24.8,-2.8,,-2.8,-33.5,,,,-33.5,,3.1,-10.5,1.7,,,-12.2,,,0.0,0.0,0.0,,,,,13.6,-30.4,-17.3,117.3,,,,-130.4,0.2,-130.6,0.0,,2.5,,,
06/30/2000,5.0,43.7,25.1,-56.1,,-56.1,-7.7,,,,-7.7,,-38.8,-13.5,2.3,,,-15.8,,,0.0,0.0,0.0,,,,,-25.3,22.1,-16.5,90.3,,,,-51.7,1.4,-53.1,0.0,,-11.7,,,
