Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,4.379,,,-2.972,,,1.407,,-0.318,,,,,1.089,-0.431,,0.433,,0.0,,-0.002,0.658,-0.223,,,,0.435,0.0,,,0.435,0.0,0.435,0.0,,0.435,0.435,,25.218,0.02,0.02,,25.218,0.02,0.02,0.02,
06/30/1995,4.618,,,-3.231,,,1.387,,-0.659,,,,,0.728,-0.675,,0.494,,0.0,,0.181,0.053,-0.018,,,,0.035,0.0,,,0.035,0.0,0.035,0.0,,0.035,0.035,,27.056,0.0,0.0,,27.056,0.0,0.0,0.0,
09/30/1995,4.818,,,-3.619,,,1.199,,-0.429,,,,,0.77,-0.482,,0.506,,0.0,,-0.024,0.288,-0.098,,,,0.19,0.0,,,0.19,0.0,0.19,0.0,,0.19,0.19,,27.716,0.005,0.005,,27.716,0.005,0.005,0.005,
12/31/1995,6.217,,,-4.989,,,1.228,,-0.526,,,,,0.702,-0.62,,0.652,,0.0,,-0.032,0.082,-0.028,,,,0.054,0.0,,,0.054,0.0,0.054,0.0,,0.054,0.054,,27.6,0.0,0.0,,27.6,0.0,0.0,0.0,
03/31/1996,9.017,,,-4.969,,,4.048,,-0.878,,,,,3.17,-0.03,,0.105,,0.0,,-0.075,3.14,-0.945,,,,2.195,0.44,,,1.755,0.0,1.755,-0.375,,1.38,1.38,,45.875999,0.03,0.04,0.04,45.875999,0.03,0.04,0.04,
06/30/1996,11.633,,,-7.763,,,3.87,,-0.885,,,,,2.985,-0.527,,0.576,,0.0,,-0.049,2.458,-0.859,,,,1.599,0.0,,,1.599,0.0,1.599,-0.384,,1.215,1.215,,46.220001,0.0275,0.0275,0.0275,46.220001,0.0275,0.0275,0.0275,
09/30/1996,14.059,,,-9.022,,,5.037,,-1.222,,,,,3.815,-0.942,,0.849,,0.0,,0.093,2.873,-1.128,,,,1.745,0.0,,,1.745,0.0,1.745,-0.394,,1.351,1.351,,47.279999,0.035,0.035,0.035,47.279999,0.035,0.035,0.035,
12/31/1996,18.171,,,-9.645,,,8.526,,-1.495,,,,,7.031,-0.119,,0.463,,0.0,,-0.344,6.912,-2.38,,,,4.532,0.0,,,4.532,0.0,4.532,-0.128,,4.404,4.404,,52.416,0.085,0.085,0.085,52.416,0.085,0.085,0.085,
03/31/1997,21.141001,,,-11.678,,,9.463,,-1.618,,,,,7.845,0.433,,0.079,,0.0,,-0.512,8.278,-3.063,,,,5.215,0.0,,,5.215,0.0,5.215,0.0,,5.215,5.215,,80.375999,0.065,0.065,0.065,85.800003,0.06,0.06,0.06,
09/30/1997,20.18,,,-13.551,,,6.629001,,-1.518,,,,,5.111,-0.014,,0.235,,0.0,,-0.221,5.097,-1.886,,,,3.211,0.0,,,3.211,0.0,3.211,0.0,,3.211,3.211,,81.092003,0.04,0.04,0.04,87.0,0.0375,0.0375,0.0375,
12/31/1997,25.25,,,-15.976,,,9.274,,-1.767,,,,,7.507,-0.587,,0.724,,0.0,,-0.137,6.92,-2.65,,,,4.27,0.0,,,4.27,0.0,4.27,0.0,,4.27,4.27,,81.092004,0.0525,0.0525,0.0525,87.0,0.05,0.05,0.05,
06/30/1998,22.507999,,,-24.18,,,-1.672001,,-1.909,,,,,-3.581,-168.603,,3.978,,0.0,,164.625,-172.184,0.0,,,-50.244999,-121.939003,0.0,,,-172.184,0.0,-121.939003,0.0,,-121.939003,-121.939003,,106.760002,-1.1425,-1.1425,-0.1375,106.760002,-1.1425,-1.1425,-0.1375,
09/30/1998,19.263,,,-16.06,,,3.203,0.0,-1.543,,,,,1.66,-4.083,4.083,4.419,-0.336,,,0.0,-2.423,,,,,-2.423,,,,,0.0,-2.423,0.0,0.0,-2.423,-2.423,,106.972,-0.0225,-0.0225,-0.0225,106.972,-0.0225,-0.0225,-0.0225,
12/31/1998,14.924,,,-21.086,,,-6.162,,-1.742,,,,,-7.904,-119.201002,,4.746,,0.0,,114.455002,-127.105002,15.62,,,,-162.102997,0.0,,,-111.485002,0.0,-162.102997,0.0,,-162.102997,-162.102997,,107.480004,-1.5125,-1.5125,-0.86,107.480004,-1.5125,-1.5125,-0.86,
03/31/1999,14.703,,,-11.344,,,3.359,,-1.89,,,,,1.469,-4.497,4.497,4.858,-0.361,,,0.0,-3.028,3.028,,,,0.0,,,,0.0,,-3.028,,,-3.028,-3.028,,107.208,-0.0275,-0.0275,-0.0275,107.208,-0.0275,-0.0275,-0.0275,
06/30/1999,17.858,,,-12.247,,,5.611,,-1.669,,,,,3.942,-3.45,3.45,3.82,-0.37,0.0,,0.0,0.492,-0.492,,,,0.0,0.0,,,0.0,0.0,0.492,0.0,,0.492,0.492,,165.628,0.0025,0.0025,0.0025,165.9,0.0025,0.0025,0.0025,
09/30/1999,22.04,,,-14.709,,,7.331,,-1.773,,,,,5.558,-3.154,3.154,3.492,-0.338,,,0.0,2.404,,,,,2.404,,,,,,2.404,,,2.404,2.404,,182.348,0.0125,0.0125,0.0125,182.356,0.0125,0.0125,0.0125,
12/31/1999,26.973995,,,-17.334002,,,9.639993,,-1.615,,,,,8.025,-3.279,,3.625,,0.0,,-0.346,4.746,0.0,,,,4.746,0.0,,,4.746,0.0,4.746,0.0,,4.746,4.746,,182.591996,0.025,0.025,0.025,182.664,0.025,0.025,0.025,
03/31/2000,35.202,,,-18.514,,,16.688,,-2.11,,,,,14.578,-3.043,3.608,3.608,,0.0,,-0.565,11.535,-0.02,,,,11.515,0.0,,,11.515,0.0,11.515,0.0,,11.515,11.515,,182.876,0.0625,0.0625,0.0625,182.88,0.0625,0.0625,0.0625,
06/30/2000,37.185,,,-18.263,,,18.922,,-2.054,,,,,16.868,-3.245,3.245,3.61,-0.365,0.0,,0.0,13.623,-0.02,,,,13.603,0.0,,,13.603,0.0,13.603,0.0,,13.603,13.603,,183.196,0.075,0.075,0.075,184.396,0.075,0.075,0.075,
09/30/2000,44.053,,,-20.124,,,23.929,,-1.96,,,,,21.969,-2.849,2.849,3.545,-0.696,,,0.0,19.12,-0.081,,,,19.039,,,,19.039,,19.039,,0.0,19.039,19.039,,183.424,0.105,0.105,0.105,186.02,0.1025,0.1025,0.1025,
12/31/2000,62.932,,,-26.607,,,36.325,,-1.831,,,,,34.494,-3.839,4.492,4.492,,0.0,,-0.653,30.655,67.415,,,,98.07,0.0,,,98.07,0.0,98.07,0.0,,98.07,98.07,-67.9,183.664,0.535,0.535,0.1775,187.476,0.5225,0.5225,0.165,
03/31/2001,79.174,,,-27.481,,,51.693,,-2.676,,,,,49.017,-7.797,4.663,4.663,,0.0,,3.134,41.22,-15.251,,,,25.969,0.0,,,25.969,0.0,25.969,0.0,0.0,25.969,25.969,,184.048,0.14,0.14,0.14,189.044,0.1375,0.1375,0.1375,
06/30/2001,67.165,,,-28.898,,,38.267,,-2.004,,,,,36.263,-4.34,4.34,4.582,-0.242,0.0,,0.0,31.923,-11.812,,,,20.111,0.0,,,20.111,0.0,20.111,0.0,0.0,20.111,20.111,,184.528,0.11,0.11,0.11,189.288,0.105,0.105,0.105,
09/30/2001,74.226,,,-41.03,,,33.196,,-2.849,,,,,30.347,-8.207,6.238,6.33,-0.092,0.0,,1.969,22.14,-8.192,,,,13.948,0.0,,,13.948,0.0,13.948,0.0,0.0,13.948,13.948,,208.676,0.0675,0.0675,0.0675,212.616,0.065,0.065,0.065,
12/31/2001,64.315,,,-41.863,,,22.452,,-2.345,,,,,20.107,-34.016,6.76,6.76,,0.0,,27.256,-13.909,10.431,,,,-3.478,0.0,,,-3.478,0.0,-3.478,0.0,0.0,-3.478,-3.478,,211.528,-0.0175,-0.0175,0.065,214.656,-0.0175,-0.0175,0.065,
03/31/2002,55.036,,,-41.502,,,13.534,,-2.849,,,,,10.685,-5.162,6.243,6.654,-0.411,0.0,,-1.081,5.523,-0.977,,,,4.546,0.0,,,4.546,0.0,4.546,0.0,0.0,4.546,4.546,,211.976,0.0225,0.0225,0.0225,214.896,0.02,0.02,0.02,
06/30/2002,73.022,,,-45.349,,,27.673,,-2.933,,,,,24.74,-5.129,6.161,6.572,-0.411,0.0,,-1.032,19.611,-6.113,,,,13.498,0.0,,,13.498,0.0,13.498,0.0,0.0,13.498,13.498,,212.632,0.0625,0.0625,0.0625,217.204,0.0625,0.0625,0.0625,
09/30/2002,74.117,,,-44.145,,,29.972,,-3.034,,,,,26.938,-5.318,6.86,6.86,,0.0,,-1.542,21.62,-8.161,,,,13.459,0.0,,,13.459,0.0,13.459,0.0,0.0,13.459,13.459,,213.416,0.0625,0.0625,0.0625,218.248,0.0625,0.0625,0.0625,
12/31/2002,82.729,,,-48.98,,,33.749,,-2.493,,,,,31.256,-7.695,6.197,6.747,-0.55,,,1.498,23.561,-8.269,,,,15.292,,,,15.292,0.0,15.292,0.0,0.0,15.292,15.292,,213.84,0.0725,0.0725,0.0725,219.7,0.07,0.07,0.07,
03/31/2003,86.228,,,-50.168,,,36.06,,-3.791,,,,,32.269,-4.731,6.461,6.461,,0.0,,-1.73,27.538,-9.085,,,,18.453,-2.612,,,21.065,0.0,21.065,0.0,0.0,21.065,21.065,,214.556,0.0975,0.085,0.085,220.196,0.095,0.0825,0.0825,
06/30/2003,83.841,,,-50.179,,,33.662,,-3.376,,,,,30.286,-22.723,6.227,6.227,,0.0,,16.496,7.563,-2.434,,,,5.129,0.0,,,5.129,0.0,5.129,0.0,0.0,5.129,5.129,11.5,215.26,0.025,0.025,0.0775,221.348,0.0225,0.0225,0.075,
09/30/2003,79.003,,,-49.329,,,29.674,,-3.445,,,,,26.229,-3.53,5.358,5.358,,0.0,,-1.828,22.699,-7.55,,,,15.149,0.0,,,15.149,0.0,15.149,0.0,0.0,15.149,15.149,,216.056,0.07,0.07,0.07,222.872,0.0675,0.0675,0.0675,
12/31/2003,82.369,,,-51.0,,,31.369,,-4.701,,,,,26.668,-4.315,5.155,5.155,,0.0,,-0.84,22.353,-7.143,,,,15.21,0.0,,,15.21,0.0,15.21,0.0,0.0,15.21,15.21,,216.204,0.07,0.07,0.07,222.856,0.0675,0.0675,0.0675,
03/31/2004,97.329,,,-54.063,,,43.266,,-4.748,,,,,38.518,-5.573,5.081,5.081,,0.0,,0.492,32.945,-10.641,,,,22.304,0.0,,,22.304,0.0,22.304,0.0,0.0,22.304,22.304,,217.552,0.1025,0.1025,0.1025,225.252,0.1,0.1,0.1,
06/30/2004,105.927,,,-57.414,,,48.513,,-4.178,,,,,44.335,-15.297,5.068,5.068,,0.0,,10.229,29.038,-9.649,,,,19.389,0.0,,,19.389,0.0,19.389,0.0,0.0,19.389,19.389,,218.976,0.0875,0.0875,0.0875,228.408,0.085,0.085,0.085,
09/30/2004,82.506,,,-45.716,,,36.79,,-6.197,,,,,30.593,-4.487,,4.768,,0.0,,-0.281,26.106,-7.832,,,,18.274,0.0,,,18.274,0.0,18.274,0.0,0.0,18.274,18.274,,220.34,0.0825,0.0825,0.0825,230.196,0.08,0.08,0.08,
12/31/2004,98.337,,,-47.516,,,50.821,,-6.338,,,,,44.483,-10.732,,4.551,,0.0,,6.181,33.751,-11.27,,,,22.481,0.0,,,22.481,0.0,22.481,0.0,0.0,22.481,22.481,,221.036,0.1025,0.1025,0.1025,232.304,0.0975,0.0975,0.0975,
03/31/2005,111.647,,,-50.962,,,60.685,,-6.495,,,,,54.19,-5.557,3.86,4.476,-0.616,0.0,,1.697,48.633,-13.828,,,,34.805,0.0,,,34.805,0.0,34.805,0.0,0.0,34.805,34.805,,221.836,0.135,0.135,0.155,234.416,0.1275,0.1275,0.145,
06/30/2005,125.513,,,-58.189,,,67.324,,-5.992,,,,,61.332,-0.796,8.349,9.043,-0.694,0.0,,-7.553,60.536,-19.864,,,,40.672,0.0,,,40.672,0.0,40.672,0.0,0.0,40.672,40.672,,222.612,0.1825,0.1825,0.175,235.888,0.1725,0.1725,0.165,
09/30/2005,137.377,,,-57.972,,,79.405,,-8.952,,,,,70.453,-11.899,8.713,9.429,-0.716,0.0,-0.055,3.241,58.554,-20.008,,,,38.546,0.0,,,38.546,0.0,38.546,0.0,0.0,38.546,38.546,,224.316,0.17,0.17,0.17,238.972,0.16,0.16,0.16,
12/31/2005,177.277,,,-70.062,,,107.215,,-7.101,,,,,100.114,-15.058,,4.66,,0.0,,10.398,85.056,-27.87,,,,57.186,0.0,,,57.186,0.0,57.186,0.0,0.0,57.186,57.186,,225.128,0.255,0.255,0.255,238.782,0.24,0.24,0.24,
03/31/2006,176.763,,,-77.647,,,99.116,,-9.867,,,,,89.249,-17.501,6.879,8.254,-1.375,0.0,,10.622,71.748,-27.97,,,,43.778,0.0,,,43.778,0.0,43.778,0.0,0.0,43.778,43.778,,226.302,0.195,0.195,0.225,239.85,0.185,0.185,0.21,
06/30/2006,189.566,,,-88.124,,,101.442,,-14.574,,,,,86.868,-13.28,4.282,5.751,-1.469,0.0,,8.998,73.588,-29.326,,,,44.262,0.0,,,44.262,0.0,44.262,0.0,0.0,44.262,44.262,,232.942,0.19,0.19,0.215,245.976,0.18,0.18,0.2,
09/30/2006,188.278,,,-94.004,,,94.274,,-10.599,,,,,83.675,11.289,3.45,5.009,-1.559,0.0,,-14.739,94.964,-35.67,,,,59.294,0.0,,,59.294,0.0,59.294,0.0,0.0,59.294,59.294,,235.834,0.25,0.25,0.21,247.932,0.24,0.24,0.205,
12/31/2006,166.139,,,-96.202,,,69.937,,-7.974,,,,,61.963,27.311,4.561,4.561,0.0,0.0,,-31.872,89.274,-34.151,,,,55.123,0.0,,,55.123,,55.123,0.0,0.0,55.123,55.123,,237.174,0.23,0.23,0.15,247.394,0.225,0.225,0.15,
03/31/2007,180.476,,,-102.491,,,77.985,,-11.434,,,,,66.551,-39.303,4.292,6.075,-1.783,0.0,,35.011,27.248,-10.632,,,,16.616,0.0,,,16.616,0.0,16.616,0.0,0.0,16.616,16.616,,237.984,0.07,0.07,0.16,247.908,0.065,0.065,0.15,
06/30/2007,222.592,,,-115.032,,,107.56,,-11.694,,,,,95.866,6.611,6.592,8.356,-1.764,0.0,,-13.203,102.477,-39.91,,,,62.567,0.0,,,62.567,0.0,62.567,0.0,0.0,62.567,62.567,,239.586,0.26,0.26,0.225,249.538,0.25,0.25,0.22,
09/30/2007,261.221,,,-126.1,,,135.121,,-11.541,,,,,123.58,-12.367,6.926,8.628,-1.702,0.0,,5.441,111.213,-43.225,,,,67.988,0.0,,,67.988,0.0,67.988,0.0,0.0,67.988,67.988,,240.868,0.28,0.28,0.295,250.45,0.27,0.27,0.285,
12/31/2007,322.609,,,-136.514,,,186.095,,-14.303,,,,,171.792,-19.316,6.205,7.771,-1.566,0.0,,13.111,152.476,-46.5,,,,105.976,0.0,,,105.976,0.0,105.976,0.0,0.0,105.976,105.976,,241.773,0.44,0.44,0.47,251.337,0.42,0.42,0.45,
03/31/2008,308.0,,,-133.719,,,174.281,,-16.005,,,,,158.276,-42.387,3.654,4.941,-1.287,0.0,,38.733,115.889,-42.887,,,,73.002,0.0,,,73.002,0.0,73.002,0.0,0.0,73.002,73.002,,242.757,0.3,0.3,0.4,252.109,0.29,0.29,0.39,
06/30/2008,416.626,,,-152.541,,,264.085,0.0,-14.811,,,,,249.274,-65.599,6.782,8.141,-1.359,0.0,,58.817,183.675,-69.622,,,,114.053,0.0,,,114.053,0.0,114.053,0.0,0.0,114.053,114.053,,243.623,0.47,0.47,0.47,252.401,0.45,0.45,0.45,
09/30/2008,381.507,,,-162.207,,,219.3,,-15.005,,,,,204.295,49.422,6.231,10.906,-4.675,0.0,,-55.653,253.717,-96.169,,,,157.548,0.0,,,157.548,0.0,157.548,0.0,0.0,157.548,157.548,,244.426,0.64,0.64,0.5,251.831,0.63,0.63,0.49,
12/31/2008,225.776,,,-148.843,,,76.933,,-14.553,,,,,62.38,8.567,7.299,8.608,-1.309,0.0,,-15.866,70.947,-27.154,,,,43.793,0.0,,,43.793,0.0,43.793,0.0,0.0,43.793,43.793,,244.918,0.18,0.18,0.14,249.541,0.18,0.18,0.14,
03/31/2009,257.07,168.069,89.001,-147.367,85.442,61.925,109.703,0.0,-22.655,22.655,,22.655,0.0,87.048,-116.023,,12.197,,,,103.826,-28.975,10.678,0.173,-10.851,,-18.297,0.0,0.0,0.0,-18.297,0.0,-18.297,0.0,0.0,-18.297,47.641,65.938,245.573,-0.07,-0.07,0.193999,245.573,-0.07,-0.07,0.193999,
06/30/2009,256.438,211.552,44.886,-157.232,95.537,61.695,99.206,0.0,-33.135,33.135,,33.135,0.0,66.071,-206.739,,14.904,,,,191.835,-140.668,53.428,24.127,-77.555,,-87.24,0.0,0.0,0.0,-87.24,0.0,-87.24,0.0,0.0,-87.24,39.37415,126.61415,246.084,-0.35,-0.35,0.160003,246.084,-0.35,-0.35,0.160003,
09/30/2009,243.507,221.321,22.186,-148.333,94.808,53.525,95.174,0.0,-24.038,24.038,,24.038,0.0,71.136,-29.874,,9.859,,,,20.015,41.262,-14.377,-6.16,20.537,,26.885,0.0,0.0,0.0,26.885,0.0,26.885,0.0,0.0,26.885,40.701,13.816,246.795,0.11,0.11,0.164918,252.189,0.11,0.11,0.164784,
12/31/2009,269.85,265.767,4.083,-158.656,97.478,61.178,111.194,0.0,-36.267,27.8,,27.8,8.467,74.927,-68.735,,10.47,,,,58.265,6.192,-2.696,-13.529,16.225,,3.496,0.0,0.0,0.0,3.496,0.0,3.496,0.0,0.0,3.496,45.83,42.334,249.175,0.01,0.01,0.183927,254.242,0.01,0.01,0.176511,
03/31/2010,275.582,330.886,-55.304,-198.777,116.905,81.872,76.805,0.0,23.86,32.709,,32.709,-56.569,100.665,76.48,,26.416,,,,-102.896,177.145,-76.941,0.669,76.272,,100.204,0.0,0.0,0.0,100.204,-3.316,96.888,0.0,0.0,96.888,-1.0152,-97.9032,294.143,0.33,0.33,-0.003451,299.224,0.32,0.32,-0.00719,
06/30/2010,495.519,488.028,7.491,-296.733,167.524,129.209,198.786,0.0,-54.004,31.192,,31.192,22.812,144.782,86.91,,43.483,,,,-130.393,231.692,-81.363,6.941,74.422,,150.329,0.0,0.0,0.0,150.329,-14.962,135.367,0.0,0.0,135.367,71.4702,-63.8968,395.548,0.34,0.34,0.180687,400.867,0.34,0.34,0.180603,
09/30/2010,475.474,460.785,14.689,-281.4,169.798,111.602,194.074,0.0,-48.588,37.115,,37.115,11.473,145.486,-93.953,,53.331,,,,40.622,51.533,-20.299,3.704,16.595,,31.234,0.0,0.0,0.0,31.234,-2.13,29.104,0.0,0.0,29.104,62.53345,33.42945,395.913,0.07,0.07,0.157947,401.093,0.07,0.07,0.153346,
12/31/2010,534.309,513.593,20.716,-281.578,169.954,111.624,252.731,0.0,-51.684,38.666,,38.666,13.018,201.047,-182.347,,52.883,,,,129.464,18.7,-14.94,21.88,-6.94,,3.76,0.0,0.0,0.0,3.76,6.604,10.364,0.0,0.0,10.364,98.765,88.401,396.5,0.03,0.03,0.249092,402.436,0.03,0.03,0.249092,
03/31/2011,512.704,506.192,6.512,-251.82,158.226,93.594,260.884,0.0,-49.981,47.622,5.303,42.319,2.359,210.903,-233.849,,48.777,,,,185.072,-22.946,8.756,-0.848,-7.908,,-14.19,0.0,0.0,0.0,-14.19,0.0,-14.19,0.0,0.0,-14.19,103.908,118.098,397.386,-0.04,-0.04,0.261479,397.386,-0.04,-0.04,0.257187,
