Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Amort Def Acq Cost (NL),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2016,2389.0,393.0,393.0,0.0,980.0,1016.0,931.0,85.0,-1027.0,737.0,290.0,-246.0,246.0,246.0,,564.0,,0.0,564.0,-157.0,407,0.0,0.0,0.0,407.0,,407,,0.0,407,256.2,-150.8,,,,,,,,,
03/31/2017,965.0,176.0,176.0,0.0,-238.0,1027.0,953.0,74.0,-1139.0,864.0,275.0,148.0,-148.0,-148.0,,-590.0,,0.0,-590.0,241.0,-349,0.0,0.0,0.0,-349.0,,-349,,0.0,-349,-468.0,663.0,116.565271,-2.994031,-2.994031,2.69377,116.565271,-2.994031,-2.994031,2.69377,
06/30/2017,2025.0,218.0,218.0,0.0,688.0,1119.0,957.0,162.0,-1069.0,785.0,284.0,-21.0,21.0,21.0,,321.0,0.0,0.0,321.0,-75.0,246,0.0,0.0,0.0,246.0,,246,,0.0,246,-469.3,50.7,,,,,,,,,
09/30/2017,1972.0,236.0,236.0,0.0,618.0,1118.0,1025.0,93.0,-1362.0,1083.0,279.0,-123.0,123.0,123.0,-577.0,-90.0,-34.0,0.0,-124.0,-819.0,-943,0.0,0.0,0.0,-943.0,,-943,0.0,0.0,-943,-850.05,92.95,119.773106,-7.87,-7.87,-7.097169,119.773106,-7.87,-7.87,-7.097169,
12/31/2017,1880.0,233.0,233.0,0.0,362.0,1285.0,963.0,322.0,-1177.0,904.0,273.0,-231.0,231.0,231.0,-657.0,-185.0,-37.0,0.0,-222.0,890.0,668,0.0,0.0,0.0,668.0,,668,0.0,0.0,668,81.65,-586.35,119.773106,5.58,5.58,0.681706,119.773106,5.58,5.58,0.681706,
03/31/2018,1815.0,229.0,229.0,0.0,479.0,1107.0,1002.0,105.0,-1005.0,738.0,267.0,-305.0,305.0,305.0,-618.0,-113.0,0.0,0.0,-113.0,48.0,-65,0.0,0.0,0.0,-65.0,-2.0,-67,0.0,0.0,-67,257.717833,324.717833,119.773106,-0.56,-0.56,2.151717,119.773106,-0.56,-0.56,2.151108,
06/30/2018,1702.0,223.0,223.0,0.0,419.0,1060.0,962.0,98.0,-1082.0,813.0,269.0,-246.0,246.0,246.0,-658.0,-284.0,-33.0,0.0,-317.0,79.0,-238,0.0,0.0,0.0,-238.0,-1.0,-239,,0.0,-239,67.65,306.65,119.773106,-2.01,-2.01,0.564818,119.773106,-2.01,-2.01,0.550258,
09/30/2018,1422.0,225.0,225.0,0.0,120.0,1077.0,972.0,105.0,-1095.0,822.0,273.0,-30.0,30.0,30.0,-625.0,-328.0,-40.0,0.0,-368.0,99.0,-269,0.0,0.0,0.0,-269.0,-2.0,-271,0.0,0.0,-271,266.38,537.38,119.657443,-2.26,-2.26,2.226188,119.657443,-2.26,-2.26,2.226188,
12/31/2018,4026.0,223.0,223.0,0.0,2815.0,988.0,899.0,89.0,-1169.0,899.0,270.0,-469.0,469.0,469.0,-556.0,1832.0,-45.0,0.0,1787.0,-345.0,1442,0.0,0.0,0.0,1442.0,,1442,0.0,0.0,1442,-7.347267,-1449.347267,118.685082,12.1498,12.1498,-0.061906,118.685082,12.1498,12.1498,-0.061906,
03/31/2019,691.0,227.0,227.0,0.0,-503.0,967.0,875.0,92.0,-1030.0,772.0,258.0,-22.0,22.0,22.0,-545.0,-906.0,-47.0,0.0,-953.0,218.0,-735,0.0,0.0,0.0,-735.0,-2.0,-737,0.0,0.0,-737,363.3724,1100.3724,117.229854,-6.31,-6.31,3.099658,117.229854,-6.31,-6.31,3.076452,
