Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Market Cap,EV/EBIT,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2013,,-4691.0,565.0,6.0,165141.0,,170295.0,96.973487,,,,,,,,,
06/30/2013,,-4265.0,565.0,5.0,152437.0,,157871.0,96.557949,,,,,,,,,
09/30/2013,,-5325.0,565.0,5.0,152516.0,,158148.0,96.438779,,,,,,,,,
12/31/2013,,-5190.0,565.0,5.0,150443.0,,156085.0,96.385303,,,,,,,,,
03/31/2014,,-3742.0,565.0,5.0,147803.0,,153401.0,96.350741,,,,,,,,,
06/30/2014,7420.49,-1636.0,0.0,0.0,136235.0,142019.49,140256.0,97.133099,0.95927,19.138829,89.096292,35.319445,7615.3,142214.3,338.948663,,
09/30/2014,7261.1,-1942.0,0.0,0.0,133663.0,138982.1,137819.0,96.984451,0.961728,19.14064,78.743399,33.441314,7491.33,139212.33,338.980732,,
12/31/2014,8687.22,-1443.0,0.0,0.0,139529.0,146773.22,143727.0,97.079185,0.950643,16.895304,79.551881,34.962654,8924.93,147010.93,365.107512,,
03/31/2015,7908.805977,-2051.0,0.0,4.0,136420.0,142281.805977,140511.0,97.088484,0.958801,17.990302,72.592758,34.813263,8233.65,142606.65,365.742835,,
06/30/2015,6810.54,-1614.0,0.0,4.0,133338.0,138538.54,137271.0,97.134865,0.962461,20.341785,78.80463,35.260509,7047.27,138775.27,370.423904,,
09/30/2015,4068.88,-1305.0,0.0,4.0,131109.0,133876.88,134996.0,97.120655,0.979325,32.902637,84.839594,34.477693,4215.0,134023.0,369.825635,,
12/31/2015,3996.05,-1594.0,0.0,24.0,127403.0,129829.05,131336.0,97.005391,0.981314,32.489346,80.789701,33.212855,4133.45,129966.45,372.003009,,
03/31/2016,3950.1,-1168.0,0.0,24.0,125283.0,128089.1,129122.0,97.026843,0.978093,32.426799,90.140113,33.575125,4105.71,128244.71,388.148788,,
06/30/2016,3800.1,-1377.0,0.0,24.0,122007.0,124454.1,125710.0,97.054331,0.980337,32.750217,93.224045,33.828241,3919.6,124573.6,391.365094,,
09/30/2016,4384.41,-1823.0,0.0,24.0,119177.0,121762.41,122911.0,96.962029,0.978767,27.771675,90.799709,32.820057,4572.52,121950.52,401.856139,,
12/31/2016,4778.897459,-1253.0,0.0,24.0,114702.0,118251.897459,118425.0,96.856238,0.96998,24.744598,103.457478,31.968612,4929.0,118402.0,406.553748,,
03/31/2017,4206.6,-1364.0,0.0,24.0,111746.0,114612.6,115418.0,96.818521,0.974989,27.245899,114.383832,31.417928,4368.96,114774.96,402.149474,,
06/30/2017,4562.1,-1153.0,0.0,24.0,114696.0,118129.1,118260.0,96.986301,0.970938,25.89358,122.034194,33.369802,4745.25,118312.25,431.128102,,
09/30/2017,3950.26,-1248.0,0.0,24.0,111838.0,114564.26,115388.0,96.923424,0.976203,29.001701,134.150187,32.491282,4115.48,114729.48,435.605551,,
12/31/2017,3503.833619,-1518.0,0.0,31.0,109783.0,111799.833619,113268.0,96.923226,0.98196,31.90786,142.966539,32.368221,3503.16,111799.16,425.012699,,
03/31/2018,3476.8,-2398.0,0.0,31.0,107928.0,109037.8,111596.0,96.713144,0.989822,31.361539,135.28263,29.980148,3529.28,109090.28,411.463396,,
06/30/2018,3452.95,-1622.0,0.0,31.0,103442.0,105303.95,107187.0,96.506106,0.982318,30.496807,140.969143,28.353244,3505.07,105356.07,397.373396,,
09/30/2018,3477.84,-2143.0,0.0,31.0,101096.0,102461.84,104851.0,96.418728,0.98667,29.461344,159.597882,27.513921,3558.72,102542.72,397.138915,,
12/31/2018,2179.922375,-1286.0,0.0,28.0,98941.0,99862.922375,102488.0,96.539107,0.990768,45.810311,173.977217,28.37821,2255.36,99938.36,403.588842,,
03/31/2019,2777.215224,-1206.0,0.0,13.0,95645.0,97229.215224,99088.0,96.525311,0.983706,35.009608,169.388877,28.34671,2857.79,97309.79,405.06116,,
06/30/2019,3139.5,-1746.0,0.0,11.0,93561.0,94965.5,96873.0,96.581091,0.98521,30.248606,143.887121,28.768706,3248.7,95074.7,412.893478,,
09/30/2019,2828.8,-1583.0,0.0,12.0,91773.0,93030.8,95025.0,96.577743,0.98648,32.887019,136.609104,28.71321,2918.4,93120.4,420.953846,,
12/31/2019,2941.2,-1233.0,0.0,13.0,90198.0,91919.2,93547.0,96.419981,0.981275,31.252278,115.913241,27.553717,3023.28,92001.28,427.531163,,
03/31/2020,1473.297562,-1084.0,0.0,13.0,89749.0,90151.297562,91797.0,97.76899,0.995538,61.190149,183.607531,44.300392,1516.0,90194.0,463.821331,,
06/30/2020,1363.82,-1632.0,0.0,11.0,87570.0,87312.82,89696.0,97.629772,1.002946,64.02078,191.475482,41.282657,1370.85,87319.85,450.066082,,
09/12/2020,1630.92669234,-1632.0,0.0,11.0,87570.0,87579.92669234,89696.0,97.6297716732073,0.999886655621729,53.69948698717,192.06124274636,41.4089487907045,1639.94997024536,87588.9499702454,450.066082474227,,
09/30/2020,,,,,,,,,,,,32.5733353264924,,,,,
12/31/2020,,,,,,,,,,,,30.8325740863721,,,,,
