Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/03/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2011,399.495,21.065,21.065,0.0,74.766,74.766,0.0,117.173,32.394,,0.0,1.951,24.327,245.398,119.323,197.017,-77.694,0.0,34.774,29.801,14.005,15.796,3.022,154.097,,112.667,52.873,18.701,0.0,41.093,12.765,12.765,0.0,0.0,,2.293,0.0,0.0,5.495,0.0,127.725,101.65,101.65,0.0,0.0,,38.094,0.0,,,,,32.599,139.744,267.469,0.0,46.706,6.706,40.0,0.0,81.287,4.033,132.026,0.0,132.026,399.495,
07/02/2011,411.622,58.198,58.198,0.0,47.986,47.986,0.0,122.015,28.054,,,1.357,20.129,256.253,120.731,,,0.0,34.638,29.454,14.005,15.449,3.827,155.369,,97.903,50.989,16.646,,30.268,13.238,13.238,,,,0.0,,,5.495,0.0,111.141,101.65,101.65,,,,40.712,,,,,,35.217,142.362,253.503,0.0,46.705,6.706,39.999,0.0,105.402,6.012,158.119,0.0,158.119,411.622,
10/01/2011,479.216,19.3,19.3,0.0,89.89,89.89,0.0,146.744,49.458,,,3.918,38.986,305.392,134.746,228.927,-94.181,0.0,39.078,28.974,14.005,14.969,6.186,173.824,,106.772,66.179,4.653,,35.94,16.218,16.218,,,,0.602,,,11.352,0.0,123.592,0.0,0.0,,,,53.331,,,,,,41.979,53.331,176.923,0.0,157.906,0.0,157.906,0.0,146.008,-1.621,302.293,0.0,302.293,479.216,
12/31/2011,590.359,105.668,105.668,0.0,69.879,69.879,0.0,160.8,59.981,,,2.416,45.477,396.328,155.728,263.132,-107.404,0.0,38.303,28.557,14.005,14.552,7.33,194.031,,149.082,79.203,10.338,,59.541,15.539,15.539,,,,0.619,,,6.748,0.0,165.24,0.0,0.0,,,,49.858,,,,,,43.11,49.858,215.098,0.0,193.188,0.0,193.188,0.0,185.039,-2.966,375.261,0.0,375.261,590.359,
03/31/2012,674.425,106.354,106.354,0.0,121.2,121.2,0.0,187.413,49.096,,0.0,3.952,36.633,464.063,170.755,288.242,-117.487,0.0,39.607,28.151,14.005,14.146,7.504,210.362,,142.056,67.326,12.835,0.0,61.895,22.674,22.674,0.0,0.0,,0.276,0.0,0.0,6.3,0.0,165.006,0.0,0.0,0.0,0.0,,53.182,0.0,,,,,46.882,53.182,218.188,0.0,228.321,0.0,228.321,0.0,228.651,-0.735,456.237,0.0,456.237,674.425,
06/30/2012,787.92,162.075,162.075,0.0,97.399,97.399,0.0,246.601,63.117,,,3.942,45.139,569.192,180.317,309.298,-128.981,0.0,38.411,27.689,14.005,13.684,6.78,218.728,,167.976,82.464,40.342,,45.17,27.667,27.667,0.0,0.0,,0.605,,,6.816,0.0,196.248,0.0,0.0,0.0,0.0,,56.022,,,,,,49.206,56.022,252.27,0.0,242.367,0.0,242.367,0.0,297.296,-4.013,535.65,0.0,535.65,787.92,
09/29/2012,1119.484,312.244,312.244,0.0,171.03,171.03,0.0,278.368,125.666,,,3.158,113.364,887.308,194.114,333.368,-139.254,0.0,38.062,27.538,14.005,13.533,7.366,232.176,,265.32,87.41,3.801,,174.109,11.616,11.616,,,,0.153,,,8.872,0.0,277.089,0.0,0.0,,,,64.417,,,,,,55.545,64.417,341.506,0.0,382.123,0.0,382.123,0.0,395.124,0.731,777.978,0.0,777.978,1119.484,
12/29/2012,1187.655,405.776,405.776,0.0,148.118,148.118,0.0,290.154,82.413,,,1.432,68.407,926.461,217.549,368.912,-151.363,0.0,43.645,30.793,14.005,16.788,11.42,261.194,,191.373,105.445,6.344,,79.584,0.0,0.0,,,,1.406,,,11.871,0.0,192.779,0.0,0.0,,,,70.673,,,,,,58.802,70.673,263.452,0.0,398.496,0.0,398.496,0.0,525.152,0.555,924.203,0.0,924.203,1187.655,
03/30/2013,1289.565,472.511,472.511,0.0,199.11,199.11,0.0,266.894,50.674,,0.0,4.389,40.827,989.189,242.113,407.453,-165.34,0.0,58.263,34.985,14.005,20.98,18.889,300.376,,164.177,82.977,16.709,0.0,64.491,0.0,0.0,0.0,0.0,,0.071,0.0,0.0,13.163,0.0,164.248,0.0,0.0,0.0,0.0,,78.071,0.0,,,,,64.908,78.071,242.319,0.0,424.454,0.0,424.454,0.0,626.253,-3.461,1047.246,0.0,1047.246,1289.565,
