Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/29/2008,130.533,41.237,38.877,210.647,-1.115,19.099772,6.033856,5.688537,30.822165,15.633799,4.938912,4.656257,25.228968,
09/28/2008,129.825,96.217,32.012,258.054,,18.731009,13.882084,4.618656,37.231749,15.459682,11.45761,3.812019,30.729311,
12/28/2008,103.39,79.673,36.908,219.971,,16.214478,12.494981,5.788219,34.497679,13.157878,10.139546,4.697079,27.994502,
03/29/2009,115.492,20.44,34.986,170.918,,18.433153,3.262336,5.583956,27.279445,14.801164,2.619539,4.483718,21.90442,
06/28/2009,165.277,23.722,29.048,218.047,,26.185108,3.758316,4.602123,34.545547,21.935795,3.148417,3.855291,28.939503,
09/27/2009,57.532,102.64,26.138,186.31,,9.372979,16.721869,4.258342,30.353189,7.776938,13.874451,3.533227,25.184616,
12/27/2009,73.551,105.551,24.396,203.498,,11.815156,16.955603,3.918948,32.689707,9.798308,14.06128,3.249983,27.109572,
03/28/2010,243.876,108.041,23.756,375.673,,41.806908,18.521134,4.072418,64.40046,32.484878,14.391325,3.164357,50.04056,
06/27/2010,41.55,109.653,14.425,165.628,,7.327629,19.338062,2.543948,29.209639,5.767125,15.219796,2.002185,22.989106,
09/26/2010,24.031,79.83,0.0,103.861,,4.471233,14.853254,0.0,19.324487,3.467992,11.520528,0.0,14.98852,
12/26/2010,165.806,177.368,0.0,343.174,,28.349254,30.326107,0.0,58.675361,22.652424,24.232025,0.0,46.884448,
04/03/2011,202.034,182.042,0.0,384.076,,33.607135,30.281587,0.0,63.888723,26.681475,24.041246,0.0,50.722722,
07/03/2011,153.752,245.976,0.0,399.728,,24.522632,39.231873,0.0,63.754506,19.669455,31.467648,0.0,51.137104,
10/02/2011,156.845,234.076,0.0,390.921,,25.18773,37.590252,0.0,62.777981,20.199386,30.145631,0.0,50.345017,
01/01/2012,192.099,203.726,0.0,395.825,,30.92774,32.799675,0.0,63.727416,24.743387,26.241008,0.0,50.984395,
04/01/2012,304.125,233.83,0.0,537.955,,40.024716,30.773462,0.0,70.798178,33.295271,25.599452,0.0,58.894723,
07/01/2012,247.333,249.009,0.0,496.342,,33.999953,34.230347,0.0,68.2303,28.08075,28.271033,0.0,56.351783,
09/30/2012,233.183,251.233,0.0,484.416,,32.903014,35.449938,0.0,68.352951,27.166487,29.269364,0.0,56.435851,
12/30/2012,232.644,262.539,0.0,495.183,,32.468145,36.640336,0.0,69.108481,26.879785,30.333866,0.0,57.21365,
03/31/2013,208.457,247.049,,455.506,,28.389423,33.645205,,62.034627,25.262524,29.939418,,55.201942,
06/30/2013,183.357,248.512,0.0,431.869,,25.860916,35.050465,0.0,60.911381,22.995337,31.166616,0.0,54.161953,
09/29/2013,169.866,263.142,0.0,433.008,,23.954107,37.107671,0.0,61.061778,21.380374,33.120662,0.0,54.501035,
12/29/2013,193.894,268.537,,462.431,,26.424933,36.597688,0.0,63.022621,23.584692,32.664046,0.0,56.248738,
03/30/2014,140.456,137.585,,278.041,,20.25537,19.841339,0.0,40.096708,17.595204,17.235548,0.0,34.830751,
06/29/2014,108.821,141.593,,250.414,,15.470098,20.128997,0.0,35.599095,13.745787,17.885401,0.0,31.631189,
09/28/2014,136.766,140.003,,276.769,,18.980383,19.429614,0.0,38.409998,16.810435,17.208307,0.0,34.018742,
12/28/2014,139.543,148.389,,287.932,,18.938675,20.139248,0.0,39.077923,16.78206,17.84592,0.0,34.62798,
03/29/2015,169.681,146.734,,316.415,,22.714507,19.642685,0.0,42.357192,19.994108,17.290183,0.0,37.284291,
06/28/2015,152.384,156.491,,308.875,,20.337499,20.885628,0.0,41.223127,18.097239,18.584989,0.0,36.682228,
09/27/2015,177.259,130.43,,307.689,,24.476222,18.009994,0.0,42.486216,21.834713,16.06633,0.0,37.901042,
12/27/2015,178.09,121.384,,299.474,,24.651796,16.802368,0.0,41.454164,22.334059,15.222626,0.0,37.556685,
04/03/2016,223.721,131.126,,354.847,,29.934116,17.544803,0.0,47.47892,27.154957,15.915899,0.0,43.070856,
07/03/2016,217.434,147.841,,365.275,,28.260827,19.215527,0.0,47.476354,25.551973,17.373682,0.0,42.925655,
