Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,1677.189987,-1374.921021,302.268967,39.402,113.947998,25.202999,480.821964,-125.0,355.821964,-326.480011,29.341999,33.0,62.341999,-18.712999,43.629002,0.0,0,43.629002,-3.057,40.572002,,,40.572,,0.28,0.28,143.556,0.28,0.28,0.28,143.556,
06/30/1990,1024.573975,-783.836975,240.737,31.690001,124.577003,30.999001,428.003004,-125.0,303.003004,-315.717987,-12.715,18.0,5.285,-1.757,3.528,0.0,0,3.528,-3.508,0.02,,,0.02,,0.0,0.0,144.970001,0.0,0.0,0.0,144.970001,
09/30/1990,1059.009987,-825.919006,233.090981,9.087,110.916,17.614,370.707981,-200.0,170.707981,-375.046997,-204.339005,-42.0,-246.339005,-28.33,-274.669006,19.735001,0,-254.934006,-3.508,-258.442006,,,-278.177004,,-1.9,-1.765,146.408005,-1.9,-1.9,-1.765,146.408005,
12/31/1990,1193.783043,-970.0,223.783043,1.084,112.376999,-0.694,336.550042,-170.0,166.550042,-402.575012,-236.024994,28.566999,-207.457995,-3.2,-210.658005,23.914,0,-186.744003,-3.675,-190.419003,,,-214.332995,-1.485,-1.485,-1.32,147.158004,-1.485,-1.485,-1.32,147.158004,
03/31/1991,921.979012,-719.59198,202.387032,21.422001,109.934998,23.405001,357.149031,-100.0,257.149031,-344.537994,-87.389,0.0,-87.389,-9.059,-96.447998,7.758,0,-88.690002,-3.341,-92.031003,,,-99.789,,-0.67,-0.62,148.462006,-0.67,-0.67,-0.62,148.462006,
06/30/1991,871.142006,-649.413025,221.728981,26.677999,115.931999,24.208,388.54698,-75.0,313.54698,-319.033997,-5.487,-40.0,-45.487,-4.009,-49.495998,0.0,0,-49.495998,-3.307,-52.802998,,,-52.803,,-0.35,-0.35,149.878006,-0.35,-0.35,-0.35,149.878006,
09/30/1991,960.238022,-733.085022,227.153,36.143002,117.092003,30.59,410.978004,-75.0,335.978004,-305.643005,30.334999,0.0,30.334999,-12.269,18.066,0.0,0,18.066,-3.383,14.683,,,14.682999,,0.1,0.1,150.341995,0.1,0.1,0.1,150.341995,
12/31/1991,1116.81604,-861.89502,254.92102,37.973,121.310997,-6.028,408.177017,-78.0,330.177017,-319.696014,10.481,11.612,22.093,71.428001,93.521004,0.0,0,93.521004,-3.224,90.297004,,,90.297001,0.605,0.605,0.605,150.423004,0.605,0.605,0.605,150.423004,
03/31/1992,1250.599976,-952.700012,297.899963,0.0,199.699997,0.0,497.59996,-67.900002,429.699959,-360.600006,69.099998,0.0,69.099998,-28.200001,40.900002,18.299999,0,59.200001,-3.057,56.143001,,,37.842998,,0.205,0.3,190.815994,0.205,0.205,0.3,190.815994,
06/30/1992,1276.800049,-954.900024,321.900024,0.0,173.800003,0.0,495.700027,-45.200001,450.500027,-361.0,89.5,0.0,89.5,-41.599998,47.900002,18.4,0,66.300003,-3.133,63.167003,,,44.767002,,0.215,0.305,208.235992,0.215,0.215,0.305,208.235992,
