Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1996,14.712,8.175,2.086,1.854,,,1.854,2.597,,,2.597,,,-1.678,,,,-1.678,,,,,,,,,,1.678,,,,,,,,,,,,,,
06/30/1996,7.639,-32.118,2.174,45.557999,,,45.557999,-7.975,,,-7.975,,,-1.776,,,,-1.776,,,,,,,,,,1.776,,,,,,,,,,,,,,
09/30/1996,14.388,6.396,2.417,4.415,,,4.415,1.16,,,1.16,,,-3.249,,,,-3.249,,,,,,,,,,3.249,,,,,,,,,,,,,,
12/31/1996,18.978001,15.142,10.032,-8.657,,,-8.657,2.461,,,2.461,,-3.361,-3.361,,,,-3.361,,,,,,,,,,0.0,,,,,,,,,,,,15.617001,,
03/31/1997,21.599001,12.338,2.603,2.194,,,2.194,4.464,,,4.464,,-3.271,-2.204,0.0,,,-2.204,,,0.0,0.0,0.0,,,,,-1.067,-16.148,0.0,-15.084,,,,0.033,0.033,0.0,-1.097,,2.18,,
06/30/1997,17.910999,14.759,2.482,1.676,,,1.676,-1.006,,,-1.006,,-4.729,-3.4,0.0,,,-3.4,,,0.0,0.0,0.0,,,,,-1.329,-13.563,0.0,-15.207,,,,0.728,0.728,0.0,0.916,,-0.381,,
09/30/1997,22.124001,-41.078999,2.756,61.421001,,,61.421001,-0.974,,,-0.974,,-165.451996,-3.737,0.0,,,-3.737,,,0.0,0.0,0.0,,,,,-161.714996,150.991997,0.0,149.755997,,,,1.162,1.162,0.0,0.074,,7.664,,
12/31/1997,34.731998,5.694,12.169,10.0,,,10.0,6.869,,,6.869,,-11.062,-8.875,0.0,,,-8.875,,,0.0,0.0,0.0,,,,,-2.187,-30.659,0.0,-32.013,,,,0.568,0.568,0.0,0.786,,-6.989,,
03/31/1998,15.413,0.244,6.25,15.452,,,15.452,-6.533,,,-6.533,,-6.763,-4.994995,0.0,,,-4.994995,,,0.0,0.0,0.0,,,,,-1.768005,-9.172,0.0,-10.855,,,,1.476,1.476,0.0,0.207,,-0.522,,
06/30/1998,20.429001,20.113001,6.888,0.658,,,0.658,-7.23,,,-7.23,,-7.741,-3.495,0.0,,,-3.495,,,0.0,0.0,0.0,,,,,-4.246,-13.681,0.0,-15.235,,,,1.513,1.513,0.0,0.041,,-0.993,,
09/30/1998,32.511002,21.955999,7.029,2.525,,,2.525,1.001,,,1.001,,-3.606,-2.27,0.0,,,-2.27,,,0.0,0.0,0.0,,,,,-1.336,-26.945001,0.0,-27.332001,,,,1.421,1.421,0.0,-1.034,,1.96,,
12/31/1998,41.817001,32.085999,8.321,0.538,,,0.538,0.872,,,0.872,,-5.476,-4.28,0.0,,,-4.28,,,0.0,0.0,0.0,,,,,-1.196,-34.402001,0.0,-36.803001,,,,2.178,2.178,0.0,0.223,,1.939,,
03/31/1999,35.071999,22.974001,6.769,0.676,,,0.676,4.653,,,4.653,,-5.809,-4.61,0.0,,,-4.61,,,0.0,0.0,0.0,,,,,-1.199,-33.003001,0.0,-35.915001,,,,3.387,3.387,0.0,-0.475,,-3.74,,
06/30/1999,75.884,51.88,12.938,7.871,,,7.871,3.195,8.148,-2.823,-2.13,,-11.117,-11.335,0.0,,,-11.335,,,0.0,0.0,0.0,,,,,0.218,-68.232,0.0,-72.49,,,,4.905,4.905,0.0,-0.647,,-3.465,,
09/30/1999,34.613998,28.969999,6.748,8.195,,,8.195,-9.299,,,-9.299,,-4.516,-4.13,0.0,,,-4.13,,,0.0,0.0,0.0,,,,,-0.386,-27.819999,0.0,-33.203999,,,,5.244,5.244,0.0,0.14,,2.278,,
12/31/1999,39.709999,41.467999,9.261,-6.832,,,-6.832,-4.187,,,-4.187,,-10.097,-6.452,0.0,,,-6.452,,,0.0,0.0,0.0,,,,,-3.645,-30.12,0.0,-21.546,,,,-8.476,1.024,-9.5,-0.098,,-0.507,12.214,
03/31/2000,35.236,19.277,7.532,13.572,,,13.572,-5.145,,,-5.145,,-7.457,-6.456,0.0,,,-6.456,,,0.0,0.0,0.0,,,,,-1.001,-29.355999,0.0,-38.014999,,,,8.833,8.833,0.0,-0.174,,-1.577,,
06/30/2000,48.737999,38.404999,6.411,0.212,,,0.212,3.71,,,3.71,,-8.046,-6.689,0.0,,,-6.689,,,0.0,0.0,0.0,,,,,-1.356999,-40.457,0.0,-43.812,,,,3.908,3.908,0.0,-0.553,,0.235,,
09/30/2000,31.572001,37.091,7.971,4.85,,,4.85,-18.34,,,-18.34,,-20.488001,-9.825,0.0,,,-9.825,,,0.0,0.0,0.0,,,,,-10.663001,9.651,0.0,3.978,,,,5.559,5.559,0.0,0.114,,20.735001,,
12/31/2000,60.040001,50.569,6.787,-15.275,,,-15.275,17.959,,,17.959,,-15.696,-12.398,0.0,,,-12.398,,,0.0,0.0,0.0,,,,,-3.298,7.968999,0.0,-12.541,,,,5.513,5.513,0.0,14.997,,52.313,3.497,
03/31/2001,24.57,38.400002,7.871,1.696,,,1.696,-23.396999,,,-23.396999,,-10.831,-9.554,0.0,,,-9.554,,,0.0,0.0,0.0,,,,,-1.277,-0.056,0.0,-2.602,,,,3.949,3.949,0.0,-1.403,,13.683,,
06/30/2001,53.537998,39.313,7.896,-5.409,,,-5.409,11.738,,,11.738,,-15.933,-13.353,0.0,,,-13.353,,,0.0,0.0,0.0,,,,,-2.58,7.717,0.0,-0.098,,,,2.597,2.597,0.0,5.218,,45.321999,,
09/30/2001,41.796001,38.245998,8.643,-0.038,,,-0.038,-5.055,,,-5.055,,-13.051,-11.051,0.0,,,-11.051,,,0.0,0.0,0.0,,,,,-2.0,0.971,0.0,-1.055,,,,0.534,0.534,0.0,1.492,,29.716,,
12/31/2001,69.246002,-1.416,9.541,89.785004,,,89.785004,-28.664,,,-28.664,,-8.45,-8.45,0.0,,,-8.45,,,0.0,0.0,0.0,,,,,0.0,1.772,0.0,0.016,,,,1.938,1.938,0.0,-0.182,,62.568001,0.756,
03/31/2002,53.266998,30.544001,9.354,2.871,,,2.871,10.498,,,10.498,,-30.708,-10.357,0.0,,,-10.357,,,0.0,0.0,0.0,,,,,-20.351,1.404,0.0,0.474,,,,4.019,4.019,0.0,-3.089,,23.962999,,
06/30/2002,54.43,37.901001,9.637,10.844,,,10.844,-3.952,,,-3.952,,-9.696,-9.696,0.0,,,-9.696,,,0.0,0.0,0.0,,,,,0.0,10.913,0.0,-0.704,,,,4.197,4.197,0.0,7.42,,55.646999,,
09/30/2002,56.049999,39.022999,8.781,2.172,,,2.172,6.074,,,6.074,,-76.721001,-7.348,0.0,,,-7.348,,,0.0,0.0,0.0,,,,,-69.373001,-49.947001,0.0,0.231,,,,-53.503002,0.772,-54.275002,3.325,,-70.617996,,
12/31/2002,55.898998,40.243999,9.422,18.424999,,,18.424999,-12.192,,,-12.192,,58.808998,-10.564,0.0,,,-10.564,,,0.0,0.0,0.0,,,,,69.372998,-87.186001,0.0,1.524,,,,-42.733,2.288,-45.021,-45.977001,,27.521999,0.491,
03/31/2003,44.784,33.977001,8.982,3.16,,,3.16,-1.335,,,-1.335,,-28.146999,-9.967,0.0,,,-9.967,,,0.0,0.0,0.0,,,,,-18.179999,-8.377005,0.0,93.391998,,,,-98.638003,1.926,-100.564003,-3.131,,8.26,,
06/30/2003,5.143,42.098,8.842,8.66,,,8.66,-54.457001,,,-54.457001,,40.236,-10.208,0.0,,,-10.208,,,0.0,0.0,0.0,,,,,50.444,-33.907997,0.0,19.781,,,,-59.598997,7.31,-66.908997,5.91,,11.471,,
09/30/2003,41.436001,36.414001,7.384,0.301,,,0.301,-2.663,,,-2.663,,-23.153999,-6.813,0.0,,,-6.813,,,0.0,0.0,0.0,,,,,-16.340999,-13.204996,0.0,65.272003,,,,-77.261999,7.073,-84.334999,-1.215,,5.077,,
12/31/2003,65.642,58.402,8.64,11.546,,,11.546,-12.946,,,-12.946,,-7.598,-7.598,0.0,,,-7.598,,,0.0,0.0,0.0,,,,,0.0,10.617,0.0,60.378,,,,-61.255,11.515,-72.77,11.494,,68.661,,
04/03/2004,55.588001,40.845001,9.713,8.945,,-0.654,9.599,-3.915,-4.905,-3.159,4.149,,-50.219002,-8.752,0.0,,,-8.752,,,0.0,0.0,0.0,,,,,-41.467002,46.454998,0.0,109.153,,,,-68.828002,11.765,-80.593002,6.13,,51.824001,,
07/03/2004,72.555,59.750999,9.725,15.796,,0.595,15.200999,-12.717,-3.086,-3.385,-6.246,,-27.194,-27.194,0.0,,,-27.194,,,0.0,0.0,0.0,,,,,0.0,-33.986999,0.0,54.034,,,,-84.591,9.812,-94.403,-3.43,,11.374,,
10/02/2004,62.821999,51.939999,10.607,12.448,,-0.065,12.513,-12.173,-4.861,-9.396,2.084,,-12.337,-11.435,0.0,,,-11.435,,,0.0,0.0,0.0,,,,,-0.901999,0.707,0.0,-16.799,,,,18.15,18.15,0.0,-0.644,,51.192001,,
12/31/2004,68.484,71.517,11.881,14.019,,1.592,12.427,-28.933,-23.601,4.365,-9.697,,-18.855,-18.855,0.0,,,-18.855,,,0.0,0.0,0.0,,,,,0.0,18.277,0.0,63.966,,,,-51.036,5.255,-56.291,5.347,,67.906,,
04/02/2005,80.503998,46.595001,11.067,6.159,,-0.217,6.376,16.683001,23.579,-12.088,5.192,,-12.698,-12.698,,,,-12.698,,,,,,,,,,0.0,-19.971003,,129.272003,,,,-139.214005,9.276,-148.490005,-10.029,,47.834999,,
07/02/2005,82.55,54.065,11.103,3.076,,-0.093,3.169,14.306,1.551,2.958,9.797,,-13.953,-13.953,0.0,,,-13.953,,,0.0,0.0,0.0,,,,,0.0,-40.275,0.0,71.504,,,,-98.221,1.906,-100.127,-13.558,,28.322,,
10/01/2005,75.942,25.717,10.958,1.571,,-0.198,1.769,37.696,6.418,-3.126,34.404,,-11.912,-11.912,0.0,,,-11.912,,,0.0,0.0,0.0,,,,,0.0,-190.361,0.0,-3.648,,,,-189.803,4.777,-194.58,3.09,,-126.331,,
12/31/2005,59.071,75.598,10.557,18.946,,10.743,8.203,-46.03,-38.063,5.283,-13.25,,-12.482,-12.482,0.0,,,-12.482,,,0.0,0.0,0.0,,,,,0.0,-41.904,0.0,172.495,,,,-215.246,0.842,-216.088,0.847,,4.685,,
04/01/2006,78.431,44.155,10.903,10.591,7.514,-2.052,5.129,12.782,11.799,-13.802,14.785,,-23.684,-9.979,0.0,,,-9.979,,,0.0,0.0,0.0,,,,,-13.705,-67.112,0.0,11.89,,,,-78.511,11.605,-90.116,-0.491,,-12.365,,
07/01/2006,65.667,47.78,11.669,0.285,7.102,-2.577,-4.24,5.933,9.657,-15.334,11.61,,-14.819,-14.699,0.0,,,-14.699,,,0.0,0.0,0.0,,,,,-0.12,-42.515,0.0,24.169,,,,-65.867,13.893,-79.76,-0.817,,8.333,,
09/30/2006,62.295,50.376,12.776,7.002,7.125,-1.074,0.951,-7.859,11.364,-14.624,-4.599,,-16.245,-13.889,0.0,,,-13.889,,,0.0,0.0,0.0,,,,,-2.356,-24.039,0.0,22.362,,,,-50.027,7.866,-57.893,3.626,,22.011,,
12/31/2006,57.201,79.889,10.811,21.452,,6.209,15.243,-54.951,-42.623,13.907,-26.235,,-75.626,-12.854,0.0,,,-12.854,,,0.0,0.0,0.0,,,,,-62.772,21.024,0.0,13.794,,,,1.618,23.052,-21.434,5.612,,2.599,,
