Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,658.238,,,,,-506.725,,,,,,151.513,-7.297,16.856,16.856,,,0.0,,-9.559,144.216,-50.901,93.315,0.0,,,93.315,-0.021,93.294,0.0,0.0,93.294,93.294,,1000.0,0.093,0.093,0.093,1000.0,0.093,0.093,0.093,
06/30/2005,771.867,,,,,-579.431,,,,,,192.436,-4.987,17.477,17.477,,,0.0,,-12.49,187.449,-67.146,120.303,0.0,,,120.303,-0.055,120.248,0.0,0.0,120.248,120.248,,1000.0,0.12,0.12,0.12,1000.0,0.12,0.12,0.12,
09/30/2005,791.605,,,,,-643.712,,,,,,147.893,16.072,17.573,17.573,,,0.0,,-33.645,163.965,-57.872,106.093,0.0,,,106.093,-0.008,106.085,0.0,0.0,106.085,106.085,,1000.0,0.106,0.106,0.106,1000.0,0.106,0.106,0.106,
12/31/2005,715.918,,,,,-814.576,,,,,,-98.658,10.366,,18.252,,,0.0,,-28.618,-88.292,35.3,-52.992,0.0,,,-52.992,0.084,-52.908,0.0,0.0,-52.908,-52.908,,1000.0,-0.053,-0.053,-0.053,1000.0,-0.053,-0.053,-0.053,
03/31/2006,738.453,,,,,-555.74,530.52,182.683,,,25.22,182.713,10.204,,10.64,,,,,-20.844,192.917,-66.173,126.744,,,,126.744,,126.744,,,126.744,126.744,,1000.0,0.127,0.127,0.127,1000.0,0.127,0.127,0.127,
06/30/2006,846.489,,,,,-696.92,672.227,307.066,,,24.693,149.569,-410.161,,16.068,,,0.0,,394.093,-260.592,-49.868,-310.46,0.0,,,-310.46,0.0,-310.46,0.0,0.0,-310.46,-310.46,,1352.52,-0.23,-0.23,0.079,1352.52,-0.23,-0.23,0.079,
09/30/2006,901.969,,,,,-627.209,602.07,209.187,,,25.139,274.76,17.349,,16.757,,,0.0,,-34.106,292.109,-99.105,193.004,0.0,,,193.004,0.0,193.004,0.0,0.0,193.004,193.004,,1356.84,0.142,0.142,0.142,1361.34,0.142,0.142,0.142,
12/31/2006,839.163,,,,0.0,-776.968,752.238,352.934,,,24.73,62.195,7.543,,17.686,,,0.0,,-25.229,69.738,-28.836,40.902,0.0,,,40.902,,40.902,0.0,0.0,40.902,40.902,,1357.0,0.03,0.03,0.041,1364.61,0.03,0.03,0.041,
03/31/2007,915.103,,,,0.0,-601.165,576.977,178.451,,,24.188,313.938,21.852,,14.356,,,,,-36.208,335.79,-120.884,214.906,,,,214.906,,214.906,,0.0,214.906,214.906,,1358.47,0.158,0.158,0.158,1365.94,0.157,0.157,0.157,
06/30/2007,996.959,,,,,-724.743,699.716,268.253,,,25.027,272.216,114.083,,11.17,,,0.0,,-125.253,386.299,-134.013,252.286,0.0,,,252.286,0.0,252.286,0.0,0.0,252.286,252.286,,1358.65,0.186,0.186,0.144,1366.87,0.185,0.185,0.143,
09/30/2007,1082.85,,,,,-719.547,697.273,264.425,,,22.274,363.303,119.004,,16.439,,,,,-135.443,482.307,-167.846,314.461,,,,314.461,,314.461,,,314.461,314.461,,1353.57,0.232,0.232,0.185,1362.28,0.231,0.231,0.184,
12/31/2007,1072.687,,,,0.0,-890.631,864.479,368.929,,,26.152,182.056,284.98,,15.313,,,0.0,,-300.293,467.036,-162.803,304.233,0.0,,,304.233,0.0,304.233,0.0,0.0,304.233,304.233,,1335.48,0.228,0.228,0.09435,1344.48,0.226,0.226,0.09324,
03/31/2008,1182.084,,,,0.0,-666.477,641.213,199.213,,,25.264,515.607,172.974,,15.318,,,,,-188.292,688.581,-241.703,446.878,0.0,,,446.878,,446.878,0.0,0.0,446.878,446.878,,1314.26,0.34,0.34,0.26,1322.2,0.338,0.338,0.259,
06/30/2008,1246.504,,,,0.0,-830.363,802.413,303.064,,,27.95,416.141,-1639.323,,15.438,,,0.0,,1623.885,-1223.182,476.529,-746.653,0.0,,,-746.653,,-746.653,0.0,0.0,-746.653,-746.653,,1300.73,-0.574,-0.574,0.211,1300.73,-0.574,-0.574,0.211,
09/30/2008,1338.178,,,,,-789.942,761.2,267.46,,,28.742,548.236,-841.908,,36.319,,,0.0,,805.589,-293.672,100.09,-193.582,0.0,,,-193.582,0.0,-193.582,0.0,0.0,-193.582,-193.582,,1295.36,-0.149,-0.149,0.249,1295.36,-0.149,-0.149,0.249,
