Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2000,12133,218,218,,2994,2994,,1356,317,488,585,-34,590,,,,,,5158,2599,,,,,,4376,3675,,,,,701,6975,,434,434,,,,2025,,,,,1134,,,1134,3593,994,,,,880,,,,880,1874,5467,,7075,,,,-13,-396,6666,,6666,12133,
12/31/2000,11726,131,131,0.0,2515,2515,,1253,259,267,753,0,1074,,,,,,4973,2659,4459.0,-1800.0,0.0,,,4094,3606,2827.0,779.0,,,488,6753,,525,525,,,,158,158.0,0.0,0.0,,2074,,,2074,2757,962,962.0,0.0,0.0,666,,,,666,1628,4385,0.0,7856,,,0.0,2,-517,7341,0.0,7341,11726,
03/31/2001,11978,167,167,0.0,2889,2889,,1232,293,286,681,0,957,,,,,,5245,2608,,,0.0,,,4125,3531,2784.0,747.0,,,594,6733,,357,357,,,,1777,1777.0,0.0,0.0,,919,,,919,3053,941,941.0,0.0,0.0,752,,,,752,1693,4746,0.0,7895,,,0.0,26,-689,7232,0.0,7232,11978,
06/30/2001,12302,236,236,0.0,3562,3562,,1130,272,397,490,0,717,,,,,,5645,2622,,,0.0,,,4035,3476,2755.0,721.0,,,559,6657,,366,366,,,,1489,1489.0,0.0,0.0,,1303,,,1303,3158,902,902.0,0.0,0.0,742,,,,742,1644,4802,0.0,7869,,,0.0,385,-754,7500,0.0,7500,12302,
09/30/2001,11699,180,180,0.0,2988,2988,,1325,327,442,583,0,692,,,,,,5185,2602,,,0.0,,,3912,3407,2715.0,692.0,,,505,6514,,297,297,,,,1016,1016.0,0.0,0.0,,1481,,,1481,2794,921,921.0,0.0,0.0,684,,,,684,1605,4399,0.0,7868,,,0.0,310,-878,7300,0.0,7300,11699,
12/31/2001,11429,307,307,0.0,2307,2307,,1357,329,357,700,0,826,,,,,,4797,2627,4737.0,-2110.0,0.0,,,4005,3439,2748.0,691.0,,,566,6632,,457,457,,,,563,563.0,0.0,0.0,,1357,,,1357,2377,893,893.0,0.0,0.0,676,,,,676,1569,3946,0.0,8059,,,0.0,173,-749,7483,0.0,7483,11429,
03/31/2002,11868,217,217,0.0,2998,2998,,1387,352,374,689,-28,712,,,,,,5314,2591,,,0.0,,,3963,3396,2738.0,658.0,,,567,6554,,308,308,,,,1053,1053.0,0.0,0.0,,1364,,,1364,2725,885,885.0,0.0,0.0,766,,,,766,1651,4376,0.0,8021,,,0.0,229,-758,7492,0.0,7492,11868,
06/30/2002,9844,277,277,0.0,2942,2913,,1239,340,349,579,-29,781,,,,,,5239,2477,,,0.0,,,2128,1428,758.0,670.0,,,700,4605,,339,339,,,,1221,1221.0,0.0,0.0,,907,,,907,2467,881,881.0,0.0,0.0,783,,,,783,1664,4131,0.0,8058,,,0.0,-1478,-867,5713,0.0,5713,9844,
09/30/2002,8599,136,136,0.0,2023,2023,,1353,259,537,579,-22,677,,,,,,4189,2330,,,0.0,,,2080,1408,745.0,663.0,,,672,4410,,300,300,,,,356,356.0,0.0,0.0,,712,,,712,1368,1134,1134.0,0.0,0.0,1001,,,,1001,2135,3503,0.0,8059,,,0.0,-1674,-1289,5096,0.0,5096,8599,
12/31/2002,8890,678,428,250.0,1752,1752,,1272,250,398,637,-13,722,,,,,,4424,2339,4586.0,-2247.0,0.0,,,2127,1400,757.0,643.0,,,727,4466,,275,275,,,,393,393.0,0.0,0.0,,1142,,,1142,1810,851,851.0,0.0,0.0,1049,,,,1049,1900,3710,0.0,8053,,,0.0,-1645,-1228,5180,0.0,5180,8890,
