Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,2322.917,516.299,516.299,0.0,691.038,691.038,0,,0,0,0,0,0,0.0,,0.0,,,,1365.478,185.772,408.376,-222.604,0,,771.667,547.454,278.041,269.413,,33.888,190.325,957.439,,70.028,70.028,,,,20.147,0,0.0,0.0,,,1101.958,0.0,,1101.958,1192.133,1951.708,1951.708,0.0,0.0,,148.672,0.0,,,0.0,,148.672,2100.38,3292.513,0,1.16,,,0,-994.415,22.871,-970.384,0.788,-969.596,2322.917,
12/31/2012,2499.153,567.728,567.728,0.0,745.373,745.373,0,,0,0,0,0,0,196.893,33.354,0.0,37.313,17.597,76.439,1509.994,193.999,451.465,-257.466,0,,795.16,575.242,302.429,272.813,,55.099,127.506,989.159,,752.47,84.712,9.639,,658.119,55.71,0,0.116,0.116,,55.594,500.817,0.0,34.007,44.23,1308.997,2366.268,2366.104,0.164,0.164,,182.932,0.0,62.801,62.801,0.0,11.616,74.508,2549.2,3858.197,0,4.554,1.158,3.396,0,-1371.772,7.695,-1359.523,0.479,-1359.044,2499.153,
03/31/2013,2426.705,454.293,454.293,0.0,779.342,779.342,0,,0,0,0,0,0,205.862,41.306,,32.399,20.675,74.763,1439.497,190.166,,,0,,797.042,571.572,297.569,274.003,,57.582,135.489,987.208,,688.505,,17.057,,671.448,34.741,0,,,,34.741,498.742,,,12.539,1221.988,2354.763,2354.763,,,,172.249,,,,,16.0,156.249,2527.012,3749.0,0,9.227,1.1579,8.0691,0,-1323.463,-8.387,-1322.623,0.328,-1322.295,2426.705,
06/30/2013,2648.167,585.722,585.722,0.0,867.211,867.211,0,,0,0,0,0,0,220.927,48.599,,41.141,26.504,80.408,1673.86,196.749,,,0,,777.558,566.993,295.26,271.733,,58.122,111.302,974.307,,736.187,,27.604,,708.583,0.141,0,,,,0.141,502.399,,,13.12,1238.727,2045.142,2045.142,,,,162.186,,,,,8.362,153.824,2207.328,3446.055,0,505.074,1.28921,503.78479,0,-1284.946,-18.186,-798.058,0.17,-797.888,2648.167,
09/30/2013,2842.021,609.71,609.71,0.0,895.345,895.345,0,,0,0,0,0,0,212.131,42.116,,32.434,16.373,80.977,1717.186,197.393,,,0,,927.442,722.65,412.459,310.191,,61.431,110.927,1124.835,,784.495,,25.854,,758.641,4.091,0,,,,4.091,545.797,,,7.631,1334.383,2042.029,2042.029,,,,177.581,,,,,16.606,160.975,2219.61,3553.993,0,510.102,1.28929,508.81271,0,-1218.177,-3.892,-711.967,-0.005,-711.972,2842.021,
12/31/2013,3066.797,778.143,778.143,0.0,924.205,924.205,0,,0,0,0,0,0,243.34,42.801,0.0,32.864,16.171,88.303,1945.688,199.578,481.126,-281.548,0,,921.531,707.68,409.626,298.054,,63.276,117.711,1121.109,,897.583,100.616,35.778,0.0,761.189,10.433,0,0.126,0.126,,10.307,574.231,0.0,0.0,10.841,1482.247,2035.586,2035.481,0.105,0.105,,216.449,0.0,62.536,62.536,0.0,37.541,116.372,2252.035,3734.282,0,478.144,1.297,476.847,0,-1145.181,-0.376,-667.413,-0.072,-667.485,3066.797,
03/31/2014,3061.892,741.381,741.381,0.0,948.453,948.453,0,,0,0,0,0,0,257.986,52.893,,33.43,16.444,3.373,1947.82,195.852,,,0,,918.22,698.613,409.519,289.094,,66.7,119.477,1114.072,,815.565,,46.697,,768.868,15.572,0,,,,15.572,545.339,,,0.0,1376.476,2031.247,2031.247,,,,213.694,,,,,35.565,178.129,2244.941,3621.417,0,495.917,1.30049,494.61651,0,-1054.998,-0.393,-559.474,-0.051,-559.525,3061.892,
06/30/2014,2978.637,636.468,636.468,0.0,964.346,964.346,0,,0,0,0,0,0,263.893,56.837,,33.687,16.885,97.329,1864.707,196.382,,,0,,917.548,692.832,410.333,282.499,,67.423,123.606,1113.93,,784.461,,32.812,,751.649,20.715,0,,,,20.715,547.884,,,31.808,1353.06,2026.909,2026.909,,,,220.278,,,,,33.899,186.379,2247.187,3600.247,0,346.085,1.27117,344.81383,0,-969.878,2.244,-621.549,-0.061,-621.61,2978.637,
09/30/2014,3106.715,645.034,645.034,0.0,1032.553,1032.553,0,,0,0,0,0,0,261.016,51.534,,31.278,17.394,97.913,1938.603,190.863,,,0,,977.249,756.886,468.62,288.266,,68.46,120.625,1168.112,,849.607,,19.219,,830.388,20.681,0,,,,20.681,556.492,,,10.897,1426.78,2022.595,2022.595,,,,193.572,,,,,25.578,167.994,2216.167,3642.947,0,368.01,1.27696,366.73304,0,-877.224,-27.045,-536.259,0.027,-536.232,3106.715,
12/31/2014,3305.832,867.358,867.358,0.0,975.255,975.255,0,,0,0,0,0,0,303.47,44.628,0.0,35.972,45.357,90.335,2146.083,190.297,496.225,-305.928,0,,969.452,744.677,464.434,280.243,18.69,66.011,104.102,1159.749,,898.081,108.743,55.694,0.0,733.644,0.826,0,0.076,0.076,,0.75,572.993,0.0,0.0,15.264,1471.9,2292.491,2292.477,0.014,0.014,,245.453,0.0,71.322,71.322,0.0,61.797,112.334,2537.944,4009.844,0,143.828,1.242,142.586,0,-788.798,-59.091,-704.061,0.049,-704.012,3305.832,
03/31/2015,3236.651,779.068,779.068,0.0,1006.425,1006.425,0,,0,0,0,0,0,313.33,59.834,,35.635,44.156,2.741,2098.823,179.49,,,0,,958.338,733.526,462.991,270.535,,69.161,120.016,1137.828,,759.737,,36.866,,722.871,5.94,0,,,,5.94,555.02,,,0.0,1320.697,2288.229,2288.229,,,,240.032,,,,,58.947,181.085,2528.261,3848.958,0,178.966,1.2495,177.7165,0,-702.4,-88.953,-612.387,0.08,-612.307,3236.651,
06/30/2015,3341.784,803.615,803.615,0.0,1089.439,1089.439,0,,0,0,0,0,0,326.788,57.454,,34.694,64.55,88.822,2219.842,176.773,,,0,,945.169,726.827,463.61,263.217,,71.703,111.945,1121.942,,791.069,,32.662,,758.407,48.51,0,,,,48.51,514.229,,,11.752,1353.808,2440.972,2440.972,,,,248.682,,,,,57.925,190.757,2689.654,4043.462,0,28.52,1.22644,27.29356,0,-661.434,-68.842,-701.756,0.078,-701.678,3341.784,
09/30/2015,4033.736,1081.804,1081.804,0.0,1128.899,1128.899,0,,0,0,0,0,0,309.476,51.47,,34.516,56.184,89.975,2520.179,194.744,,,0,,1318.813,1098.433,724.014,374.419,,77.187,108.677,1513.557,,897.18,,25.974,,871.206,48.505,0,,,,48.505,578.29,,,7.92,1523.975,2430.034,2430.034,,,,259.653,,,,,89.556,170.097,2689.687,4213.662,0,239.588,1.23078,238.35722,0,-550.148,-95.461,-406.021,226.095,-179.926,4033.736,
12/31/2015,3926.0,977.0,977.0,0.0,1166.0,1166.0,0,,0,0,0,0,0,269.0,51.0,0.0,43.0,34.0,78.0,2412.0,188.0,510.0,-322.0,0,,1326.0,1088.0,720.0,368.0,19.0,85.0,91.0,1514.0,,941.0,145.0,35.0,,761.0,49.0,0,,,,49.0,604.0,0.0,0.0,13.0,1594.0,2419.0,2419.0,,,,249.0,0.0,81.0,81.0,0.0,66.0,102.0,2668.0,4262.0,0,9.0,1.194,7.806,0,-462.0,-111.0,-564.0,228.0,-336.0,3926.0,
03/31/2016,3982.939,1089.923,1053.212,36.711,1175.597,1175.597,0,,0,0,0,0,0,171.636,55.845,,94.85,22.302,3.566,2437.156,189.011,,,0,,1356.772,1081.911,719.651,362.26,,85.544,94.467,1545.783,,881.856,,29.541,,852.315,48.517,0,,,,48.517,647.765,,,0.0,1578.138,2408.555,2408.555,,,,202.187,,,,,14.849,187.338,2610.742,4188.88,0,25.915,1.19629,24.71871,0,-354.967,-105.758,-434.81,228.869,-205.941,3982.939,
06/30/2016,3962.798,993.471,955.684,37.787,1257.427,1257.427,0,,0,0,0,0,0,185.7,66.443,,104.858,21.059,85.966,2436.598,189.63,,,0,,1336.57,1069.395,716.64,352.755,,65.192,97.125,1526.2,,895.504,,30.353,,865.151,48.503,0,,,,48.503,656.281,,,28.981,1600.288,2397.834,2397.834,,,,193.377,,,,,12.687,180.69,2591.211,4191.499,0,1.193,1.18469,0.00831,0,-320.385,-139.094,-458.286,229.585,-228.701,3962.798,
09/30/2016,4128.802,1249.555,1209.677,39.878,1207.503,1207.503,0,,0,0,0,0,0,186.074,57.318,,95.818,26.568,93.624,2643.132,184.189,,,0,,1301.481,1038.257,691.441,346.816,,68.386,99.02,1485.67,,920.048,,15.953,,904.095,48.5,0,,,,48.5,651.4,,,13.135,1619.948,2387.114,2387.114,,,,203.667,,,,,13.102,190.565,2590.781,4210.729,0,48.762,1.19395,47.56805,0,-221.218,-140.976,-313.432,231.505,-81.927,4128.802,
12/31/2016,21208.0,1238.0,1198.0,40.0,1707.0,1707.0,0,,0,0,0,0,0,392.0,123.0,1.0,89.0,34.0,215.0,3337.0,406.0,769.0,-363.0,0,,17465.0,17117.0,10727.0,6390.0,58.0,82.0,118.0,17871.0,,1819.0,250.0,76.0,,1493.0,92.0,0,0.0,0.0,,92.0,794.0,0.0,0.0,4.0,2705.0,7108.0,7108.0,0.0,0.0,,2535.0,0.0,204.0,204.0,0.0,2133.0,198.0,9643.0,12348.0,0,10602.0,2.612,10599.388,-1000,-399.0,-570.0,8633.0,227.0,8860.0,21208.0,
03/31/2017,21183.0,905.0,862.0,43.0,1779.0,1779.0,0,,0,0,0,0,0,433.0,134.0,,92.0,28.0,270.0,3117.0,410.0,,,0,,17656.0,17313.0,10915.0,6398.0,,72.0,179.0,18066.0,,1702.0,,75.0,,1627.0,91.0,0,,,,91.0,803.0,,,9.0,2596.0,8254.0,8254.0,,,,2533.0,,,,,2140.0,393.0,10787.0,13383.0,0,10656.0,2.793,10653.207,-2316,-325.0,-444.0,7571.0,229.0,7800.0,21183.0,
