Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Investments in Associated Co.,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
12/31/1997,,6119,12040,-5921,6119,814,0.0,0,633,111,,1198,2756,399,,,0.0,1477,1876,10751,,270,354,300,,1282,2206,773,123,3175,1236,5307,1849.0,0.0,1110,279,0.0,3238,10751,
03/31/1998,,5940,12108,-6168,5940,833,0.0,0,567,86,,924,2410,433,,,0.0,1730,2163,10513,,125,113,269,,1413,1920,768,154,3193,1295,5410,1858.0,0.0,1122,203,0.0,3183,10513,
06/30/1998,,5434,11062,-5628,5434,407,0.0,0,556,115,,1050,2128,448,,,0.0,2129,2577,10139,,128,57,510,,1147,1842,704,151,3053,1265,5173,1876.0,0.0,1044,204,0.0,3124,10139,
09/30/1998,,5444,11145,-5701,5444,459,0.0,0,404,155,,1764,2782,432,,,0.0,2089,2521,10747,,127,0,586,,1764,2477,660,150,3024,1313,5147,1878.0,0.0,1041,204,0.0,3123,10747,
12/31/1998,,5441,11235,-5794,5441,424,0.0,0,586,151,,1297,2458,494,,,0.0,2063,2557,10456,,330,43,702,27.0,1364,2466,634,147,2795,1297,4873,1883.0,0.0,1030,204,0.0,3117,10456,
03/31/1999,,5388,11289,-5901,5388,622,0.0,0,512,90,,1264,2488,495,,,0.0,2161,2656,10532,,349,38,571,35.0,1559,2552,648,137,2762,1308,4855,1886.0,0.0,1035,204,0.0,3125,10532,
06/30/1999,,5274,10795,-5521,5274,656,0.0,0,386,68,,1502,2612,507,1059.0,,0.0,1254,2820,10706,,334,0,647,164.0,1603,2748,540,111,2889,1305,4845,1885.0,0.0,1024,204,0.0,3113,10706,
09/30/1999,,5383,11017,-5634,5383,474,0.0,0,390,152,,1946,2962,509,1158.0,,0.0,1127,2794,11139,,229,85,730,84.0,2069,3197,535,110,2934,1264,4843,1885.0,0.0,1010,204,0.0,3099,11139,
12/31/1999,,5394,11127,-5733,5394,487,0.0,0,428,148,,1977,3040,551,1164.0,,0.0,1121,2836,11270,,155,182,737,154.0,2099,3327,615,106,2902,1130,4753,1966.0,0.0,1020,204,0.0,3190,11270,
03/31/2000,,5426,11264,-5838,5426,640,0.0,0,549,70,,2294,3553,545,1287.0,,0.0,1120,2952,11931,,153,0,807,166.0,2825,3951,641,105,3349,1081,5176,1412.0,0.0,988,404,0.0,2804,11931,
