Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5173.495117,137.610996,76.575996,61.035,918.580994,,,754.328003,,,,,508.209015,,,,,2318.729004,2162.291016,3794.354004,-1632.062988,311.279999,,,381.195007,,,,,,381.195007,2854.766022,,322.032013,322.032013,,,,536.286987,,,,,,797.681,,,797.681,1656.0,149.128006,,,,,621.960022,,,621.960022,771.088028,2427.088028,0.0,254.46875,,,-55.429001,,2547.365036,2746.404785,0.0,2746.404785,5173.492813,
06/30/1990,5413.426758,196.027,36.081001,159.945999,986.130005,,,767.546997,,,,,554.179016,,,,,2503.883057,2215.812012,3912.694092,-1696.881958,309.312012,,,384.420013,,,,,,384.420013,2909.544037,,310.298004,310.298004,,,,745.163025,,,,,,841.351959,,,841.351959,1896.812988,138.220001,,,,,637.476013,,,637.476013,775.696014,2672.509003,0.0,266.44101,,,-54.966999,,2529.44405,2740.91806,0.0,2740.91806,5413.427063,
09/30/1990,5685.049805,304.427994,117.490997,186.936996,1026.876953,,,799.267029,,,,,563.513,,,,,2694.084961,2289.707031,4091.7771,-1802.069946,307.257996,,,394.0,,,,,,394.0,2990.965027,,313.398987,313.398987,,,,934.991028,,,,,,933.06897,,,933.06897,2181.458984,137.070007,,,,,663.843018,,,663.843018,800.913025,2982.372009,0.0,272.800995,,,-54.955002,,2484.831955,2702.677948,0.0,2702.677948,5685.049957,
12/31/1990,5563.150879,53.149999,34.034,19.115999,1070.188965,,,777.622986,,,,,560.280029,,,,,2461.241943,2375.781982,4257.549805,-1881.767944,313.963989,,,412.162994,,,,,,412.162994,3101.908965,,351.243011,351.243011,,,,663.83197,,,,,,986.100068,,,986.100068,2001.175049,134.839996,,,,,593.518982,,,593.518982,728.358978,2729.534027,0.0,297.522003,,,-54.320999,,2590.41597,2833.616974,0.0,2833.616974,5563.151001,
03/31/1991,5767.280762,122.477997,54.279999,68.197998,1130.900024,,,812.276001,,,,,616.281982,,,,,2681.936035,2423.610107,4394.744141,-1971.134033,322.373993,,,339.360992,,,,,,339.360992,3085.345093,,355.125,355.125,,,,582.560974,,,,,,1103.812073,,,1103.812073,2041.498047,133.220993,,,,,661.117004,,,661.117004,794.337997,2835.836044,0.0,310.914001,,,-54.152,,2674.683006,2931.445007,0.0,2931.445007,5767.281052,
06/30/1991,5816.162109,203.287998,57.726002,145.561996,1051.35498,,,816.679993,,,,,659.789001,,,,,2731.112061,2441.794922,4414.36084,-1972.56604,300.667999,,,342.587006,,,,,,342.587006,3085.049927,,372.790985,372.790985,,,,584.778015,,,,,,1112.399017,,,1112.399017,2069.968018,134.718002,,,,,657.52002,,,657.52002,792.238022,2862.206039,0.0,320.825012,,,-54.105999,,2687.237103,2953.956116,0.0,2953.956116,5816.162155,
09/30/1991,5868.317871,198.932999,49.483002,149.449997,1042.347046,,,801.685974,,,,,674.278992,,,,,2717.245117,2519.705078,4568.033203,-2048.327881,293.282013,,,338.085999,,,,,,338.085999,3151.07309,,363.545013,363.545013,,,,532.950012,,,,,,1166.912933,,,1166.912933,2063.407959,132.229004,,,,,661.260986,,,661.260986,793.48999,2856.897949,0.0,328.304993,,,-54.098,,2737.21299,3011.419983,0.0,3011.419983,5868.317932,
12/31/1991,6255.266113,146.232997,60.395,85.837997,1150.894043,,,815.38501,,,,,778.55603,,,,,2891.068115,2662.083008,4785.223145,-2123.139893,340.18399,,,361.931,,,,,,361.931,3364.197998,,522.396973,522.396973,,,,544.25,,,,,,1162.689941,,,1162.689941,2229.336914,125.117996,,,,,697.823975,,,697.823975,822.941971,3052.278885,0.0,361.007996,,,-54.023998,,2896.003002,3202.987,0.0,3202.987,6255.265885,
03/31/1992,6384.163086,139.121,22.455999,116.665001,1166.573975,,,872.161011,,,,,753.101013,,,,,2930.957031,2752.720947,4968.24707,-2215.525879,338.045013,,,362.440002,,,,,,362.440002,3453.205963,,432.714996,432.714996,,,,672.495972,,,,,,1148.916962,,,1148.916962,2254.12793,122.773003,,,,,729.648987,,,729.648987,852.421989,3106.549919,0.0,377.062988,,,-53.945,,2954.495049,3277.613037,0.0,3277.613037,6384.162956,
06/30/1992,6510.434082,159.452999,38.422001,121.030998,1176.140991,,,892.812012,,,,,800.237976,,,,,3028.644043,2818.9021,5126.421875,-2307.52002,322.324005,,,340.563995,,,,,,340.563995,3481.7901,,437.265015,437.265015,,,,531.520996,,,,,,1349.43689,,,1349.43689,2318.2229,107.360001,,,,,733.65802,,,733.65802,841.018021,3159.240921,0.0,396.653015,,,-52.605999,,3007.146038,3351.193054,0.0,3351.193054,6510.433975,
