Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/05/2007,377.852,3.161,3.161,0.0,17.137,17.137,,152.867,,,,,24.735,,,,,197.9,174.916,,,0.0,5.036,,,,5.036,179.952,,50.922,50.922,,,,28.053,,,,,,33.055,,,,33.055,112.03,59.83,,,,,52.633,,,,,52.633,112.463,224.493,224.988,16.454,,,-2.244,-81.665,-4.174,153.359,0.0,153.359,377.852,
08/04/2007,397.594,3.165,3.165,0.0,14.295,14.295,,148.559,,,,,28.768,,,,,194.787,196.919,,,0.0,5.888,,,,5.888,202.807,,41.01,41.01,,,,33.788,,,,,,45.308,,,,45.308,120.106,59.83,,,,,56.651,,,,,56.651,116.481,236.587,228.865,17.875,,,-2.321,-83.336,-0.076,161.007,0.0,161.007,397.594,
11/03/2007,503.052,3.512,3.512,0.0,16.089,16.089,,219.453,,,,,33.34,,,,,272.394,226.533,,,0.0,4.125,,,,4.125,230.658,,85.985,85.985,,,,41.962,,,,,,55.669,,,,55.669,183.616,55.038,,,,,66.655,,,,,66.655,121.693,305.309,,284.935,,,-4.179,-82.728,-0.285,197.743,0.0,197.743,503.052,
02/02/2008,469.413,3.789,3.789,0.0,20.643,20.643,,176.109,0.0,0.0,176.109,0.0,28.403,,,,,228.944,236.389,377.138,-140.749,0.0,4.08,,,,4.08,240.469,,52.122,52.122,,,,0.0,,,,,,59.783,,,,59.783,111.905,74.77,,,,,71.235,,,,,71.235,146.005,257.91,0.0,285.525,,,-4.179,-69.124,-0.719,211.503,0.0,211.503,469.413,
05/03/2008,526.839,3.975,3.975,0.0,19.533,19.533,0.0,212.564,0.0,0.0,212.564,0.0,31.564,,,4.08,22.435,267.636,255.123,,,0.0,4.08,,,,0.0,259.203,,122.998,66.508,6.872,,49.618,18.143,0.0,,,,18.143,0.0,,,,0.0,141.141,86.391,86.391,,,,80.411,,,,,80.411,166.802,307.943,0.0,288.5,0.578,287.922,-4.179,-64.849,-0.576,218.896,0.0,218.896,526.839,
08/02/2008,533.667,3.255,3.255,0.0,19.164,19.164,0.0,197.028,0.0,0.0,197.028,0.0,31.762,,,4.08,22.699,251.209,278.378,,,0.0,4.08,,,,0.0,282.458,,97.869,40.63,4.374,,52.865,31.766,0.0,,,,31.766,0.0,,,0.0,0.0,129.635,86.39,86.39,,,,93.291,,,,,93.291,179.681,309.316,0.0,290.167,0.58,289.587,-4.179,-61.161,-0.476,224.351,0.0,224.351,533.667,
11/01/2008,623.312,3.648,3.648,0.0,20.488,20.488,0.0,268.928,0.0,0.0,268.928,0.0,34.048,,,4.08,24.96,327.112,292.12,,,0.0,4.08,,,,0.0,296.2,,154.098,97.768,5.798,,50.532,51.59,0.0,,,,51.59,0.0,,,,0.0,205.688,86.39,86.39,,,,100.126,,,,,100.126,186.516,392.204,0.0,291.944,0.582,291.362,-4.179,-56.144,-0.513,231.108,0.0,231.108,623.312,
01/31/2009,568.932,3.638,3.638,0.0,18.268,18.268,0.0,213.602,0.0,0.0,213.602,0.0,41.2,8.628,0.0,,24.294,276.708,292.224,469.623,-177.399,0.0,0.0,0.0,0.0,0.0,0.0,292.224,,99.013,47.811,0.0,,51.202,18.0,0.0,0.0,0.0,,18.0,0.0,,,17.616,0.0,117.013,88.047,88.047,0.0,0.0,,118.904,,,,,101.288,206.951,323.964,,293.634,0.582,293.052,-4.179,-43.856,-0.631,244.968,0.0,244.968,568.932,
05/02/2009,570.943,3.84,3.84,0.0,12.392,12.392,0.0,230.286,0.0,0.0,230.286,0.0,38.285,5.89,,,24.2,284.803,286.14,,,0.0,0.0,,,,0.0,286.14,,97.257,53.5,0.0,,43.757,12.534,0.0,,,,12.534,0.0,,,17.616,0.0,109.791,88.047,88.047,,,,121.784,,,,,104.168,209.831,319.622,,294.96,0.583,294.377,-4.179,-38.936,-0.524,251.321,0.0,251.321,570.943,
08/01/2009,547.957,3.663,3.663,0.0,13.135,13.135,0.0,209.152,0.0,0.0,209.152,0.0,33.47,,,,25.373,259.42,288.537,,,0.0,,,,,0.0,288.537,,97.589,40.393,3.846,,53.35,23.086,0.0,,,,23.086,0.0,,,17.616,0.0,120.675,42.365,42.365,,,,125.861,,,,,108.245,168.226,288.901,0.0,296.788,0.583,296.205,-4.179,-33.186,-0.367,259.056,0.0,259.056,547.957,
