Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2012,0.247,24.74,,24.987,0.878097,87.951936,,88.830033,0.133515,13.373118,,13.506633,
06/30/2012,0.191,24.81,,25.001,0.753363,97.858242,,98.611604,0.095275,12.375793,,12.471068,
09/30/2012,35.309,180.417,,215.726,18.460485,94.326808,,112.787293,9.23826,47.204373,,56.442633,
03/31/2013,35.551,253.867,,289.418,13.470013,96.18834,,109.658352,6.890356,49.203513,,56.093869,
06/30/2013,96.827,249.295,0.0,346.122,36.143638,93.056981,0.0,129.20062,17.853791,45.967146,0.0,63.820937,
09/30/2013,81.783,270.974,,352.757,28.436765,94.220365,,122.65713,14.131314,46.821694,,60.953008,
12/31/2013,104.581,785.329,,889.91,26.525964,199.191141,,225.717105,8.950205,67.209682,,76.159887,
03/31/2014,128.057,796.34,0.0,924.397,31.717532,197.239821,0.0,228.957354,10.459943,65.046587,0.0,75.50653,
06/30/2014,199.091,757.969,0.0,957.06,50.008163,190.388504,0.0,240.396667,15.772795,60.049372,0.0,75.822167,
09/30/2014,191.251,692.872,,884.123,45.817951,165.99116,,211.809111,14.659608,53.10943,,67.769038,
12/31/2014,46.541,687.708,,734.249,10.856943,160.42643,,171.283373,3.266604,48.268611,,51.535215,
03/31/2015,45.538,691.654,,737.192,10.010332,152.041942,,162.052274,3.048789,46.306545,,49.355334,
06/30/2015,45.954,730.454,,776.408,9.922848,157.726948,,167.649796,2.93953,46.724804,,49.664334,
09/30/2015,160.582,780.39,,940.972,31.064314,150.965114,,182.029427,9.656814,46.929799,,56.586613,
12/31/2015,263.515,709.39,105.341,1078.246,46.49056,125.153931,18.584756,190.229246,14.582591,39.256756,5.829439,59.668787,
03/31/2016,88.99,809.254,,898.244,29.432193,267.649393,,297.081586,4.748557,43.182254,,47.930811,
06/30/2016,100.329,742.04,,842.369,30.938813,228.825528,,259.764341,5.852347,43.284346,,49.136693,
09/30/2016,114.85,763.166,,878.016,31.682496,210.526809,,242.209306,6.334406,42.091452,,48.425857,
12/31/2016,165.627,760.782,,926.409,42.801988,196.604309,0.0,239.406297,8.143853,37.40753,0.0,45.551383,
03/31/2017,118.51,841.49,,960.0,27.732082,196.913925,,224.646007,5.460629,38.773642,,44.23427,
06/30/2017,239.433,1424.848,,1664.281,49.631031,295.350582,,344.981614,8.187406,48.722647,,56.910053,
09/30/2017,214.936,1541.144,,1756.08,38.980687,279.501116,,318.481803,7.002279,50.208062,,57.210341,
12/31/2017,303.224,1574.421,,1877.645,38.937571,202.174399,0.0,241.11197,8.540932,44.346827,0.0,52.887758,
03/31/2018,170.322,1726.461,,1896.783,19.686695,199.553263,,219.239958,4.597724,46.604616,,51.20234,
06/30/2018,176.304,1529.643,,1705.947,19.77145,171.540411,,191.311861,5.076588,44.045324,,49.121911,
09/30/2018,226.945,1488.432,,1715.377,22.245497,145.898387,,168.143884,6.336693,41.559573,,47.896266,
12/31/2018,229.047,1533.0,,1762.047,20.6126,137.959087,0.0,158.571687,5.904582,39.519069,0.0,45.423651,
03/31/2019,330.113,1780.108,,2110.221,27.625652,148.969121,,176.594773,7.504453,40.467163,,47.971616,
06/30/2019,301.614,1869.04,,2170.654,23.91966,148.225221,,172.144882,6.552976,40.607443,,47.160419,
09/30/2019,292.716,1988.962,,2281.678,20.477197,139.139529,,159.616726,6.153622,41.812955,,47.966578,
12/31/2019,486.982,2015.037,,2502.019,22.885127,94.694214,0.0,117.579341,8.086138,33.45887,0.0,41.545008,
03/31/2020,451.298,2208.25,,2659.548,19.915229,97.447371,0.0,117.3626,7.282035,35.631786,0.0,42.913821,
06/30/2020,489.607,2384.034,,2873.641,19.751727,96.176708,,115.928435,7.507802,36.557599,,44.065402,
