Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2007,12925.2,915.8,,,,,897.6,,,180.0,,7002.2,6848.0,,,,3929.6,,,,,,,,1276.4,,,,,,,,,3937.0,5213.4,,5391.2,,,-954.4,1201.7,952.1,6590.6,1121.2,7711.8,12925.2,
03/31/2008,12881.3,802.3,,,,,1146.3,,0.0,186.7,,6995.6,6844.2,,,,3750.4,,0.0,,,,,,1673.2,,,,,,,,,3557.1,5230.3,,5438.6,,,-1106.9,1267.4,969.7,6568.8,1082.2,7651.0,12881.3,
06/30/2008,12249.7,644.8,,,,,960.7,0.0,0.0,207.6,,7012.0,6864.1,,,,3424.6,,0.0,,,,,,1337.0,,,,,,,,,3259.6,4596.6,,5459.4,,,-1106.4,1389.9,940.1,6683.0,970.1,7653.1,12249.7,
09/30/2008,11499.5,740.6,,,,,783.3,,0.0,211.7,,6701.0,6554.8,,,,3062.9,,0.0,,,,,,1322.0,,,,,,,,,2861.2,4183.2,,5472.1,,,-1171.1,1482.9,582.1,6366.0,950.3,7316.3,11499.5,
12/31/2008,9756.9,585.2,,,,,543.0,,,205.3,,6109.6,5966.8,,,,2313.8,,297.2,,,,,,862.0,,,,,,,,,2001.5,3160.7,0.0,5437.9,,,-1128.9,1476.3,-95.8,5689.5,906.7,6596.2,9756.9,
03/31/2009,9305.7,333.1,993.4,,59.7,933.7,669.1,,,201.2,201.2,6043.6,5904.0,139.6,28.6,0.0,1036.7,,301.7,,,,301.7,0.0,548.3,,,,548.3,,,,,2092.7,2942.7,0.0,5357.6,85.3,5272.3,-1048.6,1468.1,-172.4,5604.7,758.3,6363.0,9305.7,
06/30/2009,10577.6,817.7,987.2,,97.8,889.4,800.9,,,219.1,219.1,6417.4,6272.4,145.0,44.5,0.0,1290.8,,294.2,,,,294.2,0.0,451.5,,,,451.5,,,,,2629.1,3374.8,0.0,5800.2,91.9,5708.3,-1032.6,1504.0,223.8,6495.4,707.4,7202.8,10577.6,
09/30/2009,10949.6,923.8,1011.6,,119.5,892.1,805.7,,,209.2,209.2,6521.0,6378.7,142.3,66.6,0.0,1411.7,,294.2,,,,294.2,0.0,451.5,,,,451.5,,,,,2779.7,3525.4,0.0,5796.9,91.9,5705.0,-971.9,1565.2,336.4,6726.6,697.6,7424.2,10949.6,
12/31/2009,10909.6,762.0,1052.8,,115.2,937.6,672.4,,,220.7,220.7,6606.7,6467.6,139.1,65.8,0.0,1529.2,,,,,,,,745.7,,,,745.7,77.8,,,58.1,2407.2,3288.8,0.0,5780.3,91.9,5688.4,-892.4,1631.4,393.6,6912.9,707.9,7620.8,10909.6,
03/31/2010,16791.5,597.0,6733.3,,102.1,6631.2,1128.1,,,221.1,221.1,6561.7,6425.8,135.9,58.0,0.0,1492.3,,,,,,,,745.7,,,,745.7,,,,,8044.9,8790.6,0.0,5744.4,91.9,5652.5,-852.5,2070.6,340.5,7303.0,697.9,8000.9,16791.5,
06/30/2010,18903.9,555.6,7551.9,,154.1,7397.8,1111.7,,,232.1,232.1,8011.7,6688.9,1322.8,,0.0,1440.9,,,,,,,,1395.7,,,,1395.7,,,,258.0,8430.1,10083.8,0.0,6343.5,94.2,6249.3,-846.4,2398.2,213.6,8108.9,711.2,8820.1,18903.9,
09/30/2010,19941.7,664.1,7649.8,,127.0,7522.8,1601.2,,,244.9,244.9,8220.3,6876.1,1344.2,,0.0,1561.4,,,,,,,,1394.2,,,,1394.2,,,,275.9,9425.4,11095.5,0.0,6366.2,94.2,6272.0,-961.0,2327.7,417.2,8150.1,696.1,8846.2,19941.7,
12/31/2010,20444.1,740.5,8315.9,,119.4,8196.5,1096.9,,,272.4,272.4,8317.4,6980.2,1337.2,187.8,0.0,1513.2,,0.0,0.0,0.0,,,0.0,1315.7,0.0,0.0,,1315.7,87.9,,,229.0,9450.6,11083.2,0.0,6360.7,98.1,6262.6,-991.5,2399.9,495.5,8264.6,1096.3,9360.9,20444.1,
03/31/2011,21138.6,471.9,8720.7,,97.9,8622.8,1512.7,,,276.1,276.1,8402.6,7072.8,1329.8,,,1754.6,,,,,,,,1332.7,,,,1332.7,,,,267.9,10124.8,11725.4,,6221.4,98.1,6123.3,-922.9,2419.4,615.7,8333.6,1079.6,9413.2,21138.6,
06/30/2011,20915.6,621.5,8518.0,,95.7,8422.3,1269.4,,,281.8,281.8,8409.2,7090.6,1318.6,,,1815.7,,215.1,,,,215.1,0.0,1153.5,,,,1153.5,,,,269.6,10079.6,11717.8,0.0,6250.7,98.1,6152.6,-1203.5,2496.6,644.5,8188.3,1009.5,9197.8,20915.6,
09/30/2011,19737.8,757.0,7809.7,,72.4,7737.3,1126.3,,,275.8,275.8,8160.9,6857.5,1303.4,,,1608.1,,215.1,,,,215.1,0.0,959.5,,,,959.5,,,,274.7,9321.0,10770.3,,6274.0,98.1,6175.9,-1196.9,2499.6,372.4,7949.1,1018.4,8967.5,19737.8,
12/31/2011,19347.0,727.4,7495.8,,63.5,7432.3,967.3,,,312.8,312.8,8230.7,6907.9,1322.8,179.5,,1433.5,,215.1,0.0,0.0,,215.1,0.0,854.5,0.0,0.0,,854.5,134.7,,,274.0,8731.1,10209.4,0.0,6278.7,98.1,6180.6,-1280.4,2747.5,373.3,8119.1,1018.5,9137.6,19347.0,
03/31/2012,17492.4,835.5,5449.1,,122.1,5327.0,1083.6,,,349.6,349.6,8335.9,7048.2,1287.7,,,1438.7,,,,,,,,1186.0,,,,1186.0,,,,311.4,6946.0,8443.4,0.0,6239.1,98.1,6141.0,-1382.9,2930.1,530.5,8316.8,732.2,9049.0,17492.4,
06/30/2012,18612.9,718.4,6994.7,,118.2,6876.5,1000.2,,,314.6,314.6,8218.4,6916.1,1302.3,,,1366.6,,333.5,,,,333.5,0.0,1008.1,,,,1008.1,,,,307.8,7844.7,9494.1,0.0,6198.3,98.1,6100.2,-1301.5,2879.1,389.9,8165.8,953.0,9118.8,18612.9,
09/30/2012,17861.0,880.1,5858.3,,122.0,5736.3,1060.4,,,329.9,329.9,8335.7,7039.9,1295.8,,,1396.6,,333.5,,,,333.5,0.0,951.6,,,,951.6,,,,313.5,7065.0,8663.6,0.0,6220.7,98.1,6122.6,-1323.0,2879.2,538.2,8315.1,882.3,9197.4,17861.0,
12/31/2012,17492.4,835.5,5449.1,,122.1,5327.0,1083.6,,,349.6,349.6,8335.9,7048.2,1287.7,304.8,,1133.9,,,0.0,0.0,,,0.0,1186.0,0.0,0.0,,1186.0,132.6,,,311.4,6813.4,8443.4,0.0,6239.1,98.1,6141.0,-1382.9,2930.1,530.5,8316.8,732.2,9049.0,17492.4,
03/31/2013,18534.5,884.7,6147.1,,100.7,6046.4,1520.4,,,337.2,337.2,8170.2,6891.7,1278.5,,,1474.9,,,,,,,,1514.5,,,,1514.5,,,,346.8,7834.0,9695.3,0.0,6122.4,98.1,6024.3,-1314.7,3054.0,334.5,8196.2,643.0,8839.2,18534.5,
06/30/2013,18138.6,916.2,5716.5,101.2,217.1,5398.2,1656.7,,,328.8,328.8,8010.2,6739.8,1270.4,,0.0,1510.2,,206.0,,,,206.0,0.0,1445.6,,,,1445.6,,,,360.3,7372.7,9384.6,0.0,6144.3,98.1,6046.2,-1369.4,3145.7,243.9,8164.5,589.5,8754.0,18138.6,
