Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Free Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,2426.662041,-80.0,200.0,0.0,988.0,3534.662041,,1.456594,0.279518,,,,2.033753,,,42.241234,,
06/30/1990,2228.193094,-49.0,200.0,0.0,942.0,3321.193094,,1.490532,0.283633,,,,2.001925,,,39.685414,,
09/30/1990,1469.265003,-53.0,200.0,0.0,962.0,2578.265003,,1.754799,0.373119,,,,1.805508,,,30.708985,,
12/31/1990,629.685001,-51.0,200.0,0.0,925.0,1703.685001,0.407483,2.705615,0.542941,1.206576,,,1.695209,,,20.29211,,
03/31/1991,799.159016,-39.0,200.0,0.0,705.0,1665.159016,0.403284,2.083639,0.423383,1.602655,,,1.685384,,,19.794572,,
06/30/1991,757.332024,-43.0,455.0,0.0,661.0,1830.332024,0.449051,2.416816,0.361137,2.34658,,,1.898685,,,21.751342,,
09/30/1991,653.11577,-31.0,455.0,0.0,669.0,1746.11577,0.445438,2.673516,0.383136,10.58252,,,1.920919,,,20.719753,,
12/31/1991,610.979269,-87.0,455.0,0.0,677.0,1655.979269,0.396927,2.710369,0.408822,,,,1.90781,,,19.650175,,
03/31/1992,716.320522,-72.0,455.0,0.0,667.0,1766.320522,0.439274,2.465824,0.377621,,,,2.020962,,,20.959506,,
06/30/1992,1201.31777,-18.0,455.0,0.0,675.0,2313.31777,0.599771,1.92565,0.291789,,,,2.708803,,,27.440515,,
09/30/1992,929.137032,-24.0,455.0,0.0,664.0,2024.137032,0.522493,2.178513,0.328041,,,,2.477524,,,23.963642,,
12/31/1992,1045.848375,-25.0,455.0,0.0,616.0,2091.848375,0.571543,2.000145,0.294476,21.565447,,74.708871,2.566685,1045.55135,2091.55135,24.751794,,
03/31/1993,1375.107527,-13.0,455.0,0.0,615.0,2432.107527,0.676713,1.768667,0.252867,10.667138,,28.61303,2.798743,,,28.740841,,
06/30/1993,1536.709938,-27.0,455.0,0.0,619.0,2583.709938,0.736519,1.681326,0.239578,24.374622,,24.843365,2.893292,,,30.474029,,
09/30/1993,1220.954957,-38.0,455.0,0.0,624.0,2261.954957,0.695558,1.852611,0.275868,77.998447,,19.008025,2.513283,,,26.631288,,
12/31/1993,1253.882794,-17.0,455.0,0.0,618.0,2309.882794,0.710952,1.842184,0.267546,26.550377,,13.99929,2.187389,1662.944456,2718.944456,27.172214,,
03/31/1994,1129.549263,-47.0,455.0,0.0,628.0,2165.549263,0.685517,1.91718,0.289996,,,17.051569,2.400831,1325.0,2361.0,25.402635,,
06/30/1994,1045.855993,-83.0,455.0,0.0,634.0,2051.855993,0.65097,1.961892,0.308989,512.963998,,11.592407,2.394231,,,24.033171,,
09/30/1994,1183.794781,-57.0,405.0,0.0,627.0,2158.794781,0.667944,1.823622,0.29044,22.487446,,9.30515,2.321285,,,24.162998,,
12/31/1994,1428.049834,-69.0,331.0,0.0,628.0,2318.049834,0.700317,1.623228,0.270917,16.557499,,9.739705,2.088333,1594.414899,2484.414899,22.116475,,
04/01/1995,1416.925995,-82.0,265.0,0.0,632.0,2231.925995,0.666247,1.575189,0.283164,12.399589,,8.454265,1.830948,1819.580017,2634.580017,22.052644,,
06/30/1995,1798.419952,-97.0,265.0,0.0,632.0,2598.419952,0.765818,1.444835,0.243225,8.690368,,11.057106,1.795729,2112.857552,2912.857552,23.478567,,
09/30/1995,2176.936283,-97.0,256.0,0.0,623.0,2958.936283,0.859406,1.35922,0.210549,7.129967,,14.15759,1.972624,2346.060586,3128.060586,26.334896,,
12/31/1995,2018.351301,-119.0,213.0,0.0,607.0,2719.351301,0.786167,1.347313,0.223215,6.815417,7.409677,13.01125,1.535489,2109.375,2810.375,22.73591,,
03/31/1996,1854.978039,-120.0,213.0,0.0,585.0,2532.978039,0.723088,1.365503,0.230953,6.364266,6.977901,11.67271,1.553021,2021.974953,2699.974953,21.165296,,
06/30/1996,1916.76878,-41.0,213.0,0.0,599.0,2687.76878,0.764222,1.402239,0.222861,6.856553,7.745731,11.293146,1.729581,2095.892448,2866.892448,22.786391,,
09/30/1996,2146.16655,-59.0,213.0,0.0,546.0,2846.16655,0.812494,1.326163,0.191837,8.131904,9.181182,12.706101,1.832689,2172.843433,2872.843433,24.534014,,
12/31/1996,2384.759955,-73.0,200.0,100.0,482.0,3093.759955,0.873943,1.297305,0.155797,9.37503,11.416088,11.853486,1.748875,2577.310935,3286.310935,27.081233,,
03/31/1997,2422.168427,-91.0,100.0,200.0,483.0,3114.168427,0.885713,1.285694,0.155098,10.965382,15.340731,12.506701,1.874876,2632.029961,3324.029961,27.64243,,
06/30/1997,2656.584045,-74.0,0.0,200.0,544.0,3326.584045,0.94559,1.252204,0.163531,12.893737,19.22881,14.526568,1.898735,2884.77594,3554.77594,30.052886,,
09/30/1997,2546.865396,-67.0,0.0,296.0,505.0,3280.865396,0.944134,1.288197,0.153923,17.087841,33.823355,13.557295,1.745141,2748.187669,3482.187669,29.548028,,
12/31/1997,,,,,,,,,,,,,,2645.139263,,,,
09/05/2020,,-67.0,0.0,296.0,505.0,,,,,,,,,,,,,
