Date,Revenue,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/1992,,28.126999,28.126999,,,,,,,
06/30/1992,,17.762,17.762,,,,,,,
09/30/1992,,36.964999,36.964999,,,,,,,
12/31/1992,,13.902999,13.902999,,,,,,,
03/31/1993,,26.124,26.124,,,,,,,
06/30/1993,,26.845001,26.845001,,,,,,,
09/30/1993,,71.539999,71.539999,,,,,,,
12/31/1993,,17.025001,17.025001,,,,,,,
03/31/1994,,49.398,49.398,,,,,,,
06/30/1994,,1.476,1.476,,,,,,,
09/30/1994,,70.874998,70.874998,,,,,,,
12/31/1994,,26.297,26.297,,,,,,,
03/31/1995,,32.511999,32.511999,,,,,,,
06/30/1995,,33.210001,33.210001,,,,,,,
09/30/1995,,91.861001,91.861001,,,,,,,
12/31/1995,,27.049001,27.049001,,,,,,,
03/31/1996,,50.910001,50.910001,,,,,,,
06/30/1996,,37.219,37.219,,,,,,,
09/30/1996,,24.357,24.357,,,,,,,
12/31/1996,,30.745001,30.745001,,,,,,,
03/31/1997,,55.157999,55.157999,,,,,,,
06/30/1997,,32.362,32.362,,,,,,,
09/30/1997,,74.709003,74.709003,,,,,,,
12/31/1997,,38.408998,38.408998,,,,,,,
03/31/1998,,50.078001,50.078001,,,,,,,
06/30/1998,,37.719999,37.719999,,,,,,,
09/30/1998,,89.276998,89.276998,,,,,,,
12/31/1998,,35.302001,35.302001,,,,,,,
03/31/1999,,51.265002,51.265002,,,,,,,
06/30/1999,,-8.225,-8.225,,,,,,,
09/30/1999,,100.565003,100.565003,,,,,,,
12/31/1999,,19.256999,19.256999,,,,,,,
03/31/2000,,43.108999,43.108999,,,,,,,
06/30/2000,,42.773001,42.773001,,,,,,,
09/30/2000,,91.402002,91.402002,,,,,,,
12/31/2000,,26.625999,26.625999,,,,,,,
03/31/2001,,49.990999,49.990999,,,,,,,
06/30/2001,,44.663,44.663,,,,,,,
09/30/2001,,89.846999,89.846999,,,,,,,
12/31/2001,,-125.238002,-125.238002,,,,,,,
03/31/2002,,39.226,39.226,,,,,,,
06/30/2002,,56.949001,56.949001,,,,,,,
09/30/2002,,103.548002,103.548002,,,,,,,
12/31/2002,,53.636002,53.636002,,,,,,,
03/31/2003,,53.891998,53.891998,,,,,,,
06/30/2003,,-41.393001,-41.393001,,,,,,,
09/30/2003,,67.446999,67.446999,,,,,,,
12/31/2003,,-6.51,-6.51,,,,,,,
03/31/2004,,13.273,13.273,,,,,,,
06/30/2004,,36.710999,36.710999,,,,,,,
09/30/2004,,52.206001,52.206001,,,,,,,
12/31/2004,,8.949,8.949,,,,,,,
03/31/2005,,13.324,13.324,,,,,,,
06/30/2005,,54.178,54.178,,,,,,,
09/30/2005,,73.751,73.751,,,,,,,
12/31/2005,,37.793999,37.793999,,,,,,,
03/31/2006,,33.584999,33.584999,,,,,,,
06/30/2006,,40.151,40.151,,,,,,,
09/30/2006,,78.452,78.452,,,,,,,
12/31/2006,,37.400999,37.400999,,,,,,,
03/31/2007,,38.346,38.346,,,,,,,
06/30/2007,,49.813,49.813,,,,,,,
09/30/2007,,75.798,75.798,,,,,,,
12/31/2007,,22.151,22.151,,,,,,,
03/31/2008,,33.954,33.954,,,,,,,
06/30/2008,,42.944,42.944,,,,,,,
09/30/2008,,75.89,75.89,,,,,,,
12/31/2008,,34.2,34.2,,,,,,,
03/31/2009,,27.558,27.558,,,,,,,
06/30/2009,,38.066,38.066,,,,,,,
09/30/2009,,62.158,61.508,,,,,,,
12/31/2009,,42.717,50.067,,,,,,,
03/31/2010,,29.226,29.226,,,,,,,
06/30/2010,,49.893,49.893,,,,,,,
09/30/2010,,82.852,82.852,,,,,,,
12/31/2010,,21.029,21.029,,,,,,,
03/31/2011,,23.0,11.3,,,,,,,
06/30/2011,,45.0,43.7,,,,,,,
09/30/2011,,85.0,80.45,,,,,,,
12/31/2011,,-9.0,-9.65,,,,,,,
03/31/2012,,26.0,26.0,,,,,,,
06/30/2012,,39.0,39.0,,,,,,,
09/30/2012,,77.0,74.4,,,,,,,
12/31/2012,,-9.0,-10.95,,,,,,,
03/31/2013,,30.0,30.0,,,,,,,
06/30/2013,,38.0,38.0,,,,,,,
09/30/2013,,68.0,68.0,,,,,,,
12/31/2013,,40.0,45.0,,,,,,,
03/31/2014,,27.0,27.0,,,,,,,
06/30/2014,,30.0,30.0,,,,,,,
09/30/2014,,74.0,74.0,,,,,,,
12/31/2014,,-44.0,-44.0,,,,,,,
03/31/2015,,23.0,23.0,,,,,,,
06/30/2015,,20.0,20.0,,,,,,,
09/30/2015,,50.0,50.0,,,,,,,
12/31/2015,,-44.0,-44.0,,,,,,,
03/31/2016,,4.0,4.0,,,,,,,
