Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,107.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,16.9,16.9,,39.599997,0.425,0.425,,39.599997,0.425,0.425,0.425,
03/31/1990,122.099991,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.899998,,,19.899998,19.899998,,39.599997,0.5,0.5,,39.599997,0.5,0.5,0.5,
06/30/1990,127.399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.499998,,,21.499998,21.499998,,39.623709,0.55,0.55,,39.623709,0.55,0.55,0.55,
09/30/1990,125.999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.199999,,,20.199999,20.199999,,39.626639,0.5,0.5,,39.626639,0.5,0.5,0.5,
12/31/1990,126.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,21.0,21.0,,39.627997,0.525,0.525,,39.627997,0.525,0.525,0.525,
03/31/1991,141.899994,,,-77.699997,,64.199997,,-24.9,,,,39.299999,0.7,,,,,,,-0.7,39.999999,-15.5,24.5,,,,24.499999,,24.5,,,24.5,24.5,,39.628,0.625,0.625,,39.628,0.625,0.625,0.625,
06/30/1991,154.100006,,,-83.800003,,70.300003,,-26.9,,,,43.400002,0.8,,,,,,,-0.8,44.200002,-17.200001,27.0,,,,27.000001,,27.0,,,27.0,27.0,,39.629999,0.675,0.675,,39.629999,0.675,0.675,0.675,
09/30/1991,153.600006,,,-85.099998,,68.500008,,-27.0,,,,41.5,1.0,,,,,,,-1.0,42.5,-16.9,25.6,,,,25.6,,25.6,,,25.6,25.6,,39.6392,0.65,0.65,,39.6392,0.65,0.65,0.65,
12/31/1991,154.300003,,,-85.900002,,68.400001,,-26.799999,,,,41.599998,1.1,,,,,,,-1.1,42.699998,-15.8,26.799999,,,,26.899998,,26.799999,,,26.799999,26.799999,,39.660998,0.675,0.675,0.675,39.660998,0.675,0.675,0.675,
03/31/1992,176.399994,,,-96.5,,79.899994,,-30.700001,,,,49.200001,-0.6,,1.1,,,,,-0.5,48.600001,-18.9,29.700001,,,,29.700001,,29.700001,,,29.700001,29.700001,,38.075601,0.775,0.775,,38.075601,0.775,0.775,0.775,
06/30/1992,181.100006,,,-97.599998,,83.500008,,-31.4,,,,52.099998,-0.7,,,,,0.0,,0.7,51.399998,-20.0,31.4,0.0,,,31.399998,0.0,31.4,0.0,,31.4,31.4,,37.748001,0.825,0.825,,37.748001,0.825,0.825,0.825,
09/30/1992,183.600006,,,-101.0,,82.600006,,-32.599998,,,,50.0,-0.4,,,,,0.0,,0.4,49.6,-19.5,30.1,0.0,,,30.1,0.0,30.1,0.0,,30.1,30.1,,37.665201,0.8,0.8,,37.665201,0.8,0.8,0.8,
12/31/1992,180.300003,,,-100.0,,80.300003,,-31.5,,,,48.799999,-136.299997,,3.1,,,,,133.199997,-87.499998,36.900002,-50.599998,,,,-50.599996,,-50.599998,,,-50.599998,-50.599998,,37.653201,-1.325,-1.325,-1.325,37.653201,-1.325,-1.325,-1.325,
03/31/1993,199.800003,,,-109.099998,,90.700005,,-33.400002,,,,57.299999,-1.2,,1.6,,,,,-0.4,56.099999,-22.5,33.599998,,,,33.599999,,33.599998,,,33.599998,33.599998,,37.410001,0.9,0.9,,37.410001,0.9,0.9,0.9,
06/30/1993,197.0,,,-107.800003,,89.199997,,-31.9,,,,57.299999,-2.1,,2.4,,,0.0,,-0.3,55.199999,-22.0,33.200001,0.0,,,33.199999,0.0,33.200001,0.0,,33.200001,33.200001,,36.2276,0.925,0.925,,36.2276,0.925,0.925,0.925,
09/30/1993,194.800003,,,-109.599998,,85.200005,,-31.5,,,,53.700001,12.5,,3.1,,,0.0,,-15.6,66.200001,-28.0,38.200001,0.0,,,38.200001,0.0,38.200001,0.0,,38.200001,38.200001,,35.429999,1.075,1.075,,35.429999,1.075,1.075,1.075,
