Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/1989,530.497009,16.875,15.445,1.43,116.949997,,,155.667007,,,,,12.943,,,,,,302.434998,213.690994,0.0,0.0,0.0,14.371,,,,,14.371,228.061995,,59.272999,59.272999,,,,4.439,,,,,,55.648002,,,55.648002,119.360001,45.839001,,,,,40.200001,,,,,,40.200001,86.039001,205.399002,0,64.407997,,0.0,,260.690002,325.098,0.0,325.098,530.497002,
11/30/1989,543.377014,21.899001,20.474001,1.425,121.887001,,,148.050003,,,,,14.272,,,,,,306.108002,222.878006,0.0,0.0,0.0,14.391,,,,,14.391,237.269006,,65.382004,65.382004,,,,4.44,,,,,,52.201998,,,52.201998,122.024002,49.674,,,,,39.825001,,,,,,39.825001,89.499001,211.523003,0,64.779999,,0.0,,267.074005,331.854004,0.0,331.854004,543.377007,
02/28/1990,529.283997,22.359,21.097,1.262,124.588997,,,132.233002,,,,,13.335,,,,,,292.515991,226.216003,0.0,0.0,0.0,10.552,,,,,10.552,236.768003,,57.387001,57.387001,,,,4.589,,,,,,50.944996,,,50.944996,112.920998,43.277,,,,,38.505001,,,,,,38.505001,81.782001,194.702999,0,65.063004,,0.0,,269.518005,334.581009,0.0,334.581009,529.284008,
05/31/1990,560.616028,50.018001,47.943001,2.075,129.339005,,,120.276001,,,,,13.31,,,,,,312.942993,235.746994,365.704987,-129.957993,0.0,11.926,,,,,11.926,247.672994,,71.982002,71.982002,,,,4.239,,,,,,57.032004,,,57.032004,133.253006,42.467999,,,,,40.459,,,,,,40.459,82.926999,216.180005,0,65.084999,,0.0,,279.351013,344.436012,0.0,344.436012,560.616017,
08/31/1990,551.31897,17.375,15.31,2.065,109.866997,,,144.998001,,,,,17.437,,,,,,289.677002,249.873993,0.0,0.0,0.0,11.768,,,,,11.768,261.641993,,71.382004,71.382004,,,,3.95,,,,,,51.390996,,,51.390996,126.723,41.380001,,,,,40.536999,,,,,,40.536999,81.917,208.639999,0,65.143997,,0.0,,277.535004,342.679001,0.0,342.679001,551.319,
11/30/1990,590.757019,11.19,9.385,1.805,119.346001,,,165.227997,,,,,18.344,,,,,,314.108002,264.743011,0.0,0.0,0.0,11.906,,,,,11.906,276.649012,,73.055,73.055,,,,23.950001,,,,,,46.293003,,,46.293003,143.298004,60.005001,,,,,40.486,,,,,,40.486,100.491001,243.789005,0,65.183998,,0.0,,281.783997,346.967995,0.0,346.967995,590.757,
02/28/1991,581.374023,4.495,2.952,1.543,112.584999,,,162.022995,,,,,21.306,,,,,,300.408997,269.735992,0.0,0.0,0.0,11.229,,,,,11.229,280.964993,,49.330002,49.330002,,,,41.729,,,,,,43.888004,,,43.888004,134.947006,58.772999,,,,,40.594002,,,,,,40.594002,99.367001,234.314007,0,65.539001,,0.0,,281.520996,347.059998,0.0,347.059998,581.374004,
05/31/1991,563.844971,8.953,7.468,1.485,126.100998,,,124.660004,,,,,16.01,,,,,,275.723999,275.222992,425.251007,-150.028,0.0,12.898,,,,,12.898,288.120992,,48.851002,48.851002,,,,9.474,,,,,,49.057002,,,49.057002,107.382004,59.032001,,,,,42.432999,,,,,,42.432999,101.465,208.847004,0,66.804001,,0.0,,288.194,354.998001,0.0,354.998001,563.845005,
08/31/1991,583.434021,14.007,12.411,1.596,122.077003,,,127.149002,,,,,18.228001,,,,,,281.460999,288.89801,0.0,0.0,0.0,13.075,,,,,13.075,301.97301,,64.612,64.612,,,,2.974,,,,,,52.475997,,,52.475997,120.061996,58.848,,,,,42.460999,,,,,,42.460999,101.308998,221.370995,0,67.497002,,0.0,,294.56601,362.063011,0.0,362.063011,583.434006,
11/30/1991,591.372009,13.395,11.83,1.565,121.512001,,,134.056,,,,,15.545,,,,,,284.507996,293.104004,0.0,0.0,0.0,13.76,,,,,13.76,306.864004,,68.636002,68.636002,,,,1.771,,,,,,50.103001,,,50.103001,120.510002,58.200001,,,,,42.564999,,,,,,42.564999,100.764999,221.275002,0,68.130997,,0.0,,301.966003,370.097,0.0,370.097,591.372002,
