Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,147.501999,159.44751,159.44751,,2.412656,0.46214,0.370097,0.22,0.22,,0.22,0.22,0.22,0.065,-0.134,,0.255827,4.241848,
06/30/1990,147.494003,159.47847,159.47847,,2.369254,0.446932,0.354587,0.22,0.22,,0.22,0.22,0.22,0.13,0.309145,,0.269536,4.335268,
09/30/1990,148.231995,159.876266,159.876266,,2.438273,0.473716,0.402417,0.255,0.255,,0.255,0.255,0.255,0.065,0.168949,,0.208619,4.588847,
12/31/1990,160.171998,159.977036,159.977036,,2.38568,0.421854,0.330941,0.205,0.205,0.205,0.205,0.205,0.205,0.075,0.638254,,0.483842,4.796119,
03/31/1991,160.164001,160.117996,160.117996,,2.56637,0.486285,0.384716,0.24,0.24,,0.24,0.24,0.24,0.0375,-0.229937,,0.068923,4.959304,
06/30/1991,160.143997,160.147995,160.147995,,2.605702,0.496435,0.396883,0.245,0.245,,0.245,0.245,0.245,0.075,0.648132,,0.475753,5.037061,
09/30/1991,160.139999,160.141998,160.141998,,2.68112,0.555064,0.454871,0.29,0.29,,0.29,0.29,0.29,0.0375,0.42368,,0.658905,5.361165,
12/31/1991,160.235992,160.114136,160.114136,,2.558956,0.457392,0.367463,0.24,0.24,0.24,0.24,0.24,0.24,0.085,0.714091,,0.956845,5.527722,
03/31/1992,160.225006,160.193802,160.193802,,2.799378,0.553604,0.433494,0.14,0.16,,0.14,0.16,0.16,0.085,-0.371925,,0.257906,5.710576,
06/30/1992,160.214996,160.220993,160.220993,,2.802716,0.557904,0.441334,0.27,0.27,,0.27,0.27,0.27,0.17,0.474657,,0.498686,5.8374,
09/30/1992,160.209,160.212006,160.212006,,2.955334,0.625365,0.523706,0.33,0.33,,0.33,0.33,0.33,0.085,0.215496,,0.380116,6.160771,
12/31/1992,160.238998,160.208221,160.208221,,2.711191,0.536346,0.438261,0.28,0.28,0.28,0.28,0.28,0.28,0.0975,0.785859,,0.764446,6.163599,
03/31/1993,160.342682,160.281342,160.281342,,3.017675,0.620303,0.488422,0.31,0.31,,0.31,0.31,0.31,0.0975,0.086648,,0.593005,6.376455,
06/30/1993,160.337677,160.34108,160.34108,,3.046381,0.640721,0.495737,0.32,0.32,,0.32,0.32,0.32,0.195,0.565233,,0.87539,6.496807,
09/30/1993,160.336121,160.337006,160.337006,,3.213282,0.761003,0.634894,0.37,0.37,,0.37,0.37,0.37,0.0975,0.24267,,0.826776,6.864854,
12/31/1993,160.356995,160.328003,160.328003,,2.949341,0.637462,0.536076,0.32,0.32,0.32,0.32,0.32,0.32,0.1125,0.897965,,1.210187,7.049783,
03/31/1994,160.485992,160.412994,160.412994,,3.064889,0.672396,0.515482,0.32,0.32,,0.32,0.32,0.32,0.1125,-0.265901,,0.706068,7.282561,
06/30/1994,162.677002,160.470001,160.470001,,3.309641,0.670038,0.520315,0.35,0.35,,0.35,0.35,0.35,0.225,0.473578,,0.774277,7.624391,
09/30/1994,161.615997,162.037994,162.037994,,3.581074,0.754496,0.634789,0.41,0.41,,0.41,0.41,0.41,0.1125,0.621342,,0.698885,7.928027,
12/31/1994,160.800995,161.154999,161.154999,,3.514244,0.694598,0.538662,0.34,0.34,0.34,0.34,0.34,0.34,0.125,0.485067,,0.940902,7.996381,
03/31/1995,160.880997,160.912994,160.912994,,3.504105,0.702112,0.537918,0.34,0.34,0.34,0.34,0.34,0.34,0.125,-0.067055,,0.567196,8.21938,
06/30/1995,158.095993,159.570007,159.570007,,3.489653,0.495663,0.316143,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.552535,,0.30508,7.81696,
09/30/1995,157.438004,157.742004,157.742004,,4.066894,0.710388,0.548579,0.32,0.32,0.32,0.32,0.32,0.32,0.125,-0.020039,,0.320202,8.050921,
12/31/1995,156.203995,161.154999,161.154999,,3.61112,0.424312,0.278074,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,0.14,0.966796,,0.326298,7.268527,
