Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1995,31894,772,772,0,1245,,,2579,1446,0.0,789,344,414,,,,,5010,5532,8097.0,-2565.0,0.0,21352,20943,12560.0,8383.0,409,26884,,507,507,,,,775,775.0,0.0,0.0,,2588,,,2588,3870,9867,9867.0,0.0,0.0,6827,,,,6827,16694,20564,1496.0,10221,0.0,-13.0,-374,11330,0.0,11330,31894,
09/30/1995,31133,354,354,0,1271,,,2495,1360,0.0,786,349,404,,,,,4524,5488,8106.0,-2618.0,0.0,21121,20716,12457.0,8259.0,405,26609,,472,472,,,,303,303.0,0.0,0.0,,2740,,,2740,3515,10478,10478.0,0.0,0.0,6717,,,,6717,17195,20710,545.0,10216,0.0,,-338,10423,0.0,10423,31133,
12/31/1995,31518,234,234,0,1334,,,2489,1383,0.0,755,351,503,,,,,4560,5690,8386.0,-2696.0,0.0,21268,20801,12536.0,8265.0,467,26958,,755,755,,,,418,418.0,0.0,0.0,,2951,,,2951,4124,10383,10383.0,0.0,0.0,6682,,,,6682,17065,21189,544.0,10113,0.0,,-328,10329,0.0,10329,31518,
03/31/1996,31808,574,574,0,1361,,,2501,1303,0.0,791,407,491,,,,,4927,5705,,,0.0,21176,20692,12491.0,8201.0,484,26881,,3065,3065,,,,597,597.0,0.0,0.0,,357,,,357,4019,10739,10739.0,0.0,0.0,6691,,,,6691,17430,21449,542.0,10123,0.0,20.0,-326,10359,0.0,10359,31808,
06/30/1996,31475,361,361,0,1420,,,2581,1350,0.0,811,420,448,,,,,4810,5699,,,0.0,20966,20510,12383.0,8127.0,456,26665,,3446,3446,,,,508,508.0,0.0,0.0,,257,,,257,4211,10523,10523.0,0.0,0.0,6622,,,,6622,17145,21356,541.0,9940,-30.0,,-332,10119,0.0,10119,31475,
09/30/1996,31413,331,331,0,1434,,,2576,1271,0.0,856,449,426,,,,,4767,5756,,,0.0,20890,20427,12347.0,8080.0,463,26646,,3311,3311,,,,570,570.0,0.0,0.0,,293,,,293,4174,10549,10549.0,0.0,0.0,6571,,,,6571,17120,21294,539.0,9994,-100.0,,-314,10119,0.0,10119,31413,
12/31/1996,31289,252,252,0,1418,,,2636,1395,0.0,830,411,445,,,,,4751,5835,8837.0,-3002.0,0.0,20703,20298,12268.0,8030.0,405,26538,,691,691,,,,672,672.0,0.0,0.0,,2943,,,2943,4306,10210,10210.0,0.0,0.0,6625,,,,6625,16835,21141,537.0,10041,-100.0,,-330,10148,0.0,10148,31289,
03/31/1997,31242,218,218,0,1428,,,2831,1512,0.0,897,422,472,,,,,4949,5767,,,0.0,20526,20144,12176.0,7968.0,382,26293,,2948,2948,,,,633,633.0,0.0,0.0,,292,,,292,3873,10607,10607.0,0.0,0.0,5822,,,,5822,16429,20302,534.0,10048,,22.0,-461,10143,797.0,10940,31242,
06/30/1997,31301,251,251,0,1489,,,2847,1538,0.0,876,433,593,,,,,5180,5771,,,0.0,20350,19970,12080.0,7890.0,380,26121,,3124,3124,,,,780,780.0,0.0,0.0,,282,,,282,4186,10363,10363.0,0.0,0.0,5779,,,,5779,16142,20328,528.0,10045,,68.0,-474,10167,806.0,10973,31301,
09/30/1997,30952,251,251,0,1421,,,2783,1460,0.0,875,448,463,,,,,4918,5819,,,0.0,20215,19811,11982.0,7829.0,404,26034,,2920,2920,,,,622,622.0,0.0,0.0,,222,,,222,3764,10585,10585.0,0.0,0.0,5708,,,,5708,16293,20057,524.0,10048,,13.0,-503,10082,813.0,10895,30952,
12/31/1997,30678,348,348,0,1122,,,2617,1410,0.0,816,391,538,,,,,4625,5939,9179.0,-3240.0,0.0,20114,19644,11885.0,7759.0,470,26053,,733,733,,,,394,394.0,0.0,0.0,,3018,,,3018,4145,10409,10409.0,0.0,0.0,6493,,,,6493,16902,21047,520.0,9671,-100.0,,-460,9631,0.0,9631,30678,
03/31/1998,30493,216,216,0,1188,,,2705,1462,0.0,829,414,510,,,,,4619,5931,,,0.0,19943,19523,11811.0,7712.0,420,25874,,3190,3190,,,,553,553.0,0.0,0.0,,107,,,107,3850,10656,10656.0,0.0,0.0,5732,,,,5732,16388,20238,516.0,9505,-100.0,,-479,9442,813.0,10255,30493,
06/30/1998,30245,186,186,0,1158,,,2630,1418,0.0,796,416,712,,,,,4686,5718,,,0.0,19841,19361,11710.0,7651.0,480,25559,,3528,3528,,,,721,721.0,0.0,0.0,,212,,,212,4461,10275,10275.0,0.0,0.0,5636,,,,5636,15911,20372,512.0,9202,-100.0,,-502,9112,761.0,9873,30245,
09/30/1998,29714,434,434,0,1194,,,2537,1308,0.0,815,414,580,,,,,4745,5608,,,0.0,19361,18872,11539.0,7333.0,489,24969,,3443,3443,,,,441,441.0,0.0,0.0,,243,,,243,4127,10131,10131.0,0.0,0.0,5599,,,,5599,15730,19857,509.0,9180,-100.0,,-492,9097,760.0,9857,29714,
12/31/1998,28892,300,300,0,1118,,,2293,1249,,695,349,733,,,,,4444,5298,8764.0,-3466.0,0.0,19150,18715,11449.0,7266.0,435,24448,,637,637,,,,485,,,,,3581,,,3581,4703,9982,,,,6193,,,,6193,16175,20878,205.0,9007,-100.0,-577.0,-521,8014,0.0,8014,28892,
03/31/1999,28632,246,246,0,1160,,,2353,1267,,736,350,728,,,,,4487,5180,,,0.0,18965,18527,11325.0,7202.0,438,24145,,3721,3721,,,,686,,,,,277,,,277,4684,9957,,,,6153,,,,6153,16110,20794,201.0,8845,-100.0,-501.0,-607,7838,0.0,7838,28632,
06/30/1999,16319,3147,3147,0,166,,,503,329,0.0,90,84,360,,,,,4176,1091,2326.0,-1235.0,0.0,11052,10836,7713.0,3123.0,216,12143,,2341,2341,,,,23,,,,,2161,,,2161,4525,1994,,,,2533,,,,2533,4527,9052,0.0,7280,0.0,,-13,7267,0.0,7267,16319,
09/30/1999,15503,2503,2503,0,120,,,448,279,0.0,92,77,406,,,,,3477,1082,2326.0,-1244.0,0.0,10944,10736,,,208,12026,,3094,3094,,,,42,,,,,635,,,635,3771,1983,,,,2539,,,,2539,4522,8293,0.0,7370,0.0,,-160,7210,0.0,7210,15503,
12/31/1999,14377,1287,1177,110,84,,,565,387,48.0,105,25,532,,,,,2468,1080,2326.0,-1246.0,0.0,10829,10633,,,196,11909,,81,81,,,,387,,,,,2600,,,2600,3068,1653,,,,2592,,,,2592,4245,7313,0.0,7288,-55.0,,-169,7064,0.0,7064,14377,
03/31/2000,14729,1756,1756,0,83,,,550,369,52.0,106,23,538,,,,,2927,1067,2331.0,-1264.0,0.0,10735,10541,,,194,11802,,60,60,,,,364,,,,,3064,,,3064,3488,1653,,,,2592,,,,2592,4245,7733,0.0,7219,-126.0,,-97,6996,0.0,6996,14729,
06/30/2000,14293,1390,1390,0,96,,,550,364,59.0,105,22,547,,,,,2583,1058,2328.0,-1270.0,0.0,10652,10450,,,202,11710,,76,76,,,,412,,,,,2707,,,2707,3195,1600,,,,2507,,,,2507,4107,7302,0.0,7205,-171.0,,-43,6991,0.0,6991,14293,
09/30/2000,14913,2071,2071,0,92,,,556,361,53.0,116,26,580,,,,,3299,1051,2322.0,-1271.0,0.0,10563,10359,,,204,11614,,66,66,,,,418,,,,,3288,,,3288,3772,1576,,,,2563,,,,2563,4139,7911,0.0,7239,-226.0,,-11,7002,0.0,7002,14913,
12/31/2000,15554,2543,2543,0,100,,,588,429,40.0,93,26,640,,,,,3871,1048,2325.0,-1277.0,0.0,10635,10178,,,457,11683,,80,80,,,,73,73.0,0.0,0.0,,2623,,,2623,2776,1674,1674.0,0.0,0.0,2668,,,,2668,4342,7118,0.0,7292,-288.0,,1432,8436,0.0,8436,15554,
03/31/2001,15388,2504,2303,201,86,,,631,533,54.0,127,-83,594,,,,,3815,1036,,,0.0,10537,10087,7238.0,2849.0,450,11573,,67,67,,,,73,73.0,0.0,0.0,,2449,,,2449,2589,1674,1674.0,0.0,0.0,2667,,,,2667,4341,6930,0.0,7350,-329.0,,1437,8458,0.0,8458,15388,
06/30/2001,15529,2613,2410,203,101,,,653,546,58.0,116,-67,605,,,,,3972,1040,,,0.0,10517,9997,7173.0,2824.0,520,11557,,82,82,,,,25,25.0,0.0,0.0,,2740,,,2740,2847,1674,1674.0,0.0,0.0,2677,,,,2677,4351,7198,0.0,7360,-521.0,,1492,8331,0.0,8331,15529,
09/30/2001,15993,3142,2937,205,104,,,620,504,59.0,111,-54,648,,,,,4514,1033,,,0.0,10446,9906,7108.0,2798.0,540,11479,,72,72,,,,0,0.0,0.0,0.0,,3396,,,3396,3468,1674,1674.0,0.0,0.0,2609,,,,2609,4283,7751,0.0,7363,-652.0,,1531,8242,0.0,8242,15993,
12/31/2001,15122,2227,2020,207,106,,,730,575,49.0,118,-12,865,,,,,3928,1050,2380.0,-1330.0,0.0,10144,9648,6875.0,2773.0,496,11194,,74,74,,,,43,43.0,0.0,0.0,,2675,,,2675,2792,1631,1631.0,0.0,0.0,2673,,,,2673,4304,7096,0.0,7372,-776.0,,1430,8026,0.0,8026,15122,
03/31/2002,14241,1759,1552,207,98,,,862,691,51.0,126,-6,644,,,,,3363,1059,,,0.0,9819,9326,6875.0,2451.0,493,10878,,93,93,,,,43,43.0,0.0,0.0,,2486,,,2486,2622,1632,1632.0,0.0,0.0,2483,,,,2483,4115,6737,0.0,7392,-905.0,,1017,7504,0.0,7504,14241,
06/30/2002,14890,2559,1850,709,111,,,823,632,60.0,133,-2,619,,,,,4112,1046,,,0.0,9732,9189,7090.0,2099.0,543,10778,,90,90,,,,593,593.0,0.0,0.0,,2514,,,2514,3197,1862,1862.0,0.0,0.0,2328,,,,2328,4190,7387,0.0,7392,-1044.0,,1155,7503,0.0,7503,14890,
09/30/2002,15473,3073,2362,711,114,,,778,584,54.0,137,3,690,,,,,4655,1046,,,0.0,9772,9189,7090.0,2099.0,583,10818,,72,72,,,,783,783.0,0.0,0.0,,3087,,,3087,3942,1754,1754.0,0.0,0.0,2337,,,,2337,4091,8033,0.0,7397,-1173.0,,1216,7440,0.0,7440,15473,
12/31/2002,14651,2179,1584,595,96,,,762,617,35.0,110,0,955,,,,,3992,940,2161.0,-1221.0,0.0,9719,9175,7090.0,2085.0,544,10659,,60,60,,,,741,741.0,0.0,0.0,,2626,,,2626,3427,1755,1755.0,0.0,0.0,2753,,,,2753,4508,7935,0.0,7402,-1286.0,1217.0,-617,6716,0.0,6716,14651,
03/31/2003,14312,1929,1332,597,94,,,751,614,35.0,117,-15,901,,,,,3675,925,,,0.0,9712,9175,7090.0,2085.0,537,10637,,45,45,,,,741,741.0,0.0,0.0,,2364,,,2364,3150,1757,1757.0,0.0,0.0,2768,,,,2768,4525,7675,0.0,7401,-1359.0,1208.0,-613,6637,0.0,6637,14312,
06/30/2003,13460,1197,994,203,60,,,706,590,36.0,112,0,852,,,,,2815,901,,,0.0,9744,9184,7099.0,2085.0,560,10645,,50,50,,,,244,244.0,0.0,0.0,,2020,,,2020,2314,1727,1727.0,0.0,0.0,2787,,,,2787,4514,6828,0.0,7404,-1360.0,1198.0,-610,6632,0.0,6632,13460,
09/30/2003,10181,1675,1568,107,74,,,649,552,35.0,111,-49,790,,,,,3188,891,,,0.0,6102,5594,3835.0,1759.0,508,6993,,47,47,,,,56,56.0,0.0,0.0,,2479,,,2479,2582,1692,1692.0,0.0,0.0,2805,,,,2805,4497,7079,0.0,7421,-1364.0,-2333.0,-622,3102,0.0,3102,10181,
12/31/2003,9677,1630,970,660,67,,,684,624,36.0,86,-62,950,,,,,3331,894,2183.0,-1289.0,0.0,5452,5052,3292.0,1760.0,400,6346,,36,36,,,,56,56.0,0.0,0.0,,2773,,,2773,2865,1671,1671.0,0.0,0.0,2084,,,,2084,3755,6620,0.0,7378,-1367.0,-2469.0,-485,3057,0.0,3057,9677,
03/31/2004,9477,1456,1348,108,81,,,723,661,36.0,92,-66,876,,,,,3136,880,,,0.0,5461,5047,3288.0,1759.0,414,6341,,25,25,,,,56,56.0,0.0,0.0,,2489,,,2489,2570,1692,1692.0,0.0,0.0,2107,,,,2107,3799,6369,0.0,7315,-1377.0,-2347.0,-483,3108,0.0,3108,9477,
06/30/2004,9056,1156,1048,108,63,,,699,634,40.0,92,0,856,,,,,2774,870,,,0.0,5412,5047,3288.0,1759.0,365,6282,,22,22,,,,3,3.0,0.0,0.0,,2083,,,2083,2108,1634,1634.0,0.0,0.0,2129,,,,2129,3763,5871,0.0,7240,-1379.0,0.0,-2676,3185,0.0,3185,9056,
09/30/2004,14344,1926,1818,108,258,,,1222,1027,50.0,190,0,1202,,,,,4608,1139,,,0.0,8597,8037,6278.0,1759.0,560,9736,,114,114,,,,50,50.0,0.0,0.0,,3840,,,3840,4004,1607,1607.0,0.0,0.0,2490,,,,2490,4097,8101,0.0,8705,0.0,0.0,-2462,6243,0.0,6243,14344,
12/31/2004,14428,1972,1499,473,102,,,1265,1090,46.0,190,-61,1285,,,,,4624,1129,2503.0,-1374.0,0.0,8675,8294,5685.0,2609.0,381,9804,,70,70,,,,50,50.0,0.0,0.0,,3935,,,3935,4055,1595,1595.0,0.0,0.0,2602,,,,2602,4197,8252,0.0,8682,0.0,-2061.0,-445,6176,0.0,6176,14428,
03/31/2005,14119,1942,1616,326,103,,,1201,967,65.0,215,-46,1132,,,,,4378,1109,2520.0,-1411.0,0.0,8632,8279,5685.0,2594.0,353,9741,,129,129,,,,50,50.0,0.0,0.0,,3451,,,3451,3630,1570,1570.0,0.0,0.0,2603,,,,2603,4173,7803,0.0,8682,0.0,-1920.0,-446,6316,0.0,6316,14119,
06/30/2005,14205,2138,1444,694,127,,,1140,926,64.0,188,-38,1085,,,,,4490,1094,2523.0,-1429.0,0.0,8621,8269,5684.0,2585.0,352,9715,,140,140,,,,555,555.0,0.0,0.0,,2973,,,2973,3668,1580,1580.0,0.0,0.0,2763,,,,2763,4343,8011,0.0,8682,0.0,-1809.0,-679,6194,0.0,6194,14205,
