Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1998,7643.623047,211.561996,211.561996,0.0,396.825989,,,258.725006,,,,,1430.86499,,,,2297.978027,4653.626953,6239.801758,-1586.175049,0.0,,,692.018005,0.0,,,,,692.018005,5345.644958,,789.656006,789.656006,,,,88.191002,,,,,,1047.627968,,,,1047.627968,1925.474976,2324.163086,,,,,2926.979004,,,2926.979004,5251.14209,7176.617065,0.05,479.950012,,,,,-12.994,467.006012,0.0,467.006012,7643.623077,
09/30/1998,6944.829102,326.25,326.25,0.0,346.472992,346.472992,,235.261993,62.233002,,,173.029007,847.744019,,,,1755.729004,4657.673828,6283.894043,-1626.219971,0.0,,,531.426025,0.0,,,,,531.426025,5189.099854,,731.075012,731.075012,,,,73.875999,,,,,,494.485023,,,,494.485023,1299.436035,2304.422119,,,,,2894.660889,,,2894.660889,5199.083008,6498.519043,0.05,479.950012,,,,-19.959,-13.730999,446.310014,0.0,446.310014,6944.829057,
12/31/1998,6865.648926,267.105988,267.105988,0.0,435.640991,435.640991,,239.884003,63.466,,,176.417999,792.424988,,,,1735.05603,4599.708008,6275.400879,-1675.692993,0.0,,,530.88501,0.0,,,,,530.88501,5130.593018,,736.875,736.875,,,,58.273998,,,,,,458.714039,,,,458.714039,1253.863037,2305.614014,,,,,2842.424072,,,2842.424072,5148.038086,6401.901123,0.05,483.873993,,,,-14.841,-5.335001,463.747992,0.0,463.747992,6865.649115,
03/31/1999,7023.931,194.078,194.078,0.0,312.748,,,249.897,77.277,122.327,50.293,0.0,1075.738,,,,1832.461,4797.945,4991.437,-193.492,0.0,,,393.525,0.0,96.8,-96.8,,,393.525,5191.47,,211.993,211.993,,,,72.404,38.038,34.366,34.366,,,1061.111,,,,1061.111,1345.508,2469.975,2469.975,0.0,0.0,,2689.308,,,2689.308,5159.283,6504.791,0.05,484.969,,,,,10.211,495.23,23.91,519.14,7023.931,
06/30/1999,6922.561035,90.684998,90.684998,0.0,319.503998,,,252.272995,53.77,0.0,198.503006,0.0,1073.041992,,,,1735.504028,4793.062988,5048.062988,-255.0,,,,393.993988,0.0,,,,,393.993988,5187.056976,,549.320007,549.320007,,,,63.692001,,,,,,637.213943,,,,637.213943,1250.225952,2465.341064,,,,,2688.315918,,,2688.315918,5153.656982,6403.882935,0.05,484.968994,,,,,8.254,493.272994,25.405001,518.677995,6922.560929,
09/30/1999,6981.524902,126.311996,126.311996,0.0,384.171997,,,245.606995,52.791,0.0,192.815994,0.0,1033.432007,,,,1789.522949,4800.458008,5107.547852,-307.089996,,,,391.544006,0.0,,,,,391.544006,5192.002014,,701.177979,701.177979,,,,91.028,,,,,,553.677078,,,,553.677078,1345.883057,2433.181885,,,,,2694.561035,,,2694.561035,5127.74292,6473.625977,0.05,484.968994,,,,,-6.082,478.936994,28.962,507.898994,6981.524971,
12/31/1999,6680.030762,87.492996,87.492996,0.0,330.040009,,,235.656998,51.108002,0.0,184.548996,0.0,860.190002,,,,1513.380005,4785.969238,5146.838867,-360.869995,,,,380.682007,0.0,,,,,380.682007,5166.651245,,593.390991,593.390991,,,,76.433998,,,,,,403.623985,,,,403.623985,1073.448975,2430.070068,,,,,2672.781982,,,2672.781982,5102.852051,6176.301025,0.05,484.968994,,,,,-13.354,471.664994,32.064999,503.729993,6680.031018,
03/31/2000,5826.849,65.618,65.618,0.0,153.021,,,242.15,67.209,133.894,41.047,0.0,171.756,,,,632.545,4815.51,5226.78,-411.27,0.0,,,378.794,0.0,,,,,378.794,5194.304,,180.682,180.682,,,,57.977,,,,,,481.932,,,,481.932,720.591,2018.189,,,,,2538.378,,,2538.378,4556.567,5277.158,0.05,485.234,,,,,23.142,508.426,41.265,549.691,5826.849,
06/30/2000,5757.690918,46.993999,46.993999,0.0,157.257996,,,229.759003,,,,,169.645996,,,,603.656982,4757.049805,5216.120117,-459.070007,0.0,,,396.984009,0.0,0.0,0.0,,,396.984009,5154.033813,,526.094971,526.094971,,,,48.125999,,,,,,91.251015,,,,91.251015,665.471985,2006.628052,,,,,2538.922119,,,2538.922119,4545.550171,5211.022156,0.05,485.234009,,,,,18.783001,504.06701,42.602001,546.669011,5757.691167,
09/30/2000,5663.592773,55.433998,55.433998,0.0,151.755997,,,222.886993,,,,,222.451004,,,,652.528015,4718.338867,5226.092773,-507.753998,0.0,,,292.726013,0.0,0.0,0.0,,,292.726013,5011.06488,,546.604004,546.604004,,,,58.637001,,,,,,137.896019,,,,137.896019,743.137024,1904.359985,,,,,2507.533936,,,2507.533936,4411.893921,5155.030945,0.05,485.634003,,,,,-19.108,466.576003,41.986,508.562003,5663.592948,
