Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
09/20/2006,,-276.09,0.0,0.0,48.703,,-255.61,,,,,,,,,,
01/10/2007,714.733532,-136.779,0.0,0.0,12.724,590.678532,761.923,1.669985,0.021541,,,,714.72726,590.67226,10.958486,,
04/04/2007,964.836367,-186.499,0.0,0.0,13.51,791.847367,781.716,1.728249,0.017061,,,,965.7229,792.7339,14.690644,,
06/27/2007,1637.52675,-206.782,0.0,0.0,24.925,1455.66975,821.866,3.032733,0.017123,0.2373,16.694418,172.350195,1645.6846,1463.8276,27.006122,,
09/19/2007,1061.859018,-212.356,0.0,0.0,24.322,873.825018,823.17,2.954675,0.027834,0.142192,7.719098,22.365626,1061.8497,873.8157,16.211524,,
01/09/2008,941.76,-141.768,0.0,0.0,25.21,825.202,832.079,3.02976,0.03055,0.114165,5.554634,14.250717,944.82944,828.27144,15.281519,,
04/02/2008,973.24641,-177.845,0.0,0.0,24.903,820.30441,850.053,2.929582,0.030358,0.112878,5.282097,14.061236,976.518,823.576,15.171368,,
06/25/2008,945.883039,-201.275,0.0,0.0,25.676,770.284039,851.303,3.016082,0.033333,0.105787,6.851293,32.136678,945.57936,769.98036,14.243059,,
09/17/2008,724.167983,-161.928,0.0,0.0,28.958,591.197983,855.651,3.384324,0.048982,0.080583,4.928991,23.729549,723.33482,590.36482,10.890541,,
01/07/2009,852.434029,-145.056,0.0,0.0,34.825,742.203029,881.556,3.950401,0.046921,0.101124,5.002717,14.705534,856.21899,745.98799,13.661075,,
04/01/2009,519.727685,-177.347,0.0,0.0,37.859,380.239685,905.108,4.182816,0.099566,0.051785,2.463905,6.767517,520.47378,380.98578,6.979591,,
06/24/2009,706.651514,-182.823,0.0,0.0,35.266,559.094514,914.364,3.856889,0.063077,0.075892,3.101721,6.929177,710.57442,563.01742,10.261714,,
09/16/2009,759.135958,-157.405,0.0,0.0,32.743,634.473958,907.025,3.609934,0.051607,0.087249,3.616679,8.235643,756.23144,631.56944,11.567255,,
01/06/2010,552.09283,-154.274,0.0,0.0,35.016,432.83483,917.469,3.816587,0.080899,0.060823,2.940774,9.065743,554.34795,435.08995,7.879092,,
03/31/2010,688.016259,-183.829,0.0,0.0,32.221,536.408259,939.514,3.429539,0.060068,0.076481,3.789238,13.497264,689.27314,537.66514,9.737763,,
06/30/2010,530.92139,-152.327,0.0,0.0,29.472,408.06639,953.209,3.091872,0.072224,0.058461,2.90063,10.990799,537.89272,415.03772,7.409308,,
09/22/2010,385.940603,-130.302,0.0,0.0,28.275,283.913603,877.72,3.221415,0.09959,0.040902,2.504597,50.536419,384.1404,282.1134,5.112703,,
01/12/2011,361.082127,-108.562,0.0,0.0,43.25,295.770127,870.973,4.965711,0.146228,0.042606,3.15162,,360.379,295.067,5.299716,,
04/06/2011,377.876453,-173.512,0.0,0.0,44.474,248.838453,898.005,4.952534,0.178726,0.035859,2.491674,,378.38207,249.34407,4.458167,,
06/29/2011,474.47136,-207.764,0.0,0.0,42.763,309.47036,906.271,4.718567,0.138181,0.04501,3.391307,,476.646,311.645,5.544061,,
09/21/2011,360.393821,-168.457,0.0,0.0,60.872,252.808821,902.853,6.742183,0.240783,0.036512,2.398839,,358.11388,250.52888,4.496483,,
01/11/2012,530.48273,-129.694,0.0,0.0,64.056,464.84473,890.994,7.189274,0.137801,0.066674,4.164156,,529.04138,463.40338,8.219388,,
09/19/2020,,,,,,,,,,,,,,,,,
06/30/2012,,,,,,,,,,,,,,,,,
09/30/2012,,,,,,,,,,,,,,,,,
